Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553561514,2019-03-26T00:51:54Z,ACA426,"43.73333,-79.46667",5100,230,43
1553561574,2019-03-26T00:52:54Z,ACA426,"43.73333,-79.38333",7400,280,89
1553561635,2019-03-26T00:53:55Z,ACA426,"43.71938,-79.27189",10000,310,101
1553561697,2019-03-26T00:54:57Z,ACA426,"43.73855,-79.14436",11400,340,70
1553561755,2019-03-26T00:55:55Z,ACA426,"43.75686,-79.006",13700,390,81
1553561816,2019-03-26T00:56:56Z,ACA426,"43.78453,-78.84736",16000,410,74
1553561857,2019-03-26T00:57:37Z,ACA426,"43.8121,-78.74809",17800,440,60
1553561876,2019-03-26T00:57:56Z,ACA426,"43.82322,-78.70122",17800,430,89
1553561940,2019-03-26T00:59:00Z,ACA426,"43.8571,-78.5229",19800,450,70
1553561982,2019-03-26T00:59:42Z,ACA426,"43.88443,-78.40621",21500,460,68
1553562037,2019-03-26T01:00:37Z,ACA426,"43.9221,-78.23251",23000,470,75
1553562099,2019-03-26T01:01:39Z,ACA426,"43.96272,-78.04263",24500,480,74
1553562123,2019-03-26T01:02:03Z,ACA426,"43.97332,-77.97516",24700,480,89
1553562283,2019-03-26T01:04:43Z,ACA426,"44.12072,-77.53614",29500,480,60
1553562304,2019-03-26T01:05:04Z,ACA426,"44.15253,-77.48142",29600,480,55
1553562343,2019-03-26T01:05:43Z,ACA426,"44.19873,-77.36912",30800,480,62
1553562403,2019-03-26T01:06:43Z,ACA426,"44.25774,-77.199",31000,480,69
1553562456,2019-03-26T01:07:36Z,ACA426,"44.3206,-77.02345",31000,480,63
1553562518,2019-03-26T01:08:38Z,ACA426,"44.39169,-76.82807",31000,480,62
1553562576,2019-03-26T01:09:36Z,ACA426,"44.45146,-76.65201",31000,480,67
1553562637,2019-03-26T01:10:37Z,ACA426,"44.50791,-76.48358",31000,480,64
1553562698,2019-03-26T01:11:38Z,ACA426,"44.57653,-76.30109",31000,480,59
1553562761,2019-03-26T01:12:41Z,ACA426,"44.64469,-76.12744",31000,480,60
1553562822,2019-03-26T01:13:42Z,ACA426,"44.69519,-75.95599",31000,500,75
1553562882,2019-03-26T01:14:42Z,ACA426,"44.7444,-75.78445",31000,520,67
1553562942,2019-03-26T01:15:42Z,ACA426,"44.79287,-75.59023",31000,520,71
1553563007,2019-03-26T01:16:47Z,ACA426,"44.84109,-75.40389",30900,520,67
1553563063,2019-03-26T01:17:43Z,ACA426,"44.89452,-75.21867",28400,510,64
1553563134,2019-03-26T01:18:54Z,ACA426,"44.9464,-75.01343",25700,500,74
1553563186,2019-03-26T01:19:46Z,ACA426,"44.99488,-74.852",22800,500,62
1553563246,2019-03-26T01:20:46Z,ACA426,"45.05552,-74.66923",20400,500,62
1553563306,2019-03-26T01:21:46Z,ACA426,"45.12162,-74.49055",17800,490,60
1553563370,2019-03-26T01:22:50Z,ACA426,"45.19769,-74.32692",15700,470,51
1553563430,2019-03-26T01:23:50Z,ACA426,"45.26422,-74.1732",13500,440,64
1553563490,2019-03-26T01:24:50Z,ACA426,"45.33008,-74.04345",11600,410,50
1553563531,2019-03-26T01:25:31Z,ACA426,"45.36996,-73.97266",10300,310,54
1553563590,2019-03-26T01:26:30Z,ACA426,"45.4309,-73.8794",8900,280,41
1553563649,2019-03-26T01:27:29Z,ACA426,"45.48993,-73.80245",7500,280,43
1553563710,2019-03-26T01:28:30Z,ACA426,"45.55095,-73.73405",5100,280,41
1553563773,2019-03-26T01:29:33Z,ACA426,"45.60855,-73.67131",3900,250,42
1553563841,2019-03-26T01:30:41Z,ACA426,"45.66285,-73.6117",3200,240,42
1553563894,2019-03-26T01:31:34Z,ACA426,"45.67566,-73.55573",3100,220,105
1553563955,2019-03-26T01:32:35Z,ACA426,"45.66517,-73.49779",3100,170,133
1553564016,2019-03-26T01:33:36Z,ACA426,"45.63365,-73.49348",2900,160,227
1553564077,2019-03-26T01:34:37Z,ACA426,"45.59193,-73.52645",2000,150,227
1553564135,2019-03-26T01:35:35Z,ACA426,"45.54554,-73.57169",1200,130,216
1553564199,2019-03-26T01:36:39Z,ACA426,"45.48333,-73.7",500,130,245
