Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553648035,2019-03-27T00:53:55Z,ACA426,"43.624195,-79.672134",2700,310,224
1553648151,2019-03-27T00:55:51Z,ACA426,"43.533333,-79.650002",6700,260,160
1553648170,2019-03-27T00:56:10Z,ACA426,"43.523762,-79.644157",6524,290,124
1553648182,2019-03-27T00:56:22Z,ACA426,"43.513977,-79.624176",6525,302,123
1553648195,2019-03-27T00:56:35Z,ACA426,"43.505077,-79.603302",6539,313,120
1553648202,2019-03-27T00:56:42Z,ACA426,"43.50032,-79.588226",6550,311,114
1553648210,2019-03-27T00:56:50Z,ACA426,"43.497601,-79.573502",6550,310,106
1553648219,2019-03-27T00:56:59Z,ACA426,"43.496346,-79.557571",6550,306,98
1553648240,2019-03-27T00:57:20Z,ACA426,"43.500141,-79.519783",6550,304,82
1553648247,2019-03-27T00:57:27Z,ACA426,"43.503269,-79.504448",6549,306,76
1553648259,2019-03-27T00:57:39Z,ACA426,"43.509163,-79.482552",6525,304,71
1553648274,2019-03-27T00:57:54Z,ACA426,"43.517883,-79.454247",6550,303,67
1553648286,2019-03-27T00:58:06Z,ACA426,"43.524673,-79.432755",6567,301,66
1553648298,2019-03-27T00:58:18Z,ACA426,"43.529179,-79.418175",6721,300,64
1553648316,2019-03-27T00:58:36Z,ACA426,"43.536694,-79.392387",7400,296,64
1553648335,2019-03-27T00:58:55Z,ACA426,"43.542583,-79.370285",8069,289,69
1553648346,2019-03-27T00:59:06Z,ACA426,"43.55143,-79.335434",9119,289,69
1553648358,2019-03-27T00:59:18Z,ACA426,"43.554783,-79.322739",9495,289,69
1553648370,2019-03-27T00:59:30Z,ACA426,"43.559662,-79.303551",9975,289,69
1553648388,2019-03-27T00:59:48Z,ACA426,"43.568844,-79.267464",10425,297,69
1553648402,2019-03-27T01:00:02Z,ACA426,"43.576393,-79.236786",10749,309,70
1553648418,2019-03-27T01:00:18Z,ACA426,"43.584286,-79.203712",11044,327,70
1553648430,2019-03-27T01:00:30Z,ACA426,"43.592758,-79.167175",11325,348,71
1553648448,2019-03-27T01:00:48Z,ACA426,"43.600334,-79.132751",11650,368,72
1553648458,2019-03-27T01:00:58Z,ACA426,"43.606983,-79.103943",12127,376,72
1553648490,2019-03-27T01:01:30Z,ACA426,"43.625271,-79.021896",13375,397,72
1553648527,2019-03-27T01:02:07Z,ACA426,"43.645077,-78.929192",14819,419,73
1553648563,2019-03-27T01:02:43Z,ACA426,"43.665119,-78.867226",16343,343,61
1553648571,2019-03-27T01:02:51Z,ACA426,"43.667286,-78.853409",16475,343,61
1553648602,2019-03-27T01:03:22Z,ACA426,"43.687164,-78.747055",17600,432,73
1553648610,2019-03-27T01:03:30Z,ACA426,"43.692078,-78.720139",17862,463,74
1553648644,2019-03-27T01:04:04Z,ACA426,"43.713608,-78.630302",18910,461,69
1553648654,2019-03-27T01:04:14Z,ACA426,"43.722832,-78.612038",19278,340,37
1553648734,2019-03-27T01:05:34Z,ACA426,"43.778652,-78.424492",21050,465,66
1553648799,2019-03-27T01:06:39Z,ACA426,"43.844372,-78.214279",22700,459,65
1553648858,2019-03-27T01:07:38Z,ACA426,"43.894741,-78.049049",24025,474,66
1553648922,2019-03-27T01:08:42Z,ACA426,"43.949818,-77.86705",25270,495,66
1553648984,2019-03-27T01:09:44Z,ACA426,"44.00127,-77.693977",26603,492,66
1553649043,2019-03-27T01:10:43Z,ACA426,"44.049419,-77.531334",27950,475,67
1553649107,2019-03-27T01:11:47Z,ACA426,"44.109352,-77.35083",29876,458,59
1553649170,2019-03-27T01:12:50Z,ACA426,"44.183285,-77.194206",31049,455,52
1553649232,2019-03-27T01:13:52Z,ACA426,"44.257187,-77.046219",32450,454,54
1553649299,2019-03-27T01:14:59Z,ACA426,"44.333965,-76.880447",33555,458,57
1553649362,2019-03-27T01:16:02Z,ACA426,"44.406029,-76.721725",34411,457,57
1553649423,2019-03-27T01:17:03Z,ACA426,"44.473824,-76.572777",34979,462,57
1553649487,2019-03-27T01:18:07Z,ACA426,"44.546253,-76.411934",34988,453,57
1553649552,2019-03-27T01:19:12Z,ACA426,"44.618443,-76.251579",34975,460,57
1553649614,2019-03-27T01:20:14Z,ACA426,"44.680534,-76.081009",34975,462,66
1553649679,2019-03-27T01:21:19Z,ACA426,"44.729713,-75.898468",34975,468,68
1553649742,2019-03-27T01:22:22Z,ACA426,"44.776112,-75.714935",35000,468,69
1553649806,2019-03-27T01:23:26Z,ACA426,"44.823414,-75.53109",34925,468,69
1553649874,2019-03-27T01:24:34Z,ACA426,"44.875488,-75.337311",31800,463,68
1553649938,2019-03-27T01:25:38Z,ACA426,"44.927017,-75.159492",27799,461,67
1553650002,2019-03-27T01:26:42Z,ACA426,"44.977184,-74.982513",24525,458,67
1553650067,2019-03-27T01:27:47Z,ACA426,"45.034882,-74.816544",22050,431,58
1553650126,2019-03-27T01:28:46Z,ACA426,"45.095375,-74.673622",19880,416,59
1553650190,2019-03-27T01:29:50Z,ACA426,"45.155209,-74.528137",17575,409,58
1553650223,2019-03-27T01:30:23Z,ACA426,"45.186893,-74.455826",16184,397,56
1553650255,2019-03-27T01:30:55Z,ACA426,"45.218822,-74.385239",15113,391,56
1553650287,2019-03-27T01:31:27Z,ACA426,"45.248123,-74.319427",14200,386,56
1553650319,2019-03-27T01:31:59Z,ACA426,"45.276543,-74.253967",13250,359,57
1553650351,2019-03-27T01:32:31Z,ACA426,"45.298294,-74.203163",12521,346,58
1553650383,2019-03-27T01:33:03Z,ACA426,"45.32729,-74.135651",11599,323,57
1553650394,2019-03-27T01:33:14Z,ACA426,"45.33617,-74.11467",11251,318,58
1553650408,2019-03-27T01:33:28Z,ACA426,"45.342155,-74.100578",11050,314,58
1553650420,2019-03-27T01:33:40Z,ACA426,"45.353878,-74.072914",10643,309,58
1553650432,2019-03-27T01:33:52Z,ACA426,"45.362442,-74.05294",10375,305,58
1553650443,2019-03-27T01:34:03Z,ACA426,"45.37122,-74.035431",10099,295,53
