Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553734138,2019-03-28T00:48:58Z,ACA426,"43.632881,-79.666107",2675,160,269
1553734150,2019-03-28T00:49:10Z,ACA426,"43.631065,-79.668663",2850,160,226
1553734156,2019-03-28T00:49:16Z,ACA426,"43.623398,-79.679863",3544,160,227
1553734162,2019-03-28T00:49:22Z,ACA426,"43.618217,-79.686432",3938,190,223
1553734170,2019-03-28T00:49:30Z,ACA426,"43.612015,-79.691536",4174,190,214
1553734178,2019-03-28T00:49:38Z,ACA426,"43.605114,-79.694138",4337,194,200
1553734186,2019-03-28T00:49:46Z,ACA426,"43.597504,-79.693649",4477,200,182
1553734195,2019-03-28T00:49:55Z,ACA426,"43.589359,-79.690331",4722,212,167
1553734202,2019-03-28T00:50:02Z,ACA426,"43.581287,-79.684776",4976,223,156
1553734210,2019-03-28T00:50:10Z,ACA426,"43.573463,-79.678032",5236,233,150
1553734219,2019-03-28T00:50:19Z,ACA426,"43.565723,-79.670319",5446,243,145
1553734227,2019-03-28T00:50:27Z,ACA426,"43.558079,-79.661911",5627,253,142
1553734235,2019-03-28T00:50:35Z,ACA426,"43.549946,-79.652542",5809,259,140
1553734242,2019-03-28T00:50:42Z,ACA426,"43.542458,-79.643188",5929,267,137
1553734254,2019-03-28T00:50:54Z,ACA426,"43.530293,-79.628029",6138,272,137
1553734266,2019-03-28T00:51:06Z,ACA426,"43.518867,-79.613327",6331,283,136
1553734278,2019-03-28T00:51:18Z,ACA426,"43.507843,-79.597198",6517,285,134
1553734291,2019-03-28T00:51:31Z,ACA426,"43.499374,-79.578384",6633,288,121
1553734298,2019-03-28T00:51:38Z,ACA426,"43.496262,-79.56498",6700,288,110
1553734306,2019-03-28T00:51:46Z,ACA426,"43.494598,-79.549751",6724,288,101
1553734315,2019-03-28T00:51:55Z,ACA426,"43.495022,-79.533699",6700,292,90
1553734322,2019-03-28T00:52:02Z,ACA426,"43.497288,-79.518387",6691,303,81
1553734330,2019-03-28T00:52:10Z,ACA426,"43.500546,-79.502686",6700,313,75
1553734339,2019-03-28T00:52:19Z,ACA426,"43.504379,-79.486183",6700,319,72
1553734346,2019-03-28T00:52:26Z,ACA426,"43.509014,-79.46936",6699,323,69
1553734354,2019-03-28T00:52:34Z,ACA426,"43.513958,-79.454041",6699,333,66
1553734366,2019-03-28T00:52:46Z,ACA426,"43.521572,-79.430397",6838,335,66
1553734379,2019-03-28T00:52:59Z,ACA426,"43.526543,-79.414955",7115,341,64
1553734391,2019-03-28T00:53:11Z,ACA426,"43.532795,-79.392715",7638,341,64
1553734404,2019-03-28T00:53:24Z,ACA426,"43.542706,-79.359848",8475,344,64
1553734427,2019-03-28T00:53:47Z,ACA426,"43.550354,-79.335106",9125,342,65
1553734440,2019-03-28T00:54:00Z,ACA426,"43.560032,-79.298141",10119,342,65
1553734458,2019-03-28T00:54:18Z,ACA426,"43.565907,-79.276398",10500,342,65
1553734474,2019-03-28T00:54:34Z,ACA426,"43.578041,-79.228111",10910,341,69
1553734486,2019-03-28T00:54:46Z,ACA426,"43.585705,-79.195175",11125,348,71
1553734502,2019-03-28T00:55:02Z,ACA426,"43.592468,-79.166519",11386,356,71
1553734519,2019-03-28T00:55:19Z,ACA426,"43.602753,-79.121201",12109,369,71
1553734554,2019-03-28T00:55:54Z,ACA426,"43.622089,-79.03495",13735,395,72
1553734586,2019-03-28T00:56:26Z,ACA426,"43.639549,-78.954315",15042,401,72
1553734618,2019-03-28T00:56:58Z,ACA426,"43.657215,-78.875839",16199,411,72
1553734650,2019-03-28T00:57:30Z,ACA426,"43.670002,-78.827156",16975,356,68
1553734687,2019-03-28T00:58:07Z,ACA426,"43.690449,-78.726349",18309,393,72
1553734750,2019-03-28T00:59:10Z,ACA426,"43.738773,-78.553375",20250,468,66
1553734815,2019-03-28T01:00:15Z,ACA426,"43.795227,-78.371758",22131,450,65
1553734878,2019-03-28T01:01:18Z,ACA426,"43.848114,-78.2033",23750,456,66
1553734948,2019-03-28T01:02:28Z,ACA426,"43.900917,-78.027588",25243,460,67
1553735010,2019-03-28T01:03:30Z,ACA426,"43.968384,-77.848297",26650,485,58
1553735075,2019-03-28T01:04:35Z,ACA426,"44.034496,-77.696739",28475,460,58
1553735135,2019-03-28T01:05:35Z,ACA426,"44.102615,-77.536804",29831,450,58
1553735202,2019-03-28T01:06:42Z,ACA426,"44.173504,-77.363205",31274,448,60
1553735267,2019-03-28T01:07:47Z,ACA426,"44.237495,-77.205811",32578,444,60
1553735326,2019-03-28T01:08:46Z,ACA426,"44.298027,-77.05603",33605,440,60
1553735392,2019-03-28T01:09:52Z,ACA426,"44.363659,-76.893852",34475,451,60
1553735410,2019-03-28T01:10:10Z,ACA426,"44.384254,-76.843201",34850,450,60
1553735510,2019-03-28T01:11:50Z,ACA426,"44.484436,-76.59314",34992,465,60
1553735579,2019-03-28T01:12:59Z,ACA426,"44.556072,-76.412872",35000,463,60
1553735639,2019-03-28T01:13:59Z,ACA426,"44.618294,-76.255135",35024,460,60
1553735698,2019-03-28T01:14:58Z,ACA426,"44.674419,-76.093224",34999,460,65
1553735763,2019-03-28T01:16:03Z,ACA426,"44.724266,-75.912254",35000,467,68
1553735822,2019-03-28T01:17:02Z,ACA426,"44.767876,-75.742973",34122,464,69
1553735888,2019-03-28T01:18:08Z,ACA426,"44.814083,-75.563904",32106,442,69
1553735950,2019-03-28T01:19:10Z,ACA426,"44.858776,-75.394241",29375,435,69
1553736015,2019-03-28T01:20:15Z,ACA426,"44.907227,-75.225845",27824,427,67
1553736075,2019-03-28T01:21:15Z,ACA426,"44.949741,-75.077736",25773,413,67
1553736138,2019-03-28T01:22:18Z,ACA426,"44.994759,-74.919449",23568,394,67
1553736199,2019-03-28T01:23:19Z,ACA426,"45.0471,-74.785606",21600,391,58
1553736260,2019-03-28T01:24:20Z,ACA426,"45.101379,-74.657295",19625,380,58
1553736322,2019-03-28T01:25:22Z,ACA426,"45.158367,-74.518951",17526,383,58
1553736355,2019-03-28T01:25:55Z,ACA426,"45.186264,-74.456497",16308,372,56
1553736386,2019-03-28T01:26:26Z,ACA426,"45.212025,-74.398796",15393,366,58
1553736418,2019-03-28T01:26:58Z,ACA426,"45.244896,-74.325439",14320,363,57
1553736451,2019-03-28T01:27:31Z,ACA426,"45.272556,-74.261879",13397,353,57
