Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553820364,2019-03-29T00:46:04Z,ACA426,"43.628658,-79.662903",2875,150,263
1553820371,2019-03-29T00:46:11Z,ACA426,"43.623333,-79.668938",3127,200,220
1553820378,2019-03-29T00:46:18Z,ACA426,"43.618073,-79.675133",3567,200,220
1553820387,2019-03-29T00:46:27Z,ACA426,"43.612144,-79.682358",4142,200,221
1553820394,2019-03-29T00:46:34Z,ACA426,"43.606422,-79.688461",4626,200,218
1553820404,2019-03-29T00:46:44Z,ACA426,"43.599621,-79.693443",4948,200,210
1553820411,2019-03-29T00:46:51Z,ACA426,"43.592098,-79.696167",5184,204,198
1553820418,2019-03-29T00:46:58Z,ACA426,"43.583916,-79.696381",5420,210,186
1553820426,2019-03-29T00:47:06Z,ACA426,"43.575241,-79.694016",5613,218,172
1553820435,2019-03-29T00:47:15Z,ACA426,"43.566914,-79.68898",5746,230,160
1553820442,2019-03-29T00:47:22Z,ACA426,"43.558506,-79.681816",5877,242,151
1553820450,2019-03-29T00:47:30Z,ACA426,"43.55014,-79.673012",6016,257,144
1553820458,2019-03-29T00:47:38Z,ACA426,"43.542328,-79.66304",6142,270,138
1553820466,2019-03-29T00:47:46Z,ACA426,"43.534729,-79.652466",6270,282,135
1553820475,2019-03-29T00:47:55Z,ACA426,"43.526592,-79.640785",6410,289,133
1553820483,2019-03-29T00:48:03Z,ACA426,"43.519257,-79.629135",6529,301,130
1553820491,2019-03-29T00:48:11Z,ACA426,"43.511734,-79.616119",6651,308,128
1553820498,2019-03-29T00:48:18Z,ACA426,"43.505424,-79.602692",6763,316,123
1553820506,2019-03-29T00:48:26Z,ACA426,"43.499748,-79.587692",6850,321,118
1553820516,2019-03-29T00:48:36Z,ACA426,"43.495605,-79.571777",6899,324,111
1553820522,2019-03-29T00:48:42Z,ACA426,"43.49361,-79.555305",6925,326,102
1553820531,2019-03-29T00:48:51Z,ACA426,"43.493599,-79.538177",6925,327,93
1553820538,2019-03-29T00:48:58Z,ACA426,"43.495369,-79.52108",6925,328,84
1553820546,2019-03-29T00:49:06Z,ACA426,"43.498608,-79.504608",6924,336,76
1553820552,2019-03-29T00:49:12Z,ACA426,"43.50053,-79.496857",6925,336,76
1553820558,2019-03-29T00:49:18Z,ACA426,"43.504677,-79.479454",6925,341,72
1553820566,2019-03-29T00:49:26Z,ACA426,"43.509624,-79.463158",6924,340,70
