Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1554001414,2019-03-31T03:03:34Z,ACA426,"43.695328,-79.566696",2811,170,0
1554001446,2019-03-31T03:04:06Z,ACA426,"43.701397,-79.556023",2980,180,52
1554001471,2019-03-31T03:04:31Z,ACA426,"43.721195,-79.523987",4325,180,52
1554001488,2019-03-31T03:04:48Z,ACA426,"43.73735,-79.498177",4975,180,52
1554001494,2019-03-31T03:04:54Z,ACA426,"43.746639,-79.481911",5300,180,52
1554001506,2019-03-31T03:05:06Z,ACA426,"43.752785,-79.464912",5700,208,57
1554001524,2019-03-31T03:05:24Z,ACA426,"43.757442,-79.441887",6300,224,72
1554001531,2019-03-31T03:05:31Z,ACA426,"43.75914,-79.427338",6699,238,78
1554001567,2019-03-31T03:06:07Z,ACA426,"43.75449,-79.375862",7775,288,98
1554001583,2019-03-31T03:06:23Z,ACA426,"43.749432,-79.322342",9223,316,104
1554001602,2019-03-31T03:06:42Z,ACA426,"43.746883,-79.305939",9499,333,105
1554001619,2019-03-31T03:06:59Z,ACA426,"43.745056,-79.276268",10250,333,105
1554001635,2019-03-31T03:07:15Z,ACA426,"43.741978,-79.230705",11000,333,105
1554001656,2019-03-31T03:07:36Z,ACA426,"43.74292,-79.18972",11300,343,90
1554001682,2019-03-31T03:08:02Z,ACA426,"43.74519,-79.160858",11500,343,90
1554001710,2019-03-31T03:08:30Z,ACA426,"43.76207,-79.06662",12175,389,74
1554001782,2019-03-31T03:09:42Z,ACA426,"43.773251,-79.012558",12975,389,74
1554001862,2019-03-31T03:11:02Z,ACA426,"43.836121,-78.71244",16800,469,68
1554001891,2019-03-31T03:11:31Z,ACA426,"43.856686,-78.611923",18100,469,68
1554001938,2019-03-31T03:12:18Z,ACA426,"43.90797,-78.3974",20225,525,85
1554002018,2019-03-31T03:13:38Z,ACA426,"43.938389,-78.223885",21775,511,76
1554002082,2019-03-31T03:14:42Z,ACA426,"43.979801,-77.973457",23975,506,76
1554002143,2019-03-31T03:15:43Z,ACA426,"44.014633,-77.77964",25200,498,75
1554002210,2019-03-31T03:16:50Z,ACA426,"44.05304,-77.575188",25918,525,74
1554002275,2019-03-31T03:17:55Z,ACA426,"44.109379,-77.354027",27389,540,65
1554002344,2019-03-31T03:19:04Z,ACA426,"44.188725,-77.170448",28475,546,54
1554002406,2019-03-31T03:20:06Z,ACA426,"44.292522,-76.967735",30269,542,53
1554002471,2019-03-31T03:21:11Z,ACA426,"44.379005,-76.783195",31274,537,56
1554002534,2019-03-31T03:22:14Z,ACA426,"44.461601,-76.598885",32240,529,57
1554002598,2019-03-31T03:23:18Z,ACA426,"44.548298,-76.407898",32975,540,57
1554002667,2019-03-31T03:24:27Z,ACA426,"44.632648,-76.217056",32991,540,57
1554002726,2019-03-31T03:25:26Z,ACA426,"44.69936,-76.013023",32600,540,67
1554002792,2019-03-31T03:26:32Z,ACA426,"44.755341,-75.803047",31086,545,70
1554002851,2019-03-31T03:27:31Z,ACA426,"44.805191,-75.604774",29333,525,69
1554002918,2019-03-31T03:28:38Z,ACA426,"44.857361,-75.402946",26318,482,69
1554002978,2019-03-31T03:29:38Z,ACA426,"44.905964,-75.230156",24175,474,67
1554003043,2019-03-31T03:30:43Z,ACA426,"44.958782,-75.049843",22017,461,67
1554003106,2019-03-31T03:31:46Z,ACA426,"45.007999,-74.884178",20000,451,65
1554003171,2019-03-31T03:32:51Z,ACA426,"45.070499,-74.725494",18015,437,59
1554003236,2019-03-31T03:33:56Z,ACA426,"45.136036,-74.572609",16350,421,58
1554003267,2019-03-31T03:34:27Z,ACA426,"45.172657,-74.488182",15175,413,57
1554003303,2019-03-31T03:35:03Z,ACA426,"45.20647,-74.417664",13925,410,55
1554003343,2019-03-31T03:35:43Z,ACA426,"45.250824,-74.343422",12325,412,49
1554003375,2019-03-31T03:36:15Z,ACA426,"45.296886,-74.271553",11275,412,49
1554003391,2019-03-31T03:36:31Z,ACA426,"45.318142,-74.238091",10989,406,47
1554003404,2019-03-31T03:36:44Z,ACA426,"45.335907,-74.210861",10700,385,46
1554003416,2019-03-31T03:36:56Z,ACA426,"45.348419,-74.191208",10500,379,46
1554003432,2019-03-31T03:37:12Z,ACA426,"45.367424,-74.160179",10283,362,47
1554003443,2019-03-31T03:37:23Z,ACA426,"45.378891,-74.141167",10143,350,48
1554003455,2019-03-31T03:37:35Z,ACA426,"45.390724,-74.121445",9924,346,48
1554003467,2019-03-31T03:37:47Z,ACA426,"45.404625,-74.098267",9625,341,48
1554003478,2019-03-31T03:37:58Z,ACA426,"45.416576,-74.078087",9350,336,48
1554003492,2019-03-31T03:38:12Z,ACA426,"45.427311,-74.059959",9125,335,49
1554003504,2019-03-31T03:38:24Z,ACA426,"45.439491,-74.039284",8868,337,49
