Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1554082143,2019-04-01T01:29:03Z,ACA426,"43.62048,-79.662857",3125,150,239
1554082150,2019-04-01T01:29:10Z,ACA426,"43.613617,-79.670311",3676,210,219
1554082158,2019-04-01T01:29:18Z,ACA426,"43.607403,-79.676628",4083,214,217
1554082170,2019-04-01T01:29:30Z,ACA426,"43.596786,-79.683784",4730,216,211
1554082179,2019-04-01T01:29:39Z,ACA426,"43.588463,-79.68602",5218,217,200
1554082187,2019-04-01T01:29:47Z,ACA426,"43.579937,-79.685577",5651,222,188
1554082194,2019-04-01T01:29:54Z,ACA426,"43.571625,-79.681915",5958,225,174
1554082202,2019-04-01T01:30:02Z,ACA426,"43.563629,-79.676239",6219,231,159
1554082210,2019-04-01T01:30:10Z,ACA426,"43.55608,-79.668968",6406,234,151
1554082218,2019-04-01T01:30:18Z,ACA426,"43.548569,-79.660774",6519,240,144
1554082227,2019-04-01T01:30:27Z,ACA426,"43.54118,-79.652061",6618,248,141
1554082234,2019-04-01T01:30:34Z,ACA426,"43.533482,-79.642624",6700,256,139
1554082242,2019-04-01T01:30:42Z,ACA426,"43.525921,-79.633011",6750,265,137
1554082254,2019-04-01T01:30:54Z,ACA426,"43.514221,-79.616684",6800,285,133
1554082263,2019-04-01T01:31:03Z,ACA426,"43.507565,-79.604774",6840,291,128
1554082270,2019-04-01T01:31:10Z,ACA426,"43.502117,-79.591721",6849,294,121
1554082278,2019-04-01T01:31:18Z,ACA426,"43.498657,-79.578186",6825,296,112
1554082287,2019-04-01T01:31:27Z,ACA426,"43.497044,-79.564026",6850,293,101
1554082295,2019-04-01T01:31:35Z,ACA426,"43.497257,-79.54892",6850,291,91
1554082302,2019-04-01T01:31:42Z,ACA426,"43.49905,-79.533295",6849,294,83
1554082312,2019-04-01T01:31:52Z,ACA426,"43.50219,-79.518829",6824,300,75
1554082318,2019-04-01T01:31:58Z,ACA426,"43.506111,-79.502953",6825,304,72
1554082327,2019-04-01T01:32:07Z,ACA426,"43.510479,-79.488907",6832,310,67
1554082334,2019-04-01T01:32:14Z,ACA426,"43.515198,-79.474998",6850,314,64
1554082342,2019-04-01T01:32:22Z,ACA426,"43.52018,-79.459007",6825,312,65
1554082355,2019-04-01T01:32:35Z,ACA426,"43.52499,-79.445549",6850,315,63
1554082367,2019-04-01T01:32:47Z,ACA426,"43.533924,-79.415359",7308,307,66
1554082380,2019-04-01T01:33:00Z,ACA426,"43.540173,-79.394295",8017,307,66
1554082390,2019-04-01T01:33:10Z,ACA426,"43.546803,-79.374084",8700,308,65
1554082403,2019-04-01T01:33:23Z,ACA426,"43.550808,-79.36042",9108,304,66
1554082414,2019-04-01T01:33:34Z,ACA426,"43.557961,-79.333313",9850,302,68
1554082436,2019-04-01T01:33:56Z,ACA426,"43.56535,-79.303413",10650,302,68
1554082451,2019-04-01T01:34:11Z,ACA426,"43.572235,-79.273552",11050,301,71
1554082464,2019-04-01T01:34:24Z,ACA426,"43.579391,-79.240746",11375,319,72
1554082478,2019-04-01T01:34:38Z,ACA426,"43.584286,-79.218384",11593,319,72
1554082491,2019-04-01T01:34:51Z,ACA426,"43.589523,-79.193756",11800,327,72
1554082503,2019-04-01T01:35:03Z,ACA426,"43.595688,-79.165619",11975,327,72
1554082515,2019-04-01T01:35:15Z,ACA426,"43.599659,-79.147629",12141,327,72
1554082547,2019-04-01T01:35:47Z,ACA426,"43.620819,-79.048836",13800,392,73
1554082592,2019-04-01T01:36:32Z,ACA426,"43.639198,-78.973511",14900,377,69
1554082618,2019-04-01T01:36:58Z,ACA426,"43.661465,-78.892723",16175,322,259
1554082642,2019-04-01T01:37:22Z,ACA426,"43.667732,-78.863518",16561,341,117
1554082667,2019-04-01T01:37:47Z,ACA426,"43.681358,-78.797523",17450,372,83
1554082702,2019-04-01T01:38:22Z,ACA426,"43.713837,-78.635902",18875,516,75
1554082767,2019-04-01T01:39:27Z,ACA426,"43.769161,-78.446709",20775,505,67
1554082831,2019-04-01T01:40:31Z,ACA426,"43.819809,-78.288933",21975,481,65
1554082894,2019-04-01T01:41:34Z,ACA426,"43.885681,-78.077667",23239,502,66
1554082923,2019-04-01T01:42:03Z,ACA426,"43.898083,-78.090881",23800,516,221
1554082951,2019-04-01T01:42:31Z,ACA426,"43.927025,-77.974266",24232,516,221
1554083039,2019-04-01T01:43:59Z,ACA426,"44.019428,-77.626251",26250,545,67
1554083067,2019-04-01T01:44:27Z,ACA426,"44.041206,-77.569664",26968,555,77
1554083126,2019-04-01T01:45:26Z,ACA426,"44.104252,-77.361359",28575,545,65
1554083192,2019-04-01T01:46:32Z,ACA426,"44.185787,-77.184013",29617,508,54
1554083254,2019-04-01T01:47:34Z,ACA426,"44.271992,-77.011024",30825,514,54
1554083314,2019-04-01T01:48:34Z,ACA426,"44.352177,-76.839821",32557,522,57
1554083378,2019-04-01T01:49:38Z,ACA426,"44.430851,-76.662231",33000,506,57
1554083439,2019-04-01T01:50:39Z,ACA426,"44.499733,-76.510925",32999,504,57
1554083502,2019-04-01T01:51:42Z,ACA426,"44.586533,-76.320564",33000,512,57
1554083564,2019-04-01T01:52:44Z,ACA426,"44.660633,-76.145752",32975,511,59
1554083623,2019-04-01T01:53:43Z,ACA426,"44.713341,-75.96637",32974,506,69
1554083687,2019-04-01T01:54:47Z,ACA426,"44.763847,-75.763199",33000,513,70
1554083750,2019-04-01T01:55:50Z,ACA426,"44.810532,-75.578102",32950,500,69
1554083810,2019-04-01T01:56:50Z,ACA426,"44.862095,-75.383278",31996,500,68
1554083872,2019-04-01T01:57:52Z,ACA426,"44.913792,-75.201363",29374,487,67
1554083934,2019-04-01T01:58:54Z,ACA426,"44.968224,-75.010178",25049,492,68
1554083998,2019-04-01T01:59:58Z,ACA426,"45.03006,-74.822121",22107,500,61
1554084063,2019-04-01T02:01:03Z,ACA426,"45.107502,-74.647583",20064,484,54
1554084127,2019-04-01T02:02:07Z,ACA426,"45.190067,-74.508186",17590,446,48
1554084158,2019-04-01T02:02:38Z,ACA426,"45.235722,-74.430832",16549,433,49
1554084190,2019-04-01T02:03:10Z,ACA426,"45.272945,-74.365379",15905,402,50
1554084227,2019-04-01T02:03:47Z,ACA426,"45.308224,-74.303139",15125,370,51
1554084259,2019-04-01T02:04:19Z,ACA426,"45.339764,-74.24588",13761,348,51
1554084292,2019-04-01T02:04:52Z,ACA426,"45.373486,-74.182343",11861,336,51
1554084312,2019-04-01T02:05:12Z,ACA426,"45.388477,-74.156067",11024,336,51
1554084323,2019-04-01T02:05:23Z,ACA426,"45.403782,-74.127556",10650,321,50
1554084334,2019-04-01T02:05:34Z,ACA426,"45.413509,-74.110474",10425,312,50
1554084348,2019-04-01T02:05:48Z,ACA426,"45.425205,-74.089455",10186,310,50
1554084362,2019-04-01T02:06:02Z,ACA426,"45.438896,-74.064812",9907,303,50
1554084378,2019-04-01T02:06:18Z,ACA426,"45.452316,-74.040367",9641,296,51
1554084390,2019-04-01T02:06:30Z,ACA426,"45.461914,-74.022842",9449,293,51
1554084407,2019-04-01T02:06:47Z,ACA426,"45.475327,-73.998207",9136,286,51
1554084418,2019-04-01T02:06:58Z,ACA426,"45.481735,-73.986488",8903,283,51
1554084430,2019-04-01T02:07:10Z,ACA426,"45.49403,-73.964188",8510,277,51
1554084442,2019-04-01T02:07:22Z,ACA426,"45.503384,-73.946915",8190,274,51
1554084454,2019-04-01T02:07:34Z,ACA426,"45.512592,-73.930374",7877,271,51
1554084467,2019-04-01T02:07:47Z,ACA426,"45.521816,-73.91333",7555,270,51
1554084478,2019-04-01T02:07:58Z,ACA426,"45.531517,-73.895538",7218,270,51
1554084492,2019-04-01T02:08:12Z,ACA426,"45.540462,-73.879128",6914,274,51
1554084506,2019-04-01T02:08:26Z,ACA426,"45.552681,-73.856911",6497,273,51
1554084518,2019-04-01T02:08:38Z,ACA426,"45.562778,-73.838364",6164,270,51
1554084531,2019-04-01T02:08:51Z,ACA426,"45.571812,-73.8218",6011,270,51
1554084548,2019-04-01T02:09:08Z,ACA426,"45.583862,-73.799393",5779,270,51
1554084562,2019-04-01T02:09:22Z,ACA426,"45.595417,-73.777824",5536,263,51
1554084576,2019-04-01T02:09:36Z,ACA426,"45.60416,-73.761612",5399,254,51
1554084590,2019-04-01T02:09:50Z,ACA426,"45.614117,-73.743027",5222,240,51
1554084603,2019-04-01T02:10:03Z,ACA426,"45.622238,-73.728096",4980,236,51
1554084611,2019-04-01T02:10:11Z,ACA426,"45.626511,-73.720337",4823,229,51
1554084628,2019-04-01T02:10:28Z,ACA426,"45.633949,-73.706795",4618,216,51
1554084636,2019-04-01T02:10:36Z,ACA426,"45.641289,-73.693649",4439,217,51
1554084644,2019-04-01T02:10:44Z,ACA426,"45.646423,-73.684418",4290,210,50
1554084651,2019-04-01T02:10:51Z,ACA426,"45.650803,-73.676468",4166,206,50
1554084658,2019-04-01T02:10:58Z,ACA426,"45.654865,-73.669388",4050,203,50
1554084668,2019-04-01T02:11:08Z,ACA426,"45.660011,-73.660942",3925,201,49
1554084675,2019-04-01T02:11:15Z,ACA426,"45.665974,-73.651955",3775,200,47
1554084686,2019-04-01T02:11:26Z,ACA426,"45.670788,-73.645508",3640,200,44
1554084696,2019-04-01T02:11:36Z,ACA426,"45.675629,-73.638229",3500,200,44
1554084708,2019-04-01T02:11:48Z,ACA426,"45.683105,-73.626312",3286,200,47
1554084715,2019-04-01T02:11:55Z,ACA426,"45.690586,-73.612587",3150,200,47
1554084723,2019-04-01T02:12:03Z,ACA426,"45.692333,-73.60881",3125,196,53
1554084734,2019-04-01T02:12:14Z,ACA426,"45.700573,-73.590981",3099,194,56
1554084748,2019-04-01T02:12:28Z,ACA426,"45.703396,-73.583122",3075,192,60
1554084754,2019-04-01T02:12:34Z,ACA426,"45.706814,-73.57328",3075,191,62
1554084774,2019-04-01T02:12:54Z,ACA426,"45.708302,-73.564903",3074,186,71
1554084800,2019-04-01T02:13:20Z,ACA426,"45.690128,-73.52108",3075,237,136
1554084812,2019-04-01T02:13:32Z,ACA426,"45.683628,-73.514664",3062,230,136
1554084820,2019-04-01T02:13:40Z,ACA426,"45.678711,-73.505936",3050,230,136
1554084826,2019-04-01T02:13:46Z,ACA426,"45.672871,-73.50045",3074,218,143
1554084832,2019-04-01T02:13:52Z,ACA426,"45.666428,-73.496956",3150,214,155
1554084854,2019-04-01T02:14:14Z,ACA426,"45.645725,-73.493408",3075,236,173
1554084879,2019-04-01T02:14:39Z,ACA426,"45.61977,-73.510635",3075,251,207
1554084887,2019-04-01T02:14:47Z,ACA426,"45.610096,-73.519279",3074,226,204
1554084900,2019-04-01T02:15:00Z,ACA426,"45.606575,-73.523766",3075,235,219
1554084907,2019-04-01T02:15:07Z,ACA426,"45.594833,-73.536469",3075,235,219
1554084916,2019-04-01T02:15:16Z,ACA426,"45.592186,-73.541748",3075,249,231
1554084923,2019-04-01T02:15:23Z,ACA426,"45.584347,-73.553894",3075,229,224
1554084930,2019-04-01T02:15:30Z,ACA426,"45.579887,-73.56308",3075,233,233
1554084948,2019-04-01T02:15:48Z,ACA426,"45.574585,-73.572395",3017,227,233
1554084955,2019-04-01T02:15:55Z,ACA426,"45.566563,-73.582626",2849,227,233
1554084963,2019-04-01T02:16:03Z,ACA426,"45.562016,-73.590096",2725,212,230
1554084976,2019-04-01T02:16:16Z,ACA426,"45.555695,-73.602028",2497,203,231
1554084987,2019-04-01T02:16:27Z,ACA426,"45.547127,-73.617401",2250,193,234
1554084994,2019-04-01T02:16:34Z,ACA426,"45.543285,-73.624313",2136,183,232
1554085002,2019-04-01T02:16:42Z,ACA426,"45.53936,-73.630905",2013,177,230
1554085015,2019-04-01T02:16:55Z,ACA426,"45.53347,-73.640312",1850,174,228
1554085026,2019-04-01T02:17:06Z,ACA426,"45.527142,-73.649849",1674,164,227
1554085034,2019-04-01T02:17:14Z,ACA426,"45.523087,-73.65567",1577,158,226
1554085043,2019-04-01T02:17:23Z,ACA426,"45.519104,-73.661278",1462,154,225
1554085050,2019-04-01T02:17:30Z,ACA426,"45.515087,-73.666809",1327,148,224
1554085058,2019-04-01T02:17:38Z,ACA426,"45.511986,-73.671104",1248,140,224
1554085070,2019-04-01T02:17:50Z,ACA426,"45.506859,-73.677986",1115,136,224
1554085082,2019-04-01T02:18:02Z,ACA426,"45.501419,-73.685204",975,125,223
1554085181,2019-04-01T02:19:41Z,ACA426,"45.450001,-73.716667",200,120,200
