Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1554173864,2019-04-02T02:57:44Z,ACA426,"43.655239,-79.703285",2700,100,258
1554173872,2019-04-02T02:57:52Z,ACA426,"43.650795,-79.711464",3100,190,234
1554173884,2019-04-02T02:58:04Z,ACA426,"43.643963,-79.723579",3775,194,233
1554173893,2019-04-02T02:58:13Z,ACA426,"43.638351,-79.73027",4238,196,229
1554173900,2019-04-02T02:58:20Z,ACA426,"43.631748,-79.734558",4656,193,217
1554173908,2019-04-02T02:58:28Z,ACA426,"43.624763,-79.736427",4921,195,202
1554173916,2019-04-02T02:58:36Z,ACA426,"43.616856,-79.736053",5170,197,189
1554173925,2019-04-02T02:58:45Z,ACA426,"43.609169,-79.732788",5393,206,174
1554173932,2019-04-02T02:58:52Z,ACA426,"43.601379,-79.726776",5681,215,161
1554173940,2019-04-02T02:59:00Z,ACA426,"43.594467,-79.718643",5997,229,147
1554173949,2019-04-02T02:59:09Z,ACA426,"43.587879,-79.707916",6326,237,138
1554173958,2019-04-02T02:59:18Z,ACA426,"43.582718,-79.695251",6744,254,126
1554173965,2019-04-02T02:59:25Z,ACA426,"43.579483,-79.681343",7213,264,116
1554173972,2019-04-02T02:59:32Z,ACA426,"43.577957,-79.666733",7617,278,105
1554173981,2019-04-02T02:59:41Z,ACA426,"43.577824,-79.650764",7980,282,98
1554173989,2019-04-02T02:59:49Z,ACA426,"43.578411,-79.633041",8374,301,89
1554173996,2019-04-02T02:59:56Z,ACA426,"43.580433,-79.617249",8724,316,83
1554174008,2019-04-02T03:00:08Z,ACA426,"43.58268,-79.598961",9181,325,81
1554174020,2019-04-02T03:00:20Z,ACA426,"43.587658,-79.565834",9950,347,75
1554174032,2019-04-02T03:00:32Z,ACA426,"43.593086,-79.537422",10279,356,75
1554174044,2019-04-02T03:00:44Z,ACA426,"43.598415,-79.509216",10534,367,74
1554174052,2019-04-02T03:00:52Z,ACA426,"43.601906,-79.489952",10725,372,74
1554174068,2019-04-02T03:01:08Z,ACA426,"43.608509,-79.454147",11278,382,75
1554174081,2019-04-02T03:01:21Z,ACA426,"43.613777,-79.422928",11875,385,75
1554174092,2019-04-02T03:01:32Z,ACA426,"43.619534,-79.395042",12350,392,73
1554174124,2019-04-02T03:02:04Z,ACA426,"43.637539,-79.319336",13600,390,71
1554174164,2019-04-02T03:02:44Z,ACA426,"43.65913,-79.236053",15106,428,70
1554174198,2019-04-02T03:03:18Z,ACA426,"43.683926,-79.142937",16519,389,68
1554174228,2019-04-02T03:03:48Z,ACA426,"43.704369,-79.062408",17939,408,69
1554174264,2019-04-02T03:04:24Z,ACA426,"43.726906,-78.982643",19200,420,70
1554174325,2019-04-02T03:05:25Z,ACA426,"43.758965,-78.833099",20825,473,73
1554174388,2019-04-02T03:06:28Z,ACA426,"43.805721,-78.629227",23100,471,71
1554174452,2019-04-02T03:07:32Z,ACA426,"43.845654,-78.45636",24900,474,71
1554174522,2019-04-02T03:08:42Z,ACA426,"43.902466,-78.263145",26550,475,62
1554174584,2019-04-02T03:09:44Z,ACA426,"43.975395,-78.07077",27175,497,59
1554174648,2019-04-02T03:10:48Z,ACA426,"44.049435,-77.876221",28375,536,61
1554174709,2019-04-02T03:11:49Z,ACA426,"44.115807,-77.692276",30000,542,63
1554174773,2019-04-02T03:12:53Z,ACA426,"44.181202,-77.511688",31250,521,62
1554174832,2019-04-02T03:13:52Z,ACA426,"44.24995,-77.320969",32493,525,63
1554174896,2019-04-02T03:14:56Z,ACA426,"44.314507,-77.1381",33825,528,62
1554174960,2019-04-02T03:16:00Z,ACA426,"44.387451,-76.92981",34975,520,63
1554175026,2019-04-02T03:17:06Z,ACA426,"44.456467,-76.733604",35000,539,63
1554175084,2019-04-02T03:18:04Z,ACA426,"44.519455,-76.549469",35000,532,64
1554175149,2019-04-02T03:19:09Z,ACA426,"44.587902,-76.351326",34975,530,63
1554175212,2019-04-02T03:20:12Z,ACA426,"44.654739,-76.152832",34975,528,64
1554175276,2019-04-02T03:21:16Z,ACA426,"44.714531,-75.948105",34850,530,67
1554175337,2019-04-02T03:22:17Z,ACA426,"44.763474,-75.765099",33945,536,69
1554175396,2019-04-02T03:23:16Z,ACA426,"44.816223,-75.558624",32950,536,69
1554175461,2019-04-02T03:24:21Z,ACA426,"44.868011,-75.362694",30668,530,69
1554175525,2019-04-02T03:25:25Z,ACA426,"44.930191,-75.14563",26551,527,67
1554175584,2019-04-02T03:26:24Z,ACA426,"44.980656,-74.96962",23837,516,67
1554175653,2019-04-02T03:27:33Z,ACA426,"45.055008,-74.761978",20293,484,59
1554175713,2019-04-02T03:28:33Z,ACA426,"45.121975,-74.605286",17525,468,58
1554175744,2019-04-02T03:29:04Z,ACA426,"45.152328,-74.533279",16125,450,58
1554175776,2019-04-02T03:29:36Z,ACA426,"45.193069,-74.441895",14393,450,56
1554175809,2019-04-02T03:30:09Z,ACA426,"45.227943,-74.364212",13025,436,56
1554175840,2019-04-02T03:30:40Z,ACA426,"45.261177,-74.289032",11625,418,56
1554175858,2019-04-02T03:30:58Z,ACA426,"45.272236,-74.264053",10932,408,56
1554175872,2019-04-02T03:31:12Z,ACA426,"45.293476,-74.219963",10328,400,54
1554175884,2019-04-02T03:31:24Z,ACA426,"45.306717,-74.196831",10274,389,50
1554175896,2019-04-02T03:31:36Z,ACA426,"45.31992,-74.175911",10275,381,48
1554175909,2019-04-02T03:31:49Z,ACA426,"45.334206,-74.154343",10275,363,46
1554175921,2019-04-02T03:32:01Z,ACA426,"45.347969,-74.134308",10175,353,44
1554175933,2019-04-02T03:32:13Z,ACA426,"45.359505,-74.118469",10075,340,44
1554175945,2019-04-02T03:32:25Z,ACA426,"45.372482,-74.100235",9876,332,44
1554175956,2019-04-02T03:32:36Z,ACA426,"45.385117,-74.082649",9600,313,43
1554175968,2019-04-02T03:32:48Z,ACA426,"45.397224,-74.065582",9260,307,43
1554175981,2019-04-02T03:33:01Z,ACA426,"45.407925,-74.05024",8931,296,44
1554175993,2019-04-02T03:33:13Z,ACA426,"45.418907,-74.034111",8599,293,44
1554176005,2019-04-02T03:33:25Z,ACA426,"45.429596,-74.019661",8275,282,42
1554176018,2019-04-02T03:33:38Z,ACA426,"45.441799,-74.000992",7862,289,47
1554176029,2019-04-02T03:33:49Z,ACA426,"45.452656,-73.984367",7535,289,46
1554176041,2019-04-02T03:34:01Z,ACA426,"45.463181,-73.968155",7274,289,46
1554176052,2019-04-02T03:34:12Z,ACA426,"45.474445,-73.950394",7054,289,46
1554176066,2019-04-02T03:34:26Z,ACA426,"45.485371,-73.93367",6794,289,46
1554176080,2019-04-02T03:34:40Z,ACA426,"45.499477,-73.911942",6297,285,46
1554176092,2019-04-02T03:34:52Z,ACA426,"45.509869,-73.895706",6002,281,46
1554176110,2019-04-02T03:35:10Z,ACA426,"45.52396,-73.873894",5440,280,46
1554176120,2019-04-02T03:35:20Z,ACA426,"45.534321,-73.857674",5100,280,46
1554176132,2019-04-02T03:35:32Z,ACA426,"45.545418,-73.840408",4736,280,46
1554176140,2019-04-02T03:35:40Z,ACA426,"45.552635,-73.829239",4550,280,46
1554176152,2019-04-02T03:35:52Z,ACA426,"45.562454,-73.813972",4400,280,46
1554176166,2019-04-02T03:36:06Z,ACA426,"45.573063,-73.797554",4275,276,46
1554176174,2019-04-02T03:36:14Z,ACA426,"45.57972,-73.787201",4197,273,46
1554176181,2019-04-02T03:36:21Z,ACA426,"45.583473,-73.78141",4150,273,46
1554176192,2019-04-02T03:36:32Z,ACA426,"45.596489,-73.761131",3977,267,46
1554176201,2019-04-02T03:36:41Z,ACA426,"45.59935,-73.756668",3940,267,46
1554176209,2019-04-02T03:36:49Z,ACA426,"45.609104,-73.7416",3825,267,46
1554176217,2019-04-02T03:36:57Z,ACA426,"45.611954,-73.737175",3783,256,46
1554176226,2019-04-02T03:37:06Z,ACA426,"45.620682,-73.723579",3725,253,46
1554176233,2019-04-02T03:37:13Z,ACA426,"45.625763,-73.715584",3700,243,46
1554176241,2019-04-02T03:37:21Z,ACA426,"45.631462,-73.706787",3699,233,46
1554176256,2019-04-02T03:37:36Z,ACA426,"45.639908,-73.693687",3700,230,46
1554176268,2019-04-02T03:37:48Z,ACA426,"45.645859,-73.684448",3700,230,46
1554176274,2019-04-02T03:37:54Z,ACA426,"45.654148,-73.671463",3700,230,46
1554176281,2019-04-02T03:38:01Z,ACA426,"45.660789,-73.66185",3700,222,44
1554176289,2019-04-02T03:38:09Z,ACA426,"45.665604,-73.655243",3697,217,43
1554176296,2019-04-02T03:38:16Z,ACA426,"45.671585,-73.647011",3700,218,43
1554176310,2019-04-02T03:38:30Z,ACA426,"45.679909,-73.636147",3700,218,42
1554176317,2019-04-02T03:38:37Z,ACA426,"45.684258,-73.630379",3700,218,42
1554176329,2019-04-02T03:38:49Z,ACA426,"45.691898,-73.620323",3650,218,42
1554176337,2019-04-02T03:38:57Z,ACA426,"45.701942,-73.607246",3425,218,42
1554176358,2019-04-02T03:39:18Z,ACA426,"45.71085,-73.596161",3150,212,40
1554176365,2019-04-02T03:39:25Z,ACA426,"45.718868,-73.584549",2900,212,40
1554176374,2019-04-02T03:39:34Z,ACA426,"45.725544,-73.569748",2750,211,49
1554176384,2019-04-02T03:39:44Z,ACA426,"45.726551,-73.564827",2725,210,64
1554176413,2019-04-02T03:40:13Z,ACA426,"45.724209,-73.524384",2700,210,94
1554176434,2019-04-02T03:40:34Z,ACA426,"45.713608,-73.505142",2699,227,130
1554176444,2019-04-02T03:40:44Z,ACA426,"45.708027,-73.493584",2700,227,130
1554176458,2019-04-02T03:40:58Z,ACA426,"45.687481,-73.485611",2725,252,165
1554176470,2019-04-02T03:41:10Z,ACA426,"45.675083,-73.483513",2700,252,165
1554176494,2019-04-02T03:41:34Z,ACA426,"45.651928,-73.484993",2700,259,183
1554176502,2019-04-02T03:41:42Z,ACA426,"45.643673,-73.49041",2700,259,199
1554176510,2019-04-02T03:41:50Z,ACA426,"45.636448,-73.495369",2700,243,204
1554176516,2019-04-02T03:41:56Z,ACA426,"45.632668,-73.497818",2700,243,204
1554176524,2019-04-02T03:42:04Z,ACA426,"45.624596,-73.503685",2700,243,204
1554176533,2019-04-02T03:42:13Z,ACA426,"45.621284,-73.506966",2700,221,213
1554176541,2019-04-02T03:42:21Z,ACA426,"45.616196,-73.511078",2700,200,210
1554176550,2019-04-02T03:42:30Z,ACA426,"45.6087,-73.520691",2700,188,214
1554176556,2019-04-02T03:42:36Z,ACA426,"45.606228,-73.525063",2700,188,227
1554176574,2019-04-02T03:42:54Z,ACA426,"45.602463,-73.530342",2700,176,225
1554176586,2019-04-02T03:43:06Z,ACA426,"45.590488,-73.550102",2700,181,242
1554176611,2019-04-02T03:43:31Z,ACA426,"45.589298,-73.553825",2700,181,242
1554176622,2019-04-02T03:43:42Z,ACA426,"45.576965,-73.569695",2700,181,242
1554176629,2019-04-02T03:43:49Z,ACA426,"45.572258,-73.578613",2625,181,242
1554176641,2019-04-02T03:44:01Z,ACA426,"45.566631,-73.591476",2435,156,239
1554176658,2019-04-02T03:44:18Z,ACA426,"45.563789,-73.597229",2331,149,236
1554176673,2019-04-02T03:44:33Z,ACA426,"45.557064,-73.607773",2100,149,236
1554176680,2019-04-02T03:44:40Z,ACA426,"45.550053,-73.618515",1899,149,236
1554176688,2019-04-02T03:44:48Z,ACA426,"45.546597,-73.623795",1800,141,231
1554176697,2019-04-02T03:44:57Z,ACA426,"45.545349,-73.625687",1749,136,228
1554176704,2019-04-02T03:45:04Z,ACA426,"45.540348,-73.632942",1625,133,226
1554176716,2019-04-02T03:45:16Z,ACA426,"45.535366,-73.639847",1475,124,224
1554176726,2019-04-02T03:45:26Z,ACA426,"45.534069,-73.64164",1450,124,224
1554176732,2019-04-02T03:45:32Z,ACA426,"45.528816,-73.648743",1325,124,224
1554176744,2019-04-02T03:45:44Z,ACA426,"45.527714,-73.650169",1282,118,223
1554176754,2019-04-02T03:45:54Z,ACA426,"45.52113,-73.658905",1125,118,223
1554176770,2019-04-02T03:46:10Z,ACA426,"45.517281,-73.663803",975,108,222
1554176780,2019-04-02T03:46:20Z,ACA426,"45.513889,-73.668427",874,108,223
1554176789,2019-04-02T03:46:29Z,ACA426,"45.509472,-73.674339",749,108,223
1554176808,2019-04-02T03:46:48Z,ACA426,"45.504848,-73.680298",625,108,223
