Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1554251685,2019-04-03T00:34:45Z,ACA426,"43.682602,-79.616623",0,0,239
1554251885,2019-04-03T00:38:05Z,ACA426,"43.682606,-79.616631",0,0,89
1554251919,2019-04-03T00:38:39Z,ACA426,"43.682407,-79.61689",0,10,56
1554251951,2019-04-03T00:39:11Z,ACA426,"43.68219,-79.617264",0,10,135
1554251973,2019-04-03T00:39:33Z,ACA426,"43.68235,-79.617477",0,9,163
1554252210,2019-04-03T00:43:30Z,ACA426,"43.681034,-79.619003",0,20,225
1554252217,2019-04-03T00:43:37Z,ACA426,"43.680885,-79.619232",0,20,227
1554252231,2019-04-03T00:43:51Z,ACA426,"43.680592,-79.619652",0,19,225
1554252242,2019-04-03T00:44:02Z,ACA426,"43.680359,-79.619835",0,17,208
1554252260,2019-04-03T00:44:20Z,ACA426,"43.680058,-79.619934",0,15,194
1554252275,2019-04-03T00:44:35Z,ACA426,"43.679729,-79.620232",0,21,225
1554252284,2019-04-03T00:44:44Z,ACA426,"43.679501,-79.620552",0,21,225
1554252303,2019-04-03T00:45:03Z,ACA426,"43.679047,-79.621239",0,20,227
1554252315,2019-04-03T00:45:15Z,ACA426,"43.678619,-79.621498",0,25,177
1554252321,2019-04-03T00:45:21Z,ACA426,"43.678394,-79.621307",0,28,137
1554252327,2019-04-03T00:45:27Z,ACA426,"43.678173,-79.621025",0,26,135
1554252359,2019-04-03T00:45:59Z,ACA426,"43.677021,-79.619537",0,27,135
1554252368,2019-04-03T00:46:08Z,ACA426,"43.676788,-79.619247",0,28,135
1554252377,2019-04-03T00:46:17Z,ACA426,"43.676346,-79.618652",0,27,137
1554252386,2019-04-03T00:46:26Z,ACA426,"43.676006,-79.618217",0,28,135
1554252406,2019-04-03T00:46:46Z,ACA426,"43.675289,-79.617279",0,32,137
1554252414,2019-04-03T00:46:54Z,ACA426,"43.674892,-79.61676",0,33,137
1554252420,2019-04-03T00:47:00Z,ACA426,"43.674587,-79.616364",0,15,137
1554252490,2019-04-03T00:48:10Z,ACA426,"43.671673,-79.612556",0,24,135
1554252499,2019-04-03T00:48:19Z,ACA426,"43.671421,-79.612198",0,26,126
1554252505,2019-04-03T00:48:25Z,ACA426,"43.671444,-79.611679",0,31,70
1554252511,2019-04-03T00:48:31Z,ACA426,"43.67165,-79.611359",0,30,42
1554252517,2019-04-03T00:48:37Z,ACA426,"43.671898,-79.610985",0,30,46
1554252523,2019-04-03T00:48:43Z,ACA426,"43.672131,-79.610657",0,29,47
1554252530,2019-04-03T00:48:50Z,ACA426,"43.672352,-79.610336",0,27,44
1554252541,2019-04-03T00:49:01Z,ACA426,"43.672844,-79.609779",0,28,47
1554252551,2019-04-03T00:49:11Z,ACA426,"43.673111,-79.609207",0,29,47
1554252566,2019-04-03T00:49:26Z,ACA426,"43.673679,-79.608376",0,29,47
1554252573,2019-04-03T00:49:33Z,ACA426,"43.673962,-79.607971",0,29,47
1554252580,2019-04-03T00:49:40Z,ACA426,"43.674217,-79.607605",0,28,47
1554252588,2019-04-03T00:49:48Z,ACA426,"43.674438,-79.607292",0,28,47
1554252597,2019-04-03T00:49:57Z,ACA426,"43.674797,-79.606773",0,24,47
1554252609,2019-04-03T00:50:09Z,ACA426,"43.675072,-79.606361",0,23,45
1554252617,2019-04-03T00:50:17Z,ACA426,"43.675381,-79.605942",0,27,47
1554252623,2019-04-03T00:50:23Z,ACA426,"43.675541,-79.60569",0,28,43
1554252629,2019-04-03T00:50:29Z,ACA426,"43.675823,-79.605286",0,29,47
1554252642,2019-04-03T00:50:42Z,ACA426,"43.6763,-79.604614",0,31,47
1554252652,2019-04-03T00:50:52Z,ACA426,"43.676823,-79.603828",0,33,43
