Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1554338867,2019-04-04T00:47:47Z,ACA426,"43.869854,-79.559853",1025,160,12
1554338891,2019-04-04T00:48:11Z,ACA426,"43.576771,-79.699074",4331,476,203
1554338899,2019-04-04T00:48:19Z,ACA426,"43.562622,-79.707573",4650,433,204
1554338912,2019-04-04T00:48:32Z,ACA426,"43.548054,-79.714729",5014,342,199
1554338918,2019-04-04T00:48:38Z,ACA426,"43.540276,-79.71566",5150,293,188
1554338924,2019-04-04T00:48:44Z,ACA426,"43.535179,-79.715363",5217,293,188
1554338930,2019-04-04T00:48:50Z,ACA426,"43.528866,-79.710854",5338,263,174
1554338938,2019-04-04T00:48:58Z,ACA426,"43.522274,-79.703568",5475,241,151
1554338947,2019-04-04T00:49:07Z,ACA426,"43.517033,-79.693222",5611,240,139
1554338954,2019-04-04T00:49:14Z,ACA426,"43.511726,-79.68084",5760,252,123
1554338962,2019-04-04T00:49:22Z,ACA426,"43.507343,-79.666901",5888,267,117
1554338970,2019-04-04T00:49:30Z,ACA426,"43.50267,-79.651505",6024,284,114
1554338978,2019-04-04T00:49:38Z,ACA426,"43.498531,-79.635284",6150,302,111
1554338991,2019-04-04T00:49:51Z,ACA426,"43.49361,-79.609306",6328,334,104
1554338998,2019-04-04T00:49:58Z,ACA426,"43.491615,-79.591156",6463,344,99
1554339006,2019-04-04T00:50:06Z,ACA426,"43.491505,-79.573296",6582,358,92
1554339012,2019-04-04T00:50:12Z,ACA426,"43.4916,-79.56295",6650,358,92
1554339019,2019-04-04T00:50:19Z,ACA426,"43.493744,-79.543869",6675,362,86
1554339026,2019-04-04T00:50:26Z,ACA426,"43.497143,-79.525391",6699,369,80
1554339034,2019-04-04T00:50:34Z,ACA426,"43.50135,-79.507118",6700,373,75
1554339043,2019-04-04T00:50:43Z,ACA426,"43.506023,-79.487801",6749,379,71
1554339050,2019-04-04T00:50:50Z,ACA426,"43.51107,-79.470337",6930,379,69
1554339056,2019-04-04T00:50:56Z,ACA426,"43.513607,-79.462067",7061,375,68
1554339066,2019-04-04T00:51:06Z,ACA426,"43.521526,-79.43573",7642,373,67
1554339078,2019-04-04T00:51:18Z,ACA426,"43.52692,-79.417618",8075,367,67
1554339095,2019-04-04T00:51:35Z,ACA426,"43.53046,-79.403397",8411,367,67
1554339107,2019-04-04T00:51:47Z,ACA426,"43.544907,-79.353577",9700,368,61
1554339119,2019-04-04T00:51:59Z,ACA426,"43.553871,-79.328712",10322,360,63
1554339132,2019-04-04T00:52:12Z,ACA426,"43.559246,-79.313484",10550,356,62
1554339147,2019-04-04T00:52:27Z,ACA426,"43.569752,-79.280815",10856,353,62
1554339163,2019-04-04T00:52:43Z,ACA426,"43.580059,-79.24778",11100,354,65
1554339175,2019-04-04T00:52:55Z,ACA426,"43.588825,-79.220352",11300,356,65
1554339187,2019-04-04T00:53:07Z,ACA426,"43.593899,-79.204079",11400,356,65
1554339200,2019-04-04T00:53:20Z,ACA426,"43.608299,-79.157219",11674,393,65
