Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1551974092,2019-03-07T15:54:52Z,AIC173,"13.201366,77.71312",0,0,124
1551974126,2019-03-07T15:55:26Z,AIC173,"13.201702,77.713043",0,9,168
1551974150,2019-03-07T15:55:50Z,AIC173,"13.20197,77.712952",0,9,171
1551974175,2019-03-07T15:56:15Z,AIC173,"13.202261,77.712875",0,9,236
1551974187,2019-03-07T15:56:27Z,AIC173,"13.201796,77.713036",0,2,264
1551974224,2019-03-07T15:57:04Z,AIC173,"13.202385,77.712868",0,11,270
1551974369,2019-03-07T15:59:29Z,AIC173,"13.202377,77.712463",0,11,270
1551974390,2019-03-07T15:59:50Z,AIC173,"13.202459,77.711937",0,17,289
1551974400,2019-03-07T16:00:00Z,AIC173,"13.202692,77.711746",0,19,334
1551974418,2019-03-07T16:00:18Z,AIC173,"13.203495,77.711746",0,25,1
1551974425,2019-03-07T16:00:25Z,AIC173,"13.203774,77.711746",0,25,2
1551974437,2019-03-07T16:00:37Z,AIC173,"13.204356,77.711754",0,28,1
1551974449,2019-03-07T16:00:49Z,AIC173,"13.204973,77.711815",0,23,19
1551974455,2019-03-07T16:00:55Z,AIC173,"13.205166,77.712029",0,26,61
1551974461,2019-03-07T16:01:01Z,AIC173,"13.205212,77.712334",0,27,84
1551974467,2019-03-07T16:01:07Z,AIC173,"13.205212,77.7127",0,30,90
1551974473,2019-03-07T16:01:13Z,AIC173,"13.205212,77.71312",0,32,90
1551974482,2019-03-07T16:01:22Z,AIC173,"13.2052,77.713745",0,15,90
1551974491,2019-03-07T16:01:31Z,AIC173,"13.205194,77.714439",0,17,90
1551974503,2019-03-07T16:01:43Z,AIC173,"13.205189,77.715424",0,16,90
1551974509,2019-03-07T16:01:49Z,AIC173,"13.205171,77.715935",0,16,90
1551974520,2019-03-07T16:02:00Z,AIC173,"13.205166,77.716896",0,17,90
1551974527,2019-03-07T16:02:07Z,AIC173,"13.205171,77.717354",0,30,90
1551974540,2019-03-07T16:02:20Z,AIC173,"13.205159,77.71785",0,19,92
1551974551,2019-03-07T16:02:31Z,AIC173,"13.205148,77.718246",0,14,90
1551974563,2019-03-07T16:02:43Z,AIC173,"13.205135,77.718498",0,13,90
1551974727,2019-03-07T16:05:27Z,AIC173,"13.205143,77.718765",0,9,90
1551974743,2019-03-07T16:05:43Z,AIC173,"13.205143,77.719086",0,15,90
1551974755,2019-03-07T16:05:55Z,AIC173,"13.205148,77.71949",0,20,90
1551974761,2019-03-07T16:06:01Z,AIC173,"13.205148,77.719742",0,23,90
1551974767,2019-03-07T16:06:07Z,AIC173,"13.205143,77.720047",0,25,90
1551974773,2019-03-07T16:06:13Z,AIC173,"13.205135,77.720261",0,25,90
1551974788,2019-03-07T16:06:28Z,AIC173,"13.205143,77.720718",0,9,90
1551974891,2019-03-07T16:08:11Z,AIC173,"13.205154,77.720993",0,10,90
1551974902,2019-03-07T16:08:22Z,AIC173,"13.205143,77.721207",0,14,90
1551974913,2019-03-07T16:08:33Z,AIC173,"13.205132,77.721535",0,19,90
1551974919,2019-03-07T16:08:39Z,AIC173,"13.205135,77.721756",0,15,90
1551974936,2019-03-07T16:08:56Z,AIC173,"13.205124,77.722023",0,2,90
1551975022,2019-03-07T16:10:22Z,AIC173,"13.205132,77.722115",0,0,74
