Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552062675,2019-03-08T16:31:15Z,AIC173,"13.201889,77.711815",0,10,180
1552062695,2019-03-08T16:31:35Z,AIC173,"13.202133,77.711777",0,10,208
1552062720,2019-03-08T16:32:00Z,AIC173,"13.202374,77.711899",0,9,267
1552062739,2019-03-08T16:32:19Z,AIC173,"13.202377,77.71212",0,10,270
1552062867,2019-03-08T16:34:27Z,AIC173,"13.202374,77.712395",0,0,91
1552063002,2019-03-08T16:36:42Z,AIC173,"13.202385,77.712135",0,0,91
1552063057,2019-03-08T16:37:37Z,AIC173,"13.202401,77.71225",0,14,281
1552063066,2019-03-08T16:37:46Z,AIC173,"13.202522,77.712013",0,21,295
1552063072,2019-03-08T16:37:52Z,AIC173,"13.202625,77.711807",0,22,295
1552063121,2019-03-08T16:38:41Z,AIC173,"13.202808,77.709465",0,29,270
1552063127,2019-03-08T16:38:47Z,AIC173,"13.202808,77.709129",0,33,270
1552063133,2019-03-08T16:38:53Z,AIC173,"13.202808,77.708656",0,15,270
1552063139,2019-03-08T16:38:59Z,AIC173,"13.202808,77.708168",0,16,270
1552063146,2019-03-08T16:39:06Z,AIC173,"13.20282,77.707649",0,17,270
1552063157,2019-03-08T16:39:17Z,AIC173,"13.202843,77.706635",0,19,270
1552063164,2019-03-08T16:39:24Z,AIC173,"13.202855,77.706047",0,18,272
1552063172,2019-03-08T16:39:32Z,AIC173,"13.202854,77.705284",0,16,267
1552063192,2019-03-08T16:39:52Z,AIC173,"13.202854,77.70388",0,34,270
1552063199,2019-03-08T16:39:59Z,AIC173,"13.202854,77.703407",0,15,270
1552063212,2019-03-08T16:40:12Z,AIC173,"13.202866,77.702248",0,20,270
1552063225,2019-03-08T16:40:25Z,AIC173,"13.202878,77.701035",0,21,270
1552063242,2019-03-08T16:40:42Z,AIC173,"13.202889,77.699158",0,21,270
1552063248,2019-03-08T16:40:48Z,AIC173,"13.202901,77.698616",0,22,270
1552063258,2019-03-08T16:40:58Z,AIC173,"13.202901,77.697502",0,22,270
1552063269,2019-03-08T16:41:09Z,AIC173,"13.202913,77.696388",0,23,270
1552063275,2019-03-08T16:41:15Z,AIC173,"13.202923,77.695633",0,23,270
1552063284,2019-03-08T16:41:24Z,AIC173,"13.202925,77.694603",0,20,270
1552063301,2019-03-08T16:41:41Z,AIC173,"13.203146,77.693443",0,33,309
1552063311,2019-03-08T16:41:51Z,AIC173,"13.20382,77.693336",0,32,355
1552063326,2019-03-08T16:42:06Z,AIC173,"13.204705,77.693352",0,32,1
1552063332,2019-03-08T16:42:12Z,AIC173,"13.205159,77.693275",0,31,340
1552063338,2019-03-08T16:42:18Z,AIC173,"13.205372,77.693001",0,29,295
1552063345,2019-03-08T16:42:25Z,AIC173,"13.205395,77.692688",0,28,272
1552063351,2019-03-08T16:42:31Z,AIC173,"13.205406,77.692329",0,32,270
1552063357,2019-03-08T16:42:37Z,AIC173,"13.205403,77.691818",0,16,270
1552063405,2019-03-08T16:43:25Z,AIC173,"13.20545,77.68737",0,33,270
1552063448,2019-03-08T16:44:08Z,AIC173,"13.20545,77.686745",0,2,270
1552063518,2019-03-08T16:45:18Z,AIC173,"13.205475,77.686447",0,15,278
1552063535,2019-03-08T16:45:35Z,AIC173,"13.205715,77.686188",0,15,329
1552063547,2019-03-08T16:45:47Z,AIC173,"13.205939,77.68618",0,13,354
1552063682,2019-03-08T16:48:02Z,AIC173,"13.206276,77.68618",0,17,357
1552063724,2019-03-08T16:48:44Z,AIC173,"13.207172,77.687302",0,33,92
1552063736,2019-03-08T16:48:56Z,AIC173,"13.207134,77.689003",0,52,90
1552063743,2019-03-08T16:49:03Z,AIC173,"13.207126,77.691925",0,86,90
1552063750,2019-03-08T16:49:10Z,AIC173,"13.207103,77.694664",0,105,90
1552063756,2019-03-08T16:49:16Z,AIC173,"13.207067,77.698769",0,130,90
1552063763,2019-03-08T16:49:23Z,AIC173,"13.207031,77.703011",0,150,90
1552063773,2019-03-08T16:49:33Z,AIC173,"13.206963,77.711311",2950,179,90
1552063784,2019-03-08T16:49:44Z,AIC173,"13.20694,77.720551",3475,169,90
1552063791,2019-03-08T16:49:51Z,AIC173,"13.206802,77.725906",3750,166,91
1552063802,2019-03-08T16:50:02Z,AIC173,"13.206637,77.735161",4175,170,91
1552063809,2019-03-08T16:50:09Z,AIC173,"13.20645,77.740219",4375,172,92
1552063821,2019-03-08T16:50:21Z,AIC173,"13.206079,77.749855",4700,179,91
1552063832,2019-03-08T16:50:32Z,AIC173,"13.205933,77.76104",4950,193,89
1552063838,2019-03-08T16:50:38Z,AIC173,"13.206116,77.767105",5050,200,88
1552063851,2019-03-08T16:50:51Z,AIC173,"13.206436,77.778038",5250,214,87
1552063863,2019-03-08T16:51:03Z,AIC173,"13.206637,77.792213",5500,234,89
1552063876,2019-03-08T16:51:16Z,AIC173,"13.207707,77.805176",5775,242,81
1552063885,2019-03-08T16:51:25Z,AIC173,"13.211517,77.816017",6125,245,64
1552063891,2019-03-08T16:51:31Z,AIC173,"13.215454,77.822037",6425,243,54
1552063897,2019-03-08T16:51:37Z,AIC173,"13.219858,77.826714",6725,241,43
1552063903,2019-03-08T16:51:43Z,AIC173,"13.225025,77.830711",7025,240,35
1552063912,2019-03-08T16:51:52Z,AIC173,"13.234801,77.835342",7450,241,19
