Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552148705,2019-03-09T16:25:05Z,AIC173,"13.202389,77.710663",0,31,270
1552148715,2019-03-09T16:25:15Z,AIC173,"13.202389,77.710022",0,33,270
1552148722,2019-03-09T16:25:22Z,AIC173,"13.202401,77.70948",0,15,270
1552148728,2019-03-09T16:25:28Z,AIC173,"13.202413,77.708939",0,16,270
1552148735,2019-03-09T16:25:35Z,AIC173,"13.202408,77.708572",0,16,270
1552148747,2019-03-09T16:25:47Z,AIC173,"13.202419,77.707436",0,18,270
1552148753,2019-03-09T16:25:53Z,AIC173,"13.202435,77.706841",0,20,270
1552148759,2019-03-09T16:25:59Z,AIC173,"13.202431,77.70636",0,22,270
1552148766,2019-03-09T16:26:06Z,AIC173,"13.202435,77.705589",0,23,270
1552148774,2019-03-09T16:26:14Z,AIC173,"13.202442,77.704544",0,23,270
1552148797,2019-03-09T16:26:37Z,AIC173,"13.202465,77.702354",0,16,270
1552148813,2019-03-09T16:26:53Z,AIC173,"13.202482,77.701035",0,19,270
1552148824,2019-03-09T16:27:04Z,AIC173,"13.202488,77.699989",0,21,270
1552148832,2019-03-09T16:27:12Z,AIC173,"13.202488,77.699135",0,22,270
1552148838,2019-03-09T16:27:18Z,AIC173,"13.202506,77.698395",0,22,270
1552148849,2019-03-09T16:27:29Z,AIC173,"13.202518,77.697243",0,22,270
1552148857,2019-03-09T16:27:37Z,AIC173,"13.202522,77.696404",0,23,270
1552148863,2019-03-09T16:27:43Z,AIC173,"13.202529,77.695732",0,23,270
1552148873,2019-03-09T16:27:53Z,AIC173,"13.202534,77.694672",0,23,270
1552148884,2019-03-09T16:28:04Z,AIC173,"13.202557,77.693718",0,31,278
1552148903,2019-03-09T16:28:23Z,AIC173,"13.203243,77.693321",0,25,2
1552148913,2019-03-09T16:28:33Z,AIC173,"13.203838,77.693336",0,30,1
1552148925,2019-03-09T16:28:45Z,AIC173,"13.204624,77.693352",0,34,1
1552148931,2019-03-09T16:28:51Z,AIC173,"13.205054,77.693268",0,33,343
1552148938,2019-03-09T16:28:58Z,AIC173,"13.205392,77.692879",0,32,292
1552148947,2019-03-09T16:29:07Z,AIC173,"13.205406,77.692398",0,32,270
1552148954,2019-03-09T16:29:14Z,AIC173,"13.205403,77.691841",0,15,270
1552148961,2019-03-09T16:29:21Z,AIC173,"13.205403,77.691299",0,16,270
1552148982,2019-03-09T16:29:42Z,AIC173,"13.205427,77.689575",0,18,270
1552149000,2019-03-09T16:30:00Z,AIC173,"13.205441,77.6884",0,20,270
1552149257,2019-03-09T16:34:17Z,AIC173,"13.205452,77.687477",0,19,270
1552149278,2019-03-09T16:34:38Z,AIC173,"13.20545,77.686844",0,2,270
1552149404,2019-03-09T16:36:44Z,AIC173,"13.20545,77.686745",0,12,272
1552149417,2019-03-09T16:36:57Z,AIC173,"13.205463,77.686478",0,18,272
1552149431,2019-03-09T16:37:11Z,AIC173,"13.205761,77.686172",0,16,340
1552149534,2019-03-09T16:38:54Z,AIC173,"13.206056,77.686172",0,17,356
1552149541,2019-03-09T16:39:01Z,AIC173,"13.206323,77.68618",0,24,2
1552149557,2019-03-09T16:39:17Z,AIC173,"13.207033,77.686279",0,24,25
1552149588,2019-03-09T16:39:48Z,AIC173,"13.207126,77.691002",0,80,90
1552149598,2019-03-09T16:39:58Z,AIC173,"13.207079,77.695938",0,120,90
1552149605,2019-03-09T16:40:05Z,AIC173,"13.207043,77.701065",0,150,90
1552149612,2019-03-09T16:40:12Z,AIC173,"13.207009,77.706314",0,0,90
1552149661,2019-03-09T16:41:01Z,AIC173,"13.207289,77.747833",4800,172,90
1552149667,2019-03-09T16:41:07Z,AIC173,"13.207214,77.753136",4975,176,90
1552149673,2019-03-09T16:41:13Z,AIC173,"13.207103,77.757568",5150,180,91
1552149685,2019-03-09T16:41:25Z,AIC173,"13.206777,77.76841",5525,186,92
1552149698,2019-03-09T16:41:38Z,AIC173,"13.206264,77.779152",5950,190,92
1552149723,2019-03-09T16:42:03Z,AIC173,"13.20932,77.801338",6825,197,69
1552149731,2019-03-09T16:42:11Z,AIC173,"13.213992,77.808792",7125,200,51
