Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552405057,2019-03-12T15:37:37Z,AIC173,"13.201784,77.71167",0,0,180
1552405480,2019-03-12T15:44:40Z,AIC173,"13.20171,77.711815",0,0,119
1552405499,2019-03-12T15:44:59Z,AIC173,"13.201784,77.711586",0,0,298
1552405565,2019-03-12T15:46:05Z,AIC173,"13.201726,77.711807",0,0,121
1552405669,2019-03-12T15:47:49Z,AIC173,"13.201737,77.71167",0,0,271
1552406004,2019-03-12T15:53:24Z,AIC173,"13.201796,77.711876",0,2,180
1552406026,2019-03-12T15:53:46Z,AIC173,"13.202005,77.711807",0,2,180
1552406057,2019-03-12T15:54:17Z,AIC173,"13.202282,77.711777",0,2,239
1552406085,2019-03-12T15:54:45Z,AIC173,"13.202042,77.711792",0,0,117
1552406332,2019-03-12T15:58:52Z,AIC173,"13.202366,77.711693",0,14,270
1552406350,2019-03-12T15:59:10Z,AIC173,"13.202374,77.711143",0,22,270
1552406365,2019-03-12T15:59:25Z,AIC173,"13.202377,77.710434",0,26,270
1552406371,2019-03-12T15:59:31Z,AIC173,"13.202374,77.710091",0,28,270
1552406382,2019-03-12T15:59:42Z,AIC173,"13.202385,77.70945",0,31,270
1552406390,2019-03-12T15:59:50Z,AIC173,"13.202385,77.708923",0,34,270
1552406401,2019-03-12T16:00:01Z,AIC173,"13.202396,77.708061",0,16,270
1552406407,2019-03-12T16:00:07Z,AIC173,"13.202401,77.707565",0,17,270
1552406413,2019-03-12T16:00:13Z,AIC173,"13.202401,77.707001",0,18,270
1552406419,2019-03-12T16:00:19Z,AIC173,"13.202408,77.706421",0,19,270
1552406427,2019-03-12T16:00:27Z,AIC173,"13.202419,77.705673",0,20,270
1552406437,2019-03-12T16:00:37Z,AIC173,"13.202431,77.704643",0,21,270
1552406443,2019-03-12T16:00:43Z,AIC173,"13.202435,77.704056",0,22,270
1552406449,2019-03-12T16:00:49Z,AIC173,"13.202431,77.703575",0,22,270
1552406456,2019-03-12T16:00:56Z,AIC173,"13.202442,77.702782",0,22,270
1552406492,2019-03-12T16:01:32Z,AIC173,"13.202482,77.698906",0,21,270
1552406498,2019-03-12T16:01:38Z,AIC173,"13.202482,77.698288",0,22,270
1552406504,2019-03-12T16:01:44Z,AIC173,"13.202488,77.69767",0,23,270
1552406510,2019-03-12T16:01:50Z,AIC173,"13.202488,77.696877",0,23,270
1552406518,2019-03-12T16:01:58Z,AIC173,"13.202499,77.696144",0,19,270
1552406525,2019-03-12T16:02:05Z,AIC173,"13.202511,77.695419",0,21,270
1552406531,2019-03-12T16:02:11Z,AIC173,"13.202511,77.694839",0,20,270
1552406537,2019-03-12T16:02:17Z,AIC173,"13.202522,77.69426",0,34,272
1552406550,2019-03-12T16:02:30Z,AIC173,"13.202545,77.693665",0,24,278
1552406565,2019-03-12T16:02:45Z,AIC173,"13.203117,77.693321",0,26,347
1552406578,2019-03-12T16:02:58Z,AIC173,"13.203797,77.693336",0,30,1
1552406591,2019-03-12T16:03:11Z,AIC173,"13.2046,77.693336",0,34,1
1552406597,2019-03-12T16:03:17Z,AIC173,"13.204948,77.693344",0,24,1
1552406609,2019-03-12T16:03:29Z,AIC173,"13.20536,77.693085",0,23,295
1552406617,2019-03-12T16:03:37Z,AIC173,"13.205372,77.692711",0,25,270
1552406624,2019-03-12T16:03:44Z,AIC173,"13.205392,77.692337",0,28,270
1552406633,2019-03-12T16:03:53Z,AIC173,"13.205392,77.69178",0,31,270
1552406639,2019-03-12T16:03:59Z,AIC173,"13.205395,77.691406",0,34,270
1552406652,2019-03-12T16:04:12Z,AIC173,"13.205406,77.690529",0,29,270
1552406688,2019-03-12T16:04:48Z,AIC173,"13.205415,77.688942",0,16,270
1552406755,2019-03-12T16:05:55Z,AIC173,"13.205427,77.688377",0,15,270
1552406803,2019-03-12T16:06:43Z,AIC173,"13.205439,77.686737",0,9,272
1552407004,2019-03-12T16:10:04Z,AIC173,"13.205473,77.686531",0,17,284
1552407017,2019-03-12T16:10:17Z,AIC173,"13.205738,77.686218",0,20,329
1552407029,2019-03-12T16:10:29Z,AIC173,"13.206125,77.686172",0,11,354
1552407198,2019-03-12T16:13:18Z,AIC173,"13.206596,77.686188",0,20,5
1552407208,2019-03-12T16:13:28Z,AIC173,"13.20694,77.686325",0,23,28
1552407243,2019-03-12T16:14:03Z,AIC173,"13.207146,77.688255",0,39,87
1552407250,2019-03-12T16:14:10Z,AIC173,"13.207123,77.690361",0,70,90
1552407261,2019-03-12T16:14:21Z,AIC173,"13.207067,77.696358",0,120,90
1552407268,2019-03-12T16:14:28Z,AIC173,"13.207031,77.700272",0,140,90
1552407274,2019-03-12T16:14:34Z,AIC173,"13.206998,77.704735",0,160,90
1552407281,2019-03-12T16:14:41Z,AIC173,"13.20694,77.709991",2850,179,90
1552407290,2019-03-12T16:14:50Z,AIC173,"13.206894,77.717194",3200,174,90
1552407310,2019-03-12T16:15:10Z,AIC173,"13.206985,77.73452",4050,171,90
1552407316,2019-03-12T16:15:16Z,AIC173,"13.206963,77.739693",4300,170,90
1552407322,2019-03-12T16:15:22Z,AIC173,"13.20687,77.744705",4525,170,90
1552407328,2019-03-12T16:15:28Z,AIC173,"13.206823,77.749474",4675,175,90
1552407334,2019-03-12T16:15:34Z,AIC173,"13.206757,77.754272",4800,182,90
1552407341,2019-03-12T16:15:41Z,AIC173,"13.206684,77.760025",4925,190,90
1552407347,2019-03-12T16:15:47Z,AIC173,"13.206591,77.765854",5050,200,90
1552407358,2019-03-12T16:15:58Z,AIC173,"13.206436,77.777664",5300,217,90
1552407392,2019-03-12T16:16:32Z,AIC173,"13.21344,77.815407",6175,270,61
1552407399,2019-03-12T16:16:39Z,AIC173,"13.218384,77.8218",6400,277,50
1552407407,2019-03-12T16:16:47Z,AIC173,"13.226841,77.828934",6800,284,37
1552407413,2019-03-12T16:16:53Z,AIC173,"13.23436,77.833069",7000,285,26
1552407422,2019-03-12T16:17:02Z,AIC173,"13.246532,77.836258",7225,284,10
1552407446,2019-03-12T16:17:26Z,AIC173,"13.278809,77.833069",7900,289,351
1552407452,2019-03-12T16:17:32Z,AIC173,"13.286846,77.831917",8050,290,352
1552407467,2019-03-12T16:17:47Z,AIC173,"13.306412,77.829277",8425,291,352
1552407479,2019-03-12T16:17:59Z,AIC173,"13.322479,77.827148",8750,289,352
1552407492,2019-03-12T16:18:12Z,AIC173,"13.338913,77.824921",9075,287,352
1552407503,2019-03-12T16:18:23Z,AIC173,"13.354487,77.822861",9400,286,352
1552407516,2019-03-12T16:18:36Z,AIC173,"13.371618,77.820549",9725,286,352
1552407528,2019-03-12T16:18:48Z,AIC173,"13.386978,77.818481",9950,287,352
1552407540,2019-03-12T16:19:00Z,AIC173,"13.402575,77.816353",10000,286,352
