Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552494357,2019-03-13T16:25:57Z,AIC173,"13.202385,77.71064",0,0,270
1552494381,2019-03-13T16:26:21Z,AIC173,"13.202389,77.710396",0,18,270
1552494388,2019-03-13T16:26:28Z,AIC173,"13.202389,77.71019",0,20,270
1552494394,2019-03-13T16:26:34Z,AIC173,"13.202389,77.709854",0,26,270
1552494403,2019-03-13T16:26:43Z,AIC173,"13.202401,77.709358",0,30,270
1552494410,2019-03-13T16:26:50Z,AIC173,"13.202408,77.708954",0,32,270
1552494421,2019-03-13T16:27:01Z,AIC173,"13.202408,77.708099",0,15,270
1552494428,2019-03-13T16:27:08Z,AIC173,"13.202413,77.707672",0,16,270
1552494442,2019-03-13T16:27:22Z,AIC173,"13.202431,77.706406",0,16,272
1552494457,2019-03-13T16:27:37Z,AIC173,"13.202435,77.705345",0,16,270
1552494463,2019-03-13T16:27:43Z,AIC173,"13.202442,77.704819",0,16,270
1552494472,2019-03-13T16:27:52Z,AIC173,"13.202511,77.70417",0,29,289
1552494478,2019-03-13T16:27:58Z,AIC173,"13.202717,77.703964",0,29,326
1552494484,2019-03-13T16:28:04Z,AIC173,"13.20298,77.703911",0,28,354
1552494491,2019-03-13T16:28:11Z,AIC173,"13.203415,77.703918",0,29,2
1552494498,2019-03-13T16:28:18Z,AIC173,"13.203774,77.703926",0,31,5
1552494506,2019-03-13T16:28:26Z,AIC173,"13.204287,77.703941",0,33,2
1552494515,2019-03-13T16:28:35Z,AIC173,"13.204915,77.703926",0,29,354
1552494521,2019-03-13T16:28:41Z,AIC173,"13.205223,77.703751",0,30,320
1552494527,2019-03-13T16:28:47Z,AIC173,"13.205303,77.703445",0,30,278
1552494533,2019-03-13T16:28:53Z,AIC173,"13.205303,77.703102",0,30,270
1552494539,2019-03-13T16:28:59Z,AIC173,"13.205315,77.702744",0,30,270
1552494547,2019-03-13T16:29:07Z,AIC173,"13.205315,77.702225",0,30,270
1552494557,2019-03-13T16:29:17Z,AIC173,"13.205322,77.701599",0,32,270
1552494566,2019-03-13T16:29:26Z,AIC173,"13.205326,77.700935",0,16,270
1552494573,2019-03-13T16:29:33Z,AIC173,"13.205322,77.700455",0,17,270
1552494590,2019-03-13T16:29:50Z,AIC173,"13.205338,77.698677",0,22,270
1552494598,2019-03-13T16:29:58Z,AIC173,"13.205357,77.697975",0,20,270
1552494609,2019-03-13T16:30:09Z,AIC173,"13.205369,77.696899",0,18,270
1552494618,2019-03-13T16:30:18Z,AIC173,"13.205369,77.696167",0,19,270
1552494631,2019-03-13T16:30:31Z,AIC173,"13.205372,77.694992",0,19,270
1552494642,2019-03-13T16:30:42Z,AIC173,"13.20538,77.693916",0,20,270
1552494654,2019-03-13T16:30:54Z,AIC173,"13.205403,77.69265",0,21,270
1552494660,2019-03-13T16:31:00Z,AIC173,"13.205406,77.692001",0,21,270
1552494666,2019-03-13T16:31:06Z,AIC173,"13.205418,77.691429",0,22,270
1552494802,2019-03-13T16:33:22Z,AIC173,"13.206264,77.68618",0,15,280
1552494825,2019-03-13T16:33:45Z,AIC173,"13.206928,77.686203",0,18,8
1552494834,2019-03-13T16:33:54Z,AIC173,"13.207134,77.686317",0,16,33
1552494864,2019-03-13T16:34:24Z,AIC173,"13.207157,77.687691",0,24,90
1552494872,2019-03-13T16:34:32Z,AIC173,"13.207126,77.68988",0,69,90
1552494884,2019-03-13T16:34:44Z,AIC173,"13.207088,77.695351",0,115,90
1552494890,2019-03-13T16:34:50Z,AIC173,"13.207056,77.699539",0,145,90
1552494902,2019-03-13T16:35:02Z,AIC173,"13.20694,77.709328",3100,162,90
1552494908,2019-03-13T16:35:08Z,AIC173,"13.20694,77.713257",3350,159,90
1552494930,2019-03-13T16:35:30Z,AIC173,"13.207056,77.728752",4375,149,90
1552494941,2019-03-13T16:35:41Z,AIC173,"13.206963,77.737862",4700,157,90
1552494948,2019-03-13T16:35:48Z,AIC173,"13.206894,77.742477",4800,165,90
1552494954,2019-03-13T16:35:54Z,AIC173,"13.206823,77.746872",4950,172,91
1552494973,2019-03-13T16:36:13Z,AIC173,"13.206665,77.763596",5350,195,90
1552494985,2019-03-13T16:36:25Z,AIC173,"13.206573,77.774872",5625,211,90
1552494996,2019-03-13T16:36:36Z,AIC173,"13.206482,77.787842",5975,225,90
1552495027,2019-03-13T16:37:07Z,AIC173,"13.21106,77.820015",6975,250,65
1552495036,2019-03-13T16:37:16Z,AIC173,"13.218018,77.82914",7125,263,47
1552495045,2019-03-13T16:37:25Z,AIC173,"13.228775,77.83577",7425,274,25
1552495054,2019-03-13T16:37:34Z,AIC173,"13.238898,77.838089",7825,278,9
1552495077,2019-03-13T16:37:57Z,AIC173,"13.269516,77.83506",9050,284,351
1552495100,2019-03-13T16:38:20Z,AIC173,"13.29923,77.830521",10200,287,352
1552495111,2019-03-13T16:38:31Z,AIC173,"13.314359,77.8284",10550,296,352
1552495150,2019-03-13T16:39:10Z,AIC173,"13.372284,77.82061",11800,331,352
1552495162,2019-03-13T16:39:22Z,AIC173,"13.392838,77.817818",12000,349,352
1552495196,2019-03-13T16:39:56Z,AIC173,"13.446986,77.810524",12925,370,352
1552495226,2019-03-13T16:40:26Z,AIC173,"13.499542,77.803329",13425,377,352
1552495259,2019-03-13T16:40:59Z,AIC173,"13.559037,77.805176",14200,389,8
1552495265,2019-03-13T16:41:05Z,AIC173,"13.570496,77.806976",14350,390,8
1552495301,2019-03-13T16:41:41Z,AIC173,"13.636139,77.817207",15550,401,8
1552495334,2019-03-13T16:42:14Z,AIC173,"13.698395,77.826912",16600,413,8
1552495367,2019-03-13T16:42:47Z,AIC173,"13.761214,77.836739",17700,420,8
1552495400,2019-03-13T16:43:20Z,AIC173,"13.825928,77.846848",18075,423,8
1552495462,2019-03-13T16:44:22Z,AIC173,"13.943838,77.865311",19850,432,8
1552495525,2019-03-13T16:45:25Z,AIC173,"14.073393,77.885551",21600,444,8
1552495587,2019-03-13T16:46:27Z,AIC173,"14.202072,77.905754",23350,450,8
1552495650,2019-03-13T16:47:30Z,AIC173,"14.331804,77.926071",24875,459,8
1552495681,2019-03-13T16:48:01Z,AIC173,"14.399323,77.936684",25550,463,8
1552495770,2019-03-13T16:49:30Z,AIC173,"14.588168,77.967705",27200,478,9
1552495836,2019-03-13T16:50:36Z,AIC173,"14.731316,77.991417",28600,480,7
1552495899,2019-03-13T16:51:39Z,AIC173,"14.871323,77.996567",30275,472,1
1552495960,2019-03-13T16:52:40Z,AIC173,"15.002884,77.997437",31675,468,1
1552496021,2019-03-13T16:53:41Z,AIC173,"15.139709,77.998207",33025,465,1
1552496083,2019-03-13T16:54:43Z,AIC173,"15.270577,77.998955",33975,464,1
1552496144,2019-03-13T16:55:44Z,AIC173,"15.406929,77.999542",34000,484,1
1552496208,2019-03-13T16:56:48Z,AIC173,"15.547806,78.000374",34000,478,1
1552496271,2019-03-13T16:57:51Z,AIC173,"15.689128,78.001015",34000,478,1
1552496331,2019-03-13T16:58:51Z,AIC173,"15.823618,78.001755",34000,478,1
1552496396,2019-03-13T16:59:56Z,AIC173,"15.964624,78.002541",34000,480,1
1552496458,2019-03-13T17:00:58Z,AIC173,"16.105864,78.003273",34025,480,1
1552496518,2019-03-13T17:01:58Z,AIC173,"16.240448,78.004036",34000,480,1
1552496582,2019-03-13T17:03:02Z,AIC173,"16.382584,78.004715",34025,478,1
1552496645,2019-03-13T17:04:05Z,AIC173,"16.522614,78.005432",34000,477,1
1552496708,2019-03-13T17:05:08Z,AIC173,"16.660767,78.006203",34000,477,1
1552496771,2019-03-13T17:06:11Z,AIC173,"16.79493,78.00695",34000,477,1
1552496832,2019-03-13T17:07:12Z,AIC173,"16.935608,78.007652",34000,476,1
1552496896,2019-03-13T17:08:16Z,AIC173,"17.075733,78.008423",34000,474,1
1552496955,2019-03-13T17:09:15Z,AIC173,"17.206358,78.009109",33975,474,1
1552497021,2019-03-13T17:10:21Z,AIC173,"17.345947,78.009819",34000,476,1
