Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552579162,2019-03-14T15:59:22Z,AIC173,"13.201412,77.713181",0,0,299
1552579196,2019-03-14T15:59:56Z,AIC173,"13.201679,77.71302",0,9,157
1552579222,2019-03-14T16:00:22Z,AIC173,"13.201923,77.712914",0,9,171
1552579247,2019-03-14T16:00:47Z,AIC173,"13.202156,77.712837",0,2,199
1552579287,2019-03-14T16:01:27Z,AIC173,"13.202377,77.712936",0,2,272
1552579328,2019-03-14T16:02:08Z,AIC173,"13.202377,77.712685",0,2,270
1552579687,2019-03-14T16:08:07Z,AIC173,"13.202374,77.71241",0,14,270
1552579697,2019-03-14T16:08:17Z,AIC173,"13.202385,77.71212",0,17,270
1552579708,2019-03-14T16:08:28Z,AIC173,"13.202377,77.711807",0,19,270
1552579715,2019-03-14T16:08:35Z,AIC173,"13.202385,77.711594",0,19,270
1552579725,2019-03-14T16:08:45Z,AIC173,"13.202389,77.711212",0,21,270
1552579731,2019-03-14T16:08:51Z,AIC173,"13.202389,77.710983",0,22,270
1552579737,2019-03-14T16:08:57Z,AIC173,"13.202396,77.710693",0,23,270
1552579750,2019-03-14T16:09:10Z,AIC173,"13.202389,77.710091",0,26,270
1552579761,2019-03-14T16:09:21Z,AIC173,"13.202401,77.709572",0,28,270
1552579769,2019-03-14T16:09:29Z,AIC173,"13.202408,77.70903",0,31,270
1552579775,2019-03-14T16:09:35Z,AIC173,"13.202408,77.70858",0,33,270
1552579787,2019-03-14T16:09:47Z,AIC173,"13.202413,77.707756",0,33,270
1552579803,2019-03-14T16:10:03Z,AIC173,"13.202419,77.706787",0,32,270
1552579815,2019-03-14T16:10:15Z,AIC173,"13.202435,77.706032",0,28,270
1552579827,2019-03-14T16:10:27Z,AIC173,"13.202435,77.705421",0,29,270
1552579838,2019-03-14T16:10:38Z,AIC173,"13.202435,77.704712",0,27,270
1552579847,2019-03-14T16:10:47Z,AIC173,"13.202465,77.704262",0,24,278
1552579856,2019-03-14T16:10:56Z,AIC173,"13.202681,77.703987",0,23,326
1552579862,2019-03-14T16:11:02Z,AIC173,"13.202925,77.703926",0,21,354
1552579871,2019-03-14T16:11:11Z,AIC173,"13.203278,77.703918",0,21,359
1552579881,2019-03-14T16:11:21Z,AIC173,"13.203632,77.703918",0,23,359
1552579887,2019-03-14T16:11:27Z,AIC173,"13.203907,77.703934",0,23,5
1552579898,2019-03-14T16:11:38Z,AIC173,"13.204365,77.703934",0,22,12
1552579905,2019-03-14T16:11:45Z,AIC173,"13.204659,77.703941",0,21,2
1552579911,2019-03-14T16:11:51Z,AIC173,"13.20488,77.703934",0,21,357
1552579920,2019-03-14T16:12:00Z,AIC173,"13.205206,77.703758",0,22,315
1552579927,2019-03-14T16:12:07Z,AIC173,"13.205292,77.703506",0,25,281
1552579935,2019-03-14T16:12:15Z,AIC173,"13.205311,77.703026",0,28,270
1552579943,2019-03-14T16:12:23Z,AIC173,"13.205303,77.702606",0,31,270
1552579949,2019-03-14T16:12:29Z,AIC173,"13.205311,77.702217",0,33,270
1552579956,2019-03-14T16:12:36Z,AIC173,"13.205315,77.701622",0,16,270
1552579962,2019-03-14T16:12:42Z,AIC173,"13.205315,77.701164",0,17,270
1552579971,2019-03-14T16:12:51Z,AIC173,"13.205334,77.700417",0,18,270
1552579989,2019-03-14T16:13:09Z,AIC173,"13.205338,77.698593",0,20,270
1552580008,2019-03-14T16:13:28Z,AIC173,"13.205357,77.696793",0,21,270
1552580029,2019-03-14T16:13:49Z,AIC173,"13.205372,77.694664",0,21,270
1552580042,2019-03-14T16:14:02Z,AIC173,"13.205392,77.693336",0,22,270
1552580051,2019-03-14T16:14:11Z,AIC173,"13.205403,77.692253",0,22,270
1552580057,2019-03-14T16:14:17Z,AIC173,"13.205406,77.691605",0,23,270
1552580068,2019-03-14T16:14:28Z,AIC173,"13.205418,77.690468",0,23,270
1552580085,2019-03-14T16:14:45Z,AIC173,"13.205427,77.688461",0,19,270
1552580128,2019-03-14T16:15:28Z,AIC173,"13.205752,77.686226",0,20,331
1552580183,2019-03-14T16:16:23Z,AIC173,"13.206101,77.686195",0,2,357
1552580196,2019-03-14T16:16:36Z,AIC173,"13.206333,77.686188",0,18,359
1552580221,2019-03-14T16:17:01Z,AIC173,"13.207054,77.686447",0,18,23
1552580242,2019-03-14T16:17:22Z,AIC173,"13.207161,77.687286",0,32,90
1552580252,2019-03-14T16:17:32Z,AIC173,"13.20715,77.688698",0,45,90
1552580261,2019-03-14T16:17:41Z,AIC173,"13.207123,77.691948",0,86,90
1552580269,2019-03-14T16:17:49Z,AIC173,"13.207077,77.696274",0,120,90
1552580277,2019-03-14T16:17:57Z,AIC173,"13.207045,77.701477",0,145,90
1552580288,2019-03-14T16:18:08Z,AIC173,"13.20694,77.710564",2875,180,90
1552580295,2019-03-14T16:18:15Z,AIC173,"13.206917,77.716179",3100,179,90
1552580318,2019-03-14T16:18:38Z,AIC173,"13.206917,77.735985",4150,170,90
1552580325,2019-03-14T16:18:45Z,AIC173,"13.206917,77.74128",4425,169,90
1552580331,2019-03-14T16:18:51Z,AIC173,"13.206894,77.745316",4600,169,90
1552580337,2019-03-14T16:18:57Z,AIC173,"13.206848,77.750481",4725,178,90
1552580343,2019-03-14T16:19:03Z,AIC173,"13.206777,77.756218",4850,185,90
1552580349,2019-03-14T16:19:09Z,AIC173,"13.206665,77.762085",4975,195,90
1552580355,2019-03-14T16:19:15Z,AIC173,"13.206573,77.767006",5075,202,90
1552580368,2019-03-14T16:19:28Z,AIC173,"13.206405,77.779976",5325,221,90
1552580379,2019-03-14T16:19:39Z,AIC173,"13.206345,77.792107",5725,231,90
1552580404,2019-03-14T16:20:04Z,AIC173,"13.211517,77.818817",6850,244,64
1552580410,2019-03-14T16:20:10Z,AIC173,"13.215729,77.824875",7175,246,51
1552580418,2019-03-14T16:20:18Z,AIC173,"13.22428,77.832306",7600,249,36
1552580424,2019-03-14T16:20:24Z,AIC173,"13.230844,77.835579",7875,254,23
1552580430,2019-03-14T16:20:30Z,AIC173,"13.23685,77.837265",8100,257,13
1552580437,2019-03-14T16:20:37Z,AIC173,"13.244391,77.83799",8250,265,3
1552580458,2019-03-14T16:20:58Z,AIC173,"13.272276,77.834427",8925,287,351
1552580464,2019-03-14T16:21:04Z,AIC173,"13.280777,77.833115",9075,289,351
1552580480,2019-03-14T16:21:20Z,AIC173,"13.299866,77.830414",9325,286,352
1552580491,2019-03-14T16:21:31Z,AIC173,"13.317123,77.828003",9550,288,352
1552580503,2019-03-14T16:21:43Z,AIC173,"13.332321,77.82592",9750,290,352
1552580515,2019-03-14T16:21:55Z,AIC173,"13.349258,77.823593",9950,291,352
1552580529,2019-03-14T16:22:09Z,AIC173,"13.365143,77.821465",10175,293,352
1552580541,2019-03-14T16:22:21Z,AIC173,"13.383224,77.819",10400,308,352
1552580552,2019-03-14T16:22:32Z,AIC173,"13.399643,77.816788",10625,322,352
1552580564,2019-03-14T16:22:44Z,AIC173,"13.419614,77.814041",10800,338,352
1552580576,2019-03-14T16:22:56Z,AIC173,"13.437241,77.811615",10950,344,352
1552580588,2019-03-14T16:23:08Z,AIC173,"13.456902,77.808937",11000,343,352
1552580602,2019-03-14T16:23:22Z,AIC173,"13.476547,77.806282",11000,342,352
1552580613,2019-03-14T16:23:33Z,AIC173,"13.496053,77.80368",11000,340,352
1552580625,2019-03-14T16:23:45Z,AIC173,"13.515198,77.801338",11000,340,354
1552580652,2019-03-14T16:24:12Z,AIC173,"13.557266,77.804939",11000,340,8
1552580659,2019-03-14T16:24:19Z,AIC173,"13.567886,77.806549",11025,339,8
1552580671,2019-03-14T16:24:31Z,AIC173,"13.585945,77.809364",11175,338,8
1552580683,2019-03-14T16:24:43Z,AIC173,"13.60524,77.812325",11550,338,8
1552580695,2019-03-14T16:24:55Z,AIC173,"13.623326,77.815147",12075,339,8
1552580729,2019-03-14T16:25:29Z,AIC173,"13.676743,77.823456",13550,343,8
1552580759,2019-03-14T16:25:59Z,AIC173,"13.725554,77.831055",14700,352,8
1552580793,2019-03-14T16:26:33Z,AIC173,"13.779831,77.839554",15875,362,8
1552580823,2019-03-14T16:27:03Z,AIC173,"13.83202,77.847679",16675,379,8
1552580854,2019-03-14T16:27:34Z,AIC173,"13.886625,77.856201",17725,386,8
1552580913,2019-03-14T16:28:33Z,AIC173,"13.995026,77.873222",19575,407,8
1552580976,2019-03-14T16:29:36Z,AIC173,"14.11515,77.892052",21875,410,8
1552581040,2019-03-14T16:30:40Z,AIC173,"14.235352,77.910965",23700,417,8
1552581103,2019-03-14T16:31:43Z,AIC173,"14.358078,77.930145",25250,429,8
1552581164,2019-03-14T16:32:44Z,AIC173,"14.47879,77.949181",26625,440,8
1552581227,2019-03-14T16:33:47Z,AIC173,"14.607239,77.970917",27850,452,9
1552581290,2019-03-14T16:34:50Z,AIC173,"14.742828,77.986214",29050,459,5
1552581353,2019-03-14T16:35:53Z,AIC173,"14.876884,77.998367",30175,465,4
1552581414,2019-03-14T16:36:54Z,AIC173,"15.005905,78.01001",31550,464,5
1552581476,2019-03-14T16:37:56Z,AIC173,"15.141721,78.0224",32925,459,5
1552581540,2019-03-14T16:39:00Z,AIC173,"15.275436,78.034492",34025,459,5
1552581603,2019-03-14T16:40:03Z,AIC173,"15.409607,78.046585",34950,461,5
1552581664,2019-03-14T16:41:04Z,AIC173,"15.539928,78.058449",35650,465,5
1552581726,2019-03-14T16:42:06Z,AIC173,"15.676163,78.070824",36000,467,5
1552581787,2019-03-14T16:43:07Z,AIC173,"15.808069,78.082825",36000,469,5
1552581850,2019-03-14T16:44:10Z,AIC173,"15.943536,78.095085",36000,469,5
1552581913,2019-03-14T16:45:13Z,AIC173,"16.08316,78.10788",36000,468,5
1552581974,2019-03-14T16:46:14Z,AIC173,"16.212891,78.119781",36000,469,5
1552582037,2019-03-14T16:47:17Z,AIC173,"16.34903,78.13221",36000,470,5
1552582100,2019-03-14T16:48:20Z,AIC173,"16.488802,78.14502",36025,472,5
1552582163,2019-03-14T16:49:23Z,AIC173,"16.626389,78.1577",36025,471,5
1552582227,2019-03-14T16:50:27Z,AIC173,"16.763397,78.17028",36000,471,5
1552582290,2019-03-14T16:51:30Z,AIC173,"16.902512,78.182999",35975,471,4
1552582353,2019-03-14T16:52:33Z,AIC173,"17.039474,78.195671",36000,471,4
1552582416,2019-03-14T16:53:36Z,AIC173,"17.17894,78.208481",36025,473,5
1552582476,2019-03-14T16:54:36Z,AIC173,"17.308502,78.22049",36025,473,5
1552582539,2019-03-14T16:55:39Z,AIC173,"17.446701,78.233353",36000,472,4
1552582599,2019-03-14T16:56:39Z,AIC173,"17.580002,78.245644",36000,473,5
1552582666,2019-03-14T16:57:46Z,AIC173,"17.725742,78.259247",36000,475,5
1552582727,2019-03-14T16:58:47Z,AIC173,"17.860565,78.271759",36000,479,5
1552582788,2019-03-14T16:59:48Z,AIC173,"17.993774,78.284096",36025,479,5
1552582853,2019-03-14T17:00:53Z,AIC173,"18.137358,78.2976",36025,478,5
1552582897,2019-03-14T17:01:37Z,AIC173,"18.238329,78.306953",36025,478,5
1552582989,2019-03-14T17:03:09Z,AIC173,"18.436569,78.325554",36000,476,5
1552583049,2019-03-14T17:04:09Z,AIC173,"18.569641,78.338066",36000,476,5
1552583109,2019-03-14T17:05:09Z,AIC173,"18.704456,78.3507",36000,473,5
1552583172,2019-03-14T17:06:12Z,AIC173,"18.844021,78.363831",36000,469,5
1552583238,2019-03-14T17:07:18Z,AIC173,"18.978462,78.376465",35950,469,5
1552583297,2019-03-14T17:08:17Z,AIC173,"19.113235,78.387253",36000,468,1
1552583360,2019-03-14T17:09:20Z,AIC173,"19.247068,78.373772",36050,453,348
1552583421,2019-03-14T17:10:21Z,AIC173,"19.370712,78.341957",36025,449,345
1552583485,2019-03-14T17:11:25Z,AIC173,"19.498125,78.308403",36000,446,345
1552583547,2019-03-14T17:12:27Z,AIC173,"19.623779,78.275284",35975,446,346
1552583609,2019-03-14T17:13:29Z,AIC173,"19.745272,78.243477",35975,447,345
1552583671,2019-03-14T17:14:31Z,AIC173,"19.873337,78.209869",36025,447,346
1552583735,2019-03-14T17:15:35Z,AIC173,"20.001867,78.176117",36000,448,346
1552583798,2019-03-14T17:16:38Z,AIC173,"20.129467,78.142456",36025,447,346
1552583863,2019-03-14T17:17:43Z,AIC173,"20.25705,78.108772",36000,447,346
1552583927,2019-03-14T17:18:47Z,AIC173,"20.385643,78.074837",36025,445,346
1552583992,2019-03-14T17:19:52Z,AIC173,"20.518295,78.039711",35975,443,346
1552584055,2019-03-14T17:20:55Z,AIC173,"20.644987,78.007523",35975,446,347
1552584118,2019-03-14T17:21:58Z,AIC173,"20.775009,77.975761",35950,452,346
1552584183,2019-03-14T17:23:03Z,AIC173,"20.904099,77.944077",36025,461,346
1552584244,2019-03-14T17:24:04Z,AIC173,"21.03179,77.912697",36050,463,346
1552584306,2019-03-14T17:25:06Z,AIC173,"21.164154,77.880035",36025,461,346
1552584369,2019-03-14T17:26:09Z,AIC173,"21.29574,77.847649",36000,452,346
1552584436,2019-03-14T17:27:16Z,AIC173,"21.42952,77.814415",36000,451,346
1552584498,2019-03-14T17:28:18Z,AIC173,"21.560436,77.781982",35975,450,346
1552584561,2019-03-14T17:29:21Z,AIC173,"21.683029,77.751495",35975,454,346
1552584624,2019-03-14T17:30:24Z,AIC173,"21.816971,77.718285",36000,457,347
1552584683,2019-03-14T17:31:23Z,AIC173,"21.940535,77.687378",36000,458,346
1552584746,2019-03-14T17:32:26Z,AIC173,"22.076281,77.66378",36050,472,352
1552584813,2019-03-14T17:33:33Z,AIC173,"22.220734,77.644096",36000,469,352
1552584876,2019-03-14T17:34:36Z,AIC173,"22.357969,77.625427",36000,472,352
1552584937,2019-03-14T17:35:37Z,AIC173,"22.491074,77.607224",36000,473,352
1552585003,2019-03-14T17:36:43Z,AIC173,"22.628723,77.588394",36025,472,352
1552585063,2019-03-14T17:37:43Z,AIC173,"22.763397,77.56987",36000,471,352
1552585125,2019-03-14T17:38:45Z,AIC173,"22.897556,77.551476",36000,469,352
1552585190,2019-03-14T17:39:50Z,AIC173,"23.033432,77.532715",35975,468,352
1552585249,2019-03-14T17:40:49Z,AIC173,"23.165771,77.514435",36000,468,352
1552585312,2019-03-14T17:41:52Z,AIC173,"23.300419,77.495781",36000,466,352
1552585372,2019-03-14T17:42:52Z,AIC173,"23.427925,77.478233",36000,465,352
1552585436,2019-03-14T17:43:56Z,AIC173,"23.566,77.458954",36000,462,352
1552585502,2019-03-14T17:45:02Z,AIC173,"23.700623,77.440239",35950,461,352
1552585564,2019-03-14T17:46:04Z,AIC173,"23.834335,77.42157",35950,464,352
1552585624,2019-03-14T17:47:04Z,AIC173,"23.966721,77.403107",36000,476,352
1552585687,2019-03-14T17:48:07Z,AIC173,"24.103771,77.384018",36000,472,352
1552585740,2019-03-14T17:49:00Z,AIC173,"24.218491,77.367958",36025,470,352
1552585829,2019-03-14T17:50:29Z,AIC173,"24.409882,77.341003",35975,464,352
1552586136,2019-03-14T17:55:36Z,AIC173,"25.06959,77.255028",36025,482,358
1552586226,2019-03-14T17:57:06Z,AIC173,"25.268372,77.247772",36050,484,358
1552586256,2019-03-14T17:57:36Z,AIC173,"25.336212,77.245277",36025,485,358
1552586342,2019-03-14T17:59:02Z,AIC173,"25.528519,77.238213",36050,483,358
1552586419,2019-03-14T18:00:19Z,AIC173,"25.704657,77.231766",36000,477,358
1552586510,2019-03-14T18:01:50Z,AIC173,"25.904022,77.22451",35950,472,358
1552586571,2019-03-14T18:02:51Z,AIC173,"26.036179,77.219688",35950,473,358
1552586630,2019-03-14T18:03:50Z,AIC173,"26.167923,77.214714",35550,473,357
1552586695,2019-03-14T18:04:55Z,AIC173,"26.307175,77.207253",34000,466,357
1552586760,2019-03-14T18:06:00Z,AIC173,"26.447304,77.200241",32375,475,358
1552586833,2019-03-14T18:07:13Z,AIC173,"26.608234,77.200768",30550,442,359
1552586908,2019-03-14T18:08:28Z,AIC173,"26.752361,77.201195",28850,421,359
1552586981,2019-03-14T18:09:41Z,AIC173,"26.892059,77.201599",26425,421,359
1552587059,2019-03-14T18:10:59Z,AIC173,"27.04685,77.201981",23825,425,359
1552587133,2019-03-14T18:12:13Z,AIC173,"27.190475,77.202538",22025,430,359
1552587201,2019-03-14T18:13:21Z,AIC173,"27.326582,77.203094",20275,416,359
1552587270,2019-03-14T18:14:30Z,AIC173,"27.460281,77.203415",18500,412,359
1552587343,2019-03-14T18:15:43Z,AIC173,"27.595413,77.203934",16000,392,359
1552587397,2019-03-14T18:16:37Z,AIC173,"27.693146,77.204247",14025,378,359
1552587438,2019-03-14T18:17:18Z,AIC173,"27.76355,77.204506",12625,363,359
1552587480,2019-03-14T18:18:00Z,AIC173,"27.833038,77.204765",11175,356,359
1552587503,2019-03-14T18:18:23Z,AIC173,"27.87085,77.204865",10800,338,359
1552587524,2019-03-14T18:18:44Z,AIC173,"27.903225,77.204994",10475,323,359
1552587546,2019-03-14T18:19:06Z,AIC173,"27.937534,77.205101",10200,307,359
1552587568,2019-03-14T18:19:28Z,AIC173,"27.963181,77.205208",9875,297,359
1552587597,2019-03-14T18:19:57Z,AIC173,"28.005615,77.206154",9050,298,5
1552587606,2019-03-14T18:20:06Z,AIC173,"28.016556,77.207954",8850,296,9
1552587617,2019-03-14T18:20:17Z,AIC173,"28.033539,77.211281",8600,294,9
1552587629,2019-03-14T18:20:29Z,AIC173,"28.048233,77.214134",8350,291,9
1552587645,2019-03-14T18:20:45Z,AIC173,"28.069931,77.218307",8125,288,9
1552587656,2019-03-14T18:20:56Z,AIC173,"28.083893,77.220947",8025,288,9
1552587668,2019-03-14T18:21:08Z,AIC173,"28.101816,77.224411",7900,288,9
1552587681,2019-03-14T18:21:21Z,AIC173,"28.116806,77.227318",7775,287,9
1552587693,2019-03-14T18:21:33Z,AIC173,"28.133286,77.230492",7650,286,9
1552587705,2019-03-14T18:21:45Z,AIC173,"28.148392,77.233467",7550,285,9
1552587716,2019-03-14T18:21:56Z,AIC173,"28.164734,77.236687",7425,283,9
1552587730,2019-03-14T18:22:10Z,AIC173,"28.179605,77.239594",7300,278,9
1552587740,2019-03-14T18:22:20Z,AIC173,"28.195341,77.242722",7175,270,9
1552587754,2019-03-14T18:22:34Z,AIC173,"28.209412,77.245453",7075,261,9
1552587764,2019-03-14T18:22:44Z,AIC173,"28.224152,77.24836",6950,253,9
1552587777,2019-03-14T18:22:57Z,AIC173,"28.237377,77.250908",6825,245,9
1552587790,2019-03-14T18:23:10Z,AIC173,"28.251249,77.253654",6700,238,9
1552587801,2019-03-14T18:23:21Z,AIC173,"28.263702,77.256073",6550,232,9
1552587813,2019-03-14T18:23:33Z,AIC173,"28.276794,77.258606",6400,225,9
1552587826,2019-03-14T18:23:46Z,AIC173,"28.288492,77.260864",6275,217,9
1552587837,2019-03-14T18:23:57Z,AIC173,"28.300461,77.263199",6175,209,9
1552587849,2019-03-14T18:24:09Z,AIC173,"28.311302,77.265335",6050,201,9
1552587861,2019-03-14T18:24:21Z,AIC173,"28.322475,77.267815",5900,192,12
1552587868,2019-03-14T18:24:28Z,AIC173,"28.327129,77.269966",5750,192,24
1552587879,2019-03-14T18:24:39Z,AIC173,"28.333969,77.275772",5575,194,41
1552587887,2019-03-14T18:24:47Z,AIC173,"28.339874,77.282318",5400,194,44
1552587893,2019-03-14T18:24:53Z,AIC173,"28.343445,77.286392",5325,193,44
1552587899,2019-03-14T18:24:59Z,AIC173,"28.347473,77.290985",5250,193,45
1552587915,2019-03-14T18:25:15Z,AIC173,"28.357315,77.302132",5075,195,44
1552587926,2019-03-14T18:25:26Z,AIC173,"28.364914,77.310631",4925,195,44
1552587933,2019-03-14T18:25:33Z,AIC173,"28.368896,77.315071",4875,194,44
1552587941,2019-03-14T18:25:41Z,AIC173,"28.374287,77.321075",4775,194,44
1552587947,2019-03-14T18:25:47Z,AIC173,"28.378384,77.325653",4725,194,44
1552587953,2019-03-14T18:25:53Z,AIC173,"28.382341,77.330124",4650,193,44
1552587966,2019-03-14T18:26:06Z,AIC173,"28.389929,77.338524",4525,193,44
1552587978,2019-03-14T18:26:18Z,AIC173,"28.398102,77.347656",4425,193,44
1552587989,2019-03-14T18:26:29Z,AIC173,"28.405291,77.355652",4300,193,44
1552587996,2019-03-14T18:26:36Z,AIC173,"28.409821,77.359962",4225,194,38
1552588005,2019-03-14T18:26:45Z,AIC173,"28.417099,77.364082",4150,192,23
1552588012,2019-03-14T18:26:52Z,AIC173,"28.422226,77.366249",4075,191,19
1552588018,2019-03-14T18:26:58Z,AIC173,"28.429459,77.369049",4000,192,18
1552588024,2019-03-14T18:27:04Z,AIC173,"28.43367,77.370689",3950,192,18
1552588035,2019-03-14T18:27:15Z,AIC173,"28.442486,77.373962",3825,192,16
1552588044,2019-03-14T18:27:24Z,AIC173,"28.44928,77.374809",3750,191,12
1552588065,2019-03-14T18:27:45Z,AIC173,"28.465389,77.365128",3550,182,318
1552588071,2019-03-14T18:27:51Z,AIC173,"28.469254,77.361092",3500,181,317
1552588077,2019-03-14T18:27:57Z,AIC173,"28.473118,77.356834",3425,181,316
1552588083,2019-03-14T18:28:03Z,AIC173,"28.476889,77.352798",3375,180,316
1552588092,2019-03-14T18:28:12Z,AIC173,"28.481869,77.346985",3300,179,312
1552588099,2019-03-14T18:28:19Z,AIC173,"28.485031,77.34211",3225,179,304
1552588107,2019-03-14T18:28:27Z,AIC173,"28.488235,77.33477",3125,180,293
1552588114,2019-03-14T18:28:34Z,AIC173,"28.489929,77.329224",3075,180,288
1552588120,2019-03-14T18:28:40Z,AIC173,"28.491394,77.323364",3000,180,285
1552588130,2019-03-14T18:28:50Z,AIC173,"28.49332,77.314941",2925,179,284
1552588140,2019-03-14T18:29:00Z,AIC173,"28.495697,77.304558",2800,179,284
1552588147,2019-03-14T18:29:07Z,AIC173,"28.497025,77.298645",2725,176,283
1552588153,2019-03-14T18:29:13Z,AIC173,"28.498169,77.293205",2675,171,283
1552588164,2019-03-14T18:29:24Z,AIC173,"28.500397,77.283112",2550,166,283
1552588174,2019-03-14T18:29:34Z,AIC173,"28.502073,77.275406",2500,163,283
1552588181,2019-03-14T18:29:41Z,AIC173,"28.50305,77.270721",2475,162,283
1552588190,2019-03-14T18:29:50Z,AIC173,"28.504669,77.262886",2475,163,283
1552588200,2019-03-14T18:30:00Z,AIC173,"28.506914,77.252739",2475,163,283
1552588210,2019-03-14T18:30:10Z,AIC173,"28.508469,77.245399",2475,163,283
1552588216,2019-03-14T18:30:16Z,AIC173,"28.509567,77.240242",2475,163,283
1552588222,2019-03-14T18:30:22Z,AIC173,"28.510666,77.23526",2475,162,283
1552588229,2019-03-14T18:30:29Z,AIC173,"28.511673,77.230614",2475,162,284
1552588235,2019-03-14T18:30:35Z,AIC173,"28.512817,77.225433",2475,163,283
1552588242,2019-03-14T18:30:42Z,AIC173,"28.51399,77.219887",2475,164,283
1552588248,2019-03-14T18:30:48Z,AIC173,"28.51548,77.212669",2475,162,283
1552588256,2019-03-14T18:30:56Z,AIC173,"28.51655,77.207985",2475,157,283
1552588262,2019-03-14T18:31:02Z,AIC173,"28.517624,77.202934",2450,154,283
1552588268,2019-03-14T18:31:08Z,AIC173,"28.518585,77.198395",2425,153,283
1552588278,2019-03-14T18:31:18Z,AIC173,"28.520601,77.189026",2275,148,283
1552588286,2019-03-14T18:31:26Z,AIC173,"28.521626,77.184341",2200,148,283
1552588298,2019-03-14T18:31:38Z,AIC173,"28.523666,77.174835",2050,143,283
1552588305,2019-03-14T18:31:45Z,AIC173,"28.524511,77.170929",1950,141,284
1552588313,2019-03-14T18:31:53Z,AIC173,"28.526001,77.164215",1850,138,283
1552588319,2019-03-14T18:31:59Z,AIC173,"28.526932,77.159729",1775,137,283
1552588325,2019-03-14T18:32:05Z,AIC173,"28.527723,77.156067",1700,136,283
1552588334,2019-03-14T18:32:14Z,AIC173,"28.529114,77.149483",1575,138,283
1552588340,2019-03-14T18:32:20Z,AIC173,"28.529959,77.145454",1525,138,283
1552588352,2019-03-14T18:32:32Z,AIC173,"28.531866,77.136734",1375,138,283
1552588359,2019-03-14T18:32:39Z,AIC173,"28.532684,77.133057",1300,138,284
1552588365,2019-03-14T18:32:45Z,AIC173,"28.533783,77.127983",1225,138,283
