Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552666039,2019-03-15T16:07:19Z,AIC173,"13.201715,77.711815",0,0,180
1552666080,2019-03-15T16:08:00Z,AIC173,"13.20197,77.711807",0,10,194
1552666099,2019-03-15T16:08:19Z,AIC173,"13.202191,77.711853",0,9,225
1552666128,2019-03-15T16:08:48Z,AIC173,"13.202362,77.712067",0,9,267
1552666154,2019-03-15T16:09:14Z,AIC173,"13.202374,77.712372",0,2,270
1552666591,2019-03-15T16:16:31Z,AIC173,"13.202385,77.711388",0,20,270
1552666603,2019-03-15T16:16:43Z,AIC173,"13.202389,77.710938",0,22,270
1552666612,2019-03-15T16:16:52Z,AIC173,"13.202396,77.710587",0,24,270
1552666627,2019-03-15T16:17:07Z,AIC173,"13.202389,77.709778",0,28,270
1552666636,2019-03-15T16:17:16Z,AIC173,"13.202401,77.709206",0,31,272
1552666643,2019-03-15T16:17:23Z,AIC173,"13.202413,77.708794",0,33,270
1552666649,2019-03-15T16:17:29Z,AIC173,"13.202413,77.708405",0,15,270
1552666661,2019-03-15T16:17:41Z,AIC173,"13.202419,77.70752",0,32,270
1552666670,2019-03-15T16:17:50Z,AIC173,"13.202419,77.707054",0,27,270
1552666677,2019-03-15T16:17:57Z,AIC173,"13.202419,77.706749",0,28,270
1552666689,2019-03-15T16:18:09Z,AIC173,"13.202431,77.706001",0,30,270
1552666697,2019-03-15T16:18:17Z,AIC173,"13.202435,77.70549",0,32,270
1552666703,2019-03-15T16:18:23Z,AIC173,"13.202442,77.70507",0,33,270
1552666738,2019-03-15T16:18:58Z,AIC173,"13.202465,77.702591",0,34,270
1552666748,2019-03-15T16:19:08Z,AIC173,"13.202465,77.701981",0,15,270
1552666768,2019-03-15T16:19:28Z,AIC173,"13.202477,77.700844",0,24,270
1552666779,2019-03-15T16:19:39Z,AIC173,"13.202482,77.700287",0,25,270
1552666793,2019-03-15T16:19:53Z,AIC173,"13.202482,77.699593",0,26,270
1552666803,2019-03-15T16:20:03Z,AIC173,"13.202499,77.699051",0,28,270
1552666809,2019-03-15T16:20:09Z,AIC173,"13.202499,77.6987",0,29,270
1552666815,2019-03-15T16:20:15Z,AIC173,"13.202506,77.698349",0,30,270
1552666824,2019-03-15T16:20:24Z,AIC173,"13.202511,77.697823",0,31,270
1552666839,2019-03-15T16:20:39Z,AIC173,"13.202522,77.696747",0,34,270
1552666846,2019-03-15T16:20:46Z,AIC173,"13.202518,77.69635",0,15,270
1552666854,2019-03-15T16:20:54Z,AIC173,"13.202522,77.695656",0,16,270
1552666867,2019-03-15T16:21:07Z,AIC173,"13.202534,77.694771",0,16,270
1552666873,2019-03-15T16:21:13Z,AIC173,"13.202534,77.694305",0,33,270
1552666889,2019-03-15T16:21:29Z,AIC173,"13.202637,77.693512",0,22,298
1552666900,2019-03-15T16:21:40Z,AIC173,"13.203014,77.693344",0,20,351
1552666921,2019-03-15T16:22:01Z,AIC173,"13.203856,77.693352",0,23,357
1552666940,2019-03-15T16:22:20Z,AIC173,"13.204705,77.693359",0,24,2
1552666949,2019-03-15T16:22:29Z,AIC173,"13.205054,77.693359",0,23,2
1552666963,2019-03-15T16:22:43Z,AIC173,"13.205403,77.692978",0,21,281
1552666969,2019-03-15T16:22:49Z,AIC173,"13.205395,77.692741",0,21,270
1552666979,2019-03-15T16:22:59Z,AIC173,"13.205406,77.692291",0,23,270
1552666991,2019-03-15T16:23:11Z,AIC173,"13.205415,77.69175",0,26,270
1552667027,2019-03-15T16:23:47Z,AIC173,"13.205427,77.690155",0,17,270
1552667074,2019-03-15T16:24:34Z,AIC173,"13.205429,77.68885",0,16,270
1552667093,2019-03-15T16:24:53Z,AIC173,"13.205439,77.6884",0,12,270
1552667136,2019-03-15T16:25:36Z,AIC173,"13.205441,77.687263",0,19,270
1552667267,2019-03-15T16:27:47Z,AIC173,"13.20545,77.686554",0,15,270
1552667289,2019-03-15T16:28:09Z,AIC173,"13.205799,77.68618",0,16,348
1552667403,2019-03-15T16:30:03Z,AIC173,"13.2063,77.68618",0,17,357
1552667413,2019-03-15T16:30:13Z,AIC173,"13.206637,77.686195",0,19,2
1552667426,2019-03-15T16:30:26Z,AIC173,"13.207054,77.686371",0,21,36
1552667444,2019-03-15T16:30:44Z,AIC173,"13.207157,77.687164",0,33,90
1552667458,2019-03-15T16:30:58Z,AIC173,"13.207146,77.689651",0,59,90
1552667472,2019-03-15T16:31:12Z,AIC173,"13.207088,77.696213",0,115,90
1552667479,2019-03-15T16:31:19Z,AIC173,"13.207043,77.700851",0,140,90
