Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552697481,2019-03-16T00:51:21Z,AIC173,"28.548439,77.056763",1725,193,280
1552697487,2019-03-16T00:51:27Z,AIC173,"28.549438,77.049599",2000,197,276
1552697512,2019-03-16T00:51:52Z,AIC173,"28.542938,77.02462",2525,224,227
1552697518,2019-03-16T00:51:58Z,AIC173,"28.538244,77.020142",2650,231,216
1552697525,2019-03-16T00:52:05Z,AIC173,"28.531723,77.016487",2775,241,200
1552697531,2019-03-16T00:52:11Z,AIC173,"28.525396,77.014427",2900,247,194
1552697537,2019-03-16T00:52:17Z,AIC173,"28.518768,77.012787",3025,253,191
1552697543,2019-03-16T00:52:23Z,AIC173,"28.511477,77.0112",3125,261,190
1552697549,2019-03-16T00:52:29Z,AIC173,"28.504168,77.009743",3250,267,189
1552697555,2019-03-16T00:52:35Z,AIC173,"28.496475,77.008301",3425,272,189
1552697561,2019-03-16T00:52:41Z,AIC173,"28.489178,77.006943",3625,275,189
1552697567,2019-03-16T00:52:47Z,AIC173,"28.481544,77.0056",3775,281,188
1552697574,2019-03-16T00:52:54Z,AIC173,"28.473164,77.004143",3925,286,188
1552697586,2019-03-16T00:53:06Z,AIC173,"28.45715,77.001343",4325,292,189
1552697597,2019-03-16T00:53:17Z,AIC173,"28.441269,76.998367",4800,296,189
1552697603,2019-03-16T00:53:23Z,AIC173,"28.433121,76.996834",5050,297,189
1552697614,2019-03-16T00:53:34Z,AIC173,"28.416183,76.993507",5525,300,189
1552697626,2019-03-16T00:53:46Z,AIC173,"28.400116,76.991554",6050,300,180
1552697649,2019-03-16T00:54:09Z,AIC173,"28.372421,77.001801",6925,301,147
1552697655,2019-03-16T00:54:15Z,AIC173,"28.365875,77.007767",7150,301,138
1552697661,2019-03-16T00:54:21Z,AIC173,"28.359924,77.01532",7400,302,128
1552697667,2019-03-16T00:54:27Z,AIC173,"28.355438,77.023407",7625,303,119
1552697673,2019-03-16T00:54:33Z,AIC173,"28.351709,77.031555",7875,302,116
1552697679,2019-03-16T00:54:39Z,AIC173,"28.347748,77.040359",8150,303,117
1552697686,2019-03-16T00:54:46Z,AIC173,"28.344028,77.048523",8375,303,117
1552697703,2019-03-16T00:55:03Z,AIC173,"28.332321,77.074532",9050,307,116
1552697714,2019-03-16T00:55:14Z,AIC173,"28.324722,77.091911",9500,309,116
1552697726,2019-03-16T00:55:26Z,AIC173,"28.317032,77.10939",9975,311,116
1552697739,2019-03-16T00:55:39Z,AIC173,"28.30916,77.127365",10350,316,116
1552697750,2019-03-16T00:55:50Z,AIC173,"28.301573,77.144325",10475,329,116
1552697763,2019-03-16T00:56:03Z,AIC173,"28.292633,77.164215",10675,342,117
1552697775,2019-03-16T00:56:15Z,AIC173,"28.283836,77.183586",11275,339,117
1552697785,2019-03-16T00:56:25Z,AIC173,"28.274899,77.203186",11825,341,117
1552697799,2019-03-16T00:56:39Z,AIC173,"28.266146,77.222633",12050,352,117
1552697832,2019-03-16T00:57:12Z,AIC173,"28.240124,77.279716",12525,389,117
1552697866,2019-03-16T00:57:46Z,AIC173,"28.211866,77.341972",13475,410,117
1552697900,2019-03-16T00:58:20Z,AIC173,"28.183136,77.405495",14850,415,116
1552697930,2019-03-16T00:58:50Z,AIC173,"28.153244,77.471359",16050,426,117
1552697965,2019-03-16T00:59:25Z,AIC173,"28.123184,77.537521",17125,438,117
1552697998,2019-03-16T00:59:58Z,AIC173,"28.091995,77.605835",18150,449,117
1552698058,2019-03-16T01:00:58Z,AIC173,"28.033859,77.733398",20050,465,117
1552698120,2019-03-16T01:02:00Z,AIC173,"27.969818,77.873154",21950,480,117
1552698184,2019-03-16T01:03:04Z,AIC173,"27.904621,78.015343",23450,500,117
1552698246,2019-03-16T01:04:06Z,AIC173,"27.835911,78.166084",25100,514,115
1552698308,2019-03-16T01:05:08Z,AIC173,"27.777813,78.315987",26675,522,112
1552698373,2019-03-16T01:06:13Z,AIC173,"27.718227,78.474075",28300,527,112
1552698435,2019-03-16T01:07:15Z,AIC173,"27.656963,78.63649",29625,535,112
1552698494,2019-03-16T01:08:14Z,AIC173,"27.599579,78.787933",31025,531,113
1552698557,2019-03-16T01:09:17Z,AIC173,"27.538116,78.949493",31000,534,113
1552698620,2019-03-16T01:10:20Z,AIC173,"27.476761,79.109856",31000,534,113
1552698684,2019-03-16T01:11:24Z,AIC173,"27.413961,79.273491",31000,533,113
1552698746,2019-03-16T01:12:26Z,AIC173,"27.354126,79.428719",31000,533,113
1552698810,2019-03-16T01:13:30Z,AIC173,"27.290909,79.589157",31000,535,114
1552698872,2019-03-16T01:14:32Z,AIC173,"27.226496,79.748489",31000,534,114
1552698932,2019-03-16T01:15:32Z,AIC173,"27.165985,79.898438",31000,534,114
1552698943,2019-03-16T01:15:43Z,AIC173,"27.153921,79.92823",31000,534,114
1552699032,2019-03-16T01:17:12Z,AIC173,"27.062725,80.153236",31000,535,114
1552699091,2019-03-16T01:18:11Z,AIC173,"27.00206,80.302284",31000,536,114
1552699180,2019-03-16T01:19:40Z,AIC173,"26.909409,80.528542",31000,536,114
1552699216,2019-03-16T01:20:16Z,AIC173,"26.871689,80.62027",31000,536,114
1552699304,2019-03-16T01:21:44Z,AIC173,"26.781738,80.838905",31000,535,114
1552699334,2019-03-16T01:22:14Z,AIC173,"26.753952,80.917053",31000,535,111
1552699435,2019-03-16T01:23:55Z,AIC173,"26.682632,81.18399",31000,532,106
1552699499,2019-03-16T01:24:59Z,AIC173,"26.637703,81.35408",31000,530,106
1552699561,2019-03-16T01:26:01Z,AIC173,"26.594833,81.515236",31000,531,106
1552699621,2019-03-16T01:27:01Z,AIC173,"26.552811,81.672775",31000,530,106
1552699685,2019-03-16T01:28:05Z,AIC173,"26.508957,81.836533",31000,532,106
1552699747,2019-03-16T01:29:07Z,AIC173,"26.463551,82.00486",31000,531,106
1552699809,2019-03-16T01:30:09Z,AIC173,"26.420242,82.164673",31000,531,106
1552699869,2019-03-16T01:31:09Z,AIC173,"26.376638,82.324623",31000,533,106
1552699930,2019-03-16T01:32:10Z,AIC173,"26.333038,82.483849",31000,533,106
1552699991,2019-03-16T01:33:11Z,AIC173,"26.28898,82.644493",31000,529,107
1552700053,2019-03-16T01:34:13Z,AIC173,"26.245193,82.803024",31000,530,107
1552700115,2019-03-16T01:35:15Z,AIC173,"26.200157,82.964996",31000,535,107
1552700174,2019-03-16T01:36:14Z,AIC173,"26.155243,83.126442",31000,540,107
1552700236,2019-03-16T01:37:16Z,AIC173,"26.110016,83.287506",31025,537,107
1552700297,2019-03-16T01:38:17Z,AIC173,"26.064606,83.448776",31000,539,107
1552700359,2019-03-16T01:39:19Z,AIC173,"26.01907,83.609711",31000,539,107
1552700419,2019-03-16T01:40:19Z,AIC173,"25.972937,83.772179",31000,542,107
1552700480,2019-03-16T01:41:20Z,AIC173,"25.926636,83.93441",31000,544,107
1552700541,2019-03-16T01:42:21Z,AIC173,"25.88031,84.096405",30975,545,107
1552700603,2019-03-16T01:43:23Z,AIC173,"25.833746,84.257584",31000,539,107
1552700663,2019-03-16T01:44:23Z,AIC173,"25.787006,84.418999",30975,547,107
1552700724,2019-03-16T01:45:24Z,AIC173,"25.73909,84.583641",31000,552,107
1552700786,2019-03-16T01:46:26Z,AIC173,"25.690704,84.749146",31000,557,107
1552700849,2019-03-16T01:47:29Z,AIC173,"25.639664,84.923195",31000,560,108
1552700910,2019-03-16T01:48:30Z,AIC173,"25.593246,85.088654",31000,562,104
1552700971,2019-03-16T01:49:31Z,AIC173,"25.560949,85.260849",31000,566,100
1552701032,2019-03-16T01:50:32Z,AIC173,"25.530762,85.433861",30975,561,100
1552701093,2019-03-16T01:51:33Z,AIC173,"25.500366,85.605164",31000,562,101
1552701156,2019-03-16T01:52:36Z,AIC173,"25.468414,85.784813",31000,563,101
1552701217,2019-03-16T01:53:37Z,AIC173,"25.437773,85.956154",31000,565,101
1552701279,2019-03-16T01:54:39Z,AIC173,"25.406769,86.12851",31000,567,101
1552701341,2019-03-16T01:55:41Z,AIC173,"25.374115,86.30854",31000,565,101
1552701401,2019-03-16T01:56:41Z,AIC173,"25.333878,86.475372",31000,552,110
1552701465,2019-03-16T01:57:45Z,AIC173,"25.268461,86.636528",31000,545,114
1552701525,2019-03-16T01:58:45Z,AIC173,"25.204056,86.790565",31000,551,114
1552701589,2019-03-16T01:59:49Z,AIC173,"25.136215,86.953178",31000,553,114
1552701649,2019-03-16T02:00:49Z,AIC173,"25.07122,87.108475",31000,554,114
1552701710,2019-03-16T02:01:50Z,AIC173,"25.006165,87.263489",31000,551,114
1552701774,2019-03-16T02:02:54Z,AIC173,"24.937662,87.425728",31000,550,114
1552701835,2019-03-16T02:03:55Z,AIC173,"24.871279,87.582283",31000,552,115
1552701901,2019-03-16T02:05:01Z,AIC173,"24.80089,87.74791",31000,550,115
1552701963,2019-03-16T02:06:03Z,AIC173,"24.735809,87.903496",31000,553,114
