Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1552836940,2019-03-17T15:35:40Z,AIC173,"13.201469,77.71228",0,2,174
1552836966,2019-03-17T15:36:06Z,AIC173,"13.201675,77.712265",0,9,163
1552836994,2019-03-17T15:36:34Z,AIC173,"13.201904,77.712173",0,2,160
1552837021,2019-03-17T15:37:01Z,AIC173,"13.202122,77.712059",0,2,188
1552837045,2019-03-17T15:37:25Z,AIC173,"13.202343,77.712044",0,2,255
1552837083,2019-03-17T15:38:03Z,AIC173,"13.202374,77.71228",0,2,267
1552837386,2019-03-17T15:43:06Z,AIC173,"13.202385,77.712288",0,14,270
1552837396,2019-03-17T15:43:16Z,AIC173,"13.202389,77.71196",0,22,270
1552837403,2019-03-17T15:43:23Z,AIC173,"13.202389,77.71167",0,24,270
1552837417,2019-03-17T15:43:37Z,AIC173,"13.202389,77.71096",0,27,270
1552837427,2019-03-17T15:43:47Z,AIC173,"13.202401,77.710373",0,33,270
1552837436,2019-03-17T15:43:56Z,AIC173,"13.202396,77.709709",0,17,270
1552837443,2019-03-17T15:44:03Z,AIC173,"13.202413,77.709114",0,19,270
1552837469,2019-03-17T15:44:29Z,AIC173,"13.202435,77.706367",0,22,270
1552837476,2019-03-17T15:44:36Z,AIC173,"13.202442,77.705681",0,22,270
1552837505,2019-03-17T15:45:05Z,AIC173,"13.202465,77.702606",0,20,270
1552837520,2019-03-17T15:45:20Z,AIC173,"13.202482,77.701073",0,21,270
1552837529,2019-03-17T15:45:29Z,AIC173,"13.202482,77.700165",0,21,270
1552837535,2019-03-17T15:45:35Z,AIC173,"13.202488,77.699623",0,21,270
1552837542,2019-03-17T15:45:42Z,AIC173,"13.202499,77.698936",0,21,270
1552837549,2019-03-17T15:45:49Z,AIC173,"13.202506,77.698219",0,22,270
1552837560,2019-03-17T15:46:00Z,AIC173,"13.202511,77.697014",0,22,270
1552837567,2019-03-17T15:46:07Z,AIC173,"13.202522,77.696327",0,23,270
1552837577,2019-03-17T15:46:17Z,AIC173,"13.202522,77.695145",0,20,270
1552837587,2019-03-17T15:46:27Z,AIC173,"13.202534,77.694344",0,17,270
1552837597,2019-03-17T15:46:37Z,AIC173,"13.202545,77.693771",0,25,272
1552837605,2019-03-17T15:46:45Z,AIC173,"13.202692,77.693443",0,22,309
1552837612,2019-03-17T15:46:52Z,AIC173,"13.202948,77.693321",0,21,351
1552837618,2019-03-17T15:46:58Z,AIC173,"13.203152,77.693336",0,22,2
1552837633,2019-03-17T15:47:13Z,AIC173,"13.203925,77.693352",0,29,2
1552837641,2019-03-17T15:47:21Z,AIC173,"13.204461,77.693352",0,30,2
1552837648,2019-03-17T15:47:28Z,AIC173,"13.204844,77.693359",0,29,2
1552837654,2019-03-17T15:47:34Z,AIC173,"13.20509,77.693352",0,25,357
1552837660,2019-03-17T15:47:40Z,AIC173,"13.205322,77.693192",0,22,309
1552837666,2019-03-17T15:47:46Z,AIC173,"13.205406,77.69297",0,21,284
1552837672,2019-03-17T15:47:52Z,AIC173,"13.205406,77.692734",0,21,270
1552837679,2019-03-17T15:47:59Z,AIC173,"13.205403,77.692497",0,22,270
1552837685,2019-03-17T15:48:05Z,AIC173,"13.205403,77.692215",0,24,270
1552837691,2019-03-17T15:48:11Z,AIC173,"13.205406,77.691917",0,25,270
1552837698,2019-03-17T15:48:18Z,AIC173,"13.205415,77.691521",0,26,270
1552837740,2019-03-17T15:49:00Z,AIC173,"13.205427,77.688965",0,33,270
1552837772,2019-03-17T15:49:32Z,AIC173,"13.205452,77.686821",0,26,270
1552837778,2019-03-17T15:49:38Z,AIC173,"13.205486,77.686554",0,22,281
1552837787,2019-03-17T15:49:47Z,AIC173,"13.205706,77.686256",0,22,323
1552837848,2019-03-17T15:50:48Z,AIC173,"13.206288,77.68618",0,18,358
1552837862,2019-03-17T15:51:02Z,AIC173,"13.206882,77.686295",0,24,22
1552837872,2019-03-17T15:51:12Z,AIC173,"13.207184,77.686508",0,14,39
1552837881,2019-03-17T15:51:21Z,AIC173,"13.206614,77.686203",0,10,84
1552837916,2019-03-17T15:51:56Z,AIC173,"13.207169,77.687141",0,15,90
1552837924,2019-03-17T15:52:04Z,AIC173,"13.20715,77.689133",0,59,90
1552837932,2019-03-17T15:52:12Z,AIC173,"13.207126,77.691666",0,90,90
1552837939,2019-03-17T15:52:19Z,AIC173,"13.207088,77.695381",0,115,90
1552837946,2019-03-17T15:52:26Z,AIC173,"13.207045,77.700432",0,145,90
1552837953,2019-03-17T15:52:33Z,AIC173,"13.207008,77.705284",0,165,90
1552837997,2019-03-17T15:53:17Z,AIC173,"13.207123,77.742714",4250,189,90
1552838004,2019-03-17T15:53:24Z,AIC173,"13.207077,77.749062",4375,198,90
1552838011,2019-03-17T15:53:31Z,AIC173,"13.206985,77.755119",4475,208,90
1552838022,2019-03-17T15:53:42Z,AIC173,"13.206777,77.766769",4725,225,90
1552838028,2019-03-17T15:53:48Z,AIC173,"13.206711,77.774017",4950,231,90
1552838034,2019-03-17T15:53:54Z,AIC173,"13.206619,77.781403",5175,237,90
1552838047,2019-03-17T15:54:07Z,AIC173,"13.206436,77.794472",5675,244,90
1552838067,2019-03-17T15:54:27Z,AIC173,"13.210594,77.819244",6600,254,66
1552838077,2019-03-17T15:54:37Z,AIC173,"13.217651,77.828667",7025,257,47
1552838083,2019-03-17T15:54:43Z,AIC173,"13.222791,77.832642",7325,256,35
1552838089,2019-03-17T15:54:49Z,AIC173,"13.229324,77.835815",7600,256,21
1552838096,2019-03-17T15:54:56Z,AIC173,"13.237289,77.837616",7900,257,9
1552838104,2019-03-17T15:55:04Z,AIC173,"13.248116,77.837463",8175,266,355
1552838110,2019-03-17T15:55:10Z,AIC173,"13.255424,77.836594",8350,272,353
1552838116,2019-03-17T15:55:16Z,AIC173,"13.263611,77.83548",8525,279,352
1552838123,2019-03-17T15:55:23Z,AIC173,"13.27195,77.834328",8675,284,352
1552838134,2019-03-17T15:55:34Z,AIC173,"13.287405,77.832161",9125,291,352
1552838147,2019-03-17T15:55:47Z,AIC173,"13.304443,77.829803",9675,294,352
1552838159,2019-03-17T15:55:59Z,AIC173,"13.320877,77.82753",10200,298,352
1552838171,2019-03-17T15:56:11Z,AIC173,"13.338318,77.825211",10475,310,352
1552838184,2019-03-17T15:56:24Z,AIC173,"13.356396,77.822762",10700,326,352
1552838197,2019-03-17T15:56:37Z,AIC173,"13.375948,77.820114",10925,341,352
1552838208,2019-03-17T15:56:48Z,AIC173,"13.39476,77.817535",11000,355,352
1552838221,2019-03-17T15:57:01Z,AIC173,"13.416029,77.814667",11000,363,352
1552838232,2019-03-17T15:57:12Z,AIC173,"13.43486,77.812088",11000,365,352
1552838245,2019-03-17T15:57:25Z,AIC173,"13.457088,77.809082",11000,365,352
1552838256,2019-03-17T15:57:36Z,AIC173,"13.475876,77.806503",11000,364,352
1552838269,2019-03-17T15:57:49Z,AIC173,"13.49707,77.803612",11000,365,352
1552838281,2019-03-17T15:58:01Z,AIC173,"13.517303,77.801384",11000,374,355
1552838306,2019-03-17T15:58:26Z,AIC173,"13.561504,77.805511",11100,381,8
1552838312,2019-03-17T15:58:32Z,AIC173,"13.571001,77.806961",11225,382,8
1552838324,2019-03-17T15:58:44Z,AIC173,"13.592194,77.810287",11650,386,8
1552838336,2019-03-17T15:58:56Z,AIC173,"13.615997,77.813934",12225,386,8
1552838367,2019-03-17T15:59:27Z,AIC173,"13.668869,77.822128",14125,368,8
1552838397,2019-03-17T15:59:57Z,AIC173,"13.720108,77.830139",15375,371,8
1552838432,2019-03-17T16:00:32Z,AIC173,"13.779556,77.839417",16550,379,8
1552838462,2019-03-17T16:01:02Z,AIC173,"13.834351,77.847984",17500,387,8
1552838481,2019-03-17T16:01:21Z,AIC173,"13.866852,77.853096",18150,389,8
1552838586,2019-03-17T16:03:06Z,AIC173,"14.060312,77.883331",21650,404,8
1552838699,2019-03-17T16:04:59Z,AIC173,"14.271101,77.916435",25300,406,8
1552838762,2019-03-17T16:06:02Z,AIC173,"14.389664,77.93502",26525,421,8
1552838822,2019-03-17T16:07:02Z,AIC173,"14.510101,77.954109",27175,443,9
1552838885,2019-03-17T16:08:05Z,AIC173,"14.640335,77.97641",28050,454,9
1552838949,2019-03-17T16:09:09Z,AIC173,"14.770745,77.998497",29150,457,9
1552839012,2019-03-17T16:10:12Z,AIC173,"14.905746,78.021385",30350,458,9
1552839075,2019-03-17T16:11:15Z,AIC173,"15.036942,78.042198",31625,456,5
1552839135,2019-03-17T16:12:15Z,AIC173,"15.165043,78.05291",32750,457,4
1552839199,2019-03-17T16:13:19Z,AIC173,"15.297298,78.064041",33950,444,4
1552839263,2019-03-17T16:14:23Z,AIC173,"15.424665,78.074684",34000,434,4
1552839325,2019-03-17T16:15:25Z,AIC173,"15.553757,78.085518",34000,440,4
1552839388,2019-03-17T16:16:28Z,AIC173,"15.68248,78.096268",34050,444,4
1552839452,2019-03-17T16:17:32Z,AIC173,"15.811386,78.107155",34000,439,4
1552839515,2019-03-17T16:18:35Z,AIC173,"15.940567,78.118042",34000,436,4
1552839579,2019-03-17T16:19:39Z,AIC173,"16.067139,78.128647",34000,432,4
1552839641,2019-03-17T16:20:41Z,AIC173,"16.194733,78.139427",33975,430,4
1552839702,2019-03-17T16:21:42Z,AIC173,"16.313049,78.14946",35125,421,4
1552839765,2019-03-17T16:22:45Z,AIC173,"16.437057,78.159874",35750,428,4
1552839828,2019-03-17T16:23:48Z,AIC173,"16.562485,78.170517",36050,421,4
1552839891,2019-03-17T16:24:51Z,AIC173,"16.68516,78.180916",37000,417,4
1552839951,2019-03-17T16:25:51Z,AIC173,"16.801121,78.190727",37825,413,4
1552840015,2019-03-17T16:26:55Z,AIC173,"16.920481,78.200882",38000,407,4
1552840079,2019-03-17T16:27:59Z,AIC173,"17.040167,78.211029",38000,411,4
1552840139,2019-03-17T16:28:59Z,AIC173,"17.155012,78.22084",38000,409,4
1552840201,2019-03-17T16:30:01Z,AIC173,"17.273254,78.230896",38000,408,4
1552840265,2019-03-17T16:31:05Z,AIC173,"17.395752,78.241302",38000,413,4
1552840328,2019-03-17T16:32:08Z,AIC173,"17.515465,78.251495",38000,412,4
1552840392,2019-03-17T16:33:12Z,AIC173,"17.635025,78.261734",38000,409,4
1552840451,2019-03-17T16:34:11Z,AIC173,"17.75009,78.271606",38000,408,4
1552840515,2019-03-17T16:35:15Z,AIC173,"17.869263,78.281853",38000,411,4
1552840579,2019-03-17T16:36:19Z,AIC173,"17.990206,78.292252",38000,408,4
1552840638,2019-03-17T16:37:18Z,AIC173,"18.101559,78.301865",38000,407,4
1552840701,2019-03-17T16:38:21Z,AIC173,"18.221603,78.312164",38000,412,4
1552840768,2019-03-17T16:39:28Z,AIC173,"18.348587,78.323204",38000,405,4
1552840834,2019-03-17T16:40:34Z,AIC173,"18.472719,78.333366",38000,411,2
1552840894,2019-03-17T16:41:34Z,AIC173,"18.583008,78.322365",38000,397,352
1552840960,2019-03-17T16:42:40Z,AIC173,"18.704876,78.304504",38000,400,352
1552841020,2019-03-17T16:43:40Z,AIC173,"18.813482,78.288521",38000,395,351
1552841084,2019-03-17T16:44:44Z,AIC173,"18.93132,78.271065",38000,393,351
1552841150,2019-03-17T16:45:50Z,AIC173,"19.051411,78.253319",38000,397,351
1552841215,2019-03-17T16:46:55Z,AIC173,"19.169931,78.235741",38000,400,351
1552841281,2019-03-17T16:48:01Z,AIC173,"19.289524,78.21801",38000,397,351
1552841345,2019-03-17T16:49:05Z,AIC173,"19.412004,78.199783",38000,408,351
1552841410,2019-03-17T16:50:10Z,AIC173,"19.53183,78.181953",38000,405,351
1552841476,2019-03-17T16:51:16Z,AIC173,"19.654449,78.16375",38000,408,352
1552841542,2019-03-17T16:52:22Z,AIC173,"19.773714,78.14595",38000,399,351
1552841606,2019-03-17T16:53:26Z,AIC173,"19.895588,78.127625",38000,404,352
1552841671,2019-03-17T16:54:31Z,AIC173,"20.017601,78.109398",38000,402,352
1552841735,2019-03-17T16:55:35Z,AIC173,"20.135147,78.091751",38000,408,351
1552841799,2019-03-17T16:56:39Z,AIC173,"20.253901,78.073845",38000,402,352
1552841859,2019-03-17T16:57:39Z,AIC173,"20.364462,78.057259",38000,402,352
1552841923,2019-03-17T16:58:43Z,AIC173,"20.481495,78.039536",38000,396,351
1552841985,2019-03-17T16:59:45Z,AIC173,"20.596897,78.019112",38000,399,346
1552842048,2019-03-17T17:00:48Z,AIC173,"20.709045,77.991699",38000,395,347
1552842112,2019-03-17T17:01:52Z,AIC173,"20.823486,77.963593",38000,395,347
1552842175,2019-03-17T17:02:55Z,AIC173,"20.936005,77.935982",38000,396,346
1552842235,2019-03-17T17:03:55Z,AIC173,"21.04096,77.910255",38000,379,346
1552842299,2019-03-17T17:04:59Z,AIC173,"21.150558,77.88308",38000,377,346
1552842359,2019-03-17T17:05:59Z,AIC173,"21.252726,77.857872",38000,377,346
1552842439,2019-03-17T17:07:19Z,AIC173,"21.385633,77.825165",38000,373,346
1552842500,2019-03-17T17:08:20Z,AIC173,"21.490768,77.798981",38000,374,347
1552842564,2019-03-17T17:09:24Z,AIC173,"21.599215,77.772217",38000,368,346
1552842628,2019-03-17T17:10:28Z,AIC173,"21.703445,77.74633",38000,365,347
1552842691,2019-03-17T17:11:31Z,AIC173,"21.806883,77.720543",38000,365,346
1552842753,2019-03-17T17:12:33Z,AIC173,"21.907808,77.695312",38000,367,346
1552842814,2019-03-17T17:13:34Z,AIC173,"22.012299,77.669243",38000,370,346
1552842878,2019-03-17T17:14:38Z,AIC173,"22.119324,77.641876",38000,370,346
1552842942,2019-03-17T17:15:42Z,AIC173,"22.22562,77.614037",38000,376,346
1552843003,2019-03-17T17:16:43Z,AIC173,"22.329153,77.587074",38000,376,346
1552843066,2019-03-17T17:17:46Z,AIC173,"22.436457,77.56205",38000,382,352
1552843140,2019-03-17T17:19:00Z,AIC173,"22.566193,77.546799",38000,386,353
1552843199,2019-03-17T17:19:59Z,AIC173,"22.672848,77.534332",38000,389,353
1552843261,2019-03-17T17:21:01Z,AIC173,"22.787888,77.520882",38000,390,353
1552843326,2019-03-17T17:22:06Z,AIC173,"22.901276,77.507545",38000,390,353
1552843388,2019-03-17T17:23:08Z,AIC173,"23.014801,77.494209",38000,393,353
1552843447,2019-03-17T17:24:07Z,AIC173,"23.122879,77.481476",38000,395,353
1552843512,2019-03-17T17:25:12Z,AIC173,"23.24074,77.467598",38000,396,353
1552843574,2019-03-17T17:26:14Z,AIC173,"23.357586,77.453819",38000,398,353
1552843636,2019-03-17T17:27:16Z,AIC173,"23.467495,77.440849",38000,396,353
1552843698,2019-03-17T17:28:18Z,AIC173,"23.582525,77.427284",38000,396,353
1552843759,2019-03-17T17:29:19Z,AIC173,"23.694298,77.413971",38000,395,353
1552843823,2019-03-17T17:30:23Z,AIC173,"23.808929,77.400414",38000,395,353
1552843884,2019-03-17T17:31:24Z,AIC173,"23.919937,77.387184",38000,398,353
1552843945,2019-03-17T17:32:25Z,AIC173,"24.030451,77.374016",38000,399,353
1552844006,2019-03-17T17:33:26Z,AIC173,"24.146414,77.360123",38000,398,353
1552844070,2019-03-17T17:34:30Z,AIC173,"24.262207,77.346291",38000,400,353
1552844134,2019-03-17T17:35:34Z,AIC173,"24.381317,77.332001",38000,403,353
1552844514,2019-03-17T17:41:54Z,AIC173,"25.090851,77.254181",38000,406,358
1552844526,2019-03-17T17:42:06Z,AIC173,"25.11307,77.253319",38000,406,358
1552844598,2019-03-17T17:43:18Z,AIC173,"25.244347,77.248604",38000,403,358
1552844687,2019-03-17T17:44:47Z,AIC173,"25.414589,77.242279",38000,407,358
1552844746,2019-03-17T17:45:46Z,AIC173,"25.525497,77.23806",38000,403,358
1552844811,2019-03-17T17:46:51Z,AIC173,"25.647816,77.233627",38000,407,358
1552844826,2019-03-17T17:47:06Z,AIC173,"25.675873,77.232613",38000,409,358
1552844917,2019-03-17T17:48:37Z,AIC173,"25.847351,77.226425",38000,410,358
1552844978,2019-03-17T17:49:38Z,AIC173,"25.965162,77.22216",38000,410,358
1552845040,2019-03-17T17:50:40Z,AIC173,"26.08461,77.21772",38000,413,358
1552845081,2019-03-17T17:51:21Z,AIC173,"26.164034,77.22258",37825,427,12
1552845089,2019-03-17T17:51:29Z,AIC173,"26.175997,77.226494",37750,432,16
1552845102,2019-03-17T17:51:42Z,AIC173,"26.199459,77.237267",37625,443,25
1552845109,2019-03-17T17:51:49Z,AIC173,"26.215897,77.247101",37525,449,29
1552845118,2019-03-17T17:51:58Z,AIC173,"26.229584,77.255966",37450,449,30
1552845125,2019-03-17T17:52:05Z,AIC173,"26.243225,77.264877",37350,449,30
1552845188,2019-03-17T17:53:08Z,AIC173,"26.352997,77.336441",36250,426,30
1552845248,2019-03-17T17:54:08Z,AIC173,"26.450958,77.402359",35050,388,26
1552845257,2019-03-17T17:54:17Z,AIC173,"26.466385,77.409203",34850,381,20
1552845264,2019-03-17T17:54:24Z,AIC173,"26.476398,77.412415",34700,376,15
1552845272,2019-03-17T17:54:32Z,AIC173,"26.492552,77.416115",34500,370,10
1552845278,2019-03-17T17:54:38Z,AIC173,"26.502281,77.418068",34375,368,10
1552845286,2019-03-17T17:54:46Z,AIC173,"26.511034,77.419754",34175,367,10
1552845348,2019-03-17T17:55:48Z,AIC173,"26.620926,77.439362",30750,383,10
1552845411,2019-03-17T17:56:51Z,AIC173,"26.728899,77.460747",28275,376,8
1552845463,2019-03-17T17:57:43Z,AIC173,"26.817581,77.471199",26400,368,357
1552845470,2019-03-17T17:57:50Z,AIC173,"26.83285,77.468666",26175,362,349
1552845476,2019-03-17T17:57:56Z,AIC173,"26.841135,77.466133",26075,357,344
1552845482,2019-03-17T17:58:02Z,AIC173,"26.846395,77.46402",26050,354,340
1552845489,2019-03-17T17:58:09Z,AIC173,"26.860176,77.45752",25975,351,336
1552845497,2019-03-17T17:58:17Z,AIC173,"26.86972,77.452888",25925,351,336
1552845505,2019-03-17T17:58:25Z,AIC173,"26.882893,77.44648",25825,351,336
1552845569,2019-03-17T17:59:29Z,AIC173,"26.977478,77.399979",25125,347,336
1552845631,2019-03-17T18:00:31Z,AIC173,"27.069847,77.353943",24375,345,335
1552845697,2019-03-17T18:01:37Z,AIC173,"27.167175,77.305298",23300,352,335
1552845757,2019-03-17T18:02:37Z,AIC173,"27.257826,77.259712",22225,349,336
1552845821,2019-03-17T18:03:41Z,AIC173,"27.349953,77.213608",21150,353,335
1552845886,2019-03-17T18:04:46Z,AIC173,"27.444872,77.165855",19550,351,335
1552845911,2019-03-17T18:05:11Z,AIC173,"27.48621,77.148109",18850,348,347
1552845917,2019-03-17T18:05:17Z,AIC173,"27.496582,77.146515",18700,351,353
1552845925,2019-03-17T18:05:25Z,AIC173,"27.506414,77.145729",18575,353,356
1552845933,2019-03-17T18:05:33Z,AIC173,"27.520889,77.144806",18350,354,356
1552845941,2019-03-17T18:05:41Z,AIC173,"27.53595,77.143921",18150,353,357
1552846001,2019-03-17T18:06:41Z,AIC173,"27.634014,77.138496",17025,341,357
1552846030,2019-03-17T18:07:10Z,AIC173,"27.674606,77.142883",16525,333,9
1552846038,2019-03-17T18:07:18Z,AIC173,"27.686691,77.145164",16400,329,9
1552846071,2019-03-17T18:07:51Z,AIC173,"27.736986,77.154602",15825,309,9
1552846107,2019-03-17T18:08:27Z,AIC173,"27.786983,77.164009",15175,293,9
1552846137,2019-03-17T18:08:57Z,AIC173,"27.826401,77.171547",14725,283,9
1552846170,2019-03-17T18:09:30Z,AIC173,"27.866262,77.179169",14375,277,9
1552846201,2019-03-17T18:10:01Z,AIC173,"27.906509,77.186729",13950,262,9
1552846233,2019-03-17T18:10:33Z,AIC173,"27.943314,77.193695",13625,259,9
1552846266,2019-03-17T18:11:06Z,AIC173,"27.9841,77.201561",13225,264,9
1552846295,2019-03-17T18:11:35Z,AIC173,"28.019094,77.208252",12825,262,9
1552846326,2019-03-17T18:12:06Z,AIC173,"28.056335,77.21563",12500,262,9
1552846359,2019-03-17T18:12:39Z,AIC173,"28.096161,77.223373",12100,259,9
1552846395,2019-03-17T18:13:15Z,AIC173,"28.135195,77.230927",12000,256,9
1552846423,2019-03-17T18:13:43Z,AIC173,"28.171646,77.237953",12000,257,9
1552846454,2019-03-17T18:14:14Z,AIC173,"28.207672,77.245033",12000,256,10
1552846491,2019-03-17T18:14:51Z,AIC173,"28.249107,77.253113",12000,255,9
1552846524,2019-03-17T18:15:24Z,AIC173,"28.290028,77.261086",12000,257,9
1552846556,2019-03-17T18:15:56Z,AIC173,"28.324522,77.267868",12000,238,10
1552846573,2019-03-17T18:16:13Z,AIC173,"28.343994,77.273079",12000,233,21
1552846579,2019-03-17T18:16:19Z,AIC173,"28.349241,77.276543",12000,234,33
1552846585,2019-03-17T18:16:25Z,AIC173,"28.35434,77.281845",12000,234,42
1552846593,2019-03-17T18:16:33Z,AIC173,"28.35804,77.287903",12000,234,56
1552846600,2019-03-17T18:16:40Z,AIC173,"28.361343,77.298431",12000,232,75
1552846607,2019-03-17T18:16:47Z,AIC173,"28.361811,77.305191",12000,232,87
1552846627,2019-03-17T18:17:07Z,AIC173,"28.357407,77.329277",12000,229,105
1552846634,2019-03-17T18:17:14Z,AIC173,"28.355667,77.336464",12000,230,105
1552846668,2019-03-17T18:17:48Z,AIC173,"28.345047,77.379562",12000,230,105
1552846699,2019-03-17T18:18:19Z,AIC173,"28.336765,77.413757",11975,230,105
1552846712,2019-03-17T18:18:32Z,AIC173,"28.333099,77.428734",11850,230,105
1552846724,2019-03-17T18:18:44Z,AIC173,"28.329924,77.442139",11700,228,104
1552846734,2019-03-17T18:18:54Z,AIC173,"28.326645,77.456467",11600,226,104
1552846748,2019-03-17T18:19:08Z,AIC173,"28.323591,77.469772",11475,227,104
1552846760,2019-03-17T18:19:20Z,AIC173,"28.32024,77.484421",11350,229,104
1552846774,2019-03-17T18:19:34Z,AIC173,"28.317261,77.497665",11225,229,104
1552846784,2019-03-17T18:19:44Z,AIC173,"28.313919,77.512505",11100,227,104
1552846796,2019-03-17T18:19:56Z,AIC173,"28.310883,77.52594",11025,227,104
1552846809,2019-03-17T18:20:09Z,AIC173,"28.307648,77.540344",11000,230,104
1552846822,2019-03-17T18:20:22Z,AIC173,"28.304581,77.553757",11000,232,104
1552846833,2019-03-17T18:20:33Z,AIC173,"28.301102,77.569023",11000,231,104
1552846845,2019-03-17T18:20:45Z,AIC173,"28.298174,77.582108",11000,229,104
1552846856,2019-03-17T18:20:56Z,AIC173,"28.29483,77.597015",11000,227,104
1552846870,2019-03-17T18:21:10Z,AIC173,"28.291889,77.610382",11000,226,103
1552846881,2019-03-17T18:21:21Z,AIC173,"28.289062,77.625275",11000,228,98
1552846903,2019-03-17T18:21:43Z,AIC173,"28.296341,77.65052",11000,232,51
1552846912,2019-03-17T18:21:52Z,AIC173,"28.303621,77.657455",11000,232,34
1552846919,2019-03-17T18:21:59Z,AIC173,"28.309479,77.660507",11000,233,22
1552846925,2019-03-17T18:22:05Z,AIC173,"28.315979,77.662193",11000,232,10
1552846934,2019-03-17T18:22:14Z,AIC173,"28.326599,77.66346",10875,230,4
1552846940,2019-03-17T18:22:20Z,AIC173,"28.332138,77.663887",10800,229,3
1552846947,2019-03-17T18:22:27Z,AIC173,"28.338867,77.664307",10725,228,3
1552846958,2019-03-17T18:22:38Z,AIC173,"28.352501,77.6651",10550,225,3
1552846972,2019-03-17T18:22:52Z,AIC173,"28.366882,77.666",10375,224,3
