Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553011047,2019-03-19T15:57:27Z,AIC173,"13.201881,77.713402",0,2,177
1553011068,2019-03-19T15:57:48Z,AIC173,"13.202086,77.713333",0,2,202
1553011095,2019-03-19T15:58:15Z,AIC173,"13.202293,77.713341",0,2,244
1553011132,2019-03-19T15:58:52Z,AIC173,"13.201982,77.713371",0,2,261
1553011210,2019-03-19T16:00:10Z,AIC173,"13.202354,77.712959",0,2,270
1553011459,2019-03-19T16:04:19Z,AIC173,"13.202351,77.712418",0,10,270
1553011473,2019-03-19T16:04:33Z,AIC173,"13.202362,77.71212",0,15,270
1553011484,2019-03-19T16:04:44Z,AIC173,"13.202362,77.711777",0,19,270
1553011493,2019-03-19T16:04:53Z,AIC173,"13.202362,77.711472",0,18,270
1553011501,2019-03-19T16:05:01Z,AIC173,"13.202396,77.711235",0,18,281
1553011510,2019-03-19T16:05:10Z,AIC173,"13.20254,77.710976",0,20,303
1553011517,2019-03-19T16:05:17Z,AIC173,"13.202668,77.710754",0,21,303
1553011562,2019-03-19T16:06:02Z,AIC173,"13.202785,77.708527",0,28,270
1553011568,2019-03-19T16:06:08Z,AIC173,"13.202785,77.708199",0,29,270
1553011574,2019-03-19T16:06:14Z,AIC173,"13.202785,77.707825",0,31,270
1553011582,2019-03-19T16:06:22Z,AIC173,"13.202785,77.707306",0,33,270
1553011598,2019-03-19T16:06:38Z,AIC173,"13.202808,77.706169",0,15,270
1553011608,2019-03-19T16:06:48Z,AIC173,"13.202808,77.705482",0,15,270
1553011619,2019-03-19T16:06:59Z,AIC173,"13.20282,77.704567",0,16,270
1553011632,2019-03-19T16:07:12Z,AIC173,"13.202831,77.703613",0,16,270
1553011641,2019-03-19T16:07:21Z,AIC173,"13.202831,77.702911",0,15,270
1553011647,2019-03-19T16:07:27Z,AIC173,"13.202843,77.702484",0,15,270
1553011666,2019-03-19T16:07:46Z,AIC173,"13.202855,77.701035",0,16,270
1553011674,2019-03-19T16:07:54Z,AIC173,"13.202854,77.7005",0,17,270
1553011684,2019-03-19T16:08:04Z,AIC173,"13.202867,77.6996",0,16,270
1553011699,2019-03-19T16:08:19Z,AIC173,"13.202878,77.698387",0,17,270
1553011711,2019-03-19T16:08:31Z,AIC173,"13.202877,77.697388",0,18,270
1553011730,2019-03-19T16:08:50Z,AIC173,"13.202901,77.695816",0,19,270
1553011743,2019-03-19T16:09:03Z,AIC173,"13.202901,77.694626",0,17,270
1553011759,2019-03-19T16:09:19Z,AIC173,"13.202923,77.693687",0,23,281
1553011766,2019-03-19T16:09:26Z,AIC173,"13.203075,77.693443",0,22,315
1553011796,2019-03-19T16:09:56Z,AIC173,"13.204251,77.693336",0,23,358
1553011808,2019-03-19T16:10:08Z,AIC173,"13.204823,77.693344",0,26,358
1553011816,2019-03-19T16:10:16Z,AIC173,"13.205177,77.693275",0,28,337
1553011827,2019-03-19T16:10:27Z,AIC173,"13.20538,77.692688",0,26,267
1553011834,2019-03-19T16:10:34Z,AIC173,"13.205383,77.692375",0,27,270
1553011840,2019-03-19T16:10:40Z,AIC173,"13.205383,77.692032",0,27,270
1553011849,2019-03-19T16:10:49Z,AIC173,"13.20538,77.691528",0,28,270
1553011865,2019-03-19T16:11:05Z,AIC173,"13.205392,77.690575",0,30,270
1553011879,2019-03-19T16:11:19Z,AIC173,"13.205406,77.689751",0,32,270
1553011922,2019-03-19T16:12:02Z,AIC173,"13.205429,77.68679",0,28,270
1553012201,2019-03-19T16:16:41Z,AIC173,"13.206347,77.686195",0,11,357
1553012210,2019-03-19T16:16:50Z,AIC173,"13.206602,77.686195",0,20,2
1553012219,2019-03-19T16:16:59Z,AIC173,"13.206963,77.686256",0,22,19
1553012230,2019-03-19T16:17:10Z,AIC173,"13.207172,77.686592",0,22,90
1553012241,2019-03-19T16:17:21Z,AIC173,"13.20715,77.687263",0,17,92
1553012250,2019-03-19T16:17:30Z,AIC173,"13.207137,77.68869",0,52,90
1553012256,2019-03-19T16:17:36Z,AIC173,"13.207123,77.691154",0,82,90
1553012267,2019-03-19T16:17:47Z,AIC173,"13.207066,77.696793",0,125,90
1553012274,2019-03-19T16:17:54Z,AIC173,"13.207031,77.70108",0,145,90
1553012284,2019-03-19T16:18:04Z,AIC173,"13.206963,77.7089",0,175,90
1553012296,2019-03-19T16:18:16Z,AIC173,"13.206802,77.719749",3150,190,91
1553012302,2019-03-19T16:18:22Z,AIC173,"13.206591,77.725334",3400,189,92
1553012314,2019-03-19T16:18:34Z,AIC173,"13.206358,77.734871",4000,179,90
1553012320,2019-03-19T16:18:40Z,AIC173,"13.20639,77.741104",4175,178,89
1553012331,2019-03-19T16:18:51Z,AIC173,"13.206497,77.751259",4300,185,89
1553012338,2019-03-19T16:18:58Z,AIC173,"13.206528,77.756729",4425,187,89
1553012344,2019-03-19T16:19:04Z,AIC173,"13.206544,77.762245",4525,190,90
1553012350,2019-03-19T16:19:10Z,AIC173,"13.206497,77.767685",4575,193,90
1553012359,2019-03-19T16:19:19Z,AIC173,"13.20645,77.775925",4675,201,90
1553012368,2019-03-19T16:19:28Z,AIC173,"13.206345,77.785095",4750,210,90
1553012375,2019-03-19T16:19:35Z,AIC173,"13.206264,77.791153",4825,215,90
1553012381,2019-03-19T16:19:41Z,AIC173,"13.206218,77.797806",4900,220,90
1553012389,2019-03-19T16:19:49Z,AIC173,"13.206358,77.807198",4975,229,87
1553012395,2019-03-19T16:19:55Z,AIC173,"13.207581,77.81398",5075,237,76
1553012402,2019-03-19T16:20:02Z,AIC173,"13.209915,77.820427",5175,245,66
1553012408,2019-03-19T16:20:08Z,AIC173,"13.213577,77.826393",5275,251,54
