Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553096874,2019-03-20T15:47:54Z,AIC173,"13.201854,77.711815",0,2,174
1553096903,2019-03-20T15:48:23Z,AIC173,"13.20211,77.711769",0,9,188
1553096940,2019-03-20T15:49:00Z,AIC173,"13.202362,77.71183",0,2,267
1553097017,2019-03-20T15:50:17Z,AIC173,"13.202374,77.71154",0,2,270
1553097046,2019-03-20T15:50:46Z,AIC173,"13.202385,77.711296",0,2,270
1553097068,2019-03-20T15:51:08Z,AIC173,"13.202374,77.71109",0,2,270
1553097096,2019-03-20T15:51:36Z,AIC173,"13.202389,77.710808",0,9,270
1553097225,2019-03-20T15:53:45Z,AIC173,"13.202408,77.710487",0,15,281
1553097233,2019-03-20T15:53:53Z,AIC173,"13.202545,77.710251",0,19,306
1553097243,2019-03-20T15:54:03Z,AIC173,"13.202763,77.709984",0,23,300
1553097249,2019-03-20T15:54:09Z,AIC173,"13.202808,77.709709",0,25,272
1553097258,2019-03-20T15:54:18Z,AIC173,"13.202808,77.709229",0,27,270
1553097264,2019-03-20T15:54:24Z,AIC173,"13.202808,77.7089",0,28,270
1553097279,2019-03-20T15:54:39Z,AIC173,"13.202808,77.70797",0,32,270
1553097289,2019-03-20T15:54:49Z,AIC173,"13.202808,77.707314",0,15,270
1553097295,2019-03-20T15:54:55Z,AIC173,"13.202808,77.706863",0,16,270
1553097301,2019-03-20T15:55:01Z,AIC173,"13.20282,77.706398",0,16,270
1553097312,2019-03-20T15:55:12Z,AIC173,"13.202831,77.705429",0,17,270
1553097321,2019-03-20T15:55:21Z,AIC173,"13.202831,77.704773",0,32,270
1553097327,2019-03-20T15:55:27Z,AIC173,"13.202843,77.70443",0,29,270
1553097360,2019-03-20T15:56:00Z,AIC173,"13.203925,77.703926",0,24,336
1553097376,2019-03-20T15:56:16Z,AIC173,"13.204694,77.703926",0,27,358
1553097389,2019-03-20T15:56:29Z,AIC173,"13.20524,77.703674",0,28,309
1553097396,2019-03-20T15:56:36Z,AIC173,"13.205292,77.703293",0,28,272
1553097409,2019-03-20T15:56:49Z,AIC173,"13.205311,77.702164",0,19,272
1553097415,2019-03-20T15:56:55Z,AIC173,"13.205322,77.701561",0,22,270
1553097425,2019-03-20T15:57:05Z,AIC173,"13.205326,77.700615",0,23,270
1553097437,2019-03-20T15:57:17Z,AIC173,"13.205334,77.699074",0,23,270
1553097444,2019-03-20T15:57:24Z,AIC173,"13.205338,77.698364",0,24,270
1553097453,2019-03-20T15:57:33Z,AIC173,"13.205357,77.697334",0,24,270
1553097459,2019-03-20T15:57:39Z,AIC173,"13.20536,77.696686",0,24,270
1553097469,2019-03-20T15:57:49Z,AIC173,"13.205372,77.695587",0,25,270
1553097479,2019-03-20T15:57:59Z,AIC173,"13.20538,77.694099",0,25,270
1553097485,2019-03-20T15:58:05Z,AIC173,"13.20538,77.693336",0,25,270
1553097493,2019-03-20T15:58:13Z,AIC173,"13.20538,77.69265",0,26,270
1553097525,2019-03-20T15:58:45Z,AIC173,"13.205429,77.68853",0,23,270
1553097536,2019-03-20T15:58:56Z,AIC173,"13.205439,77.687485",0,18,270
1553097551,2019-03-20T15:59:11Z,AIC173,"13.205462,77.686516",0,27,275
1553097560,2019-03-20T15:59:20Z,AIC173,"13.205669,77.686195",0,21,326
1553097568,2019-03-20T15:59:28Z,AIC173,"13.205915,77.686172",0,15,354
1553097577,2019-03-20T15:59:37Z,AIC173,"13.205486,77.686401",0,2,354
1553097716,2019-03-20T16:01:56Z,AIC173,"13.206207,77.686172",0,21,354
1553097726,2019-03-20T16:02:06Z,AIC173,"13.206619,77.686188",0,22,5
1553097739,2019-03-20T16:02:19Z,AIC173,"13.207066,77.686325",0,21,36
1553097748,2019-03-20T16:02:28Z,AIC173,"13.207208,77.686661",0,16,84
1553097757,2019-03-20T16:02:37Z,AIC173,"13.207172,77.686867",0,18,95
1553097763,2019-03-20T16:02:43Z,AIC173,"13.20715,77.687172",0,29,95
1553097775,2019-03-20T16:02:55Z,AIC173,"13.207126,77.689461",0,62,90
1553097781,2019-03-20T16:03:01Z,AIC173,"13.207114,77.691216",0,78,90
1553097789,2019-03-20T16:03:09Z,AIC173,"13.207077,77.69574",0,110,90
1553097797,2019-03-20T16:03:17Z,AIC173,"13.207031,77.70121",0,145,90
1553097809,2019-03-20T16:03:29Z,AIC173,"13.206963,77.710007",2950,176,90
1553097831,2019-03-20T16:03:51Z,AIC173,"13.207443,77.727043",3825,166,87
1553097858,2019-03-20T16:04:18Z,AIC173,"13.207195,77.748749",4725,172,91
1553097866,2019-03-20T16:04:26Z,AIC173,"13.206985,77.757202",4950,185,91
1553097873,2019-03-20T16:04:33Z,AIC173,"13.206848,77.76284",5075,192,91
1553097891,2019-03-20T16:04:51Z,AIC173,"13.206528,77.780739",5500,217,91
1553097921,2019-03-20T16:05:21Z,AIC173,"13.212131,77.813942",6075,270,63
1553097927,2019-03-20T16:05:27Z,AIC173,"13.216879,77.82093",6175,282,53
