Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553269519,2019-03-22T15:45:19Z,AIC173,"13.207137,77.689217",0,62,90
1553269526,2019-03-22T15:45:26Z,AIC173,"13.207123,77.691628",0,90,90
1553269535,2019-03-22T15:45:35Z,AIC173,"13.207067,77.696831",0,120,90
1553269541,2019-03-22T15:45:41Z,AIC173,"13.207045,77.700516",0,145,90
1553269547,2019-03-22T15:45:47Z,AIC173,"13.207009,77.704536",0,160,90
1553269554,2019-03-22T15:45:54Z,AIC173,"13.206963,77.710587",2900,178,90
1553269574,2019-03-22T15:46:14Z,AIC173,"13.207382,77.728027",3675,174,88
1553269599,2019-03-22T15:46:39Z,AIC173,"13.207169,77.74778",4425,173,91
1553269605,2019-03-22T15:46:45Z,AIC173,"13.207103,77.752892",4575,177,91
1553269617,2019-03-22T15:46:57Z,AIC173,"13.206848,77.763596",4725,191,91
1553269629,2019-03-22T15:47:09Z,AIC173,"13.206619,77.774963",4875,205,91
1553269635,2019-03-22T15:47:15Z,AIC173,"13.206497,77.780701",4925,214,91
1553269665,2019-03-22T15:47:45Z,AIC173,"13.211618,77.814857",5375,263,64
1553269672,2019-03-22T15:47:52Z,AIC173,"13.215591,77.821037",5475,273,53
1553269681,2019-03-22T15:48:01Z,AIC173,"13.224838,77.829567",5775,282,36
1553269689,2019-03-22T15:48:09Z,AIC173,"13.235321,77.834915",6025,293,22
1553269696,2019-03-22T15:48:16Z,AIC173,"13.243973,77.837044",6125,303,9
1553269703,2019-03-22T15:48:23Z,AIC173,"13.253174,77.837425",6225,311,4
1553269724,2019-03-22T15:48:44Z,AIC173,"13.28476,77.835297",6650,334,357
1553269736,2019-03-22T15:48:56Z,AIC173,"13.304214,77.834396",7050,341,357
1553269747,2019-03-22T15:49:07Z,AIC173,"13.323212,77.833542",7625,341,357
1553269759,2019-03-22T15:49:19Z,AIC173,"13.342197,77.832741",8400,333,357
1553269772,2019-03-22T15:49:32Z,AIC173,"13.360611,77.831978",9025,331,357
1553269783,2019-03-22T15:49:43Z,AIC173,"13.379059,77.831268",9450,336,357
1553269795,2019-03-22T15:49:55Z,AIC173,"13.398479,77.830566",9650,349,357
1553269807,2019-03-22T15:50:07Z,AIC173,"13.418655,77.829895",9800,363,358
1553269820,2019-03-22T15:50:20Z,AIC173,"13.439864,77.829269",9900,372,358
1553269832,2019-03-22T15:50:32Z,AIC173,"13.461044,77.828758",9975,375,358
1553269844,2019-03-22T15:50:44Z,AIC173,"13.481827,77.828285",10000,375,358
1553269856,2019-03-22T15:50:56Z,AIC173,"13.502989,77.827919",10000,374,358
1553269868,2019-03-22T15:51:08Z,AIC173,"13.524543,77.827538",10000,375,359
1553269881,2019-03-22T15:51:21Z,AIC173,"13.546096,77.827148",10000,375,358
1553269893,2019-03-22T15:51:33Z,AIC173,"13.565231,77.826767",10000,376,358
1553269905,2019-03-22T15:51:45Z,AIC173,"13.588577,77.826393",10125,378,359
1553269917,2019-03-22T15:51:57Z,AIC173,"13.608994,77.826057",10450,383,359
1553269928,2019-03-22T15:52:08Z,AIC173,"13.629518,77.825752",10975,383,359
1553269942,2019-03-22T15:52:22Z,AIC173,"13.652802,77.825447",11825,375,359
1553269972,2019-03-22T15:52:52Z,AIC173,"13.704746,77.828453",13100,374,8
1553269981,2019-03-22T15:53:01Z,AIC173,"13.720276,77.83094",13275,379,9
1553270012,2019-03-22T15:53:32Z,AIC173,"13.775116,77.840126",14000,392,9
1553270044,2019-03-22T15:54:04Z,AIC173,"13.83486,77.849937",14950,399,9
1553270075,2019-03-22T15:54:35Z,AIC173,"13.890335,77.858879",16000,399,9
1553270107,2019-03-22T15:55:07Z,AIC173,"13.950394,77.868629",17025,399,8
1553270141,2019-03-22T15:55:41Z,AIC173,"14.012223,77.878708",17725,411,9
1553270172,2019-03-22T15:56:12Z,AIC173,"14.070134,77.8881",18525,415,9
1553270235,2019-03-22T15:57:15Z,AIC173,"14.193172,77.908005",19925,429,8
1553270296,2019-03-22T15:58:16Z,AIC173,"14.315048,77.925125",21150,440,5
1553270375,2019-03-22T15:59:35Z,AIC173,"14.471229,77.939903",23925,422,5
1553270439,2019-03-22T16:00:39Z,AIC173,"14.598999,77.952026",25300,429,5
1553270499,2019-03-22T16:01:39Z,AIC173,"14.720284,77.963463",26300,442,5
1553270563,2019-03-22T16:02:43Z,AIC173,"14.851142,77.975952",27325,453,5
1553270627,2019-03-22T16:03:47Z,AIC173,"14.985864,77.988708",28325,463,5
1553270689,2019-03-22T16:04:49Z,AIC173,"15.121797,78.001656",29400,467,5
1553270750,2019-03-22T16:05:50Z,AIC173,"15.253235,78.014107",30250,476,5
1553270813,2019-03-22T16:06:53Z,AIC173,"15.391101,78.02726",31575,471,5
1553270876,2019-03-22T16:07:56Z,AIC173,"15.526661,78.040154",33650,446,5
1553270939,2019-03-22T16:08:59Z,AIC173,"15.654726,78.052322",35100,437,5
1553271003,2019-03-22T16:10:03Z,AIC173,"15.783096,78.064659",35900,443,5
1553271066,2019-03-22T16:11:06Z,AIC173,"15.912689,78.077087",36000,438,5
1553271130,2019-03-22T16:12:10Z,AIC173,"16.04125,78.089302",36000,438,5
1553271193,2019-03-22T16:13:13Z,AIC173,"16.169357,78.101662",36000,438,5
1553271256,2019-03-22T16:14:16Z,AIC173,"16.297897,78.114044",36025,440,5
1553271318,2019-03-22T16:15:18Z,AIC173,"16.425911,78.126381",36025,438,5
1553271382,2019-03-22T16:16:22Z,AIC173,"16.553787,78.138618",35975,440,5
1553271445,2019-03-22T16:17:25Z,AIC173,"16.682007,78.151001",35975,443,5
1553271509,2019-03-22T16:18:29Z,AIC173,"16.813705,78.163727",36000,444,5
1553271571,2019-03-22T16:19:31Z,AIC173,"16.943436,78.1763",36000,444,5
1553271631,2019-03-22T16:20:31Z,AIC173,"17.066143,78.188225",36000,447,5
1553271696,2019-03-22T16:21:36Z,AIC173,"17.198593,78.201019",36025,450,5
1553271758,2019-03-22T16:22:38Z,AIC173,"17.327957,78.213646",36025,449,5
1553271821,2019-03-22T16:23:41Z,AIC173,"17.460892,78.226608",36000,446,5
1553271885,2019-03-22T16:24:45Z,AIC173,"17.591263,78.239281",35975,446,5
1553271945,2019-03-22T16:25:45Z,AIC173,"17.716572,78.251541",36000,447,5
1553272008,2019-03-22T16:26:48Z,AIC173,"17.847656,78.264381",36025,449,5
1553272071,2019-03-22T16:27:51Z,AIC173,"17.978943,78.277199",36000,450,5
1553272131,2019-03-22T16:28:51Z,AIC173,"18.103729,78.289391",36000,450,5
1553272197,2019-03-22T16:29:57Z,AIC173,"18.239399,78.302757",35975,455,5
1553272260,2019-03-22T16:31:00Z,AIC173,"18.375612,78.316139",36025,458,5
1553272324,2019-03-22T16:32:04Z,AIC173,"18.509449,78.329277",36025,460,5
1553272387,2019-03-22T16:33:07Z,AIC173,"18.643473,78.34256",36025,459,5
1553272448,2019-03-22T16:34:08Z,AIC173,"18.771864,78.35524",36000,456,5
1553272511,2019-03-22T16:35:11Z,AIC173,"18.905228,78.368423",35975,456,5
1553272575,2019-03-22T16:36:15Z,AIC173,"19.03912,78.381706",36000,456,5
1553272637,2019-03-22T16:37:17Z,AIC173,"19.169374,78.385902",36000,447,355
1553272698,2019-03-22T16:38:18Z,AIC173,"19.292999,78.362488",36025,435,345
1553272762,2019-03-22T16:39:22Z,AIC173,"19.417589,78.32972",36000,431,345
1553272825,2019-03-22T16:40:25Z,AIC173,"19.540009,78.297401",35950,433,345
1553272885,2019-03-22T16:41:25Z,AIC173,"19.656403,78.266853",35975,437,346
1553272950,2019-03-22T16:42:30Z,AIC173,"19.781815,78.234039",36025,438,346
1553273010,2019-03-22T16:43:30Z,AIC173,"19.90329,78.202103",36025,438,346
1553273073,2019-03-22T16:44:33Z,AIC173,"20.027756,78.169342",36000,438,346
1553273137,2019-03-22T16:45:37Z,AIC173,"20.153458,78.136284",36025,438,346
1553273196,2019-03-22T16:46:36Z,AIC173,"20.272289,78.104851",36000,438,346
1553273261,2019-03-22T16:47:41Z,AIC173,"20.39691,78.071892",36000,436,346
1553273321,2019-03-22T16:48:41Z,AIC173,"20.516176,78.04023",35975,436,346
1553273384,2019-03-22T16:49:44Z,AIC173,"20.640657,78.008575",36000,437,347
1553273448,2019-03-22T16:50:48Z,AIC173,"20.767,77.977814",36000,440,347
1553273508,2019-03-22T16:51:48Z,AIC173,"20.887619,77.948196",36025,440,347
1553273571,2019-03-22T16:52:51Z,AIC173,"21.013121,77.91729",36000,437,346
1553273624,2019-03-22T16:53:44Z,AIC173,"21.116049,77.891945",35975,437,346
1553273711,2019-03-22T16:55:11Z,AIC173,"21.28894,77.849319",36000,437,346
1553273773,2019-03-22T16:56:13Z,AIC173,"21.410934,77.819107",36025,435,346
1553273828,2019-03-22T16:57:08Z,AIC173,"21.520065,77.792091",36000,432,346
1553273858,2019-03-22T16:57:38Z,AIC173,"21.578266,77.777657",36000,431,346
1553273948,2019-03-22T16:59:08Z,AIC173,"21.752464,77.734322",35975,430,346
1553273979,2019-03-22T16:59:39Z,AIC173,"21.814407,77.718834",35975,431,346
1553274068,2019-03-22T17:01:08Z,AIC173,"21.986715,77.675934",36000,434,346
1553274129,2019-03-22T17:02:09Z,AIC173,"22.107925,77.645226",36025,433,346
1553274193,2019-03-22T17:03:13Z,AIC173,"22.231672,77.612816",36000,434,346
1553274206,2019-03-22T17:03:26Z,AIC173,"22.25798,77.605927",36000,434,346
