Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553355805,2019-03-23T15:43:25Z,AIC173,"13.201504,77.710335",0,0,222
1553355854,2019-03-23T15:44:14Z,AIC173,"13.201572,77.710381",0,0,17
1553355928,2019-03-23T15:45:28Z,AIC173,"13.201784,77.710403",0,9,168
1553355947,2019-03-23T15:45:47Z,AIC173,"13.202005,77.710358",0,9,165
1553355975,2019-03-23T15:46:15Z,AIC173,"13.202293,77.710274",0,9,241
1553356245,2019-03-23T15:50:45Z,AIC173,"13.202385,77.710434",0,0,95
1553356287,2019-03-23T15:51:27Z,AIC173,"13.202396,77.709778",0,25,270
1553356298,2019-03-23T15:51:38Z,AIC173,"13.202401,77.709091",0,30,270
1553356304,2019-03-23T15:51:44Z,AIC173,"13.202401,77.708733",0,32,270
1553356316,2019-03-23T15:51:56Z,AIC173,"13.202408,77.707886",0,15,270
1553356323,2019-03-23T15:52:03Z,AIC173,"13.202408,77.707344",0,17,270
1553356331,2019-03-23T15:52:11Z,AIC173,"13.202419,77.706573",0,18,270
1553356340,2019-03-23T15:52:20Z,AIC173,"13.202431,77.705872",0,15,270
1553356349,2019-03-23T15:52:29Z,AIC173,"13.202431,77.705284",0,33,270
1553356356,2019-03-23T15:52:36Z,AIC173,"13.202435,77.704803",0,33,270
1553356362,2019-03-23T15:52:42Z,AIC173,"13.202435,77.704514",0,29,270
1553356368,2019-03-23T15:52:48Z,AIC173,"13.202511,77.704155",0,27,295
1553356375,2019-03-23T15:52:55Z,AIC173,"13.202808,77.703941",0,26,337
1553356382,2019-03-23T15:53:02Z,AIC173,"13.203106,77.703918",0,24,356
1553356389,2019-03-23T15:53:09Z,AIC173,"13.203426,77.703934",0,25,2
1553356396,2019-03-23T15:53:16Z,AIC173,"13.203774,77.703926",0,28,358
1553356404,2019-03-23T15:53:24Z,AIC173,"13.204319,77.703934",0,28,358
1553356410,2019-03-23T15:53:30Z,AIC173,"13.204589,77.703941",0,28,16
1553356417,2019-03-23T15:53:37Z,AIC173,"13.204938,77.703888",0,27,345
1553356434,2019-03-23T15:53:54Z,AIC173,"13.205303,77.703041",0,28,272
1553356440,2019-03-23T15:54:00Z,AIC173,"13.205311,77.702766",0,29,270
1553356450,2019-03-23T15:54:10Z,AIC173,"13.205315,77.702118",0,32,270
1553356465,2019-03-23T15:54:25Z,AIC173,"13.205322,77.701134",0,32,270
1553356471,2019-03-23T15:54:31Z,AIC173,"13.205326,77.700684",0,15,270
1553356481,2019-03-23T15:54:41Z,AIC173,"13.205326,77.700027",0,16,270
1553356498,2019-03-23T15:54:58Z,AIC173,"13.205345,77.698616",0,17,270
1553356508,2019-03-23T15:55:08Z,AIC173,"13.205349,77.697739",0,17,270
1553356520,2019-03-23T15:55:20Z,AIC173,"13.205357,77.696709",0,18,270
1553356541,2019-03-23T15:55:41Z,AIC173,"13.20538,77.694756",0,20,270
1553356547,2019-03-23T15:55:47Z,AIC173,"13.20538,77.694168",0,20,270
1553356558,2019-03-23T15:55:58Z,AIC173,"13.205395,77.693123",0,21,270
1553356573,2019-03-23T15:56:13Z,AIC173,"13.205403,77.691437",0,22,270
1553356582,2019-03-23T15:56:22Z,AIC173,"13.205406,77.690414",0,23,270
1553356599,2019-03-23T15:56:39Z,AIC173,"13.205427,77.688652",0,24,270
1553356605,2019-03-23T15:56:45Z,AIC173,"13.205439,77.687859",0,24,270
1553356629,2019-03-23T15:57:09Z,AIC173,"13.205531,77.686317",0,24,292
1553356636,2019-03-23T15:57:16Z,AIC173,"13.20575,77.686188",0,22,343
1553356644,2019-03-23T15:57:24Z,AIC173,"13.206059,77.686188",0,13,6
1553356762,2019-03-23T15:59:22Z,AIC173,"13.206253,77.68618",0,15,358
1553356775,2019-03-23T15:59:35Z,AIC173,"13.206608,77.686188",0,20,1
1553356791,2019-03-23T15:59:51Z,AIC173,"13.207123,77.686302",0,16,33
1553356821,2019-03-23T16:00:21Z,AIC173,"13.20715,77.687202",0,16,90
1553356830,2019-03-23T16:00:30Z,AIC173,"13.207146,77.689049",0,56,90
1553356836,2019-03-23T16:00:36Z,AIC173,"13.207126,77.691315",0,82,90
1553356842,2019-03-23T16:00:42Z,AIC173,"13.207103,77.694",0,105,90
1553356851,2019-03-23T16:00:51Z,AIC173,"13.207054,77.699715",0,135,90
1553356857,2019-03-23T16:00:57Z,AIC173,"13.207021,77.704094",0,155,90
1553356863,2019-03-23T16:01:03Z,AIC173,"13.20694,77.708427",2925,173,91
1553356869,2019-03-23T16:01:09Z,AIC173,"13.20687,77.713913",3100,175,90
1553356890,2019-03-23T16:01:30Z,AIC173,"13.207103,77.731544",3975,170,89
1553356896,2019-03-23T16:01:36Z,AIC173,"13.20715,77.736511",4225,169,89
1553356917,2019-03-23T16:01:57Z,AIC173,"13.206917,77.753761",4825,180,90
1553356924,2019-03-23T16:02:04Z,AIC173,"13.206823,77.75959",4950,189,90
1553356930,2019-03-23T16:02:10Z,AIC173,"13.20673,77.765327",5075,197,90
1553356942,2019-03-23T16:02:22Z,AIC173,"13.206528,77.776901",5300,214,91
1553356973,2019-03-23T16:02:53Z,AIC173,"13.210082,77.810333",5925,253,70
1553356979,2019-03-23T16:02:59Z,AIC173,"13.214035,77.817535",6050,263,59
1553356989,2019-03-23T16:03:09Z,AIC173,"13.221766,77.825897",6325,275,42
1553356997,2019-03-23T16:03:17Z,AIC173,"13.232162,77.832123",6725,285,24
1553357003,2019-03-23T16:03:23Z,AIC173,"13.239922,77.835052",7000,287,19
1553357010,2019-03-23T16:03:30Z,AIC173,"13.247091,77.83741",7325,287,17
1553357018,2019-03-23T16:03:38Z,AIC173,"13.25853,77.841026",7800,285,17
1553357024,2019-03-23T16:03:44Z,AIC173,"13.267109,77.843727",8200,283,17
1553357037,2019-03-23T16:03:57Z,AIC173,"13.281587,77.848305",8925,279,17
1553357050,2019-03-23T16:04:10Z,AIC173,"13.297461,77.853455",9525,281,17
1553357060,2019-03-23T16:04:20Z,AIC173,"13.311768,77.858261",10000,286,18
1553357073,2019-03-23T16:04:33Z,AIC173,"13.328465,77.864059",10425,296,19
1553357086,2019-03-23T16:04:46Z,AIC173,"13.343719,77.869576",10650,309,19
1553357098,2019-03-23T16:04:58Z,AIC173,"13.361069,77.875969",10875,326,19
1553357109,2019-03-23T16:05:09Z,AIC173,"13.378922,77.881653",11075,339,13
1553357116,2019-03-23T16:05:16Z,AIC173,"13.388377,77.88324",11225,343,8
1553357124,2019-03-23T16:05:24Z,AIC173,"13.403549,77.884018",11475,347,1
1553357130,2019-03-23T16:05:30Z,AIC173,"13.41188,77.884117",11625,345,1
1553357136,2019-03-23T16:05:36Z,AIC173,"13.422455,77.884163",11775,345,1
1553357155,2019-03-23T16:05:55Z,AIC173,"13.451294,77.884117",12250,352,359
1553357188,2019-03-23T16:06:28Z,AIC173,"13.50531,77.883453",13575,345,358
1553357222,2019-03-23T16:07:02Z,AIC173,"13.559326,77.882225",15050,346,358
1553357252,2019-03-23T16:07:32Z,AIC173,"13.608765,77.880753",15925,360,357
1553357285,2019-03-23T16:08:05Z,AIC173,"13.66527,77.874084",17450,360,352
1553357315,2019-03-23T16:08:35Z,AIC173,"13.716431,77.867867",18325,370,354
1553357379,2019-03-23T16:09:39Z,AIC173,"13.827365,77.857986",20225,383,355
1553357403,2019-03-23T16:10:03Z,AIC173,"13.870612,77.855049",21075,383,358
1553357496,2019-03-23T16:11:36Z,AIC173,"14.033752,77.879425",23350,405,8
1553357555,2019-03-23T16:12:35Z,AIC173,"14.151415,77.896584",24375,430,4
1553357608,2019-03-23T16:13:28Z,AIC173,"14.258102,77.899506",25475,440,1
1553357696,2019-03-23T16:14:56Z,AIC173,"14.442599,77.903137",27225,454,1
1553357759,2019-03-23T16:15:59Z,AIC173,"14.574234,77.905663",28825,448,1
1553357804,2019-03-23T16:16:44Z,AIC173,"14.666701,77.907524",29875,444,1
1553357892,2019-03-23T16:18:12Z,AIC173,"14.853934,77.911163",31100,463,1
1553357956,2019-03-23T16:19:16Z,AIC173,"14.990379,77.91391",32100,470,1
1553358020,2019-03-23T16:20:20Z,AIC173,"15.124557,77.91658",33825,453,1
1553358071,2019-03-23T16:21:11Z,AIC173,"15.233056,77.918716",34725,451,1
1553358163,2019-03-23T16:22:43Z,AIC173,"15.42041,77.922409",35950,450,1
1553358226,2019-03-23T16:23:46Z,AIC173,"15.553711,77.925064",36600,452,1
1553358288,2019-03-23T16:24:48Z,AIC173,"15.686371,77.927666",37075,457,1
1553358351,2019-03-23T16:25:51Z,AIC173,"15.817985,77.930244",37350,465,1
1553358411,2019-03-23T16:26:51Z,AIC173,"15.95131,77.932938",37675,469,1
1553358474,2019-03-23T16:27:54Z,AIC173,"16.087242,77.935638",38000,467,1
1553358538,2019-03-23T16:28:58Z,AIC173,"16.228296,77.938484",38000,469,1
1553358598,2019-03-23T16:29:58Z,AIC173,"16.360458,77.941086",38000,468,1
1553358661,2019-03-23T16:31:01Z,AIC173,"16.497322,77.943832",38000,468,1
1553358725,2019-03-23T16:32:05Z,AIC173,"16.633533,77.946579",37975,468,1
1553358789,2019-03-23T16:33:09Z,AIC173,"16.769302,77.949303",38000,468,1
1553358851,2019-03-23T16:34:11Z,AIC173,"16.903564,77.951996",38025,468,1
1553358912,2019-03-23T16:35:12Z,AIC173,"17.039934,77.95472",38025,466,1
1553358974,2019-03-23T16:36:14Z,AIC173,"17.173679,77.957466",38025,464,1
1553359040,2019-03-23T16:37:20Z,AIC173,"17.312405,77.960258",38000,462,1
1553359102,2019-03-23T16:38:22Z,AIC173,"17.447592,77.963005",37950,463,1
1553359166,2019-03-23T16:39:26Z,AIC173,"17.585201,77.965706",38025,461,1
1553359225,2019-03-23T16:40:25Z,AIC173,"17.711823,77.9683",38025,457,1
1553359291,2019-03-23T16:41:31Z,AIC173,"17.845413,77.970985",38000,455,1
1553359352,2019-03-23T16:42:32Z,AIC173,"17.97583,77.973633",37975,453,1
1553359416,2019-03-23T16:43:36Z,AIC173,"18.112381,77.976425",37975,453,1
1553359475,2019-03-23T16:44:35Z,AIC173,"18.235582,77.978958",37975,454,1
