Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553442715,2019-03-24T15:51:55Z,AIC173,"13.201424,77.713081",0,0,86
1553442760,2019-03-24T15:52:40Z,AIC173,"13.201679,77.713043",0,2,163
1553442788,2019-03-24T15:53:08Z,AIC173,"13.201947,77.712936",0,9,171
1553442825,2019-03-24T15:53:45Z,AIC173,"13.202282,77.712891",0,2,244
1553442902,2019-03-24T15:55:02Z,AIC173,"13.202374,77.712654",0,9,270
1553443236,2019-03-24T16:00:36Z,AIC173,"13.202377,77.712494",0,10,270
1553443254,2019-03-24T16:00:54Z,AIC173,"13.202385,77.712196",0,15,270
1553443269,2019-03-24T16:01:09Z,AIC173,"13.202385,77.711861",0,18,270
1553443279,2019-03-24T16:01:19Z,AIC173,"13.202385,77.711517",0,19,270
1553443293,2019-03-24T16:01:33Z,AIC173,"13.202401,77.710976",0,23,270
1553443305,2019-03-24T16:01:45Z,AIC173,"13.202396,77.710335",0,26,270
1553443311,2019-03-24T16:01:51Z,AIC173,"13.202396,77.710007",0,28,270
1553443324,2019-03-24T16:02:04Z,AIC173,"13.202401,77.709259",0,33,270
1553443339,2019-03-24T16:02:19Z,AIC173,"13.202419,77.708145",0,16,270
1553443348,2019-03-24T16:02:28Z,AIC173,"13.202419,77.707306",0,18,270
1553443360,2019-03-24T16:02:40Z,AIC173,"13.202431,77.706154",0,20,270
1553443375,2019-03-24T16:02:55Z,AIC173,"13.202447,77.70472",0,21,270
1553443387,2019-03-24T16:03:07Z,AIC173,"13.202447,77.703575",0,21,270
1553443420,2019-03-24T16:03:40Z,AIC173,"13.202482,77.700157",0,23,270
1553443432,2019-03-24T16:03:52Z,AIC173,"13.202499,77.6987",0,23,270
1553443438,2019-03-24T16:03:58Z,AIC173,"13.202506,77.698128",0,24,270
1553443449,2019-03-24T16:04:09Z,AIC173,"13.202511,77.696922",0,20,270
1553443461,2019-03-24T16:04:21Z,AIC173,"13.202522,77.695869",0,19,270
1553443474,2019-03-24T16:04:34Z,AIC173,"13.202534,77.694565",0,18,270
