Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553615313,2019-03-26T15:48:33Z,AIC173,"13.201447,77.713066",0,0,214
1553615381,2019-03-26T15:49:41Z,AIC173,"13.201656,77.713036",0,2,168
1553615414,2019-03-26T15:50:14Z,AIC173,"13.201912,77.712982",0,2,171
1553615446,2019-03-26T15:50:46Z,AIC173,"13.202145,77.712914",0,2,205
1553615497,2019-03-26T15:51:37Z,AIC173,"13.202366,77.713066",0,0,68
1553615541,2019-03-26T15:52:21Z,AIC173,"13.202377,77.712891",0,2,270
1553615576,2019-03-26T15:52:56Z,AIC173,"13.202374,77.712654",0,2,270
1553615709,2019-03-26T15:55:09Z,AIC173,"13.202377,77.712585",0,2,270
1553615831,2019-03-26T15:57:11Z,AIC173,"13.202377,77.712181",0,18,270
1553615840,2019-03-26T15:57:20Z,AIC173,"13.202431,77.711861",0,20,284
1553615848,2019-03-26T15:57:28Z,AIC173,"13.202591,77.711624",0,21,309
1553615856,2019-03-26T15:57:36Z,AIC173,"13.202763,77.711357",0,25,303
1553615879,2019-03-26T15:57:59Z,AIC173,"13.202808,77.71003",0,30,270
1553615886,2019-03-26T15:58:06Z,AIC173,"13.202808,77.709625",0,31,270
1553615898,2019-03-26T15:58:18Z,AIC173,"13.20282,77.708855",0,33,270
1553615910,2019-03-26T15:58:30Z,AIC173,"13.20282,77.707954",0,15,270
1553615916,2019-03-26T15:58:36Z,AIC173,"13.20282,77.707504",0,16,270
1553615922,2019-03-26T15:58:42Z,AIC173,"13.202831,77.707069",0,17,270
1553615935,2019-03-26T15:58:55Z,AIC173,"13.202831,77.706085",0,31,270
1553615986,2019-03-26T15:59:46Z,AIC173,"13.202843,77.704926",0,10,270
1553616017,2019-03-26T16:00:17Z,AIC173,"13.202854,77.704201",0,20,270
1553616025,2019-03-26T16:00:25Z,AIC173,"13.202855,77.703888",0,20,270
1553616033,2019-03-26T16:00:33Z,AIC173,"13.202855,77.70359",0,22,270
1553616040,2019-03-26T16:00:40Z,AIC173,"13.202855,77.703278",0,22,270
1553616046,2019-03-26T16:00:46Z,AIC173,"13.202854,77.703056",0,25,270
1553616057,2019-03-26T16:00:57Z,AIC173,"13.202866,77.702324",0,33,270
1553616065,2019-03-26T16:01:05Z,AIC173,"13.202866,77.701714",0,15,270
1553616079,2019-03-26T16:01:19Z,AIC173,"13.202878,77.700623",0,16,270
1553616088,2019-03-26T16:01:28Z,AIC173,"13.202889,77.699913",0,17,270
1553616100,2019-03-26T16:01:40Z,AIC173,"13.2029,77.698677",0,22,270
1553616106,2019-03-26T16:01:46Z,AIC173,"13.202913,77.69799",0,23,270
1553616118,2019-03-26T16:01:58Z,AIC173,"13.202911,77.696671",0,24,270
1553616126,2019-03-26T16:02:06Z,AIC173,"13.202923,77.695801",0,24,270
1553616137,2019-03-26T16:02:17Z,AIC173,"13.202934,77.69445",0,25,270
1553616156,2019-03-26T16:02:36Z,AIC173,"13.203321,77.693321",0,27,345
1553616163,2019-03-26T16:02:43Z,AIC173,"13.203793,77.693344",0,33,1
1553616180,2019-03-26T16:03:00Z,AIC173,"13.205054,77.693359",0,15,1
1553616191,2019-03-26T16:03:11Z,AIC173,"13.205403,77.693024",0,26,289
1553616198,2019-03-26T16:03:18Z,AIC173,"13.205403,77.692528",0,33,270
1553616204,2019-03-26T16:03:24Z,AIC173,"13.205406,77.69207",0,16,270
1553616217,2019-03-26T16:03:37Z,AIC173,"13.205427,77.69088",0,21,270
1553616241,2019-03-26T16:04:01Z,AIC173,"13.205439,77.688515",0,22,270
1553616257,2019-03-26T16:04:17Z,AIC173,"13.205452,77.686768",0,19,270
1553616270,2019-03-26T16:04:30Z,AIC173,"13.205788,77.686203",0,26,340
1553616303,2019-03-26T16:05:03Z,AIC173,"13.207134,77.686279",0,19,22
1553616316,2019-03-26T16:05:16Z,AIC173,"13.207172,77.686859",0,34,92
1553616325,2019-03-26T16:05:25Z,AIC173,"13.20715,77.688545",0,54,90
1553616334,2019-03-26T16:05:34Z,AIC173,"13.207126,77.691437",0,86,90
1553616340,2019-03-26T16:05:40Z,AIC173,"13.2071,77.694717",0,110,90
1553616347,2019-03-26T16:05:47Z,AIC173,"13.207056,77.699387",0,135,90
1553616359,2019-03-26T16:05:59Z,AIC173,"13.206985,77.708054",2850,174,90
1553616366,2019-03-26T16:06:06Z,AIC173,"13.206963,77.713959",3125,176,90
1553616380,2019-03-26T16:06:20Z,AIC173,"13.207169,77.725761",3675,176,88
1553616386,2019-03-26T16:06:26Z,AIC173,"13.207214,77.731209",3950,173,89
1553616395,2019-03-26T16:06:35Z,AIC173,"13.207169,77.73864",4350,171,90
1553616402,2019-03-26T16:06:42Z,AIC173,"13.207123,77.74366",4600,170,91
1553616413,2019-03-26T16:06:53Z,AIC173,"13.206848,77.753845",4875,183,91
1553616419,2019-03-26T16:06:59Z,AIC173,"13.206711,77.75943",5000,191,91
1553616431,2019-03-26T16:07:11Z,AIC173,"13.206544,77.770531",5225,208,90
1553616445,2019-03-26T16:07:25Z,AIC173,"13.20639,77.783913",5475,227,90
1553616471,2019-03-26T16:07:51Z,AIC173,"13.212158,77.815308",6050,266,63
1553616478,2019-03-26T16:07:58Z,AIC173,"13.216003,77.820755",6250,272,54
1553616484,2019-03-26T16:08:04Z,AIC173,"13.221813,77.826622",6500,276,41
1553616492,2019-03-26T16:08:12Z,AIC173,"13.23252,77.832977",6950,279,26
1553616499,2019-03-26T16:08:19Z,AIC173,"13.23912,77.835243",7225,278,16
1553616505,2019-03-26T16:08:25Z,AIC173,"13.246719,77.836525",7400,276,7
1553616528,2019-03-26T16:08:48Z,AIC173,"13.277536,77.833267",8075,277,351
1553616535,2019-03-26T16:08:55Z,AIC173,"13.286009,77.832062",8250,278,352
1553616550,2019-03-26T16:09:10Z,AIC173,"13.305188,77.82946",8550,282,352
1553616562,2019-03-26T16:09:22Z,AIC173,"13.321621,77.827293",8750,283,352
1553616574,2019-03-26T16:09:34Z,AIC173,"13.336518,77.825317",8950,284,352
1553616586,2019-03-26T16:09:46Z,AIC173,"13.353241,77.823029",9150,283,352
1553616599,2019-03-26T16:09:59Z,AIC173,"13.368576,77.82061",9375,283,349
1553616606,2019-03-26T16:10:06Z,AIC173,"13.376587,77.817863",9450,284,340
1553616614,2019-03-26T16:10:14Z,AIC173,"13.387527,77.811569",9625,288,327
1553616621,2019-03-26T16:10:21Z,AIC173,"13.393524,77.807404",9725,288,325
1553616627,2019-03-26T16:10:27Z,AIC173,"13.400757,77.802193",9850,289,324
