Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553702722,2019-03-27T16:05:22Z,AIC173,"13.202076,77.71183",0,2,188
1553702751,2019-03-27T16:05:51Z,AIC173,"13.202319,77.711861",0,2,247
1553702827,2019-03-27T16:07:07Z,AIC173,"13.202389,77.711601",0,2,270
1553702853,2019-03-27T16:07:33Z,AIC173,"13.202385,77.71138",0,2,272
1553702876,2019-03-27T16:07:56Z,AIC173,"13.202377,77.711166",0,2,267
1553702903,2019-03-27T16:08:23Z,AIC173,"13.202385,77.710938",0,2,270
1553702933,2019-03-27T16:08:53Z,AIC173,"13.202389,77.710709",0,2,270
1553703304,2019-03-27T16:15:04Z,AIC173,"13.202385,77.710396",0,14,270
1553703330,2019-03-27T16:15:30Z,AIC173,"13.202389,77.709572",0,22,270
1553703337,2019-03-27T16:15:37Z,AIC173,"13.202396,77.709297",0,24,270
1553703344,2019-03-27T16:15:44Z,AIC173,"13.202401,77.708961",0,26,270
1553703355,2019-03-27T16:15:55Z,AIC173,"13.202413,77.708252",0,31,270
1553703362,2019-03-27T16:16:02Z,AIC173,"13.202408,77.707893",0,32,270
1553703371,2019-03-27T16:16:11Z,AIC173,"13.202408,77.707436",0,25,270
1553703377,2019-03-27T16:16:17Z,AIC173,"13.202419,77.707108",0,27,270
1553703389,2019-03-27T16:16:29Z,AIC173,"13.202419,77.706451",0,29,270
1553703395,2019-03-27T16:16:35Z,AIC173,"13.202431,77.706039",0,31,270
1553703407,2019-03-27T16:16:47Z,AIC173,"13.202431,77.705338",0,33,270
1553703416,2019-03-27T16:16:56Z,AIC173,"13.202435,77.704628",0,15,270
1553703422,2019-03-27T16:17:02Z,AIC173,"13.202435,77.70417",0,15,270
1553703472,2019-03-27T16:17:52Z,AIC173,"13.202454,77.701958",0,26,270
1553703514,2019-03-27T16:18:34Z,AIC173,"13.202477,77.699455",0,32,270
1553703521,2019-03-27T16:18:41Z,AIC173,"13.202482,77.698875",0,33,270
1553703529,2019-03-27T16:18:49Z,AIC173,"13.202482,77.698479",0,34,270
1553703540,2019-03-27T16:19:00Z,AIC173,"13.202499,77.697563",0,16,270
1553703552,2019-03-27T16:19:12Z,AIC173,"13.202506,77.69664",0,17,270
1553703558,2019-03-27T16:19:18Z,AIC173,"13.202511,77.696198",0,17,270
1553703564,2019-03-27T16:19:24Z,AIC173,"13.202518,77.695526",0,18,270
1553703576,2019-03-27T16:19:36Z,AIC173,"13.202522,77.694672",0,31,270
1553703582,2019-03-27T16:19:42Z,AIC173,"13.202518,77.694359",0,25,270
1553703589,2019-03-27T16:19:49Z,AIC173,"13.202534,77.694061",0,26,272
1553703598,2019-03-27T16:19:58Z,AIC173,"13.202587,77.693604",0,27,289
1553703605,2019-03-27T16:20:05Z,AIC173,"13.202901,77.693352",0,25,337
1553703613,2019-03-27T16:20:13Z,AIC173,"13.203238,77.693336",0,25,357
1553703621,2019-03-27T16:20:21Z,AIC173,"13.20369,77.693344",0,27,357
1553703627,2019-03-27T16:20:27Z,AIC173,"13.20403,77.693352",0,28,3
1553703636,2019-03-27T16:20:36Z,AIC173,"13.204502,77.693344",0,28,3
1553703642,2019-03-27T16:20:42Z,AIC173,"13.204799,77.693352",0,28,3
1553703650,2019-03-27T16:20:50Z,AIC173,"13.205124,77.693321",0,23,351
1553703666,2019-03-27T16:21:06Z,AIC173,"13.205383,77.692673",0,22,270
1553703673,2019-03-27T16:21:13Z,AIC173,"13.205392,77.692436",0,23,270
