Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553787811,2019-03-28T15:43:31Z,AIC173,"13.201563,77.710373",0,0,244
1553787862,2019-03-28T15:44:22Z,AIC173,"13.201595,77.710396",0,2,180
1553787883,2019-03-28T15:44:43Z,AIC173,"13.201807,77.710403",0,9,168
1553787901,2019-03-28T15:45:01Z,AIC173,"13.202007,77.710358",0,9,171
1553787929,2019-03-28T15:45:29Z,AIC173,"13.202285,77.710289",0,2,239
1553787953,2019-03-28T15:45:53Z,AIC173,"13.202028,77.710358",0,2,270
1553788039,2019-03-28T15:47:19Z,AIC173,"13.202401,77.710464",0,0,83
1553788241,2019-03-28T15:50:41Z,AIC173,"13.202408,77.709953",0,27,270
1553788247,2019-03-28T15:50:47Z,AIC173,"13.202408,77.709557",0,31,270
1553788263,2019-03-28T15:51:03Z,AIC173,"13.202419,77.708527",0,15,270
1553788277,2019-03-28T15:51:17Z,AIC173,"13.202419,77.707367",0,17,270
1553788284,2019-03-28T15:51:24Z,AIC173,"13.202431,77.706818",0,18,270
1553788294,2019-03-28T15:51:34Z,AIC173,"13.202442,77.705849",0,19,270
1553788317,2019-03-28T15:51:57Z,AIC173,"13.202564,77.704109",0,32,300
1553788326,2019-03-28T15:52:06Z,AIC173,"13.202946,77.703934",0,29,351
1553788335,2019-03-28T15:52:15Z,AIC173,"13.20346,77.703941",0,27,7
1553788342,2019-03-28T15:52:22Z,AIC173,"13.203797,77.703941",0,27,7
1553788350,2019-03-28T15:52:30Z,AIC173,"13.204263,77.703941",0,28,7
1553788359,2019-03-28T15:52:39Z,AIC173,"13.204754,77.703941",0,28,7
1553788369,2019-03-28T15:52:49Z,AIC173,"13.205189,77.703766",0,27,317
1553788384,2019-03-28T15:53:04Z,AIC173,"13.205322,77.70285",0,30,270
1553788391,2019-03-28T15:53:11Z,AIC173,"13.205315,77.7024",0,31,270
1553788401,2019-03-28T15:53:21Z,AIC173,"13.205322,77.701782",0,31,270
1553788417,2019-03-28T15:53:37Z,AIC173,"13.205334,77.70079",0,31,270
1553788428,2019-03-28T15:53:48Z,AIC173,"13.205338,77.700035",0,32,270
1553788438,2019-03-28T15:53:58Z,AIC173,"13.205349,77.699471",0,32,270
1553788451,2019-03-28T15:54:11Z,AIC173,"13.205357,77.698624",0,34,270
1553788462,2019-03-28T15:54:22Z,AIC173,"13.205357,77.697769",0,15,270
1553788473,2019-03-28T15:54:33Z,AIC173,"13.205372,77.696907",0,15,270
1553788492,2019-03-28T15:54:52Z,AIC173,"13.205383,77.695534",0,17,270
1553788501,2019-03-28T15:55:01Z,AIC173,"13.205383,77.694664",0,17,270
1553788507,2019-03-28T15:55:07Z,AIC173,"13.205392,77.694153",0,18,270
1553788519,2019-03-28T15:55:19Z,AIC173,"13.205403,77.69313",0,18,270
1553788525,2019-03-28T15:55:25Z,AIC173,"13.205403,77.692566",0,19,270
1553788531,2019-03-28T15:55:31Z,AIC173,"13.205415,77.691986",0,19,270
1553788583,2019-03-28T15:56:23Z,AIC173,"13.205439,77.6884",0,14,270
1553788622,2019-03-28T15:57:02Z,AIC173,"13.20545,77.687485",0,13,270
1553788636,2019-03-28T15:57:16Z,AIC173,"13.205462,77.687195",0,15,270
1553788792,2019-03-28T15:59:52Z,AIC173,"13.205475,77.686455",0,16,275
1553788808,2019-03-28T16:00:08Z,AIC173,"13.205795,77.686165",0,19,348
1553788829,2019-03-28T16:00:29Z,AIC173,"13.206047,77.686188",0,2,2
1553788958,2019-03-28T16:02:38Z,AIC173,"13.206997,77.68634",0,25,28
1553788970,2019-03-28T16:02:50Z,AIC173,"13.207191,77.686623",0,14,67
1553789009,2019-03-28T16:03:29Z,AIC173,"13.207146,77.688492",0,48,87
1553789018,2019-03-28T16:03:38Z,AIC173,"13.207137,77.690689",0,76,90
1553789026,2019-03-28T16:03:46Z,AIC173,"13.2071,77.695137",0,110,90
1553789035,2019-03-28T16:03:55Z,AIC173,"13.207043,77.701775",0,150,90
1553789041,2019-03-28T16:04:01Z,AIC173,"13.206997,77.706039",0,0,90
1553789090,2019-03-28T16:04:50Z,AIC173,"13.20726,77.746361",4700,175,90
1553789097,2019-03-28T16:04:57Z,AIC173,"13.207169,77.752045",4800,184,90
1553789103,2019-03-28T16:05:03Z,AIC173,"13.207056,77.757469",4900,192,90
1553789122,2019-03-28T16:05:22Z,AIC173,"13.206823,77.775299",5250,216,90
1553789133,2019-03-28T16:05:33Z,AIC173,"13.206637,77.788887",5575,232,90
1553789145,2019-03-28T16:05:45Z,AIC173,"13.207568,77.801903",5800,248,80
1553789151,2019-03-28T16:05:51Z,AIC173,"13.209756,77.809608",5925,258,71
1553789157,2019-03-28T16:05:57Z,AIC173,"13.213394,77.817017",6075,268,60
1553789163,2019-03-28T16:06:03Z,AIC173,"13.217377,77.822319",6175,269,52
1553789169,2019-03-28T16:06:09Z,AIC173,"13.222884,77.827629",6300,270,41
1553789175,2019-03-28T16:06:15Z,AIC173,"13.229736,77.832024",6425,272,29
1553789182,2019-03-28T16:06:22Z,AIC173,"13.237595,77.835052",6575,275,17
1553789188,2019-03-28T16:06:28Z,AIC173,"13.243881,77.836288",6750,276,10
1553789196,2019-03-28T16:06:36Z,AIC173,"13.256287,77.836143",7050,280,354
1553789203,2019-03-28T16:06:43Z,AIC173,"13.264801,77.834961",7275,278,352
1553789209,2019-03-28T16:06:49Z,AIC173,"13.271205,77.834038",7450,277,351
1553789216,2019-03-28T16:06:56Z,AIC173,"13.279587,77.832878",7675,277,352
1553789231,2019-03-28T16:07:11Z,AIC173,"13.300673,77.830086",8225,280,352
1553789257,2019-03-28T16:07:37Z,AIC173,"13.333008,77.825821",9075,280,352
1553789268,2019-03-28T16:07:48Z,AIC173,"13.348114,77.823837",9500,283,352
1553789281,2019-03-28T16:08:01Z,AIC173,"13.36496,77.821564",9850,286,352
1553789295,2019-03-28T16:08:15Z,AIC173,"13.384003,77.819",10175,287,352
1553789309,2019-03-28T16:08:29Z,AIC173,"13.400299,77.816826",10525,298,352
1553789320,2019-03-28T16:08:40Z,AIC173,"13.417969,77.814461",10775,314,352
1553789331,2019-03-28T16:08:51Z,AIC173,"13.435318,77.812088",11000,328,352
1553789343,2019-03-28T16:09:03Z,AIC173,"13.4549,77.809464",11250,339,352
1553789355,2019-03-28T16:09:15Z,AIC173,"13.472855,77.806976",11500,344,352
1553789365,2019-03-28T16:09:25Z,AIC173,"13.48865,77.80484",11750,352,352
1553789377,2019-03-28T16:09:37Z,AIC173,"13.508529,77.802185",11950,363,352
1553789389,2019-03-28T16:09:49Z,AIC173,"13.528976,77.801384",12000,377,356
