Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553874627,2019-03-29T15:50:27Z,AIC173,"13.201927,77.71035",0,2,168
1553874654,2019-03-29T15:50:54Z,AIC173,"13.202156,77.710274",0,2,194
1553874682,2019-03-29T15:51:22Z,AIC173,"13.202374,77.710297",0,2,264
1553874857,2019-03-29T15:54:17Z,AIC173,"13.202385,77.710464",0,0,270
1553875012,2019-03-29T15:56:52Z,AIC173,"13.202396,77.709991",0,20,270
1553875022,2019-03-29T15:57:02Z,AIC173,"13.202401,77.709457",0,28,270
1553875029,2019-03-29T15:57:09Z,AIC173,"13.202401,77.709091",0,30,270
1553875035,2019-03-29T15:57:15Z,AIC173,"13.202408,77.708717",0,32,270
1553875041,2019-03-29T15:57:21Z,AIC173,"13.202408,77.708237",0,34,270
1553875050,2019-03-29T15:57:30Z,AIC173,"13.202408,77.707649",0,15,270
1553875059,2019-03-29T15:57:39Z,AIC173,"13.202419,77.707047",0,28,270
1553875066,2019-03-29T15:57:46Z,AIC173,"13.202419,77.706711",0,26,270
1553875082,2019-03-29T15:58:02Z,AIC173,"13.202431,77.705887",0,27,270
1553875088,2019-03-29T15:58:08Z,AIC173,"13.202435,77.705528",0,28,270
1553875099,2019-03-29T15:58:19Z,AIC173,"13.202442,77.704926",0,30,270
1553875116,2019-03-29T15:58:36Z,AIC173,"13.202518,77.704056",0,17,292
1553875131,2019-03-29T15:58:51Z,AIC173,"13.20282,77.703926",0,14,348
1553875142,2019-03-29T15:59:02Z,AIC173,"13.203053,77.703926",0,13,357
1553875158,2019-03-29T15:59:18Z,AIC173,"13.203415,77.703934",0,17,355
1553875169,2019-03-29T15:59:29Z,AIC173,"13.203762,77.703941",0,20,3
1553875175,2019-03-29T15:59:35Z,AIC173,"13.203972,77.703941",0,23,3
1553875187,2019-03-29T15:59:47Z,AIC173,"13.204589,77.703941",0,26,3
1553875193,2019-03-29T15:59:53Z,AIC173,"13.20488,77.703941",0,25,358
1553875199,2019-03-29T15:59:59Z,AIC173,"13.205109,77.703911",0,25,343
1553875234,2019-03-29T16:00:34Z,AIC173,"13.205322,77.702133",0,26,270
1553875240,2019-03-29T16:00:40Z,AIC173,"13.205326,77.701836",0,26,270
