Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1553960602,2019-03-30T15:43:22Z,AIC173,"13.201668,77.710403",0,9,177
1553960622,2019-03-30T15:43:42Z,AIC173,"13.201881,77.710396",0,10,174
1553960656,2019-03-30T15:44:16Z,AIC173,"13.202305,77.710327",0,9,244
1553960671,2019-03-30T15:44:31Z,AIC173,"13.202099,77.710358",0,2,270
1553961043,2019-03-30T15:50:43Z,AIC173,"13.202389,77.710442",0,2,270
1553961067,2019-03-30T15:51:07Z,AIC173,"13.202385,77.709862",0,25,270
1553961073,2019-03-30T15:51:13Z,AIC173,"13.202389,77.709518",0,28,270
1553961081,2019-03-30T15:51:21Z,AIC173,"13.202401,77.709091",0,31,270
1553961095,2019-03-30T15:51:35Z,AIC173,"13.202408,77.708",0,15,270
1553961107,2019-03-30T15:51:47Z,AIC173,"13.202419,77.707115",0,17,270
1553961114,2019-03-30T15:51:54Z,AIC173,"13.202419,77.70652",0,18,270
1553961131,2019-03-30T15:52:11Z,AIC173,"13.202431,77.705032",0,19,270
1553961137,2019-03-30T15:52:17Z,AIC173,"13.202477,77.7043",0,20,275
1553961144,2019-03-30T15:52:24Z,AIC173,"13.202957,77.703934",0,18,337
1553961150,2019-03-30T15:52:30Z,AIC173,"13.203266,77.703934",0,18,337
1553961156,2019-03-30T15:52:36Z,AIC173,"13.203914,77.703949",0,17,1
1553961162,2019-03-30T15:52:42Z,AIC173,"13.204376,77.703957",0,17,1
1553961169,2019-03-30T15:52:49Z,AIC173,"13.20488,77.703949",0,15,359
1553961175,2019-03-30T15:52:55Z,AIC173,"13.205235,77.703773",0,32,320
1553961218,2019-03-30T15:53:38Z,AIC173,"13.205315,77.701004",0,33,270
1553961228,2019-03-30T15:53:48Z,AIC173,"13.205326,77.700294",0,33,270
1553961241,2019-03-30T15:54:01Z,AIC173,"13.205334,77.699333",0,34,270
1553961247,2019-03-30T15:54:07Z,AIC173,"13.205334,77.69902",0,15,270
1553961257,2019-03-30T15:54:17Z,AIC173,"13.205338,77.698204",0,15,270
1553961275,2019-03-30T15:54:35Z,AIC173,"13.20536,77.696831",0,16,270
1553961291,2019-03-30T15:54:51Z,AIC173,"13.205372,77.695381",0,22,270
1553961297,2019-03-30T15:54:57Z,AIC173,"13.205372,77.694733",0,23,270
1553961303,2019-03-30T15:55:03Z,AIC173,"13.205372,77.693985",0,24,270
1553961314,2019-03-30T15:55:14Z,AIC173,"13.205392,77.692749",0,24,270
1553961320,2019-03-30T15:55:20Z,AIC173,"13.205395,77.691963",0,24,270
1553961327,2019-03-30T15:55:27Z,AIC173,"13.205406,77.691154",0,24,270
1553961341,2019-03-30T15:55:41Z,AIC173,"13.205406,77.69001",0,15,270
1553961355,2019-03-30T15:55:55Z,AIC173,"13.205418,77.689011",0,28,270
1553961361,2019-03-30T15:56:01Z,AIC173,"13.205418,77.688789",0,13,270
1553961403,2019-03-30T15:56:43Z,AIC173,"13.205427,77.688698",0,9,270
1553961414,2019-03-30T15:56:54Z,AIC173,"13.205418,77.688461",0,21,270
1553961428,2019-03-30T15:57:08Z,AIC173,"13.205427,77.687843",0,25,270
1553961648,2019-03-30T16:00:48Z,AIC173,"13.205441,77.686554",0,12,270
1553961663,2019-03-30T16:01:03Z,AIC173,"13.205463,77.686317",0,14,281
1553961677,2019-03-30T16:01:17Z,AIC173,"13.205727,77.686172",0,13,340
1553961702,2019-03-30T16:01:42Z,AIC173,"13.206079,77.686195",0,2,2
1553961835,2019-03-30T16:03:55Z,AIC173,"13.206963,77.686287",0,27,16
1553961853,2019-03-30T16:04:13Z,AIC173,"13.207161,77.68718",0,31,90
1553961859,2019-03-30T16:04:19Z,AIC173,"13.207161,77.687988",0,28,90
1553961867,2019-03-30T16:04:27Z,AIC173,"13.207126,77.690086",0,66,90
1553961873,2019-03-30T16:04:33Z,AIC173,"13.207111,77.692024",0,88,90
1553961886,2019-03-30T16:04:46Z,AIC173,"13.207043,77.700294",0,140,90
1553961892,2019-03-30T16:04:52Z,AIC173,"13.207009,77.704308",0,155,90
1553961898,2019-03-30T16:04:58Z,AIC173,"13.206975,77.70842",0,0,90
1553961943,2019-03-30T16:05:43Z,AIC173,"13.20687,77.748703",4275,201,91
1553961950,2019-03-30T16:05:50Z,AIC173,"13.206757,77.755028",4350,211,91
1553961956,2019-03-30T16:05:56Z,AIC173,"13.206637,77.76162",4450,220,91
1553961962,2019-03-30T16:06:02Z,AIC173,"13.206544,77.767204",4575,227,90
1553961968,2019-03-30T16:06:08Z,AIC173,"13.20645,77.774719",4775,234,90
1553961975,2019-03-30T16:06:15Z,AIC173,"13.206405,77.781662",5025,236,90
1553961987,2019-03-30T16:06:27Z,AIC173,"13.206573,77.794518",5575,238,86
1553961993,2019-03-30T16:06:33Z,AIC173,"13.207707,77.801758",5875,239,78
1553961999,2019-03-30T16:06:39Z,AIC173,"13.209824,77.808731",6175,240,71
1553962007,2019-03-30T16:06:47Z,AIC173,"13.214584,77.817627",6575,243,57
1553962014,2019-03-30T16:06:54Z,AIC173,"13.218887,77.823029",6875,245,48
1553962021,2019-03-30T16:07:01Z,AIC173,"13.224607,77.82811",7150,246,40
1553962029,2019-03-30T16:07:09Z,AIC173,"13.233902,77.833397",7575,249,24
1553962035,2019-03-30T16:07:15Z,AIC173,"13.240108,77.835342",7900,250,16
1553962041,2019-03-30T16:07:21Z,AIC173,"13.247452,77.836479",8200,250,6
1553962047,2019-03-30T16:07:27Z,AIC173,"13.254911,77.836304",8475,251,357
1553962055,2019-03-30T16:07:35Z,AIC173,"13.262604,77.835342",8775,252,352
1553962063,2019-03-30T16:07:43Z,AIC173,"13.272629,77.833923",9250,252,352
1553962070,2019-03-30T16:07:50Z,AIC173,"13.279631,77.832932",9475,254,352
1553962082,2019-03-30T16:08:02Z,AIC173,"13.294341,77.830956",9850,266,352
1553962093,2019-03-30T16:08:13Z,AIC173,"13.310165,77.828903",10100,282,352
1553962106,2019-03-30T16:08:26Z,AIC173,"13.325671,77.826813",10400,295,352
1553962119,2019-03-30T16:08:39Z,AIC173,"13.343966,77.824066",10600,313,350
1553962130,2019-03-30T16:08:50Z,AIC173,"13.360538,77.820694",11000,322,347
1553962143,2019-03-30T16:09:03Z,AIC173,"13.379333,77.816444",11575,324,347
1553962155,2019-03-30T16:09:15Z,AIC173,"13.396756,77.812256",12125,327,346
1553962186,2019-03-30T16:09:46Z,AIC173,"13.442191,77.799782",13525,332,344
