Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1554047962,2019-03-31T15:59:22Z,AIC173,"13.201668,77.705864",0,0,180
1554048009,2019-03-31T16:00:09Z,AIC173,"13.201881,77.705872",0,2,157
1554048039,2019-03-31T16:00:39Z,AIC173,"13.202098,77.705772",0,2,177
1554048065,2019-03-31T16:01:05Z,AIC173,"13.202308,77.705711",0,2,230
1554048107,2019-03-31T16:01:47Z,AIC173,"13.202431,77.705917",0,0,89
1554048274,2019-03-31T16:04:34Z,AIC173,"13.202424,77.705925",0,0,180
1554048462,2019-03-31T16:07:42Z,AIC173,"13.202435,77.705597",0,15,270
1554048473,2019-03-31T16:07:53Z,AIC173,"13.202431,77.705246",0,18,270
1554048486,2019-03-31T16:08:06Z,AIC173,"13.202435,77.704781",0,22,270
1554048492,2019-03-31T16:08:12Z,AIC173,"13.202435,77.704491",0,27,270
1554048515,2019-03-31T16:08:35Z,AIC173,"13.202447,77.703239",0,26,270
1554048528,2019-03-31T16:08:48Z,AIC173,"13.202459,77.702614",0,28,270
1554048539,2019-03-31T16:08:59Z,AIC173,"13.202465,77.701942",0,32,270
1554048545,2019-03-31T16:09:05Z,AIC173,"13.202471,77.701508",0,15,270
1554048572,2019-03-31T16:09:32Z,AIC173,"13.202488,77.699394",0,16,270
1554048584,2019-03-31T16:09:44Z,AIC173,"13.202494,77.698357",0,17,270
1554048599,2019-03-31T16:09:59Z,AIC173,"13.202522,77.697052",0,18,272
1554048608,2019-03-31T16:10:08Z,AIC173,"13.202522,77.69622",0,19,267
1554048614,2019-03-31T16:10:14Z,AIC173,"13.202518,77.695648",0,18,270
1554048621,2019-03-31T16:10:21Z,AIC173,"13.202522,77.695145",0,17,270
1554048635,2019-03-31T16:10:35Z,AIC173,"13.202522,77.694176",0,26,270
1554048642,2019-03-31T16:10:42Z,AIC173,"13.202534,77.693878",0,24,272
1554048650,2019-03-31T16:10:50Z,AIC173,"13.202591,77.69355",0,21,289
1554048666,2019-03-31T16:11:06Z,AIC173,"13.203064,77.693321",0,18,357
1554048677,2019-03-31T16:11:17Z,AIC173,"13.203448,77.693336",0,23,5
1554048690,2019-03-31T16:11:30Z,AIC173,"13.204146,77.693352",0,31,1
1554048705,2019-03-31T16:11:45Z,AIC173,"13.205077,77.693336",0,29,348
1554048724,2019-03-31T16:12:04Z,AIC173,"13.205395,77.692566",0,25,270
1554048730,2019-03-31T16:12:10Z,AIC173,"13.205395,77.692284",0,26,270
1554048740,2019-03-31T16:12:20Z,AIC173,"13.205406,77.691689",0,28,270
1554048754,2019-03-31T16:12:34Z,AIC173,"13.205415,77.690941",0,30,270
1554048763,2019-03-31T16:12:43Z,AIC173,"13.205418,77.690331",0,31,270
1554048769,2019-03-31T16:12:49Z,AIC173,"13.205418,77.690018",0,32,270
1554048781,2019-03-31T16:13:01Z,AIC173,"13.205418,77.689171",0,33,270
1554048963,2019-03-31T16:16:03Z,AIC173,"13.205452,77.6866",0,11,275
1554048980,2019-03-31T16:16:20Z,AIC173,"13.205729,77.686256",0,17,323
1554049122,2019-03-31T16:18:42Z,AIC173,"13.206637,77.686203",0,23,8
1554049129,2019-03-31T16:18:49Z,AIC173,"13.206894,77.686302",0,22,28
1554049148,2019-03-31T16:19:08Z,AIC173,"13.207169,77.686943",0,23,90
1554049154,2019-03-31T16:19:14Z,AIC173,"13.207169,77.687248",0,28,90
1554049165,2019-03-31T16:19:25Z,AIC173,"13.207126,77.688606",0,41,92
1554049172,2019-03-31T16:19:32Z,AIC173,"13.207126,77.69072",0,74,90
1554049188,2019-03-31T16:19:48Z,AIC173,"13.207054,77.698746",0,135,90
1554049194,2019-03-31T16:19:54Z,AIC173,"13.207021,77.703346",0,155,90
1554049200,2019-03-31T16:20:00Z,AIC173,"13.206997,77.707695",0,0,90
1554049249,2019-03-31T16:20:49Z,AIC173,"13.207056,77.748367",4575,186,91
1554049260,2019-03-31T16:21:00Z,AIC173,"13.206823,77.76046",4800,203,91
1554049267,2019-03-31T16:21:07Z,AIC173,"13.206665,77.766815",4925,211,91
1554049273,2019-03-31T16:21:13Z,AIC173,"13.206573,77.772171",5000,220,91
1554049284,2019-03-31T16:21:24Z,AIC173,"13.206264,77.78624",5250,238,90
1554049297,2019-03-31T16:21:37Z,AIC173,"13.206218,77.799347",5725,244,89
1554049306,2019-03-31T16:21:46Z,AIC173,"13.207764,77.81076",6125,247,76
1554049312,2019-03-31T16:21:52Z,AIC173,"13.210221,77.817177",6400,248,67
1554049318,2019-03-31T16:21:58Z,AIC173,"13.21362,77.822906",6700,251,56
1554049324,2019-03-31T16:22:04Z,AIC173,"13.218973,77.828735",7000,253,43
1554049330,2019-03-31T16:22:10Z,AIC173,"13.224607,77.832886",7275,254,33
1554049337,2019-03-31T16:22:17Z,AIC173,"13.231589,77.83606",7550,258,19
1554049343,2019-03-31T16:22:23Z,AIC173,"13.238022,77.837517",7825,261,10
1554049351,2019-03-31T16:22:31Z,AIC173,"13.249832,77.837234",8150,268,353
1554049357,2019-03-31T16:22:37Z,AIC173,"13.257614,77.836143",8300,275,351
1554049364,2019-03-31T16:22:44Z,AIC173,"13.265944,77.834999",8450,282,352
1554049370,2019-03-31T16:22:50Z,AIC173,"13.272766,77.834061",8675,286,352
1554049385,2019-03-31T16:23:05Z,AIC173,"13.293549,77.831177",9200,282,352
1554049397,2019-03-31T16:23:17Z,AIC173,"13.308959,77.82917",9525,277,352
1554049409,2019-03-31T16:23:29Z,AIC173,"13.325298,77.826904",9800,285,352
1554049421,2019-03-31T16:23:41Z,AIC173,"13.34079,77.82473",10275,291,352
1554049433,2019-03-31T16:23:53Z,AIC173,"13.358139,77.822319",10575,303,352
1554049445,2019-03-31T16:24:05Z,AIC173,"13.374318,77.820114",10825,316,352
1554049457,2019-03-31T16:24:17Z,AIC173,"13.393777,77.817322",11225,328,351
1554049470,2019-03-31T16:24:30Z,AIC173,"13.412025,77.814621",11800,331,351
1554049483,2019-03-31T16:24:43Z,AIC173,"13.431531,77.811874",12400,331,352
1554049513,2019-03-31T16:25:13Z,AIC173,"13.478362,77.805946",13250,353,352
1554049546,2019-03-31T16:25:46Z,AIC173,"13.534318,77.799202",13975,360,353
1554049579,2019-03-31T16:26:19Z,AIC173,"13.5906,77.792458",14675,366,352
1554049609,2019-03-31T16:26:49Z,AIC173,"13.641389,77.784889",15625,379,351
1554049643,2019-03-31T16:27:23Z,AIC173,"13.701488,77.775352",17050,380,351
1554049672,2019-03-31T16:27:52Z,AIC173,"13.753532,77.767303",17950,389,351
1554049706,2019-03-31T16:28:26Z,AIC173,"13.814656,77.757904",19025,397,351
1554049775,2019-03-31T16:29:35Z,AIC173,"13.943253,77.745461",21100,414,7
1554049781,2019-03-31T16:29:41Z,AIC173,"13.954638,77.747742",21250,417,12
1554049845,2019-03-31T16:30:45Z,AIC173,"14.074768,77.776955",23200,424,13
1554049905,2019-03-31T16:31:45Z,AIC173,"14.193498,77.806381",24550,441,13
1554049968,2019-03-31T16:32:48Z,AIC173,"14.31958,77.837852",26300,443,13
1554050031,2019-03-31T16:33:51Z,AIC173,"14.450513,77.868393",27325,457,9
1554050091,2019-03-31T16:34:51Z,AIC173,"14.57639,77.882751",28425,460,6
1554050155,2019-03-31T16:35:55Z,AIC173,"14.713531,77.897705",29350,466,6
1554050219,2019-03-31T16:36:59Z,AIC173,"14.849931,77.912636",30525,466,6
1554050281,2019-03-31T16:38:01Z,AIC173,"14.98407,77.927277",31975,457,6
1554050345,2019-03-31T16:39:05Z,AIC173,"15.118118,77.941818",32000,459,6
1554050405,2019-03-31T16:40:05Z,AIC173,"15.245299,77.95575",32000,463,6
1554050468,2019-03-31T16:41:08Z,AIC173,"15.381042,77.970642",32000,459,6
1554050531,2019-03-31T16:42:11Z,AIC173,"15.515395,77.98542",32000,462,6
1554050591,2019-03-31T16:43:11Z,AIC173,"15.642576,77.999451",32225,464,6
1554050655,2019-03-31T16:44:15Z,AIC173,"15.780976,78.014557",33125,468,6
1554050685,2019-03-31T16:44:45Z,AIC173,"15.844799,78.017647",33475,464,356
1554050691,2019-03-31T16:44:51Z,AIC173,"15.857973,78.016075",33625,460,352
1554050697,2019-03-31T16:44:57Z,AIC173,"15.871262,78.013481",33775,456,348
1554050703,2019-03-31T16:45:03Z,AIC173,"15.88385,78.01001",33875,452,344
1554050710,2019-03-31T16:45:10Z,AIC173,"15.894516,78.006348",33950,449,340
1554050718,2019-03-31T16:45:18Z,AIC173,"15.912486,77.998665",34000,444,336
1554050725,2019-03-31T16:45:25Z,AIC173,"15.92417,77.993317",34000,443,336
1554050787,2019-03-31T16:46:27Z,AIC173,"16.043152,77.938889",34000,447,336
1554050847,2019-03-31T16:47:27Z,AIC173,"16.158142,77.885956",34000,444,336
1554050911,2019-03-31T16:48:31Z,AIC173,"16.27401,77.833771",34000,428,339
1554050929,2019-03-31T16:48:49Z,AIC173,"16.308784,77.823174",34000,430,346
1554050935,2019-03-31T16:48:55Z,AIC173,"16.321028,77.82077",34000,432,350
1554050941,2019-03-31T16:49:01Z,AIC173,"16.333054,77.819199",34000,435,353
1554050948,2019-03-31T16:49:08Z,AIC173,"16.345236,77.81842",34000,437,357
1554050957,2019-03-31T16:49:17Z,AIC173,"16.36274,77.818077",34000,439,359
1554051025,2019-03-31T16:50:25Z,AIC173,"16.504583,77.816948",34000,441,358
1554051085,2019-03-31T16:51:25Z,AIC173,"16.629089,77.814087",34000,446,358
1554051167,2019-03-31T16:52:47Z,AIC173,"16.798189,77.814247",34050,451,4
1554051176,2019-03-31T16:52:56Z,AIC173,"16.817461,77.816994",34050,456,9
1554051191,2019-03-31T16:53:11Z,AIC173,"16.847347,77.824402",34050,460,15
1554051198,2019-03-31T16:53:18Z,AIC173,"16.86058,77.828308",34050,461,15
1554051257,2019-03-31T16:54:17Z,AIC173,"16.984631,77.86908",33975,462,21
1554051321,2019-03-31T16:55:21Z,AIC173,"17.110291,77.918221",33950,455,16
1554051348,2019-03-31T16:55:48Z,AIC173,"17.165905,77.930634",33950,448,7
