Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544750289,2018-12-14T01:18:09Z,AIC640,"13.201726,77.707085",0,0,132
1544750329,2018-12-14T01:18:49Z,AIC640,"13.201936,77.707085",0,10,171
1544750357,2018-12-14T01:19:17Z,AIC640,"13.202225,77.707001",0,2,205
1544750663,2018-12-14T01:24:23Z,AIC640,"13.202419,77.706787",0,12,270
1544750675,2018-12-14T01:24:35Z,AIC640,"13.202431,77.706512",0,16,270
1544750688,2018-12-14T01:24:48Z,AIC640,"13.202431,77.706146",0,20,270
1544750699,2018-12-14T01:24:59Z,AIC640,"13.202431,77.705704",0,20,270
1544750711,2018-12-14T01:25:11Z,AIC640,"13.202435,77.705238",0,21,270
1544750724,2018-12-14T01:25:24Z,AIC640,"13.202435,77.704742",0,21,270
1544750736,2018-12-14T01:25:36Z,AIC640,"13.202465,77.704262",0,21,275
1544750746,2018-12-14T01:25:46Z,AIC640,"13.202637,77.703987",0,18,312
1544750754,2018-12-14T01:25:54Z,AIC640,"13.202867,77.703926",0,14,343
1544750769,2018-12-14T01:26:09Z,AIC640,"13.203209,77.703918",0,16,359
1544750778,2018-12-14T01:26:18Z,AIC640,"13.203518,77.703926",0,19,1
1544750785,2018-12-14T01:26:25Z,AIC640,"13.203758,77.703934",0,21,1
1544750793,2018-12-14T01:26:33Z,AIC640,"13.204123,77.703941",0,23,1
1544750801,2018-12-14T01:26:41Z,AIC640,"13.204388,77.703934",0,23,358
1544750821,2018-12-14T01:27:01Z,AIC640,"13.205264,77.703712",0,28,303
1544750866,2018-12-14T01:27:46Z,AIC640,"13.205322,77.701477",0,23,270
1544750872,2018-12-14T01:27:52Z,AIC640,"13.205326,77.701218",0,24,270
1544750878,2018-12-14T01:27:58Z,AIC640,"13.205326,77.700912",0,27,270
1544750884,2018-12-14T01:28:04Z,AIC640,"13.205322,77.700554",0,30,270
1544750890,2018-12-14T01:28:10Z,AIC640,"13.205326,77.700134",0,33,270
1544750900,2018-12-14T01:28:20Z,AIC640,"13.205338,77.699448",0,16,270
1544750912,2018-12-14T01:28:32Z,AIC640,"13.205345,77.698555",0,15,270
1544750922,2018-12-14T01:28:42Z,AIC640,"13.205349,77.697861",0,15,270
1544750929,2018-12-14T01:28:49Z,AIC640,"13.205345,77.697311",0,15,270
1544750937,2018-12-14T01:28:57Z,AIC640,"13.205357,77.696709",0,15,270
1544750954,2018-12-14T01:29:14Z,AIC640,"13.205372,77.69548",0,15,270
1544750963,2018-12-14T01:29:23Z,AIC640,"13.205372,77.694878",0,15,270
1544750969,2018-12-14T01:29:29Z,AIC640,"13.20538,77.694435",0,15,270
1544750975,2018-12-14T01:29:35Z,AIC640,"13.20538,77.693939",0,15,270
1544750982,2018-12-14T01:29:42Z,AIC640,"13.205383,77.693466",0,15,270
1544750994,2018-12-14T01:29:54Z,AIC640,"13.205392,77.692665",0,15,270
1544751002,2018-12-14T01:30:02Z,AIC640,"13.205392,77.69207",0,15,270
1544751010,2018-12-14T01:30:10Z,AIC640,"13.205395,77.691521",0,15,270
1544751019,2018-12-14T01:30:19Z,AIC640,"13.205406,77.690788",0,15,270
1544751027,2018-12-14T01:30:27Z,AIC640,"13.205415,77.690193",0,15,270
1544751036,2018-12-14T01:30:36Z,AIC640,"13.205427,77.689507",0,15,270
1544751047,2018-12-14T01:30:47Z,AIC640,"13.205429,77.688766",0,15,270
1544751066,2018-12-14T01:31:06Z,AIC640,"13.205441,77.687485",0,15,270
1544751095,2018-12-14T01:31:35Z,AIC640,"13.205834,77.686172",0,21,348
1544751157,2018-12-14T01:32:37Z,AIC640,"13.206323,77.68618",0,14,348
1544751176,2018-12-14T01:32:56Z,AIC640,"13.20702,77.686256",0,24,14
1544751242,2018-12-14T01:34:02Z,AIC640,"13.207169,77.687073",0,15,90
1544751249,2018-12-14T01:34:09Z,AIC640,"13.207146,77.687996",0,39,90
1544751260,2018-12-14T01:34:20Z,AIC640,"13.207114,77.69175",0,88,90
1544751271,2018-12-14T01:34:31Z,AIC640,"13.207079,77.696701",0,120,90
1544751283,2018-12-14T01:34:43Z,AIC640,"13.207009,77.705215",0,155,90
1544751330,2018-12-14T01:35:30Z,AIC640,"13.206711,77.745461",4275,179,91
1544751337,2018-12-14T01:35:37Z,AIC640,"13.206637,77.750824",4400,186,91
1544751343,2018-12-14T01:35:43Z,AIC640,"13.206573,77.755074",4500,191,90
1544751349,2018-12-14T01:35:49Z,AIC640,"13.206528,77.761612",4600,199,90
1544751355,2018-12-14T01:35:55Z,AIC640,"13.206528,77.76786",4750,209,90
1544751364,2018-12-14T01:36:04Z,AIC640,"13.206497,77.776985",5050,216,90
1544751376,2018-12-14T01:36:16Z,AIC640,"13.206345,77.789978",5525,224,90
1544751389,2018-12-14T01:36:29Z,AIC640,"13.206116,77.802948",6000,232,90
1544751410,2018-12-14T01:36:50Z,AIC640,"13.212317,77.825508",6900,237,57
