Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1544836464,2018-12-15T01:14:24Z,AIC640,"13.201847,77.705482",0,9,174
1544836492,2018-12-15T01:14:52Z,AIC640,"13.202099,77.705437",0,2,171
1544836527,2018-12-15T01:15:27Z,AIC640,"13.202343,77.705399",0,2,236
1544836639,2018-12-15T01:17:19Z,AIC640,"13.202413,77.705513",0,0,89
1544836826,2018-12-15T01:20:26Z,AIC640,"13.202435,77.704681",0,20,272
1544836835,2018-12-15T01:20:35Z,AIC640,"13.202477,77.704323",0,21,281
1544836842,2018-12-15T01:20:42Z,AIC640,"13.202587,77.704117",0,19,309
1544836853,2018-12-15T01:20:53Z,AIC640,"13.202877,77.703957",0,16,337
1544836862,2018-12-15T01:21:02Z,AIC640,"13.203111,77.703926",0,16,354
1544836874,2018-12-15T01:21:14Z,AIC640,"13.203403,77.703934",0,19,5
1544836880,2018-12-15T01:21:20Z,AIC640,"13.203667,77.703934",0,21,3
1544836889,2018-12-15T01:21:29Z,AIC640,"13.204077,77.703926",0,25,358
1544836901,2018-12-15T01:21:41Z,AIC640,"13.2046,77.703941",0,22,3
1544836917,2018-12-15T01:21:57Z,AIC640,"13.205135,77.70385",0,21,329
1544836929,2018-12-15T01:22:09Z,AIC640,"13.205303,77.703423",0,21,272
1544836935,2018-12-15T01:22:15Z,AIC640,"13.205315,77.703194",0,20,272
1544836943,2018-12-15T01:22:23Z,AIC640,"13.205311,77.702866",0,20,270
1544836954,2018-12-15T01:22:34Z,AIC640,"13.205311,77.702454",0,20,270
1544836961,2018-12-15T01:22:41Z,AIC640,"13.205315,77.702202",0,21,270
1544836968,2018-12-15T01:22:48Z,AIC640,"13.205315,77.70192",0,23,270
1544836979,2018-12-15T01:22:59Z,AIC640,"13.205338,77.701347",0,27,272
1544836985,2018-12-15T01:23:05Z,AIC640,"13.205334,77.70105",0,28,270
1544836992,2018-12-15T01:23:12Z,AIC640,"13.205334,77.700623",0,30,270
1544837003,2018-12-15T01:23:23Z,AIC640,"13.205338,77.699844",0,33,272
1544837009,2018-12-15T01:23:29Z,AIC640,"13.205345,77.699409",0,15,270
1544837018,2018-12-15T01:23:38Z,AIC640,"13.205338,77.698875",0,15,270
1544837024,2018-12-15T01:23:44Z,AIC640,"13.205345,77.698395",0,15,270
1544837032,2018-12-15T01:23:52Z,AIC640,"13.205345,77.697792",0,15,270
1544837051,2018-12-15T01:24:11Z,AIC640,"13.205369,77.696266",0,16,270
1544837058,2018-12-15T01:24:18Z,AIC640,"13.205372,77.695786",0,16,270
1544837064,2018-12-15T01:24:24Z,AIC640,"13.205369,77.695297",0,16,270
1544837074,2018-12-15T01:24:34Z,AIC640,"13.20538,77.69458",0,16,270
1544837081,2018-12-15T01:24:41Z,AIC640,"13.205383,77.693977",0,17,270
1544837090,2018-12-15T01:24:50Z,AIC640,"13.205392,77.693382",0,29,270
1544837104,2018-12-15T01:25:04Z,AIC640,"13.205395,77.692696",0,24,270
1544837115,2018-12-15T01:25:15Z,AIC640,"13.205403,77.692276",0,15,270
1544837127,2018-12-15T01:25:27Z,AIC640,"13.205403,77.69207",0,10,270
1544837146,2018-12-15T01:25:46Z,AIC640,"13.205403,77.691856",0,2,270
1544837177,2018-12-15T01:26:17Z,AIC640,"13.205395,77.69149",0,12,270
1544837254,2018-12-15T01:27:34Z,AIC640,"13.205395,77.690994",0,2,270
1544837272,2018-12-15T01:27:52Z,AIC640,"13.205395,77.691444",0,11,272
1544837299,2018-12-15T01:28:19Z,AIC640,"13.205403,77.690277",0,15,270
1544837334,2018-12-15T01:28:54Z,AIC640,"13.205415,77.689461",0,11,270
1544837402,2018-12-15T01:30:02Z,AIC640,"13.205427,77.688446",0,2,270
1544837649,2018-12-15T01:34:09Z,AIC640,"13.205429,77.687958",0,15,270
1544837667,2018-12-15T01:34:27Z,AIC640,"13.205439,77.687515",0,17,270
1544837678,2018-12-15T01:34:38Z,AIC640,"13.205439,77.687157",0,17,270
1544837770,2018-12-15T01:36:10Z,AIC640,"13.205473,77.68647",0,14,281
1544837787,2018-12-15T01:36:27Z,AIC640,"13.20575,77.686172",0,14,326
1544837804,2018-12-15T01:36:44Z,AIC640,"13.205951,77.686157",0,9,354
1544837910,2018-12-15T01:38:30Z,AIC640,"13.206322,77.686188",0,19,2
1544837922,2018-12-15T01:38:42Z,AIC640,"13.20673,77.686226",0,20,8
1544837934,2018-12-15T01:38:54Z,AIC640,"13.207103,77.686409",0,18,36
1544837955,2018-12-15T01:39:15Z,AIC640,"13.207169,77.687325",0,18,90
1544837963,2018-12-15T01:39:23Z,AIC640,"13.207161,77.688652",0,48,90
1544837970,2018-12-15T01:39:30Z,AIC640,"13.207146,77.690887",0,76,90
1544837980,2018-12-15T01:39:40Z,AIC640,"13.207091,77.69529",0,110,90
1544837992,2018-12-15T01:39:52Z,AIC640,"13.207033,77.70266",0,150,90
1544838004,2018-12-15T01:40:04Z,AIC640,"13.20694,77.712646",2925,175,90
1544838010,2018-12-15T01:40:10Z,AIC640,"13.206848,77.716812",3100,174,91
1544838021,2018-12-15T01:40:21Z,AIC640,"13.20645,77.7276",3575,173,92
1544838027,2018-12-15T01:40:27Z,AIC640,"13.206218,77.732323",3825,172,93
1544838033,2018-12-15T01:40:33Z,AIC640,"13.205939,77.737526",4075,172,92
1544838041,2018-12-15T01:40:41Z,AIC640,"13.205795,77.742622",4225,177,90
1544838061,2018-12-15T01:41:01Z,AIC640,"13.206024,77.761658",4650,203,89
1544838068,2018-12-15T01:41:08Z,AIC640,"13.20607,77.767578",4800,209,89
1544838074,2018-12-15T01:41:14Z,AIC640,"13.206079,77.773468",4975,216,89
1544838080,2018-12-15T01:41:20Z,AIC640,"13.20607,77.780365",5225,223,90
1544838091,2018-12-15T01:41:31Z,AIC640,"13.206024,77.793671",5675,234,90
1544838120,2018-12-15T01:42:00Z,AIC640,"13.21106,77.823456",6925,241,61
1544838126,2018-12-15T01:42:06Z,AIC640,"13.215435,77.828979",7175,242,46
1544838134,2018-12-15T01:42:14Z,AIC640,"13.223954,77.834908",7600,242,28
1544838140,2018-12-15T01:42:20Z,AIC640,"13.2301,77.836975",7850,242,15
1544838147,2018-12-15T01:42:27Z,AIC640,"13.237408,77.837799",8075,249,2
1544838167,2018-12-15T01:42:47Z,AIC640,"13.261642,77.82975",8525,276,332
1544838174,2018-12-15T01:42:54Z,AIC640,"13.268785,77.825844",8700,283,331
1544838185,2018-12-15T01:43:05Z,AIC640,"13.282145,77.818382",9175,290,331
1544838198,2018-12-15T01:43:18Z,AIC640,"13.297531,77.809914",9775,291,331
1544838210,2018-12-15T01:43:30Z,AIC640,"13.31259,77.801659",10425,293,331
1544838222,2018-12-15T01:43:42Z,AIC640,"13.326695,77.793854",10750,303,331
1544838234,2018-12-15T01:43:54Z,AIC640,"13.342523,77.785034",11000,317,331
1544838246,2018-12-15T01:44:06Z,AIC640,"13.358444,77.776169",11250,333,331
1544838258,2018-12-15T01:44:18Z,AIC640,"13.374527,77.767288",11650,341,331
1544838271,2018-12-15T01:44:31Z,AIC640,"13.392975,77.757065",12200,344,331
1544838305,2018-12-15T01:45:05Z,AIC640,"13.442611,77.729576",13750,350,331
1544838338,2018-12-15T01:45:38Z,AIC640,"13.488968,77.70388",14825,367,331
1544838373,2018-12-15T01:46:13Z,AIC640,"13.542252,77.674431",15675,387,331
1544838406,2018-12-15T01:46:46Z,AIC640,"13.594849,77.645355",16925,391,331
1544838439,2018-12-15T01:47:19Z,AIC640,"13.648697,77.615517",18025,395,331
1544838498,2018-12-15T01:48:18Z,AIC640,"13.745293,77.56208",19925,403,331
1544838562,2018-12-15T01:49:22Z,AIC640,"13.85106,77.503532",21850,404,331
1544838623,2018-12-15T01:50:23Z,AIC640,"13.952776,77.44706",23300,413,331
1544838686,2018-12-15T01:51:26Z,AIC640,"14.060731,77.387169",24975,416,331
1544838749,2018-12-15T01:52:29Z,AIC640,"14.170129,77.326355",26225,427,331
1544838809,2018-12-15T01:53:29Z,AIC640,"14.276175,77.267326",27200,441,331
1544838874,2018-12-15T01:54:34Z,AIC640,"14.392914,77.202347",28400,448,331
1544838933,2018-12-15T01:55:33Z,AIC640,"14.503349,77.140747",29725,448,331
1544838996,2018-12-15T01:56:36Z,AIC640,"14.620103,77.080994",31000,449,338
1544839063,2018-12-15T01:57:43Z,AIC640,"14.74896,77.033432",32450,448,340
1544839084,2018-12-15T01:58:04Z,AIC640,"14.791306,77.017853",32825,450,340
1544839117,2018-12-15T01:58:37Z,AIC640,"14.853699,76.987511",33350,452,328
1544839182,2018-12-15T01:59:42Z,AIC640,"14.956861,76.902336",34025,443,320
1544839243,2018-12-15T02:00:43Z,AIC640,"15.052573,76.820038",34000,446,320
1544839304,2018-12-15T02:01:44Z,AIC640,"15.152618,76.733765",34000,446,319
1544839367,2018-12-15T02:02:47Z,AIC640,"15.252777,76.647079",34000,446,319
1544839430,2018-12-15T02:03:50Z,AIC640,"15.353067,76.560486",34025,445,319
1544839490,2018-12-15T02:04:50Z,AIC640,"15.44751,76.478722",34000,444,320
1544839554,2018-12-15T02:05:54Z,AIC640,"15.548355,76.391167",34000,443,319
1544839619,2018-12-15T02:06:59Z,AIC640,"15.647781,76.305016",34000,442,319
1544839680,2018-12-15T02:08:00Z,AIC640,"15.746841,76.218613",34000,442,319
1544839745,2018-12-15T02:09:05Z,AIC640,"15.846497,76.131981",34000,443,319
1544839804,2018-12-15T02:10:04Z,AIC640,"15.941528,76.049049",34000,444,319
1544839867,2018-12-15T02:11:07Z,AIC640,"16.040863,75.96241",34000,443,319
1544839931,2018-12-15T02:12:11Z,AIC640,"16.13859,75.877029",33975,442,319
1544839995,2018-12-15T02:13:15Z,AIC640,"16.239075,75.789139",34025,440,319
1544840056,2018-12-15T02:14:16Z,AIC640,"16.337181,75.703011",33975,439,319
1544840117,2018-12-15T02:15:17Z,AIC640,"16.431963,75.619881",34000,440,319
1544840180,2018-12-15T02:16:20Z,AIC640,"16.529024,75.534485",33975,440,320
1544840243,2018-12-15T02:17:23Z,AIC640,"16.623339,75.443016",34000,437,311
1544840309,2018-12-15T02:18:29Z,AIC640,"16.703966,75.337814",34000,436,308
1544840368,2018-12-15T02:19:28Z,AIC640,"16.77873,75.239037",34000,434,307
1544840430,2018-12-15T02:20:30Z,AIC640,"16.8561,75.136772",34025,432,308
1544840493,2018-12-15T02:21:33Z,AIC640,"16.93482,75.032303",34000,428,307
1544840555,2018-12-15T02:22:35Z,AIC640,"17.009811,74.932686",33975,426,307
1544840618,2018-12-15T02:23:38Z,AIC640,"17.085983,74.831299",33975,426,307
1544840681,2018-12-15T02:24:41Z,AIC640,"17.163996,74.727242",34000,426,307
1544840744,2018-12-15T02:25:44Z,AIC640,"17.24057,74.625305",34000,425,307
1544840804,2018-12-15T02:26:44Z,AIC640,"17.314127,74.527084",34000,426,307
1544840868,2018-12-15T02:27:48Z,AIC640,"17.3909,74.424278",34025,424,307
1544840931,2018-12-15T02:28:51Z,AIC640,"17.466797,74.32251",33100,422,307
1544840994,2018-12-15T02:29:54Z,AIC640,"17.542791,74.220245",32025,425,307
1544841054,2018-12-15T02:30:54Z,AIC640,"17.616251,74.121468",31050,430,307
1544841120,2018-12-15T02:32:00Z,AIC640,"17.69511,74.015381",29950,424,307
1544841147,2018-12-15T02:32:27Z,AIC640,"17.72751,73.971733",29500,421,307
1544841238,2018-12-15T02:33:58Z,AIC640,"17.83486,73.82695",28000,404,307
1544841297,2018-12-15T02:34:57Z,AIC640,"17.900436,73.738304",27025,395,307
1544841360,2018-12-15T02:36:00Z,AIC640,"17.971865,73.641556",25950,391,307
1544841423,2018-12-15T02:37:03Z,AIC640,"18.040808,73.548119",24900,380,307
1544841485,2018-12-15T02:38:05Z,AIC640,"18.106215,73.459351",22725,373,307
1544841535,2018-12-15T02:38:55Z,AIC640,"18.158445,73.391319",21975,341,317
1544841545,2018-12-15T02:39:05Z,AIC640,"18.171991,73.381317",21700,343,328
1544841554,2018-12-15T02:39:14Z,AIC640,"18.184982,73.374985",21500,344,336
1544841560,2018-12-15T02:39:20Z,AIC640,"18.193085,73.371307",21375,342,336
1544841626,2018-12-15T02:40:26Z,AIC640,"18.289862,73.327545",19550,329,336
1544841688,2018-12-15T02:41:28Z,AIC640,"18.376556,73.288666",18050,337,336
1544841749,2018-12-15T02:42:29Z,AIC640,"18.466434,73.24865",17000,341,336
1544841779,2018-12-15T02:42:59Z,AIC640,"18.510452,73.228683",16500,333,336
1544841811,2018-12-15T02:43:31Z,AIC640,"18.553207,73.209503",16000,327,336
1544841847,2018-12-15T02:44:07Z,AIC640,"18.603104,73.187042",15400,321,337
1544841877,2018-12-15T02:44:37Z,AIC640,"18.644917,73.168297",14975,309,336
1544841903,2018-12-15T02:45:03Z,AIC640,"18.675613,73.151192",15000,286,324
1544841913,2018-12-15T02:45:13Z,AIC640,"18.686234,73.142952",15000,281,323
1544841949,2018-12-15T02:45:49Z,AIC640,"18.724365,73.114059",15000,281,324
1544841981,2018-12-15T02:46:21Z,AIC640,"18.757061,73.088997",15000,282,323
1544842010,2018-12-15T02:46:50Z,AIC640,"18.7896,73.063873",14825,284,323
1544842047,2018-12-15T02:47:27Z,AIC640,"18.828007,73.03466",14225,283,324
1544842077,2018-12-15T02:47:57Z,AIC640,"18.860504,73.009789",13725,281,323
1544842097,2018-12-15T02:48:17Z,AIC640,"18.880751,72.991417",13350,284,308
1544842103,2018-12-15T02:48:23Z,AIC640,"18.884613,72.984825",13250,285,300
1544842113,2018-12-15T02:48:33Z,AIC640,"18.888338,72.973587",13100,283,281
1544842119,2018-12-15T02:48:39Z,AIC640,"18.889547,72.964401",13050,279,276
1544842129,2018-12-15T02:48:49Z,AIC640,"18.890808,72.951134",13025,278,275
1544842164,2018-12-15T02:49:24Z,AIC640,"18.896904,72.902229",13000,276,277
1544842196,2018-12-15T02:49:56Z,AIC640,"18.901657,72.861031",13000,276,276
1544842226,2018-12-15T02:50:26Z,AIC640,"18.906214,72.820183",13000,275,276
