Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545010716,2018-12-17T01:38:36Z,AIC640,"13.203621,77.708611",0,0,109
1545010768,2018-12-17T01:39:28Z,AIC640,"13.203413,77.708572",0,2,345
1545010805,2018-12-17T01:40:05Z,AIC640,"13.20318,77.708656",0,2,180
1545010838,2018-12-17T01:40:38Z,AIC640,"13.202971,77.708672",0,2,42
1545010882,2018-12-17T01:41:22Z,AIC640,"13.202808,77.708466",0,0,271
1545010893,2018-12-17T01:41:33Z,AIC640,"13.20322,77.708656",0,0,271
1545011022,2018-12-17T01:43:42Z,AIC640,"13.202808,77.708466",0,0,271
1545011101,2018-12-17T01:45:01Z,AIC640,"13.202785,77.708466",0,0,180
1545011187,2018-12-17T01:46:27Z,AIC640,"13.202808,77.708717",0,12,92
1545011231,2018-12-17T01:47:11Z,AIC640,"13.202785,77.710091",0,21,90
1545011237,2018-12-17T01:47:17Z,AIC640,"13.202785,77.710335",0,19,90
1545011248,2018-12-17T01:47:28Z,AIC640,"13.202785,77.710548",0,10,90
1545011285,2018-12-17T01:48:05Z,AIC640,"13.202774,77.7108",0,11,90
1545011295,2018-12-17T01:48:15Z,AIC640,"13.202774,77.711014",0,15,90
1545011308,2018-12-17T01:48:28Z,AIC640,"13.202774,77.71138",0,19,90
1545011316,2018-12-17T01:48:36Z,AIC640,"13.202866,77.711601",0,21,61
1545011331,2018-12-17T01:48:51Z,AIC640,"13.2036,77.711769",0,25,4
1545011343,2018-12-17T01:49:03Z,AIC640,"13.204158,77.711769",0,25,4
1545011350,2018-12-17T01:49:10Z,AIC640,"13.204495,77.711769",0,29,4
1545011358,2018-12-17T01:49:18Z,AIC640,"13.204926,77.711807",0,24,11
1545011364,2018-12-17T01:49:24Z,AIC640,"13.205171,77.711983",0,25,47
1545011370,2018-12-17T01:49:30Z,AIC640,"13.205223,77.712311",0,28,87
1545011377,2018-12-17T01:49:37Z,AIC640,"13.205217,77.712669",0,30,90
1545011383,2018-12-17T01:49:43Z,AIC640,"13.205217,77.713043",0,32,90
1545011390,2018-12-17T01:49:50Z,AIC640,"13.205212,77.71347",0,34,90
1545011399,2018-12-17T01:49:59Z,AIC640,"13.2052,77.714157",0,16,90
1545011408,2018-12-17T01:50:08Z,AIC640,"13.205189,77.714882",0,17,90
1545011416,2018-12-17T01:50:16Z,AIC640,"13.205189,77.715675",0,18,90
1545011422,2018-12-17T01:50:22Z,AIC640,"13.205177,77.71627",0,19,90
1545011429,2018-12-17T01:50:29Z,AIC640,"13.205177,77.716797",0,20,90
1545011440,2018-12-17T01:50:40Z,AIC640,"13.205166,77.717972",0,22,90
