Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545096280,2018-12-18T01:24:40Z,AIC640,"13.203598,77.7108",0,0,258
1545096346,2018-12-18T01:25:46Z,AIC640,"13.203392,77.710808",0,9,354
1545096368,2018-12-18T01:26:08Z,AIC640,"13.20318,77.710831",0,2,351
1545096391,2018-12-18T01:26:31Z,AIC640,"13.202923,77.710892",0,9,47
1545096592,2018-12-18T01:29:52Z,AIC640,"13.202774,77.711174",0,15,90
1545096601,2018-12-18T01:30:01Z,AIC640,"13.202808,77.711449",0,18,78
1545096611,2018-12-18T01:30:11Z,AIC640,"13.203106,77.711723",0,23,25
1545096617,2018-12-18T01:30:17Z,AIC640,"13.203343,77.711769",0,24,5
1545096625,2018-12-18T01:30:25Z,AIC640,"13.203701,77.711769",0,22,5
1545096631,2018-12-18T01:30:31Z,AIC640,"13.20393,77.711769",0,21,5
1545096638,2018-12-18T01:30:38Z,AIC640,"13.204182,77.711769",0,23,5
1545096644,2018-12-18T01:30:44Z,AIC640,"13.204479,77.711777",0,26,3
1545096653,2018-12-18T01:30:53Z,AIC640,"13.204914,77.711815",0,24,16
1545096659,2018-12-18T01:30:59Z,AIC640,"13.205132,77.71199",0,26,50
1545096665,2018-12-18T01:31:05Z,AIC640,"13.205223,77.712303",0,28,87
1545096672,2018-12-18T01:31:12Z,AIC640,"13.205223,77.712654",0,30,90
1545096680,2018-12-18T01:31:20Z,AIC640,"13.205217,77.713226",0,33,90
1545096689,2018-12-18T01:31:29Z,AIC640,"13.2052,77.713875",0,15,90
1545096708,2018-12-18T01:31:48Z,AIC640,"13.2052,77.715309",0,17,90
1545096717,2018-12-18T01:31:57Z,AIC640,"13.205182,77.716072",0,15,90
1545096732,2018-12-18T01:32:12Z,AIC640,"13.205182,77.717018",0,30,90
1545096740,2018-12-18T01:32:20Z,AIC640,"13.205177,77.717583",0,29,90
1545096746,2018-12-18T01:32:26Z,AIC640,"13.205171,77.717949",0,26,90
1545096752,2018-12-18T01:32:32Z,AIC640,"13.205171,77.718224",0,25,90
1545096764,2018-12-18T01:32:44Z,AIC640,"13.205171,77.718613",0,19,90
1545096776,2018-12-18T01:32:56Z,AIC640,"13.205166,77.719002",0,18,90
1545096783,2018-12-18T01:33:03Z,AIC640,"13.205154,77.719238",0,19,90
1545096795,2018-12-18T01:33:15Z,AIC640,"13.205159,77.719559",0,16,90
1545096807,2018-12-18T01:33:27Z,AIC640,"13.205159,77.719887",0,15,90
1545096820,2018-12-18T01:33:40Z,AIC640,"13.205159,77.720154",0,14,90
1545096830,2018-12-18T01:33:50Z,AIC640,"13.205154,77.72039",0,15,90
1545096846,2018-12-18T01:34:06Z,AIC640,"13.205148,77.720734",0,2,90
1545096872,2018-12-18T01:34:32Z,AIC640,"13.205112,77.720505",0,0,126
1545096922,2018-12-18T01:35:22Z,AIC640,"13.205159,77.720985",0,13,90
