Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545268850,2018-12-20T01:20:50Z,AIC640,"13.203529,77.710793",0,0,204
1545268922,2018-12-20T01:22:02Z,AIC640,"13.203309,77.710815",0,11,22
1545268943,2018-12-20T01:22:23Z,AIC640,"13.203053,77.710693",0,10,206
1545268965,2018-12-20T01:22:45Z,AIC640,"13.202843,77.71067",0,2,284
1545269122,2018-12-20T01:25:22Z,AIC640,"13.202637,77.710541",0,0,194
1545269180,2018-12-20T01:26:20Z,AIC640,"13.202763,77.710571",0,0,6
1545269255,2018-12-20T01:27:35Z,AIC640,"13.202785,77.710274",0,13,270
1545269265,2018-12-20T01:27:45Z,AIC640,"13.202785,77.710014",0,20,270
1545269299,2018-12-20T01:28:19Z,AIC640,"13.202808,77.70871",0,22,270
1545269318,2018-12-20T01:28:38Z,AIC640,"13.202808,77.707672",0,31,270
1545269325,2018-12-20T01:28:45Z,AIC640,"13.202808,77.707253",0,34,270
1545269331,2018-12-20T01:28:51Z,AIC640,"13.20282,77.706802",0,16,270
1545269337,2018-12-20T01:28:57Z,AIC640,"13.20282,77.706322",0,16,270
1545269349,2018-12-20T01:29:09Z,AIC640,"13.202831,77.705421",0,16,270
1545269360,2018-12-20T01:29:20Z,AIC640,"13.202843,77.704521",0,15,270
1545269366,2018-12-20T01:29:26Z,AIC640,"13.202901,77.704132",0,15,289
1545269373,2018-12-20T01:29:33Z,AIC640,"13.203266,77.703918",0,32,351
1545269379,2018-12-20T01:29:39Z,AIC640,"13.203692,77.703911",0,29,357
1545269386,2018-12-20T01:29:46Z,AIC640,"13.204019,77.703911",0,29,2
1545269395,2018-12-20T01:29:55Z,AIC640,"13.204495,77.703926",0,26,4
1545269403,2018-12-20T01:30:03Z,AIC640,"13.204926,77.703926",0,25,357
1545269411,2018-12-20T01:30:11Z,AIC640,"13.205189,77.703804",0,25,320
1545269458,2018-12-20T01:30:58Z,AIC640,"13.205315,77.70134",0,27,272
