Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545528449,2018-12-23T01:27:29Z,AIC640,"13.201653,77.710747",0,0,246
1545528491,2018-12-23T01:28:11Z,AIC640,"13.201893,77.710762",0,2,165
1545528524,2018-12-23T01:28:44Z,AIC640,"13.202191,77.710686",0,2,202
1545528669,2018-12-23T01:31:09Z,AIC640,"13.202374,77.710632",0,0,180
1545528908,2018-12-23T01:35:08Z,AIC640,"13.202385,77.710617",0,0,234
1545528967,2018-12-23T01:36:07Z,AIC640,"13.202389,77.710289",0,12,270
1545528982,2018-12-23T01:36:22Z,AIC640,"13.202389,77.709984",0,15,270
1545528994,2018-12-23T01:36:34Z,AIC640,"13.202401,77.709625",0,18,270
1545529011,2018-12-23T01:36:51Z,AIC640,"13.202408,77.709091",0,21,270
1545529022,2018-12-23T01:37:02Z,AIC640,"13.202413,77.708549",0,24,270
1545529037,2018-12-23T01:37:17Z,AIC640,"13.202419,77.707863",0,27,270
1545529043,2018-12-23T01:37:23Z,AIC640,"13.202419,77.707458",0,28,270
1545529049,2018-12-23T01:37:29Z,AIC640,"13.202419,77.707115",0,30,270
1545529056,2018-12-23T01:37:36Z,AIC640,"13.202431,77.706787",0,30,270
1545529065,2018-12-23T01:37:45Z,AIC640,"13.202431,77.706192",0,31,270
1545529080,2018-12-23T01:38:00Z,AIC640,"13.202431,77.705292",0,28,270
1545529094,2018-12-23T01:38:14Z,AIC640,"13.202435,77.704491",0,29,272
1545529101,2018-12-23T01:38:21Z,AIC640,"13.202522,77.704109",0,29,298
1545529107,2018-12-23T01:38:27Z,AIC640,"13.202808,77.703911",0,26,343
1545529116,2018-12-23T01:38:36Z,AIC640,"13.203157,77.703911",0,24,343
1545529124,2018-12-23T01:38:44Z,AIC640,"13.203495,77.703918",0,23,4
1545529130,2018-12-23T01:38:50Z,AIC640,"13.203735,77.703918",0,22,357
1545529138,2018-12-23T01:38:58Z,AIC640,"13.20409,77.703934",0,21,6
1545529144,2018-12-23T01:39:04Z,AIC640,"13.204296,77.703934",0,19,6
1545529153,2018-12-23T01:39:13Z,AIC640,"13.204559,77.703934",0,16,354
1545529161,2018-12-23T01:39:21Z,AIC640,"13.204823,77.703934",0,16,358
1545529171,2018-12-23T01:39:31Z,AIC640,"13.205112,77.70388",0,20,337
1545529186,2018-12-23T01:39:46Z,AIC640,"13.205315,77.703339",0,23,270
1545529192,2018-12-23T01:39:52Z,AIC640,"13.205315,77.703079",0,24,270
1545529198,2018-12-23T01:39:58Z,AIC640,"13.205311,77.702843",0,25,270
1545529204,2018-12-23T01:40:04Z,AIC640,"13.205311,77.702454",0,26,270
1545529210,2018-12-23T01:40:10Z,AIC640,"13.205315,77.702164",0,27,270
1545529217,2018-12-23T01:40:17Z,AIC640,"13.205315,77.701775",0,30,270
1545529225,2018-12-23T01:40:25Z,AIC640,"13.205322,77.701241",0,33,270
1545529232,2018-12-23T01:40:32Z,AIC640,"13.205326,77.70079",0,15,270
1545529239,2018-12-23T01:40:39Z,AIC640,"13.205326,77.700249",0,17,270
1545529248,2018-12-23T01:40:48Z,AIC640,"13.205334,77.699394",0,19,270
1545529256,2018-12-23T01:40:56Z,AIC640,"13.205345,77.698639",0,20,270
1545529263,2018-12-23T01:41:03Z,AIC640,"13.205338,77.697914",0,20,270
1545529272,2018-12-23T01:41:12Z,AIC640,"13.20536,77.697098",0,20,272
1545529278,2018-12-23T01:41:18Z,AIC640,"13.20536,77.69664",0,20,270
1545529287,2018-12-23T01:41:27Z,AIC640,"13.205372,77.69561",0,20,270
1545529300,2018-12-23T01:41:40Z,AIC640,"13.20538,77.694458",0,20,270
1545529308,2018-12-23T01:41:48Z,AIC640,"13.20538,77.693588",0,20,270
1545529317,2018-12-23T01:41:57Z,AIC640,"13.205395,77.692764",0,20,270
1545529323,2018-12-23T01:42:03Z,AIC640,"13.205395,77.6922",0,20,270
1545529331,2018-12-23T01:42:11Z,AIC640,"13.205403,77.691483",0,20,270
1545529338,2018-12-23T01:42:18Z,AIC640,"13.205415,77.690781",0,20,270
