Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545613906,2018-12-24T01:11:46Z,AIC640,"13.203553,77.710815",0,0,180
1545613951,2018-12-24T01:12:31Z,AIC640,"13.203343,77.710815",0,9,8
1545613975,2018-12-24T01:12:55Z,AIC640,"13.203083,77.710762",0,9,2
1545613996,2018-12-24T01:13:16Z,AIC640,"13.202878,77.710732",0,9,306
1545614343,2018-12-24T01:19:03Z,AIC640,"13.202773,77.710457",0,13,270
1545614352,2018-12-24T01:19:12Z,AIC640,"13.202774,77.710205",0,21,270
1545614364,2018-12-24T01:19:24Z,AIC640,"13.202785,77.709663",0,24,272
1545614370,2018-12-24T01:19:30Z,AIC640,"13.202785,77.709435",0,25,270
1545614376,2018-12-24T01:19:36Z,AIC640,"13.202785,77.709068",0,25,270
1545614388,2018-12-24T01:19:48Z,AIC640,"13.202785,77.708481",0,28,270
1545614410,2018-12-24T01:20:10Z,AIC640,"13.202808,77.707047",0,15,270
1545614418,2018-12-24T01:20:18Z,AIC640,"13.202808,77.706398",0,15,270
1545614431,2018-12-24T01:20:31Z,AIC640,"13.202808,77.705467",0,15,270
1545614441,2018-12-24T01:20:41Z,AIC640,"13.20282,77.704674",0,15,270
1545614448,2018-12-24T01:20:48Z,AIC640,"13.202843,77.704193",0,31,275
1545614455,2018-12-24T01:20:55Z,AIC640,"13.203083,77.703934",0,28,331
1545614468,2018-12-24T01:21:08Z,AIC640,"13.203701,77.703918",0,28,359
1545614476,2018-12-24T01:21:16Z,AIC640,"13.204239,77.703918",0,30,2
1545614482,2018-12-24T01:21:22Z,AIC640,"13.204605,77.703918",0,31,2
1545614488,2018-12-24T01:21:28Z,AIC640,"13.204949,77.703903",0,30,348
1545614494,2018-12-24T01:21:34Z,AIC640,"13.205217,77.703682",0,30,306
1545614534,2018-12-24T01:22:14Z,AIC640,"13.205322,77.700928",0,34,270
1545614540,2018-12-24T01:22:20Z,AIC640,"13.205315,77.7005",0,34,270
1545614546,2018-12-24T01:22:26Z,AIC640,"13.205326,77.700104",0,15,270
1545614555,2018-12-24T01:22:35Z,AIC640,"13.205334,77.699478",0,16,270
1545614567,2018-12-24T01:22:47Z,AIC640,"13.205338,77.698387",0,17,270
1545614577,2018-12-24T01:22:57Z,AIC640,"13.205345,77.697578",0,18,270
1545614587,2018-12-24T01:23:07Z,AIC640,"13.205349,77.696777",0,18,270
1545614603,2018-12-24T01:23:23Z,AIC640,"13.20536,77.695206",0,18,270
1545614609,2018-12-24T01:23:29Z,AIC640,"13.205372,77.694794",0,18,270
1545614615,2018-12-24T01:23:35Z,AIC640,"13.205369,77.694183",0,18,270
1545614623,2018-12-24T01:23:43Z,AIC640,"13.205383,77.69355",0,18,270
