Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545703414,2018-12-25T02:03:34Z,AIC640,"13.20225,77.705544",0,2,154
1545703613,2018-12-25T02:06:53Z,AIC640,"13.202419,77.705421",0,2,90
1545703637,2018-12-25T02:07:17Z,AIC640,"13.202622,77.705696",0,15,42
1545703652,2018-12-25T02:07:32Z,AIC640,"13.202808,77.705978",0,16,70
1545703661,2018-12-25T02:07:41Z,AIC640,"13.20282,77.70623",0,18,87
1545703670,2018-12-25T02:07:50Z,AIC640,"13.20282,77.706535",0,20,90
1545703676,2018-12-25T02:07:56Z,AIC640,"13.202808,77.706795",0,22,90
1545703682,2018-12-25T02:08:02Z,AIC640,"13.202808,77.707054",0,24,90
1545703692,2018-12-25T02:08:12Z,AIC640,"13.202808,77.707512",0,26,90
1545703703,2018-12-25T02:08:23Z,AIC640,"13.202808,77.708191",0,28,90
1545703724,2018-12-25T02:08:44Z,AIC640,"13.202785,77.70948",0,33,90
1545703731,2018-12-25T02:08:51Z,AIC640,"13.202785,77.709923",0,15,90
1545703737,2018-12-25T02:08:57Z,AIC640,"13.202773,77.710373",0,16,90
1545703749,2018-12-25T02:09:09Z,AIC640,"13.202774,77.71138",0,16,87
1545703758,2018-12-25T02:09:18Z,AIC640,"13.20298,77.711746",0,26,28
1545703766,2018-12-25T02:09:26Z,AIC640,"13.203495,77.711769",0,27,4
1545703773,2018-12-25T02:09:33Z,AIC640,"13.203827,77.711777",0,27,1
1545703785,2018-12-25T02:09:45Z,AIC640,"13.204484,77.711777",0,31,1
1545703795,2018-12-25T02:09:55Z,AIC640,"13.205031,77.711838",0,29,19
1545703801,2018-12-25T02:10:01Z,AIC640,"13.205223,77.712151",0,31,78
1545703807,2018-12-25T02:10:07Z,AIC640,"13.205217,77.712524",0,32,90
1545703818,2018-12-25T02:10:18Z,AIC640,"13.205212,77.713318",0,15,90
1545703827,2018-12-25T02:10:27Z,AIC640,"13.2052,77.714066",0,17,90
1545703833,2018-12-25T02:10:33Z,AIC640,"13.2052,77.714661",0,18,90
1545703842,2018-12-25T02:10:42Z,AIC640,"13.205189,77.715439",0,19,90
1545703848,2018-12-25T02:10:48Z,AIC640,"13.205182,77.715981",0,20,90
1545703854,2018-12-25T02:10:54Z,AIC640,"13.205182,77.716614",0,21,90
1545703864,2018-12-25T02:11:04Z,AIC640,"13.205171,77.717613",0,22,90
1545703870,2018-12-25T02:11:10Z,AIC640,"13.205171,77.718246",0,23,90
1545703882,2018-12-25T02:11:22Z,AIC640,"13.205154,77.719521",0,24,90
1545703888,2018-12-25T02:11:28Z,AIC640,"13.205148,77.720306",0,25,90
1545703894,2018-12-25T02:11:34Z,AIC640,"13.205135,77.721092",0,26,90
