Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1545786556,2018-12-26T01:09:16Z,AIC640,"13.201865,77.713356",0,9,182
1545786578,2018-12-26T01:09:38Z,AIC640,"13.202075,77.713371",0,9,185
1545786602,2018-12-26T01:10:02Z,AIC640,"13.202296,77.713379",0,9,247
1545786835,2018-12-26T01:13:55Z,AIC640,"13.202377,77.713516",0,0,89
1545786872,2018-12-26T01:14:32Z,AIC640,"13.202401,77.713142",0,19,270
1545786888,2018-12-26T01:14:48Z,AIC640,"13.202396,77.712601",0,22,270
1545786899,2018-12-26T01:14:59Z,AIC640,"13.202396,77.712051",0,22,270
1545786906,2018-12-26T01:15:06Z,AIC640,"13.202389,77.711769",0,23,270
1545786918,2018-12-26T01:15:18Z,AIC640,"13.202389,77.71125",0,23,270
1545786928,2018-12-26T01:15:28Z,AIC640,"13.202389,77.71077",0,24,270
1545786941,2018-12-26T01:15:41Z,AIC640,"13.202389,77.710129",0,26,270
1545786951,2018-12-26T01:15:51Z,AIC640,"13.202401,77.709686",0,27,270
1545786958,2018-12-26T01:15:58Z,AIC640,"13.202396,77.709297",0,29,270
1545786964,2018-12-26T01:16:04Z,AIC640,"13.202408,77.7089",0,30,270
1545786970,2018-12-26T01:16:10Z,AIC640,"13.202401,77.708527",0,31,270
1545786977,2018-12-26T01:16:17Z,AIC640,"13.202408,77.708122",0,32,270
1545786988,2018-12-26T01:16:28Z,AIC640,"13.202408,77.707268",0,15,270
1545786994,2018-12-26T01:16:34Z,AIC640,"13.202419,77.706795",0,15,270
1545787005,2018-12-26T01:16:45Z,AIC640,"13.202419,77.706017",0,15,270
1545787018,2018-12-26T01:16:58Z,AIC640,"13.202431,77.705055",0,15,270
1545787025,2018-12-26T01:17:05Z,AIC640,"13.202431,77.704651",0,29,270
1545787037,2018-12-26T01:17:17Z,AIC640,"13.20254,77.704048",0,25,303
1545787047,2018-12-26T01:17:27Z,AIC640,"13.202911,77.703911",0,21,357
1545787054,2018-12-26T01:17:34Z,AIC640,"13.203163,77.703918",0,21,2
1545787064,2018-12-26T01:17:44Z,AIC640,"13.203587,77.703918",0,22,2
1545787070,2018-12-26T01:17:50Z,AIC640,"13.203793,77.703918",0,22,354
1545787082,2018-12-26T01:18:02Z,AIC640,"13.204332,77.703926",0,22,1
1545787088,2018-12-26T01:18:08Z,AIC640,"13.204577,77.703926",0,22,2
1545787097,2018-12-26T01:18:17Z,AIC640,"13.20496,77.703934",0,22,1
