Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546131927,2018-12-30T01:05:27Z,AIC640,"13.201668,77.709572",0,9,177
1546131951,2018-12-30T01:05:51Z,AIC640,"13.201927,77.709557",0,10,168
1546131973,2018-12-30T01:06:13Z,AIC640,"13.202145,77.709518",0,2,182
1546132006,2018-12-30T01:06:46Z,AIC640,"13.202377,77.709549",0,2,270
1546132037,2018-12-30T01:07:17Z,AIC640,"13.202076,77.709534",0,0,271
1546132077,2018-12-30T01:07:57Z,AIC640,"13.202374,77.709579",0,0,180
1546132195,2018-12-30T01:09:55Z,AIC640,"13.202374,77.709496",0,9,267
1546132212,2018-12-30T01:10:12Z,AIC640,"13.202374,77.709236",0,14,272
1546132225,2018-12-30T01:10:25Z,AIC640,"13.202389,77.708878",0,19,270
1546132242,2018-12-30T01:10:42Z,AIC640,"13.202389,77.708168",0,24,270
1546132248,2018-12-30T01:10:48Z,AIC640,"13.202401,77.707947",0,25,270
1546132254,2018-12-30T01:10:54Z,AIC640,"13.202408,77.707527",0,28,270
1546132264,2018-12-30T01:11:04Z,AIC640,"13.202408,77.706985",0,31,270
1546132270,2018-12-30T01:11:10Z,AIC640,"13.202408,77.706665",0,32,270
1546132288,2018-12-30T01:11:28Z,AIC640,"13.202419,77.705444",0,34,270
1546132299,2018-12-30T01:11:39Z,AIC640,"13.202419,77.704643",0,30,270
1546132307,2018-12-30T01:11:47Z,AIC640,"13.202465,77.704224",0,30,281
1546132315,2018-12-30T01:11:55Z,AIC640,"13.202843,77.703918",0,27,348
1546132323,2018-12-30T01:12:03Z,AIC640,"13.203251,77.703911",0,26,358
1546132330,2018-12-30T01:12:10Z,AIC640,"13.203598,77.703934",0,26,2
1546132337,2018-12-30T01:12:17Z,AIC640,"13.203861,77.703934",0,26,2
1546132346,2018-12-30T01:12:26Z,AIC640,"13.204309,77.703941",0,25,6
1546132357,2018-12-30T01:12:37Z,AIC640,"13.204786,77.703941",0,23,357
1546132364,2018-12-30T01:12:44Z,AIC640,"13.205086,77.703835",0,24,326
1546132372,2018-12-30T01:12:52Z,AIC640,"13.205298,77.703529",0,25,284
1546132379,2018-12-30T01:12:59Z,AIC640,"13.205292,77.703224",0,25,270
1546132424,2018-12-30T01:13:44Z,AIC640,"13.205311,77.700989",0,25,270
1546132430,2018-12-30T01:13:50Z,AIC640,"13.205315,77.700676",0,25,270
1546132436,2018-12-30T01:13:56Z,AIC640,"13.205311,77.700409",0,26,270
1546132442,2018-12-30T01:14:02Z,AIC640,"13.205311,77.700096",0,27,270
1546132449,2018-12-30T01:14:09Z,AIC640,"13.205315,77.699707",0,29,270
1546132467,2018-12-30T01:14:27Z,AIC640,"13.205322,77.698616",0,32,270
1546132477,2018-12-30T01:14:37Z,AIC640,"13.205334,77.697929",0,34,270
1546132488,2018-12-30T01:14:48Z,AIC640,"13.205338,77.697098",0,16,270
1546132494,2018-12-30T01:14:54Z,AIC640,"13.205349,77.696663",0,16,270
1546132503,2018-12-30T01:15:03Z,AIC640,"13.205357,77.695808",0,18,270
1546132515,2018-12-30T01:15:15Z,AIC640,"13.205357,77.694839",0,19,270
1546132521,2018-12-30T01:15:21Z,AIC640,"13.20536,77.694176",0,20,270
1546132534,2018-12-30T01:15:34Z,AIC640,"13.205372,77.692978",0,20,270
1546132540,2018-12-30T01:15:40Z,AIC640,"13.20538,77.692375",0,20,270
1546132549,2018-12-30T01:15:49Z,AIC640,"13.20538,77.691582",0,21,270
1546132570,2018-12-30T01:16:10Z,AIC640,"13.205403,77.689484",0,21,270
