Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546218791,2018-12-31T01:13:11Z,AIC640,"13.202465,77.704216",0,25,284
1546218797,2018-12-31T01:13:17Z,AIC640,"13.202587,77.70401",0,23,312
1546218804,2018-12-31T01:13:24Z,AIC640,"13.202831,77.703918",0,21,348
1546218810,2018-12-31T01:13:30Z,AIC640,"13.203041,77.703926",0,19,2
1546218816,2018-12-31T01:13:36Z,AIC640,"13.203255,77.703918",0,19,357
1546218824,2018-12-31T01:13:44Z,AIC640,"13.2036,77.703911",0,25,2
1546218833,2018-12-31T01:13:53Z,AIC640,"13.204088,77.703926",0,28,2
1546218849,2018-12-31T01:14:09Z,AIC640,"13.204903,77.703911",0,25,351
1546218855,2018-12-31T01:14:15Z,AIC640,"13.205143,77.703751",0,25,320
1546218882,2018-12-31T01:14:42Z,AIC640,"13.205303,77.702461",0,27,270
1546218888,2018-12-31T01:14:48Z,AIC640,"13.205303,77.702087",0,27,270
1546218899,2018-12-31T01:14:59Z,AIC640,"13.205311,77.701454",0,32,270
1546218906,2018-12-31T01:15:06Z,AIC640,"13.205315,77.700897",0,15,270
1546218913,2018-12-31T01:15:13Z,AIC640,"13.205315,77.700478",0,16,270
1546218925,2018-12-31T01:15:25Z,AIC640,"13.205326,77.699478",0,15,270
1546218936,2018-12-31T01:15:36Z,AIC640,"13.205338,77.698601",0,15,270
1546218942,2018-12-31T01:15:42Z,AIC640,"13.205334,77.69825",0,15,270
1546218951,2018-12-31T01:15:51Z,AIC640,"13.205338,77.697517",0,15,272
1546218962,2018-12-31T01:16:02Z,AIC640,"13.205349,77.696724",0,16,270
1546218974,2018-12-31T01:16:14Z,AIC640,"13.205369,77.69577",0,16,270
1546218986,2018-12-31T01:16:26Z,AIC640,"13.205357,77.694855",0,16,270
1546218992,2018-12-31T01:16:32Z,AIC640,"13.205372,77.694481",0,27,272
1546218998,2018-12-31T01:16:38Z,AIC640,"13.205372,77.694237",0,23,270
1546219010,2018-12-31T01:16:50Z,AIC640,"13.20538,77.69381",0,12,270
1546219066,2018-12-31T01:17:46Z,AIC640,"13.20538,77.692963",0,33,270
1546219073,2018-12-31T01:17:53Z,AIC640,"13.205392,77.692375",0,16,270
1546219091,2018-12-31T01:18:11Z,AIC640,"13.205395,77.690971",0,17,270
1546219099,2018-12-31T01:18:19Z,AIC640,"13.205403,77.690422",0,17,270
1546219112,2018-12-31T01:18:32Z,AIC640,"13.205418,77.689255",0,16,270
1546219128,2018-12-31T01:18:48Z,AIC640,"13.205427,77.688278",0,29,270
1546219139,2018-12-31T01:18:59Z,AIC640,"13.205429,77.687714",0,25,270
1546219152,2018-12-31T01:19:12Z,AIC640,"13.205439,77.687111",0,20,270
1546219270,2018-12-31T01:21:10Z,AIC640,"13.205531,77.686447",0,15,292
1546219278,2018-12-31T01:21:18Z,AIC640,"13.205427,77.687492",0,15,315
1546219531,2018-12-31T01:25:31Z,AIC640,"13.206894,77.714256",3400,150,90
1546219541,2018-12-31T01:25:41Z,AIC640,"13.206823,77.720612",3800,145,90
1546219553,2018-12-31T01:25:53Z,AIC640,"13.206711,77.72908",4125,157,90
1546219559,2018-12-31T01:25:59Z,AIC640,"13.206665,77.73362",4275,162,90
1546219565,2018-12-31T01:26:05Z,AIC640,"13.206573,77.738403",4400,170,90
1546219571,2018-12-31T01:26:11Z,AIC640,"13.206544,77.74321",4525,179,90
1546219580,2018-12-31T01:26:20Z,AIC640,"13.206528,77.751945",4750,191,90
1546219601,2018-12-31T01:26:41Z,AIC640,"13.213211,77.770798",5350,216,51
1546219610,2018-12-31T01:26:50Z,AIC640,"13.220603,77.776405",5750,223,29
1546219617,2018-12-31T01:26:57Z,AIC640,"13.227027,77.778526",6075,227,15
