Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546307035,2019-01-01T01:43:55Z,AIC640,"13.203542,77.710815",0,0,77
1546307069,2019-01-01T01:44:29Z,AIC640,"13.203312,77.710808",0,9,11
1546307093,2019-01-01T01:44:53Z,AIC640,"13.203075,77.710754",0,9,2
1546307124,2019-01-01T01:45:24Z,AIC640,"13.202831,77.710739",0,2,295
1546307319,2019-01-01T01:48:39Z,AIC640,"13.202785,77.710609",0,0,271
1546307410,2019-01-01T01:50:10Z,AIC640,"13.202785,77.710297",0,14,270
1546307422,2019-01-01T01:50:22Z,AIC640,"13.202785,77.710007",0,17,270
1546307429,2019-01-01T01:50:29Z,AIC640,"13.202785,77.709793",0,19,270
1546307435,2019-01-01T01:50:35Z,AIC640,"13.202785,77.709587",0,20,270
1546307458,2019-01-01T01:50:58Z,AIC640,"13.202808,77.708549",0,24,270
1546307474,2019-01-01T01:51:14Z,AIC640,"13.202808,77.707794",0,26,270
1546307480,2019-01-01T01:51:20Z,AIC640,"13.202808,77.707481",0,27,270
1546307487,2019-01-01T01:51:27Z,AIC640,"13.202808,77.707161",0,28,270
1546307498,2019-01-01T01:51:38Z,AIC640,"13.20282,77.706467",0,29,270
1546307505,2019-01-01T01:51:45Z,AIC640,"13.20282,77.7061",0,29,270
1546307516,2019-01-01T01:51:56Z,AIC640,"13.202831,77.705467",0,25,270
1546307522,2019-01-01T01:52:02Z,AIC640,"13.202831,77.705193",0,25,270
1546307528,2019-01-01T01:52:08Z,AIC640,"13.202831,77.70488",0,25,270
1546307543,2019-01-01T01:52:23Z,AIC640,"13.202831,77.704201",0,26,270
1546307567,2019-01-01T01:52:47Z,AIC640,"13.202854,77.70282",0,30,270
1546307574,2019-01-01T01:52:54Z,AIC640,"13.202854,77.702393",0,30,270
1546307581,2019-01-01T01:53:01Z,AIC640,"13.202854,77.702034",0,30,270
1546307587,2019-01-01T01:53:07Z,AIC640,"13.202855,77.70166",0,30,270
1546307597,2019-01-01T01:53:17Z,AIC640,"13.202866,77.701027",0,30,270
1546307604,2019-01-01T01:53:24Z,AIC640,"13.202866,77.700592",0,30,270
1546307611,2019-01-01T01:53:31Z,AIC640,"13.202866,77.700211",0,29,270
1546307617,2019-01-01T01:53:37Z,AIC640,"13.202878,77.699844",0,28,270
1546307629,2019-01-01T01:53:49Z,AIC640,"13.202878,77.699181",0,31,270
1546307639,2019-01-01T01:53:59Z,AIC640,"13.202878,77.698532",0,15,270
1546307646,2019-01-01T01:54:06Z,AIC640,"13.202889,77.698036",0,15,270
1546307660,2019-01-01T01:54:20Z,AIC640,"13.202901,77.696869",0,15,270
1546307670,2019-01-01T01:54:30Z,AIC640,"13.202901,77.696243",0,34,270
1546307679,2019-01-01T01:54:39Z,AIC640,"13.202911,77.695671",0,15,270
1546307687,2019-01-01T01:54:47Z,AIC640,"13.202913,77.695045",0,15,270
1546307695,2019-01-01T01:54:55Z,AIC640,"13.202911,77.694412",0,31,270
1546307706,2019-01-01T01:55:06Z,AIC640,"13.202925,77.693817",0,29,270
1546307718,2019-01-01T01:55:18Z,AIC640,"13.203134,77.693359",0,21,323
1546307726,2019-01-01T01:55:26Z,AIC640,"13.203403,77.693321",0,21,5
1546307733,2019-01-01T01:55:33Z,AIC640,"13.203692,77.693336",0,20,2
1546307742,2019-01-01T01:55:42Z,AIC640,"13.203964,77.693336",0,19,2
1546307756,2019-01-01T01:55:56Z,AIC640,"13.204491,77.693336",0,18,2
1546307764,2019-01-01T01:56:04Z,AIC640,"13.204694,77.693336",0,16,2
1546307797,2019-01-01T01:56:37Z,AIC640,"13.205315,77.693253",0,13,337
1546307810,2019-01-01T01:56:50Z,AIC640,"13.205395,77.692932",0,19,272
1546307819,2019-01-01T01:56:59Z,AIC640,"13.205383,77.69265",0,22,270
1546307830,2019-01-01T01:57:10Z,AIC640,"13.205392,77.692146",0,23,270
1546307836,2019-01-01T01:57:16Z,AIC640,"13.205395,77.691864",0,23,270
1546307847,2019-01-01T01:57:27Z,AIC640,"13.205403,77.691437",0,24,270
1546307853,2019-01-01T01:57:33Z,AIC640,"13.205403,77.691093",0,24,270
1546307860,2019-01-01T01:57:40Z,AIC640,"13.205403,77.690796",0,24,270
1546307872,2019-01-01T01:57:52Z,AIC640,"13.205406,77.690285",0,21,270
1546307891,2019-01-01T01:58:11Z,AIC640,"13.205415,77.68972",0,16,270
1546308076,2019-01-01T02:01:16Z,AIC640,"13.205427,77.687569",0,16,270
1546308188,2019-01-01T02:03:08Z,AIC640,"13.20545,77.686546",0,14,275
1546308210,2019-01-01T02:03:30Z,AIC640,"13.205772,77.686195",0,12,334
1546308228,2019-01-01T02:03:48Z,AIC640,"13.205974,77.68618",0,2,354
1546308465,2019-01-01T02:07:45Z,AIC640,"13.206392,77.686172",0,21,359
1546308471,2019-01-01T02:07:51Z,AIC640,"13.20666,77.68618",0,25,2
1546308478,2019-01-01T02:07:58Z,AIC640,"13.206951,77.686256",0,24,25
1546308491,2019-01-01T02:08:11Z,AIC640,"13.20718,77.687035",0,19,90
1546308497,2019-01-01T02:08:17Z,AIC640,"13.207157,77.687912",0,37,90
1546308508,2019-01-01T02:08:28Z,AIC640,"13.207123,77.691727",0,86,90
1546308519,2019-01-01T02:08:39Z,AIC640,"13.207077,77.696701",0,120,90
1546308531,2019-01-01T02:08:51Z,AIC640,"13.206997,77.705307",0,160,90
1546308537,2019-01-01T02:08:57Z,AIC640,"13.206963,77.709862",2775,170,90
1546308543,2019-01-01T02:09:03Z,AIC640,"13.206917,77.713913",2925,171,91
1546308550,2019-01-01T02:09:10Z,AIC640,"13.206823,77.719986",3125,174,90
1546308564,2019-01-01T02:09:24Z,AIC640,"13.206684,77.732079",3750,171,90
1546308576,2019-01-01T02:09:36Z,AIC640,"13.206665,77.742195",4275,169,90
1546308582,2019-01-01T02:09:42Z,AIC640,"13.206637,77.746971",4450,171,90
1546308589,2019-01-01T02:09:49Z,AIC640,"13.206637,77.752319",4600,178,90
1546308604,2019-01-01T02:10:04Z,AIC640,"13.206637,77.765808",4925,193,90
1546308610,2019-01-01T02:10:10Z,AIC640,"13.206637,77.771446",5075,201,90
1546308621,2019-01-01T02:10:21Z,AIC640,"13.206573,77.782539",5500,210,90
1546308634,2019-01-01T02:10:34Z,AIC640,"13.206405,77.796021",5950,225,90
1546308646,2019-01-01T02:10:46Z,AIC640,"13.20694,77.809151",6400,235,82
1546308652,2019-01-01T02:10:52Z,AIC640,"13.208679,77.815598",6650,237,71
1546308659,2019-01-01T02:10:59Z,AIC640,"13.211609,77.821747",6950,240,60
1546308668,2019-01-01T02:11:08Z,AIC640,"13.218881,77.830139",7475,242,42
1546308677,2019-01-01T02:11:17Z,AIC640,"13.2274,77.835289",7925,246,26
1546308686,2019-01-01T02:11:26Z,AIC640,"13.237518,77.837898",8300,254,9
1546308709,2019-01-01T02:11:49Z,AIC640,"13.268188,77.832832",9025,288,338
1546308716,2019-01-01T02:11:56Z,AIC640,"13.275375,77.82914",9275,293,332
1546308731,2019-01-01T02:12:11Z,AIC640,"13.293915,77.818581",10200,290,330
1546308744,2019-01-01T02:12:24Z,AIC640,"13.306778,77.811378",10825,290,331
1546308756,2019-01-01T02:12:36Z,AIC640,"13.322525,77.802811",11175,301,331
1546308769,2019-01-01T02:12:49Z,AIC640,"13.338333,77.794144",11650,308,331
1546308781,2019-01-01T02:13:01Z,AIC640,"13.354111,77.785477",12050,317,331
1546308811,2019-01-01T02:13:31Z,AIC640,"13.394895,77.762672",12800,343,331
1546308843,2019-01-01T02:14:03Z,AIC640,"13.440562,77.737183",13950,354,331
1546308877,2019-01-01T02:14:37Z,AIC640,"13.491164,77.708946",15325,359,331
1546308910,2019-01-01T02:15:10Z,AIC640,"13.538269,77.682716",16725,359,331
1546308941,2019-01-01T02:15:41Z,AIC640,"13.585236,77.656479",17550,373,331
1546308973,2019-01-01T02:16:13Z,AIC640,"13.636407,77.627953",18450,386,331
1546309037,2019-01-01T02:17:17Z,AIC640,"13.737396,77.571526",20625,394,331
1546309097,2019-01-01T02:18:17Z,AIC640,"13.837746,77.515434",22150,413,331
1546309161,2019-01-01T02:19:21Z,AIC640,"13.946915,77.454369",23625,430,331
1546309225,2019-01-01T02:20:25Z,AIC640,"14.056458,77.392998",25725,425,331
1546309285,2019-01-01T02:21:25Z,AIC640,"14.162476,77.333473",27075,436,331
1546309348,2019-01-01T02:22:28Z,AIC640,"14.274948,77.27021",28650,439,331
1546309411,2019-01-01T02:23:31Z,AIC640,"14.389297,77.205841",29925,448,331
1546309475,2019-01-01T02:24:35Z,AIC640,"14.50383,77.141357",31600,443,331
1546309545,2019-01-01T02:25:45Z,AIC640,"14.635712,77.075485",33325,444,340
1546309605,2019-01-01T02:26:45Z,AIC640,"14.753586,77.032158",34400,451,340
1546309665,2019-01-01T02:27:45Z,AIC640,"14.870926,76.989098",35900,443,340
1546309728,2019-01-01T02:28:48Z,AIC640,"14.990659,76.945152",36000,441,340
1546309792,2019-01-01T02:29:52Z,AIC640,"15.116776,76.898758",35975,455,340
