Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546392623,2019-01-02T01:30:23Z,AIC640,"13.202773,77.710609",0,0,270
1546392651,2019-01-02T01:30:51Z,AIC640,"13.202774,77.710381",0,13,270
1546392664,2019-01-02T01:31:04Z,AIC640,"13.202785,77.710075",0,18,270
1546392693,2019-01-02T01:31:33Z,AIC640,"13.202808,77.709129",0,19,270
1546392699,2019-01-02T01:31:39Z,AIC640,"13.202808,77.708916",0,19,270
1546392706,2019-01-02T01:31:46Z,AIC640,"13.202808,77.708687",0,20,270
1546392712,2019-01-02T01:31:52Z,AIC640,"13.202808,77.708443",0,22,270
1546392718,2019-01-02T01:31:58Z,AIC640,"13.202808,77.708176",0,24,270
1546392724,2019-01-02T01:32:04Z,AIC640,"13.202808,77.70787",0,26,270
1546392730,2019-01-02T01:32:10Z,AIC640,"13.202808,77.707542",0,29,270
1546392736,2019-01-02T01:32:16Z,AIC640,"13.20282,77.707199",0,31,270
1546392748,2019-01-02T01:32:28Z,AIC640,"13.20282,77.70636",0,34,270
1546392754,2019-01-02T01:32:34Z,AIC640,"13.202831,77.705902",0,15,270
1546392760,2019-01-02T01:32:40Z,AIC640,"13.202831,77.705528",0,16,270
1546392766,2019-01-02T01:32:46Z,AIC640,"13.202831,77.705009",0,16,270
1546392779,2019-01-02T01:32:59Z,AIC640,"13.2029,77.704147",0,30,292
1546392787,2019-01-02T01:33:07Z,AIC640,"13.203262,77.703911",0,26,354
1546392794,2019-01-02T01:33:14Z,AIC640,"13.203609,77.703918",0,25,358
1546392800,2019-01-02T01:33:20Z,AIC640,"13.203879,77.703926",0,26,2
1546392806,2019-01-02T01:33:26Z,AIC640,"13.204182,77.703934",0,27,2
1546392816,2019-01-02T01:33:36Z,AIC640,"13.204662,77.703934",0,28,2
1546392824,2019-01-02T01:33:44Z,AIC640,"13.205166,77.703812",0,30,326
1546392830,2019-01-02T01:33:50Z,AIC640,"13.205292,77.703491",0,32,278
1546392839,2019-01-02T01:33:59Z,AIC640,"13.205311,77.702866",0,34,270
1546392846,2019-01-02T01:34:06Z,AIC640,"13.205311,77.702408",0,15,270
1546392854,2019-01-02T01:34:14Z,AIC640,"13.205322,77.701736",0,16,270
1546392861,2019-01-02T01:34:21Z,AIC640,"13.205326,77.701233",0,17,270
1546392868,2019-01-02T01:34:28Z,AIC640,"13.205326,77.700584",0,18,270
1546392878,2019-01-02T01:34:38Z,AIC640,"13.205338,77.699684",0,19,270
1546392886,2019-01-02T01:34:46Z,AIC640,"13.205345,77.698853",0,20,270
1546392899,2019-01-02T01:34:59Z,AIC640,"13.205357,77.69754",0,21,270
1546392906,2019-01-02T01:35:06Z,AIC640,"13.20536,77.697052",0,21,270
1546392928,2019-01-02T01:35:28Z,AIC640,"13.20538,77.694687",0,21,270
1546392936,2019-01-02T01:35:36Z,AIC640,"13.20538,77.693832",0,20,270
1546392945,2019-01-02T01:35:45Z,AIC640,"13.205395,77.693123",0,20,270
1546392951,2019-01-02T01:35:51Z,AIC640,"13.205392,77.692322",0,20,270
1546392957,2019-01-02T01:35:57Z,AIC640,"13.205403,77.691696",0,20,270
1546392966,2019-01-02T01:36:06Z,AIC640,"13.205415,77.69088",0,20,270
1546392979,2019-01-02T01:36:19Z,AIC640,"13.205415,77.68972",0,20,270
1546392999,2019-01-02T01:36:39Z,AIC640,"13.205439,77.68763",0,20,270
1546393013,2019-01-02T01:36:53Z,AIC640,"13.205532,77.686432",0,15,298
1546393024,2019-01-02T01:37:04Z,AIC640,"13.206114,77.68618",0,32,358
1546393030,2019-01-02T01:37:10Z,AIC640,"13.206544,77.68618",0,30,2
1546393037,2019-01-02T01:37:17Z,AIC640,"13.206871,77.686256",0,28,19
1546393047,2019-01-02T01:37:27Z,AIC640,"13.207146,77.686745",0,27,84
1546393055,2019-01-02T01:37:35Z,AIC640,"13.207146,77.687202",0,16,90
1546393063,2019-01-02T01:37:43Z,AIC640,"13.207137,77.688301",0,38,90
1546393073,2019-01-02T01:37:53Z,AIC640,"13.207123,77.690758",0,74,90
1546393085,2019-01-02T01:38:05Z,AIC640,"13.207067,77.696747",0,115,90
1546393091,2019-01-02T01:38:11Z,AIC640,"13.207033,77.701225",0,140,90
1546393103,2019-01-02T01:38:23Z,AIC640,"13.206963,77.710487",2800,169,90
1546393113,2019-01-02T01:38:33Z,AIC640,"13.20694,77.717712",3050,171,90
1546393121,2019-01-02T01:38:41Z,AIC640,"13.206917,77.725044",3400,172,90
1546393128,2019-01-02T01:38:48Z,AIC640,"13.206848,77.730026",3725,168,91
1546393134,2019-01-02T01:38:54Z,AIC640,"13.206823,77.734581",3925,168,90
1546393140,2019-01-02T01:39:00Z,AIC640,"13.206757,77.739586",4100,173,90
1546393151,2019-01-02T01:39:11Z,AIC640,"13.206619,77.749962",4375,185,90
1546393157,2019-01-02T01:39:17Z,AIC640,"13.206591,77.755547",4525,192,90
1546393164,2019-01-02T01:39:24Z,AIC640,"13.206528,77.761322",4725,197,90
1546393178,2019-01-02T01:39:38Z,AIC640,"13.20645,77.775925",5225,213,90
1546393191,2019-01-02T01:39:51Z,AIC640,"13.206264,77.788597",5575,229,91
1546393216,2019-01-02T01:40:16Z,AIC640,"13.212387,77.815689",6375,255,59
1546393224,2019-01-02T01:40:24Z,AIC640,"13.21902,77.824257",6825,258,46
1546393230,2019-01-02T01:40:30Z,AIC640,"13.224701,77.829185",7150,262,37
1546393236,2019-01-02T01:40:36Z,AIC640,"13.231064,77.832878",7525,263,26
1546393242,2019-01-02T01:40:42Z,AIC640,"13.238525,77.83548",7875,265,16
1546393248,2019-01-02T01:40:48Z,AIC640,"13.244614,77.836479",8175,269,6
1546393273,2019-01-02T01:41:13Z,AIC640,"13.276186,77.826668",9175,289,331
1546393279,2019-01-02T01:41:19Z,AIC640,"13.282562,77.823074",9400,292,331
1546393291,2019-01-02T01:41:31Z,AIC640,"13.296936,77.815071",9900,295,331
1546393303,2019-01-02T01:41:43Z,AIC640,"13.311706,77.806961",10450,298,331
1546393315,2019-01-02T01:41:55Z,AIC640,"13.327161,77.798378",10725,311,331
1546393326,2019-01-02T01:42:06Z,AIC640,"13.342804,77.789742",10975,325,331
1546393340,2019-01-02T01:42:20Z,AIC640,"13.359421,77.780457",11350,332,331
1546393352,2019-01-02T01:42:32Z,AIC640,"13.37604,77.771202",11825,336,331
1546393363,2019-01-02T01:42:43Z,AIC640,"13.392242,77.762177",12250,340,331
1546393405,2019-01-02T01:43:25Z,AIC640,"13.450618,77.729668",13900,348,331
1546393434,2019-01-02T01:43:54Z,AIC640,"13.49437,77.705399",14975,356,331
1546393468,2019-01-02T01:44:28Z,AIC640,"13.542664,77.678551",16300,357,331
1546393501,2019-01-02T01:45:01Z,AIC640,"13.590972,77.651657",17425,362,331
1546393535,2019-01-02T01:45:35Z,AIC640,"13.640533,77.624092",18375,372,331
1546393598,2019-01-02T01:46:38Z,AIC640,"13.738403,77.569633",20375,381,331
1546393661,2019-01-02T01:47:41Z,AIC640,"13.838211,77.514084",22300,388,331
1546393724,2019-01-02T01:48:44Z,AIC640,"13.939453,77.457542",23825,401,331
1546393787,2019-01-02T01:49:47Z,AIC640,"14.044327,77.39901",25250,415,331
1546393851,2019-01-02T01:50:51Z,AIC640,"14.153696,77.337868",26550,430,331
1546393910,2019-01-02T01:51:50Z,AIC640,"14.260673,77.277977",27900,438,331
1546393974,2019-01-02T01:52:54Z,AIC640,"14.375977,77.213287",28975,453,331
1546394037,2019-01-02T01:53:57Z,AIC640,"14.492111,77.148224",30675,449,331
1546394112,2019-01-02T01:55:12Z,AIC640,"14.631409,77.076195",32000,459,335
1546394119,2019-01-02T01:55:19Z,AIC640,"14.642807,77.070419",32000,459,333
1546394209,2019-01-02T01:56:49Z,AIC640,"14.79877,76.953346",32000,460,321
1546394277,2019-01-02T01:57:57Z,AIC640,"14.913437,76.860062",32000,462,321
1546394340,2019-01-02T01:59:00Z,AIC640,"15.020416,76.772942",32025,461,321
1546394400,2019-01-02T02:00:00Z,AIC640,"15.118212,76.693199",32025,459,321
1546394407,2019-01-02T02:00:07Z,AIC640,"15.13092,76.682785",32025,459,321
1546394519,2019-01-02T02:01:59Z,AIC640,"15.317871,76.530136",33325,458,321
1546394582,2019-01-02T02:03:02Z,AIC640,"15.424713,76.44268",34350,464,321
1546394646,2019-01-02T02:04:06Z,AIC640,"15.529454,76.356743",35975,446,321
1546394709,2019-01-02T02:05:09Z,AIC640,"15.631073,76.273254",36000,444,321
