Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546483322,2019-01-03T02:42:02Z,AIC640,"13.202377,77.711525",0,0,135
1546483347,2019-01-03T02:42:27Z,AIC640,"13.202385,77.711304",0,9,270
1546483374,2019-01-03T02:42:54Z,AIC640,"13.202385,77.711037",0,9,270
1546483395,2019-01-03T02:43:15Z,AIC640,"13.202389,77.710808",0,9,270
1546483473,2019-01-03T02:44:33Z,AIC640,"13.202396,77.71064",0,0,316
1546483594,2019-01-03T02:46:34Z,AIC640,"13.202385,77.710396",0,10,270
1546483609,2019-01-03T02:46:49Z,AIC640,"13.202385,77.710167",0,13,270
1546483623,2019-01-03T02:47:03Z,AIC640,"13.202389,77.709892",0,16,270
1546483633,2019-01-03T02:47:13Z,AIC640,"13.202396,77.709518",0,21,270
1546483645,2019-01-03T02:47:25Z,AIC640,"13.202396,77.708809",0,34,270
1546483652,2019-01-03T02:47:32Z,AIC640,"13.202401,77.708336",0,16,270
1546483664,2019-01-03T02:47:44Z,AIC640,"13.202413,77.707283",0,19,270
1546483673,2019-01-03T02:47:53Z,AIC640,"13.202419,77.706406",0,19,270
1546483687,2019-01-03T02:48:07Z,AIC640,"13.202435,77.705177",0,19,270
1546483720,2019-01-03T02:48:40Z,AIC640,"13.202465,77.702568",0,32,270
1546483726,2019-01-03T02:48:46Z,AIC640,"13.202459,77.702225",0,31,270
1546483733,2019-01-03T02:48:53Z,AIC640,"13.202471,77.701805",0,31,270
1546483759,2019-01-03T02:49:19Z,AIC640,"13.202482,77.700203",0,29,270
1546483769,2019-01-03T02:49:29Z,AIC640,"13.202477,77.699715",0,27,270
1546483776,2019-01-03T02:49:36Z,AIC640,"13.202488,77.699348",0,28,270
1546483788,2019-01-03T02:49:48Z,AIC640,"13.202494,77.698616",0,28,270
1546483797,2019-01-03T02:49:57Z,AIC640,"13.202494,77.698097",0,29,270
1546483809,2019-01-03T02:50:09Z,AIC640,"13.202494,77.697433",0,30,270
1546483818,2019-01-03T02:50:18Z,AIC640,"13.202506,77.696831",0,30,270
1546483825,2019-01-03T02:50:25Z,AIC640,"13.202511,77.696426",0,30,270
1546483836,2019-01-03T02:50:36Z,AIC640,"13.202518,77.695724",0,31,270
1546483843,2019-01-03T02:50:43Z,AIC640,"13.202522,77.695358",0,31,270
1546483855,2019-01-03T02:50:55Z,AIC640,"13.202522,77.694542",0,32,270
1546483867,2019-01-03T02:51:07Z,AIC640,"13.202534,77.693741",0,32,275
