Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546651154,2019-01-05T01:19:14Z,AIC640,"13.202087,77.705437",0,2,177
1546651187,2019-01-05T01:19:47Z,AIC640,"13.202319,77.705399",0,2,230
1546651324,2019-01-05T01:22:04Z,AIC640,"13.202408,77.705544",0,0,219
1546651960,2019-01-05T01:32:40Z,AIC640,"13.202435,77.704468",0,16,270
1546651970,2019-01-05T01:32:50Z,AIC640,"13.202465,77.704224",0,16,281
1546651979,2019-01-05T01:32:59Z,AIC640,"13.202587,77.70401",0,14,306
1546651994,2019-01-05T01:33:14Z,AIC640,"13.202878,77.703911",0,14,348
1546652004,2019-01-05T01:33:24Z,AIC640,"13.203106,77.703918",0,18,5
1546652012,2019-01-05T01:33:32Z,AIC640,"13.203415,77.703918",0,21,5
1546652025,2019-01-05T01:33:45Z,AIC640,"13.203996,77.703941",0,24,8
1546652039,2019-01-05T01:33:59Z,AIC640,"13.204617,77.703934",0,21,357
1546652047,2019-01-05T01:34:07Z,AIC640,"13.204914,77.703934",0,20,354
1546652055,2019-01-05T01:34:15Z,AIC640,"13.205148,77.703819",0,20,326
1546652064,2019-01-05T01:34:24Z,AIC640,"13.205303,77.703514",0,21,284
1546652071,2019-01-05T01:34:31Z,AIC640,"13.205303,77.703255",0,20,270
1546652078,2019-01-05T01:34:38Z,AIC640,"13.205311,77.702988",0,20,272
1546652084,2019-01-05T01:34:44Z,AIC640,"13.205315,77.702774",0,20,270
1546652091,2019-01-05T01:34:51Z,AIC640,"13.205311,77.70253",0,19,270
1546652097,2019-01-05T01:34:57Z,AIC640,"13.205311,77.702309",0,19,270
1546652106,2019-01-05T01:35:06Z,AIC640,"13.205311,77.702049",0,18,270
1546652118,2019-01-05T01:35:18Z,AIC640,"13.205315,77.701614",0,18,270
1546652130,2019-01-05T01:35:30Z,AIC640,"13.205315,77.701256",0,20,270
1546652136,2019-01-05T01:35:36Z,AIC640,"13.205326,77.700981",0,24,270
1546652144,2019-01-05T01:35:44Z,AIC640,"13.205322,77.700623",0,27,270
1546652155,2019-01-05T01:35:55Z,AIC640,"13.205334,77.699913",0,32,270
1546652176,2019-01-05T01:36:16Z,AIC640,"13.205345,77.69854",0,33,270
1546652185,2019-01-05T01:36:25Z,AIC640,"13.205349,77.697823",0,33,270
1546652199,2019-01-05T01:36:39Z,AIC640,"13.205357,77.696938",0,34,270
1546652208,2019-01-05T01:36:48Z,AIC640,"13.205372,77.696259",0,34,270
1546652215,2019-01-05T01:36:55Z,AIC640,"13.205372,77.695786",0,34,270
1546652223,2019-01-05T01:37:03Z,AIC640,"13.205372,77.695312",0,15,270
1546652232,2019-01-05T01:37:12Z,AIC640,"13.20538,77.694611",0,15,270
1546652242,2019-01-05T01:37:22Z,AIC640,"13.20538,77.693855",0,15,270
1546652249,2019-01-05T01:37:29Z,AIC640,"13.205395,77.693314",0,15,270
1546652262,2019-01-05T01:37:42Z,AIC640,"13.205403,77.692406",0,15,270
1546652277,2019-01-05T01:37:57Z,AIC640,"13.205415,77.691254",0,16,270
1546652708,2019-01-05T01:45:08Z,AIC640,"13.206104,77.686172",0,10,357
1546652820,2019-01-05T01:47:00Z,AIC640,"13.206323,77.686172",0,13,357
1546652833,2019-01-05T01:47:13Z,AIC640,"13.206608,77.686172",0,17,2
1546652841,2019-01-05T01:47:21Z,AIC640,"13.206823,77.68618",0,15,2
1546652851,2019-01-05T01:47:31Z,AIC640,"13.207031,77.686195",0,12,5
1546652875,2019-01-05T01:47:55Z,AIC640,"13.207169,77.686752",0,34,92
1546652887,2019-01-05T01:48:07Z,AIC640,"13.207157,77.688148",0,36,90
1546652895,2019-01-05T01:48:15Z,AIC640,"13.207134,77.690704",0,74,90
1546652905,2019-01-05T01:48:25Z,AIC640,"13.207091,77.695335",0,110,90
1546652917,2019-01-05T01:48:37Z,AIC640,"13.207021,77.703201",0,150,90
1546652924,2019-01-05T01:48:44Z,AIC640,"13.206917,77.70784",2825,167,91
1546652935,2019-01-05T01:48:55Z,AIC640,"13.206757,77.71743",3175,170,91
1546652941,2019-01-05T01:49:01Z,AIC640,"13.206711,77.722214",3475,166,90
1546652948,2019-01-05T01:49:08Z,AIC640,"13.206665,77.726089",3775,164,90
1546652959,2019-01-05T01:49:19Z,AIC640,"13.206544,77.736412",4200,169,91
1546652965,2019-01-05T01:49:25Z,AIC640,"13.20645,77.741333",4350,176,91
1546652972,2019-01-05T01:49:32Z,AIC640,"13.206358,77.746826",4500,183,91
1546652984,2019-01-05T01:49:44Z,AIC640,"13.206172,77.758095",4800,198,90
1546652990,2019-01-05T01:49:50Z,AIC640,"13.206172,77.763733",5000,202,90
1546653002,2019-01-05T01:50:02Z,AIC640,"13.206253,77.774818",5575,207,89
1546653014,2019-01-05T01:50:14Z,AIC640,"13.206161,77.787651",6150,211,90
1546653029,2019-01-05T01:50:29Z,AIC640,"13.206161,77.802666",6850,215,89
1546653041,2019-01-05T01:50:41Z,AIC640,"13.207009,77.814957",7525,213,79
1546653047,2019-01-05T01:50:47Z,AIC640,"13.208862,77.820946",7825,214,68
1546653054,2019-01-05T01:50:54Z,AIC640,"13.211929,77.826393",8100,217,55
1546653063,2019-01-05T01:51:03Z,AIC640,"13.218658,77.833023",8500,221,37
1546653069,2019-01-05T01:51:09Z,AIC640,"13.224234,77.836304",8800,225,27
1546653075,2019-01-05T01:51:15Z,AIC640,"13.229168,77.838181",9075,228,17
1546653081,2019-01-05T01:51:21Z,AIC640,"13.236786,77.839417",9375,232,5
1546653102,2019-01-05T01:51:42Z,AIC640,"13.258987,77.831833",10325,248,331
1546653108,2019-01-05T01:51:48Z,AIC640,"13.265386,77.828354",10500,255,332
1546653122,2019-01-05T01:52:02Z,AIC640,"13.279129,77.820992",10825,271,332
1546653132,2019-01-05T01:52:12Z,AIC640,"13.292945,77.81356",11050,287,332
1546653146,2019-01-05T01:52:26Z,AIC640,"13.308074,77.805321",11300,305,331
1546653157,2019-01-05T01:52:37Z,AIC640,"13.32312,77.797028",11525,319,331
1546653169,2019-01-05T01:52:49Z,AIC640,"13.338939,77.788216",11775,336,331
1546653181,2019-01-05T01:53:01Z,AIC640,"13.356768,77.77829",12150,345,331
1546653215,2019-01-05T01:53:35Z,AIC640,"13.404204,77.752029",13700,349,331
1546653257,2019-01-05T01:54:17Z,AIC640,"13.463928,77.71904",15300,362,331
1546653288,2019-01-05T01:54:48Z,AIC640,"13.511307,77.692848",16825,360,331
1546653321,2019-01-05T01:55:21Z,AIC640,"13.560248,77.665726",18050,367,331
1546653334,2019-01-05T01:55:34Z,AIC640,"13.579102,77.655273",18475,369,331
1546653423,2019-01-05T01:57:03Z,AIC640,"13.718353,77.578201",21700,383,331
1546653484,2019-01-05T01:58:04Z,AIC640,"13.815491,77.524315",23325,400,331
1546653547,2019-01-05T01:59:07Z,AIC640,"13.915054,77.469147",25100,409,331
1546653606,2019-01-05T02:00:06Z,AIC640,"14.018143,77.411942",27150,408,331
1546653669,2019-01-05T02:01:09Z,AIC640,"14.123795,77.353172",29275,406,331
1546653735,2019-01-05T02:02:15Z,AIC640,"14.230972,77.293541",31325,402,331
1546653795,2019-01-05T02:03:15Z,AIC640,"14.325799,77.236778",32875,394,324
1546653856,2019-01-05T02:04:16Z,AIC640,"14.418274,77.166267",33925,405,323
1546653920,2019-01-05T02:05:20Z,AIC640,"14.513917,77.092995",34000,402,323
1546653985,2019-01-05T02:06:25Z,AIC640,"14.612375,77.017342",34025,405,323
1546654046,2019-01-05T02:07:26Z,AIC640,"14.703781,76.946869",34975,413,323
1546654117,2019-01-05T02:08:37Z,AIC640,"14.815203,76.861267",36000,418,323
1546654223,2019-01-05T02:10:23Z,AIC640,"14.977298,76.736557",36000,414,323
1546654285,2019-01-05T02:11:25Z,AIC640,"15.073848,76.662109",35975,412,323
1546654302,2019-01-05T02:11:42Z,AIC640,"15.098969,76.6427",35975,411,323
1546654393,2019-01-05T02:13:13Z,AIC640,"15.238449,76.534904",36000,411,323
1546654420,2019-01-05T02:13:40Z,AIC640,"15.279099,76.503342",36000,412,322
1546654509,2019-01-05T02:15:09Z,AIC640,"15.414505,76.398254",36025,412,322
1546654572,2019-01-05T02:16:12Z,AIC640,"15.512238,76.322411",36000,412,322
1546654636,2019-01-05T02:17:16Z,AIC640,"15.60822,76.247963",36000,411,322
1546654695,2019-01-05T02:18:15Z,AIC640,"15.699324,76.17704",36000,409,323
1546654761,2019-01-05T02:19:21Z,AIC640,"15.795593,76.10215",35975,410,323
1546654822,2019-01-05T02:20:22Z,AIC640,"15.892044,76.026932",36025,411,323
1546654884,2019-01-05T02:21:24Z,AIC640,"15.986115,75.953545",36025,410,322
1546654948,2019-01-05T02:22:28Z,AIC640,"16.082474,75.87809",36000,409,322
1546655009,2019-01-05T02:23:29Z,AIC640,"16.174942,75.805763",35975,407,322
1546655074,2019-01-05T02:24:34Z,AIC640,"16.27103,75.730522",36000,409,322
1546655135,2019-01-05T02:25:35Z,AIC640,"16.366196,75.655907",36025,407,322
1546655198,2019-01-05T02:26:38Z,AIC640,"16.460999,75.58136",36025,405,322
1546655262,2019-01-05T02:27:42Z,AIC640,"16.555252,75.507202",36000,403,322
1546655320,2019-01-05T02:28:40Z,AIC640,"16.63504,75.429138",35975,401,310
