Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546737962,2019-01-06T01:26:02Z,AIC640,"13.201721,77.70546",0,0,180
1546743320,2019-01-06T02:55:20Z,AIC640,"13.202389,77.705544",0,2,106
1546743358,2019-01-06T02:55:58Z,AIC640,"13.202435,77.705322",0,0,244
1546743546,2019-01-06T02:59:06Z,AIC640,"13.202435,77.705528",0,13,90
1546743559,2019-01-06T02:59:19Z,AIC640,"13.202435,77.705879",0,20,90
1546743574,2019-01-06T02:59:34Z,AIC640,"13.202435,77.706505",0,24,90
1546743614,2019-01-06T03:00:14Z,AIC640,"13.202408,77.708763",0,32,90
1546743625,2019-01-06T03:00:25Z,AIC640,"13.202408,77.709534",0,33,90
1546743631,2019-01-06T03:00:31Z,AIC640,"13.202401,77.709984",0,33,90
1546743638,2019-01-06T03:00:38Z,AIC640,"13.202374,77.710358",0,31,92
1546743644,2019-01-06T03:00:44Z,AIC640,"13.202401,77.710777",0,32,90
1546743661,2019-01-06T03:01:01Z,AIC640,"13.202602,77.7117",0,28,73
1546743668,2019-01-06T03:01:08Z,AIC640,"13.202923,77.711769",0,29,5
1546743674,2019-01-06T03:01:14Z,AIC640,"13.203266,77.711769",0,32,5
1546743680,2019-01-06T03:01:20Z,AIC640,"13.203681,77.711777",0,31,2
1546743689,2019-01-06T03:01:29Z,AIC640,"13.204227,77.711777",0,32,2
1546743695,2019-01-06T03:01:35Z,AIC640,"13.204605,77.711777",0,30,2
1546743701,2019-01-06T03:01:41Z,AIC640,"13.204891,77.711792",0,26,5
1546743707,2019-01-06T03:01:47Z,AIC640,"13.205171,77.71196",0,28,30
1546743713,2019-01-06T03:01:53Z,AIC640,"13.205246,77.712204",0,24,81
1546743719,2019-01-06T03:01:59Z,AIC640,"13.20524,77.712517",0,26,92
1546743725,2019-01-06T03:02:05Z,AIC640,"13.205229,77.712852",0,28,90
1546743740,2019-01-06T03:02:20Z,AIC640,"13.205217,77.713814",0,33,90
