Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546828986,2019-01-07T02:43:06Z,AIC640,"13.203542,77.710808",0,2,167
1546829019,2019-01-07T02:43:39Z,AIC640,"13.203297,77.710808",0,2,14
1546829052,2019-01-07T02:44:12Z,AIC640,"13.203075,77.710716",0,2,357
1546829083,2019-01-07T02:44:43Z,AIC640,"13.202867,77.710732",0,2,295
1546829164,2019-01-07T02:46:04Z,AIC640,"13.202785,77.710617",0,2,270
1546829302,2019-01-07T02:48:22Z,AIC640,"13.202785,77.71051",0,9,270
1546829337,2019-01-07T02:48:57Z,AIC640,"13.202808,77.709686",0,20,270
1546829348,2019-01-07T02:49:08Z,AIC640,"13.202808,77.709244",0,21,270
1546829360,2019-01-07T02:49:20Z,AIC640,"13.20282,77.708778",0,21,270
1546829366,2019-01-07T02:49:26Z,AIC640,"13.20282,77.708527",0,22,270
1546829372,2019-01-07T02:49:32Z,AIC640,"13.20282,77.70829",0,22,270
1546829378,2019-01-07T02:49:38Z,AIC640,"13.20282,77.708031",0,23,270
1546829385,2019-01-07T02:49:45Z,AIC640,"13.20282,77.707771",0,24,270
1546829400,2019-01-07T02:50:00Z,AIC640,"13.202831,77.707001",0,27,270
1546829412,2019-01-07T02:50:12Z,AIC640,"13.202831,77.706367",0,27,270
1546829418,2019-01-07T02:50:18Z,AIC640,"13.202831,77.706032",0,28,270
1546829448,2019-01-07T02:50:48Z,AIC640,"13.202878,77.704193",0,31,284
1546829457,2019-01-07T02:50:57Z,AIC640,"13.203285,77.703911",0,27,354
1546829467,2019-01-07T02:51:07Z,AIC640,"13.203692,77.703926",0,25,4
1546829473,2019-01-07T02:51:13Z,AIC640,"13.204021,77.703918",0,26,358
1546829480,2019-01-07T02:51:20Z,AIC640,"13.204433,77.703934",0,27,4
1546829487,2019-01-07T02:51:27Z,AIC640,"13.204823,77.703934",0,28,2
1546829493,2019-01-07T02:51:33Z,AIC640,"13.205112,77.703842",0,30,329
1546829500,2019-01-07T02:51:40Z,AIC640,"13.205303,77.703491",0,31,286
1546829508,2019-01-07T02:51:48Z,AIC640,"13.205326,77.702957",0,33,270
1546829515,2019-01-07T02:51:55Z,AIC640,"13.205326,77.702522",0,34,270
1546829523,2019-01-07T02:52:03Z,AIC640,"13.205334,77.701805",0,15,270
1546829530,2019-01-07T02:52:10Z,AIC640,"13.205334,77.701363",0,34,270
1546829536,2019-01-07T02:52:16Z,AIC640,"13.205334,77.700966",0,33,270
1546829543,2019-01-07T02:52:23Z,AIC640,"13.205345,77.700562",0,32,270
1546829552,2019-01-07T02:52:32Z,AIC640,"13.205349,77.699921",0,31,270
1546829566,2019-01-07T02:52:46Z,AIC640,"13.205349,77.699066",0,30,270
1546829587,2019-01-07T02:53:07Z,AIC640,"13.205357,77.697853",0,29,270
1546829614,2019-01-07T02:53:34Z,AIC640,"13.205383,77.696259",0,29,270
1546829624,2019-01-07T02:53:44Z,AIC640,"13.20538,77.695724",0,29,270
1546829632,2019-01-07T02:53:52Z,AIC640,"13.205383,77.69519",0,29,270
1546829640,2019-01-07T02:54:00Z,AIC640,"13.20538,77.694809",0,30,270
1546829650,2019-01-07T02:54:10Z,AIC640,"13.205395,77.69413",0,30,270
1546829659,2019-01-07T02:54:19Z,AIC640,"13.205395,77.693573",0,30,270
1546829665,2019-01-07T02:54:25Z,AIC640,"13.205403,77.693237",0,30,270
1546829673,2019-01-07T02:54:33Z,AIC640,"13.205403,77.692726",0,31,270
1546829839,2019-01-07T02:57:19Z,AIC640,"13.205415,77.69088",0,2,270
1546829883,2019-01-07T02:58:03Z,AIC640,"13.205415,77.692421",0,10,270
1546829920,2019-01-07T02:58:40Z,AIC640,"13.205427,77.689819",0,21,270
1546829930,2019-01-07T02:58:50Z,AIC640,"13.205429,77.689346",0,23,270
1546829939,2019-01-07T02:58:59Z,AIC640,"13.205441,77.688919",0,23,270
1546829948,2019-01-07T02:59:08Z,AIC640,"13.205439,77.688515",0,24,270
1546829957,2019-01-07T02:59:17Z,AIC640,"13.205439,77.688148",0,22,270
1546830030,2019-01-07T03:00:30Z,AIC640,"13.205441,77.687607",0,14,270
1546830045,2019-01-07T03:00:45Z,AIC640,"13.20545,77.687202",0,15,270
1546830086,2019-01-07T03:01:26Z,AIC640,"13.205462,77.68676",0,2,270
1546830192,2019-01-07T03:03:12Z,AIC640,"13.205473,77.686447",0,16,275
1546830207,2019-01-07T03:03:27Z,AIC640,"13.205761,77.68615",0,17,340
1546830222,2019-01-07T03:03:42Z,AIC640,"13.20607,77.686172",0,13,1
1546830230,2019-01-07T03:03:50Z,AIC640,"13.20583,77.686165",0,11,1
1546830355,2019-01-07T03:05:55Z,AIC640,"13.206402,77.686172",0,15,1
1546830362,2019-01-07T03:06:02Z,AIC640,"13.206608,77.686188",0,19,2
1546830368,2019-01-07T03:06:08Z,AIC640,"13.206848,77.686195",0,22,5
1546830374,2019-01-07T03:06:14Z,AIC640,"13.207054,77.686279",0,23,30
1546830383,2019-01-07T03:06:23Z,AIC640,"13.207169,77.686752",0,28,90
1546830392,2019-01-07T03:06:32Z,AIC640,"13.20715,77.687569",0,27,90
1546830407,2019-01-07T03:06:47Z,AIC640,"13.207111,77.692055",0,88,90
1546830419,2019-01-07T03:06:59Z,AIC640,"13.207054,77.698494",0,130,90
1546830425,2019-01-07T03:07:05Z,AIC640,"13.20702,77.70285",0,145,90
1546830432,2019-01-07T03:07:12Z,AIC640,"13.206985,77.707764",0,165,90
1546830438,2019-01-07T03:07:18Z,AIC640,"13.206985,77.712646",0,174,90
1546830444,2019-01-07T03:07:24Z,AIC640,"13.20694,77.717613",0,174,90
1546830450,2019-01-07T03:07:30Z,AIC640,"13.206848,77.722588",0,175,90
1546830456,2019-01-07T03:07:36Z,AIC640,"13.206777,77.727646",0,172,90
1546830462,2019-01-07T03:07:42Z,AIC640,"13.206684,77.732605",0,169,91
1546830468,2019-01-07T03:07:48Z,AIC640,"13.206591,77.737526",0,172,91
1546830474,2019-01-07T03:07:54Z,AIC640,"13.206528,77.742714",0,180,90
1546830480,2019-01-07T03:08:00Z,AIC640,"13.20645,77.747742",0,188,90
1546830490,2019-01-07T03:08:10Z,AIC640,"13.206436,77.756447",0,200,90
1546830519,2019-01-07T03:08:39Z,AIC640,"13.206528,77.788033",5150,238,90
1546830540,2019-01-07T03:09:00Z,AIC640,"13.210144,77.812187",5825,259,68
1546830550,2019-01-07T03:09:10Z,AIC640,"13.21618,77.822136",6200,265,52
1546830556,2019-01-07T03:09:16Z,AIC640,"13.22144,77.827538",6425,271,41
1546830562,2019-01-07T03:09:22Z,AIC640,"13.228331,77.832062",6675,276,28
1546830569,2019-01-07T03:09:29Z,AIC640,"13.235546,77.834908",6975,278,19
