Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1546910167,2019-01-08T01:16:07Z,AIC640,"13.201675,77.709969",0,0,246
1546910292,2019-01-08T01:18:12Z,AIC640,"13.201561,77.709824",0,0,226
1546910552,2019-01-08T01:22:32Z,AIC640,"13.201836,77.709969",0,9,165
1546910572,2019-01-08T01:22:52Z,AIC640,"13.202075,77.7099",0,9,171
1546910591,2019-01-08T01:23:11Z,AIC640,"13.202293,77.709854",0,9,233
1546910708,2019-01-08T01:25:08Z,AIC640,"13.202282,77.709824",0,2,270
1546910735,2019-01-08T01:25:35Z,AIC640,"13.202362,77.709404",0,16,270
1546910742,2019-01-08T01:25:42Z,AIC640,"13.202374,77.709198",0,18,270
1546910748,2019-01-08T01:25:48Z,AIC640,"13.202374,77.708984",0,19,270
1546910755,2019-01-08T01:25:55Z,AIC640,"13.202377,77.708771",0,21,270
1546910761,2019-01-08T01:26:01Z,AIC640,"13.202385,77.708504",0,23,270
1546910770,2019-01-08T01:26:10Z,AIC640,"13.202385,77.708076",0,25,270
1546910776,2019-01-08T01:26:16Z,AIC640,"13.202389,77.707779",0,26,270
1546910788,2019-01-08T01:26:28Z,AIC640,"13.202396,77.707176",0,29,270
1546910794,2019-01-08T01:26:34Z,AIC640,"13.202396,77.706772",0,30,270
1546910800,2019-01-08T01:26:40Z,AIC640,"13.202408,77.70639",0,30,270
1546910827,2019-01-08T01:27:07Z,AIC640,"13.202435,77.704742",0,32,270
1546910834,2019-01-08T01:27:14Z,AIC640,"13.202465,77.704262",0,32,278
1546910841,2019-01-08T01:27:21Z,AIC640,"13.20274,77.703957",0,29,331
1546910852,2019-01-08T01:27:32Z,AIC640,"13.203227,77.703926",0,26,359
1546910860,2019-01-08T01:27:40Z,AIC640,"13.203704,77.703926",0,25,356
1546910866,2019-01-08T01:27:46Z,AIC640,"13.203953,77.703934",0,25,3
1546910873,2019-01-08T01:27:53Z,AIC640,"13.204262,77.703934",0,24,2
1546910879,2019-01-08T01:27:59Z,AIC640,"13.204519,77.703926",0,25,357
1546910887,2019-01-08T01:28:07Z,AIC640,"13.204903,77.703934",0,26,357
1546910895,2019-01-08T01:28:15Z,AIC640,"13.205223,77.703697",0,28,303
1546910906,2019-01-08T01:28:26Z,AIC640,"13.205311,77.703026",0,30,270
1546910916,2019-01-08T01:28:36Z,AIC640,"13.205303,77.702454",0,32,270
1546910924,2019-01-08T01:28:44Z,AIC640,"13.205311,77.70179",0,34,270
1546910931,2019-01-08T01:28:51Z,AIC640,"13.205315,77.701347",0,15,270
1546910937,2019-01-08T01:28:57Z,AIC640,"13.205322,77.700912",0,15,270
1546910947,2019-01-08T01:29:07Z,AIC640,"13.205326,77.700104",0,15,270
1546910956,2019-01-08T01:29:16Z,AIC640,"13.205326,77.699471",0,15,270
