Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547088052,2019-01-10T02:40:52Z,AIC640,"13.203553,77.710831",0,0,0
1547089059,2019-01-10T02:57:39Z,AIC640,"13.203564,77.710823",0,0,32
1547089184,2019-01-10T02:59:44Z,AIC640,"13.203588,77.710808",0,0,128
1547089483,2019-01-10T03:04:43Z,AIC640,"13.203565,77.710831",0,0,83
1547089792,2019-01-10T03:09:52Z,AIC640,"13.2036,77.710793",0,0,121
1547090026,2019-01-10T03:13:46Z,AIC640,"13.203588,77.710815",0,0,307
1547090077,2019-01-10T03:14:37Z,AIC640,"13.203576,77.710808",0,0,271
1547090276,2019-01-10T03:17:56Z,AIC640,"13.203588,77.710815",0,0,83
1547090350,2019-01-10T03:19:10Z,AIC640,"13.203553,77.710777",0,0,180
1547090430,2019-01-10T03:20:30Z,AIC640,"13.203565,77.710808",0,0,89
1547090580,2019-01-10T03:23:00Z,AIC640,"13.203565,77.710808",0,0,89
1547090655,2019-01-10T03:24:15Z,AIC640,"13.203565,77.710793",0,0,271
1547090825,2019-01-10T03:27:05Z,AIC640,"13.203565,77.710815",0,0,31
1547090978,2019-01-10T03:29:38Z,AIC640,"13.203358,77.7108",0,11,354
1547090996,2019-01-10T03:29:56Z,AIC640,"13.203117,77.710831",0,10,354
1547091014,2019-01-10T03:30:14Z,AIC640,"13.202911,77.710854",0,2,42
1547091081,2019-01-10T03:31:21Z,AIC640,"13.202785,77.710777",0,0,271
1547091136,2019-01-10T03:32:16Z,AIC640,"13.202785,77.710777",0,0,271
1547091461,2019-01-10T03:37:41Z,AIC640,"13.202785,77.711105",0,21,90
1547091470,2019-01-10T03:37:50Z,AIC640,"13.202843,77.71151",0,25,67
1547091483,2019-01-10T03:38:03Z,AIC640,"13.203355,77.711792",0,26,5
1547091491,2019-01-10T03:38:11Z,AIC640,"13.203827,77.711777",0,26,356
1547091503,2019-01-10T03:38:23Z,AIC640,"13.204495,77.711777",0,31,2
1547091509,2019-01-10T03:38:29Z,AIC640,"13.204833,77.711807",0,30,11
1547091517,2019-01-10T03:38:37Z,AIC640,"13.205148,77.712044",0,29,47
1547091542,2019-01-10T03:39:02Z,AIC640,"13.205217,77.713768",0,15,90
1547091549,2019-01-10T03:39:09Z,AIC640,"13.205217,77.714264",0,16,90
1547091560,2019-01-10T03:39:20Z,AIC640,"13.205212,77.715027",0,15,90
1547091567,2019-01-10T03:39:27Z,AIC640,"13.205212,77.715569",0,15,90
1547091579,2019-01-10T03:39:39Z,AIC640,"13.205189,77.716423",0,15,90
1547091585,2019-01-10T03:39:45Z,AIC640,"13.205189,77.716881",0,15,90
1547091596,2019-01-10T03:39:56Z,AIC640,"13.205189,77.717697",0,15,90
1547091609,2019-01-10T03:40:09Z,AIC640,"13.205182,77.718475",0,15,90
1547091616,2019-01-10T03:40:16Z,AIC640,"13.205177,77.719109",0,15,90
1547091627,2019-01-10T03:40:27Z,AIC640,"13.205171,77.719963",0,31,90
1547091633,2019-01-10T03:40:33Z,AIC640,"13.205159,77.7202",0,29,90
1547091640,2019-01-10T03:40:40Z,AIC640,"13.205159,77.720596",0,24,90
1547091651,2019-01-10T03:40:51Z,AIC640,"13.205148,77.721054",0,16,90
1547091716,2019-01-10T03:41:56Z,AIC640,"13.205143,77.721275",0,15,90
1547091727,2019-01-10T03:42:07Z,AIC640,"13.205148,77.721634",0,19,90
1547091739,2019-01-10T03:42:19Z,AIC640,"13.205143,77.722031",0,16,90
1547091760,2019-01-10T03:42:40Z,AIC640,"13.205148,77.722237",0,11,90
1547091774,2019-01-10T03:42:54Z,AIC640,"13.205212,77.722527",0,18,73
1547091783,2019-01-10T03:43:03Z,AIC640,"13.205383,77.722733",0,16,49
1547091803,2019-01-10T03:43:23Z,AIC640,"13.20575,77.722847",0,12,8
1547091911,2019-01-10T03:45:11Z,AIC640,"13.206183,77.722839",0,22,357
1547091917,2019-01-10T03:45:17Z,AIC640,"13.206428,77.722816",0,23,348
1547091927,2019-01-10T03:45:27Z,AIC640,"13.206757,77.722626",0,21,315
1547092032,2019-01-10T03:47:12Z,AIC640,"13.20687,77.721741",0,15,270
1547092051,2019-01-10T03:47:31Z,AIC640,"13.206905,77.716896",0,88,270
1547092063,2019-01-10T03:47:43Z,AIC640,"13.206963,77.710602",0,125,270
