Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547169692,2019-01-11T01:21:32Z,AIC640,"13.202413,77.706734",0,0,180
1547169720,2019-01-11T01:22:00Z,AIC640,"13.202413,77.706467",0,11,270
1547169746,2019-01-11T01:22:26Z,AIC640,"13.202419,77.706085",0,14,270
1547169754,2019-01-11T01:22:34Z,AIC640,"13.202419,77.705864",0,17,270
1547169767,2019-01-11T01:22:47Z,AIC640,"13.202435,77.705444",0,20,270
1547169776,2019-01-11T01:22:56Z,AIC640,"13.202431,77.705055",0,23,270
1547169785,2019-01-11T01:23:05Z,AIC640,"13.202435,77.704636",0,26,270
1547169799,2019-01-11T01:23:19Z,AIC640,"13.202681,77.703949",0,26,329
1547169806,2019-01-11T01:23:26Z,AIC640,"13.20298,77.703911",0,25,3
1547169815,2019-01-11T01:23:35Z,AIC640,"13.203437,77.703911",0,26,3
1547169829,2019-01-11T01:23:49Z,AIC640,"13.204205,77.703926",0,27,2
1547169845,2019-01-11T01:24:05Z,AIC640,"13.204971,77.703911",0,27,351
1547169851,2019-01-11T01:24:11Z,AIC640,"13.20524,77.703712",0,27,309
1547169894,2019-01-11T01:24:54Z,AIC640,"13.205322,77.701782",0,21,270
1547169906,2019-01-11T01:25:06Z,AIC640,"13.205326,77.70134",0,20,270
1547169914,2019-01-11T01:25:14Z,AIC640,"13.205326,77.701004",0,19,270
1547169927,2019-01-11T01:25:27Z,AIC640,"13.205322,77.700554",0,24,270
1547169935,2019-01-11T01:25:35Z,AIC640,"13.205326,77.700104",0,29,270
1547169942,2019-01-11T01:25:42Z,AIC640,"13.205326,77.699684",0,33,270
1547169948,2019-01-11T01:25:48Z,AIC640,"13.205334,77.699265",0,15,270
1547169956,2019-01-11T01:25:56Z,AIC640,"13.205345,77.69854",0,16,270
1547169970,2019-01-11T01:26:10Z,AIC640,"13.205357,77.697556",0,16,270
1547169977,2019-01-11T01:26:17Z,AIC640,"13.205357,77.69693",0,16,270
