Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547344096,2019-01-13T01:48:16Z,AIC640,"13.202238,77.709877",0,2,219
1547344305,2019-01-13T01:51:45Z,AIC640,"13.202377,77.709442",0,21,270
1547344311,2019-01-13T01:51:51Z,AIC640,"13.202377,77.709236",0,19,270
1547344318,2019-01-13T01:51:58Z,AIC640,"13.202385,77.708984",0,20,270
1547344329,2019-01-13T01:52:09Z,AIC640,"13.202385,77.708549",0,22,270
1547344343,2019-01-13T01:52:23Z,AIC640,"13.202401,77.708008",0,23,270
1547344355,2019-01-13T01:52:35Z,AIC640,"13.202401,77.707489",0,25,270
1547344361,2019-01-13T01:52:41Z,AIC640,"13.202408,77.707153",0,26,270
1547344372,2019-01-13T01:52:52Z,AIC640,"13.202408,77.706619",0,21,270
1547344379,2019-01-13T01:52:59Z,AIC640,"13.202419,77.706406",0,21,272
1547344385,2019-01-13T01:53:05Z,AIC640,"13.202419,77.706146",0,22,270
1547344396,2019-01-13T01:53:16Z,AIC640,"13.202413,77.705719",0,22,270
1547344405,2019-01-13T01:53:25Z,AIC640,"13.202431,77.705414",0,16,270
1547344421,2019-01-13T01:53:41Z,AIC640,"13.202431,77.705009",0,16,270
1547344436,2019-01-13T01:53:56Z,AIC640,"13.202431,77.704521",0,19,270
1547344449,2019-01-13T01:54:09Z,AIC640,"13.202534,77.704109",0,18,295
1547344458,2019-01-13T01:54:18Z,AIC640,"13.202808,77.703957",0,19,343
1547344465,2019-01-13T01:54:25Z,AIC640,"13.203014,77.703918",0,19,354
1547344480,2019-01-13T01:54:40Z,AIC640,"13.203553,77.703926",0,22,1
1547344488,2019-01-13T01:54:48Z,AIC640,"13.20385,77.703934",0,26,2
1547344494,2019-01-13T01:54:54Z,AIC640,"13.20417,77.703926",0,26,358
1547344503,2019-01-13T01:55:03Z,AIC640,"13.204628,77.703934",0,28,1
1547344511,2019-01-13T01:55:11Z,AIC640,"13.205154,77.703751",0,33,320
1547344517,2019-01-13T01:55:17Z,AIC640,"13.205303,77.703377",0,33,281
1547344526,2019-01-13T01:55:26Z,AIC640,"13.205292,77.70285",0,32,270
1547344532,2019-01-13T01:55:32Z,AIC640,"13.205298,77.702477",0,31,270
1547344550,2019-01-13T01:55:50Z,AIC640,"13.205311,77.701324",0,29,270
1547344557,2019-01-13T01:55:57Z,AIC640,"13.205315,77.700981",0,29,270
1547344563,2019-01-13T01:56:03Z,AIC640,"13.205315,77.700676",0,32,270
1547344571,2019-01-13T01:56:11Z,AIC640,"13.205311,77.700058",0,15,270
1547344578,2019-01-13T01:56:18Z,AIC640,"13.205322,77.699516",0,16,270
1547344592,2019-01-13T01:56:32Z,AIC640,"13.205326,77.69825",0,20,270
1547344598,2019-01-13T01:56:38Z,AIC640,"13.205338,77.697571",0,21,270
1547344605,2019-01-13T01:56:45Z,AIC640,"13.205349,77.696968",0,21,270
1547344614,2019-01-13T01:56:54Z,AIC640,"13.205357,77.696068",0,21,270
1547344626,2019-01-13T01:57:06Z,AIC640,"13.20536,77.694824",0,20,270
1547344633,2019-01-13T01:57:13Z,AIC640,"13.205369,77.694252",0,20,270
1547344642,2019-01-13T01:57:22Z,AIC640,"13.205372,77.693275",0,20,270
1547344649,2019-01-13T01:57:29Z,AIC640,"13.205372,77.692482",0,20,270
1547344659,2019-01-13T01:57:39Z,AIC640,"13.205383,77.691574",0,20,270
1547344667,2019-01-13T01:57:47Z,AIC640,"13.205392,77.690857",0,20,270
1547344686,2019-01-13T01:58:06Z,AIC640,"13.205403,77.688972",0,20,270
1547344701,2019-01-13T01:58:21Z,AIC640,"13.205427,77.687469",0,17,270
1547344724,2019-01-13T01:58:44Z,AIC640,"13.205704,77.686264",0,25,323
1547344731,2019-01-13T01:58:51Z,AIC640,"13.206013,77.686188",0,22,354
1547345007,2019-01-13T02:03:27Z,AIC640,"13.206356,77.686188",0,19,354
1547345017,2019-01-13T02:03:37Z,AIC640,"13.206745,77.686234",0,24,14
1547345025,2019-01-13T02:03:45Z,AIC640,"13.207054,77.686432",0,21,41
1547345043,2019-01-13T02:04:03Z,AIC640,"13.207161,77.687141",0,24,90
1547345049,2019-01-13T02:04:09Z,AIC640,"13.20715,77.687576",0,18,90
1547345064,2019-01-13T02:04:24Z,AIC640,"13.207114,77.690895",0,72,90
1547345076,2019-01-13T02:04:36Z,AIC640,"13.207066,77.696144",0,110,90
1547345082,2019-01-13T02:04:42Z,AIC640,"13.207033,77.699783",0,135,90
1547345090,2019-01-13T02:04:50Z,AIC640,"13.206997,77.70462",0,155,90
1547345100,2019-01-13T02:05:00Z,AIC640,"13.206917,77.714249",2925,174,90
1547345111,2019-01-13T02:05:11Z,AIC640,"13.206894,77.722115",3200,178,90
1547345122,2019-01-13T02:05:22Z,AIC640,"13.206777,77.731888",3750,174,90
1547345129,2019-01-13T02:05:29Z,AIC640,"13.206757,77.736938",3975,174,90
1547345135,2019-01-13T02:05:35Z,AIC640,"13.206684,77.742195",4100,181,90
1547345146,2019-01-13T02:05:46Z,AIC640,"13.206619,77.753227",4275,198,90
1547345153,2019-01-13T02:05:53Z,AIC640,"13.206619,77.759048",4375,207,90
1547345165,2019-01-13T02:06:05Z,AIC640,"13.206573,77.771599",4675,222,90
1547345174,2019-01-13T02:06:14Z,AIC640,"13.206528,77.781639",4950,236,90
1547345202,2019-01-13T02:06:42Z,AIC640,"13.210785,77.813698",5775,267,65
1547345210,2019-01-13T02:06:50Z,AIC640,"13.217285,77.823311",6200,269,48
1547345216,2019-01-13T02:06:56Z,AIC640,"13.222837,77.828354",6525,269,38
1547345222,2019-01-13T02:07:02Z,AIC640,"13.229261,77.832352",6825,271,28
1547345228,2019-01-13T02:07:08Z,AIC640,"13.236603,77.835243",7100,275,17
1547345235,2019-01-13T02:07:15Z,AIC640,"13.244156,77.836617",7350,280,6
1547345243,2019-01-13T02:07:23Z,AIC640,"13.255005,77.836334",7675,287,354
1547345250,2019-01-13T02:07:30Z,AIC640,"13.264297,77.835243",7925,291,352
1547345258,2019-01-13T02:07:38Z,AIC640,"13.276703,77.833588",8300,295,352
1547345265,2019-01-13T02:07:45Z,AIC640,"13.284897,77.832451",8600,296,352
1547345276,2019-01-13T02:07:56Z,AIC640,"13.301514,77.830276",9225,295,352
1547345288,2019-01-13T02:08:08Z,AIC640,"13.31781,77.828049",9775,297,352
1547345300,2019-01-13T02:08:20Z,AIC640,"13.334004,77.825844",10300,300,352
1547345313,2019-01-13T02:08:33Z,AIC640,"13.351822,77.82341",10625,312,352
1547345326,2019-01-13T02:08:46Z,AIC640,"13.369766,77.820946",10850,326,352
1547345337,2019-01-13T02:08:57Z,AIC640,"13.388516,77.818329",11100,339,352
1547345349,2019-01-13T02:09:09Z,AIC640,"13.40751,77.815681",11450,347,352
1547345361,2019-01-13T02:09:21Z,AIC640,"13.426392,77.813133",11900,352,352
1547345373,2019-01-13T02:09:33Z,AIC640,"13.44722,77.810287",12425,353,352
1547345408,2019-01-13T02:10:08Z,AIC640,"13.502104,77.802818",13750,360,352
1547345419,2019-01-13T02:10:19Z,AIC640,"13.521656,77.798378",13950,364,342
1547345425,2019-01-13T02:10:25Z,AIC640,"13.53067,77.794571",14000,364,335
1547345431,2019-01-13T02:10:31Z,AIC640,"13.540146,77.789215",14025,364,329
1547345437,2019-01-13T02:10:37Z,AIC640,"13.548477,77.784012",14025,364,328
1547345443,2019-01-13T02:10:43Z,AIC640,"13.557594,77.778725",14025,363,330
1547345475,2019-01-13T02:11:15Z,AIC640,"13.607849,77.756546",14000,363,338
1547345509,2019-01-13T02:11:49Z,AIC640,"13.661173,77.734634",14550,367,338
1547345523,2019-01-13T02:12:03Z,AIC640,"13.683146,77.725769",15100,367,338
1547345583,2019-01-13T02:13:03Z,AIC640,"13.780067,77.686447",16950,387,338
1547345617,2019-01-13T02:13:37Z,AIC640,"13.834534,77.65918",18450,381,325
1547345623,2019-01-13T02:13:43Z,AIC640,"13.843379,77.652618",18725,380,324
1547345688,2019-01-13T02:14:48Z,AIC640,"13.937439,77.582657",20825,388,323
1547345751,2019-01-13T02:15:51Z,AIC640,"14.029308,77.513992",22525,402,323
1547345813,2019-01-13T02:16:53Z,AIC640,"14.126221,77.441109",24225,414,322
1547345876,2019-01-13T02:17:56Z,AIC640,"14.223312,77.364822",26050,418,322
1547345936,2019-01-13T02:18:56Z,AIC640,"14.318024,77.290428",27500,428,322
1547346000,2019-01-13T02:20:00Z,AIC640,"14.418503,77.211487",29025,434,322
1547346063,2019-01-13T02:21:03Z,AIC640,"14.520155,77.131348",30400,441,322
1547346123,2019-01-13T02:22:03Z,AIC640,"14.616165,77.055786",32075,435,322
1547346187,2019-01-13T02:23:07Z,AIC640,"14.720444,76.973434",33475,437,322
1547346262,2019-01-13T02:24:22Z,AIC640,"14.841019,76.878136",35050,436,322
1547346323,2019-01-13T02:25:23Z,AIC640,"14.936844,76.80233",35975,438,322
1547346387,2019-01-13T02:26:27Z,AIC640,"15.039047,76.721336",36000,432,322
1547346461,2019-01-13T02:27:41Z,AIC640,"15.159027,76.626221",36000,431,322
1547346525,2019-01-13T02:28:45Z,AIC640,"15.25946,76.546371",36000,432,322
1547346588,2019-01-13T02:29:48Z,AIC640,"15.360718,76.465805",36000,434,322
1547346649,2019-01-13T02:30:49Z,AIC640,"15.456786,76.389313",36025,435,322
1547346713,2019-01-13T02:31:53Z,AIC640,"15.556314,76.310005",36000,435,322
1547346775,2019-01-13T02:32:55Z,AIC640,"15.658905,76.228012",36000,434,322
1547346836,2019-01-13T02:33:56Z,AIC640,"15.754953,76.151344",36000,434,322
1547346900,2019-01-13T02:35:00Z,AIC640,"15.855698,76.070732",36000,434,322
1547346960,2019-01-13T02:36:00Z,AIC640,"15.956406,75.990074",36000,435,322
1547347025,2019-01-13T02:37:05Z,AIC640,"16.056564,75.909737",36025,433,322
1547347084,2019-01-13T02:38:04Z,AIC640,"16.152277,75.832787",36000,431,322
