Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547428398,2019-01-14T01:13:18Z,AIC640,"13.203355,77.698677",0,2,5
1547428429,2019-01-14T01:13:49Z,AIC640,"13.203094,77.698624",0,2,340
1547428463,2019-01-14T01:14:23Z,AIC640,"13.202888,77.698723",0,2,270
1547428507,2019-01-14T01:15:07Z,AIC640,"13.203323,77.698677",0,0,87
1547428621,2019-01-14T01:17:01Z,AIC640,"13.202889,77.698479",0,12,270
1547428629,2019-01-14T01:17:09Z,AIC640,"13.202889,77.698265",0,18,270
1547428638,2019-01-14T01:17:18Z,AIC640,"13.202878,77.697914",0,23,270
1547428669,2019-01-14T01:17:49Z,AIC640,"13.2029,77.696449",0,26,270
1547428681,2019-01-14T01:18:01Z,AIC640,"13.202901,77.695786",0,28,270
1547428693,2019-01-14T01:18:13Z,AIC640,"13.202911,77.695091",0,29,270
1547428703,2019-01-14T01:18:23Z,AIC640,"13.202911,77.694534",0,29,272
1547428720,2019-01-14T01:18:40Z,AIC640,"13.203017,77.693504",0,29,300
1547428726,2019-01-14T01:18:46Z,AIC640,"13.203266,77.693344",0,28,337
1547428738,2019-01-14T01:18:58Z,AIC640,"13.203873,77.693336",0,27,337
1547428744,2019-01-14T01:19:04Z,AIC640,"13.204216,77.693344",0,27,4
1547428753,2019-01-14T01:19:13Z,AIC640,"13.204694,77.693352",0,26,1
1547428761,2019-01-14T01:19:21Z,AIC640,"13.205043,77.693336",0,24,354
1547428772,2019-01-14T01:19:32Z,AIC640,"13.20538,77.692978",0,21,286
1547428779,2019-01-14T01:19:39Z,AIC640,"13.205392,77.692726",0,21,272
1547428785,2019-01-14T01:19:45Z,AIC640,"13.205395,77.692459",0,23,272
1547428791,2019-01-14T01:19:51Z,AIC640,"13.205395,77.692162",0,27,270
1547428803,2019-01-14T01:20:03Z,AIC640,"13.205403,77.691467",0,30,270
1547428815,2019-01-14T01:20:15Z,AIC640,"13.205403,77.690773",0,30,270
1547428823,2019-01-14T01:20:23Z,AIC640,"13.205403,77.690338",0,31,270
1547428833,2019-01-14T01:20:33Z,AIC640,"13.205406,77.689667",0,32,270
1547428852,2019-01-14T01:20:52Z,AIC640,"13.205418,77.688431",0,33,270
1547428866,2019-01-14T01:21:06Z,AIC640,"13.205427,77.687492",0,34,270
1547428893,2019-01-14T01:21:33Z,AIC640,"13.205811,77.686172",0,22,348
1547428906,2019-01-14T01:21:46Z,AIC640,"13.206322,77.686188",0,19,1
1547428919,2019-01-14T01:21:59Z,AIC640,"13.206676,77.686188",0,16,1
1547428929,2019-01-14T01:22:09Z,AIC640,"13.20694,77.686195",0,18,1
1547428936,2019-01-14T01:22:16Z,AIC640,"13.206722,77.686188",0,18,30
1547428986,2019-01-14T01:23:06Z,AIC640,"13.207157,77.687332",0,27,90
1547428996,2019-01-14T01:23:16Z,AIC640,"13.207137,77.689659",0,69,90
1547429005,2019-01-14T01:23:25Z,AIC640,"13.207091,77.694229",0,110,90
1547429014,2019-01-14T01:23:34Z,AIC640,"13.207054,77.699371",0,140,90
1547429025,2019-01-14T01:23:45Z,AIC640,"13.206963,77.70813",3100,153,90
1547429046,2019-01-14T01:24:06Z,AIC640,"13.206917,77.723022",4000,144,91
1547429052,2019-01-14T01:24:12Z,AIC640,"13.206848,77.726898",4225,143,91
1547429059,2019-01-14T01:24:19Z,AIC640,"13.206757,77.731255",4450,143,91
1547429065,2019-01-14T01:24:25Z,AIC640,"13.206711,77.735374",4625,148,90
1547429077,2019-01-14T01:24:37Z,AIC640,"13.206619,77.74437",4850,161,90
1547429083,2019-01-14T01:24:43Z,AIC640,"13.206591,77.749329",4975,171,90
1547429089,2019-01-14T01:24:49Z,AIC640,"13.206591,77.754341",5075,179,90
1547429101,2019-01-14T01:25:01Z,AIC640,"13.206528,77.764923",5275,197,90
1547429114,2019-01-14T01:25:14Z,AIC640,"13.206436,77.776146",5500,216,90
1547429125,2019-01-14T01:25:25Z,AIC640,"13.206218,77.789948",5900,231,90
1547429137,2019-01-14T01:25:37Z,AIC640,"13.206125,77.80397",6450,242,89
1547429144,2019-01-14T01:25:44Z,AIC640,"13.20694,77.810997",6800,242,79
1547429153,2019-01-14T01:25:53Z,AIC640,"13.21019,77.82061",7200,247,66
1547429159,2019-01-14T01:25:59Z,AIC640,"13.214179,77.826813",7400,254,54
1547429165,2019-01-14T01:26:05Z,AIC640,"13.219346,77.83197",7575,264,39
1547429171,2019-01-14T01:26:11Z,AIC640,"13.224564,77.835388",7725,271,28
1547429177,2019-01-14T01:26:17Z,AIC640,"13.233536,77.838516",7950,279,13
1547429183,2019-01-14T01:26:23Z,AIC640,"13.241645,77.83905",8225,283,8
1547429205,2019-01-14T01:26:45Z,AIC640,"13.26915,77.835434",9350,287,351
1547429213,2019-01-14T01:26:53Z,AIC640,"13.281028,77.833603",9825,289,351
1547429225,2019-01-14T01:27:05Z,AIC640,"13.297321,77.831146",10350,295,351
1547429237,2019-01-14T01:27:17Z,AIC640,"13.314926,77.828712",10700,309,352
1547429249,2019-01-14T01:27:29Z,AIC640,"13.332189,77.826332",10950,324,352
1547429261,2019-01-14T01:27:41Z,AIC640,"13.35053,77.823776",11225,339,352
1547429274,2019-01-14T01:27:54Z,AIC640,"13.370967,77.82093",11600,349,352
1547429286,2019-01-14T01:28:06Z,AIC640,"13.390426,77.818283",12125,354,352
1547429316,2019-01-14T01:28:36Z,AIC640,"13.439724,77.81144",13650,355,352
1547429351,2019-01-14T01:29:11Z,AIC640,"13.495102,77.803848",15175,361,352
1547429369,2019-01-14T01:29:29Z,AIC640,"13.524994,77.797127",15850,366,339
1547429377,2019-01-14T01:29:37Z,AIC640,"13.537033,77.791016",16150,368,330
1547429383,2019-01-14T01:29:43Z,AIC640,"13.547653,77.78434",16475,367,328
1547429389,2019-01-14T01:29:49Z,AIC640,"13.555618,77.779175",16750,367,327
1547429396,2019-01-14T01:29:56Z,AIC640,"13.56644,77.772072",17050,369,327
1547429471,2019-01-14T01:31:11Z,AIC640,"13.67569,77.700241",19850,384,327
1547429535,2019-01-14T01:32:15Z,AIC640,"13.775272,77.634308",21725,408,327
1547429597,2019-01-14T01:33:17Z,AIC640,"13.873718,77.569298",23575,415,326
1547429657,2019-01-14T01:34:17Z,AIC640,"13.973282,77.503143",25125,432,327
1547429720,2019-01-14T01:35:20Z,AIC640,"14.083169,77.436172",26500,444,333
1547429782,2019-01-14T01:36:22Z,AIC640,"14.199968,77.376518",28125,453,333
1547429845,2019-01-14T01:37:25Z,AIC640,"14.321609,77.314308",29250,469,333
1547429907,2019-01-14T01:38:27Z,AIC640,"14.437775,77.254913",31250,458,333
1547429972,2019-01-14T01:39:32Z,AIC640,"14.56722,77.188499",32500,470,333
1547430033,2019-01-14T01:40:33Z,AIC640,"14.685648,77.127731",33950,470,333
1547430094,2019-01-14T01:41:34Z,AIC640,"14.790894,77.053841",35550,449,319
1547430159,2019-01-14T01:42:39Z,AIC640,"14.893551,76.965508",36000,435,319
1547430221,2019-01-14T01:43:41Z,AIC640,"14.989471,76.882324",36000,440,319
1547430281,2019-01-14T01:44:41Z,AIC640,"15.084595,76.800072",36025,442,319
1547430342,2019-01-14T01:45:42Z,AIC640,"15.181,76.716423",36050,440,319
1547430403,2019-01-14T01:46:43Z,AIC640,"15.275977,76.633804",36025,437,319
1547430469,2019-01-14T01:47:49Z,AIC640,"15.37793,76.545166",35975,435,320
1547430532,2019-01-14T01:48:52Z,AIC640,"15.472916,76.462387",35950,437,319
1547430591,2019-01-14T01:49:51Z,AIC640,"15.564741,76.382248",36000,439,319
1547430654,2019-01-14T01:50:54Z,AIC640,"15.662933,76.296486",36025,441,319
1547430713,2019-01-14T01:51:53Z,AIC640,"15.756955,76.214264",36025,439,319
1547430779,2019-01-14T01:52:59Z,AIC640,"15.855879,76.127747",36000,439,319
1547430836,2019-01-14T01:53:56Z,AIC640,"15.948238,76.046631",36025,438,319
1547430903,2019-01-14T01:55:03Z,AIC640,"16.048737,75.958366",36025,434,319
1547430964,2019-01-14T01:56:04Z,AIC640,"16.14505,75.873749",35975,434,319
1547431027,2019-01-14T01:57:07Z,AIC640,"16.24254,75.78791",36000,436,319
1547431088,2019-01-14T01:58:08Z,AIC640,"16.334839,75.706543",36025,436,319
1547431151,2019-01-14T01:59:11Z,AIC640,"16.432289,75.620369",36025,434,319
1547431206,2019-01-14T02:00:06Z,AIC640,"16.515802,75.546753",36025,433,319
1547431351,2019-01-14T02:02:31Z,AIC640,"16.711533,75.327904",36000,428,308
1547431402,2019-01-14T02:03:22Z,AIC640,"16.773563,75.245949",36000,430,308
1547431495,2019-01-14T02:04:55Z,AIC640,"16.890244,75.091362",36025,435,308
1547431558,2019-01-14T02:05:58Z,AIC640,"16.969687,74.986008",36025,435,308
1547431622,2019-01-14T02:07:02Z,AIC640,"17.048492,74.881126",36000,433,307
1547431682,2019-01-14T02:08:02Z,AIC640,"17.123077,74.782173",35250,430,308
1547431746,2019-01-14T02:09:06Z,AIC640,"17.201248,74.67778",34175,439,307
1547431806,2019-01-14T02:10:06Z,AIC640,"17.277536,74.575783",33250,436,307
1547431867,2019-01-14T02:11:07Z,AIC640,"17.353409,74.474388",32425,434,307
1547431931,2019-01-14T02:12:11Z,AIC640,"17.431366,74.369926",31975,435,307
1547431992,2019-01-14T02:13:12Z,AIC640,"17.506943,74.268494",32000,436,307
1547432055,2019-01-14T02:14:15Z,AIC640,"17.586178,74.162079",31900,436,307
1547432079,2019-01-14T02:14:39Z,AIC640,"17.615845,74.122299",31350,435,307
1547432171,2019-01-14T02:16:11Z,AIC640,"17.728069,73.971336",29100,433,307
1547432231,2019-01-14T02:17:11Z,AIC640,"17.802155,73.87149",27525,429,307
1547432292,2019-01-14T02:18:12Z,AIC640,"17.875214,73.772469",25725,417,307
1547432353,2019-01-14T02:19:13Z,AIC640,"17.948273,73.673546",23825,405,307
1547432414,2019-01-14T02:20:14Z,AIC640,"18.017904,73.579216",22000,401,307
1547432479,2019-01-14T02:21:19Z,AIC640,"18.089361,73.482056",19875,394,307
1547432538,2019-01-14T02:22:18Z,AIC640,"18.156464,73.393005",17850,383,314
1547432545,2019-01-14T02:22:25Z,AIC640,"18.165207,73.385399",17700,382,321
1547432551,2019-01-14T02:22:31Z,AIC640,"18.173172,73.380096",17550,383,329
1547432557,2019-01-14T02:22:37Z,AIC640,"18.183025,73.374985",17400,382,334
