Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547515186,2019-01-15T01:19:46Z,AIC640,"13.201679,77.710777",0,0,180
1547515238,2019-01-15T01:20:38Z,AIC640,"13.201904,77.710785",0,2,168
1547515260,2019-01-15T01:21:00Z,AIC640,"13.20211,77.710732",0,2,174
1547515284,2019-01-15T01:21:24Z,AIC640,"13.202328,77.710693",0,2,233
1547515309,2019-01-15T01:21:49Z,AIC640,"13.202075,77.710747",0,2,272
1547515477,2019-01-15T01:24:37Z,AIC640,"13.202389,77.710815",0,0,137
1547515568,2019-01-15T01:26:08Z,AIC640,"13.202576,77.71048",0,15,309
1547515577,2019-01-15T01:26:17Z,AIC640,"13.202728,77.710266",0,16,303
1547515633,2019-01-15T01:27:13Z,AIC640,"13.202808,77.708443",0,20,270
1547515639,2019-01-15T01:27:19Z,AIC640,"13.202808,77.708214",0,21,270
1547515645,2019-01-15T01:27:25Z,AIC640,"13.202808,77.707993",0,21,270
1547515651,2019-01-15T01:27:31Z,AIC640,"13.202808,77.707718",0,22,270
1547515658,2019-01-15T01:27:38Z,AIC640,"13.20282,77.707458",0,24,270
1547515669,2019-01-15T01:27:49Z,AIC640,"13.20282,77.706902",0,25,270
1547515675,2019-01-15T01:27:55Z,AIC640,"13.202831,77.706566",0,25,270
1547515681,2019-01-15T01:28:01Z,AIC640,"13.202831,77.706276",0,26,270
1547515687,2019-01-15T01:28:07Z,AIC640,"13.202831,77.705994",0,25,270
1547515706,2019-01-15T01:28:26Z,AIC640,"13.202843,77.705055",0,26,270
1547515715,2019-01-15T01:28:35Z,AIC640,"13.202831,77.704575",0,26,270
1547515724,2019-01-15T01:28:44Z,AIC640,"13.202888,77.704147",0,26,289
1547515733,2019-01-15T01:28:53Z,AIC640,"13.203193,77.703926",0,22,343
1547515748,2019-01-15T01:29:08Z,AIC640,"13.203701,77.703918",0,19,2
1547515757,2019-01-15T01:29:17Z,AIC640,"13.204054,77.703926",0,21,3
1547515764,2019-01-15T01:29:24Z,AIC640,"13.204298,77.703926",0,22,3
1547515774,2019-01-15T01:29:34Z,AIC640,"13.204765,77.703934",0,24,1
1547515780,2019-01-15T01:29:40Z,AIC640,"13.205051,77.703873",0,26,337
1547515827,2019-01-15T01:30:27Z,AIC640,"13.205322,77.701141",0,29,270
1547515838,2019-01-15T01:30:38Z,AIC640,"13.205326,77.700508",0,28,270
1547515846,2019-01-15T01:30:46Z,AIC640,"13.205322,77.700119",0,27,270
1547515860,2019-01-15T01:31:00Z,AIC640,"13.205338,77.699387",0,28,270
1547515867,2019-01-15T01:31:07Z,AIC640,"13.205338,77.698967",0,31,270
1547515873,2019-01-15T01:31:13Z,AIC640,"13.205338,77.698532",0,32,270
1547515881,2019-01-15T01:31:21Z,AIC640,"13.205349,77.697929",0,15,270
1547515887,2019-01-15T01:31:27Z,AIC640,"13.205349,77.697571",0,16,272
1547515906,2019-01-15T01:31:46Z,AIC640,"13.205369,77.695938",0,17,272
1547515912,2019-01-15T01:31:52Z,AIC640,"13.205372,77.695534",0,17,270
1547515921,2019-01-15T01:32:01Z,AIC640,"13.205369,77.694794",0,16,270
1547515933,2019-01-15T01:32:13Z,AIC640,"13.205383,77.693794",0,16,270
1547515944,2019-01-15T01:32:24Z,AIC640,"13.205395,77.692871",0,16,270
1547515950,2019-01-15T01:32:30Z,AIC640,"13.205395,77.692398",0,16,270
1547515956,2019-01-15T01:32:36Z,AIC640,"13.205406,77.691986",0,16,270
1547515984,2019-01-15T01:33:04Z,AIC640,"13.205415,77.689697",0,16,270
1547516001,2019-01-15T01:33:21Z,AIC640,"13.205427,77.688377",0,16,270
1547516009,2019-01-15T01:33:29Z,AIC640,"13.205439,77.687759",0,16,270
1547516032,2019-01-15T01:33:52Z,AIC640,"13.205784,77.686195",0,31,340
1547516043,2019-01-15T01:34:03Z,AIC640,"13.206333,77.686172",0,27,358
1547516056,2019-01-15T01:34:16Z,AIC640,"13.206928,77.686302",0,24,28
1547516075,2019-01-15T01:34:35Z,AIC640,"13.20715,77.687325",0,19,90
1547516091,2019-01-15T01:34:51Z,AIC640,"13.207111,77.691383",0,82,90
1547516102,2019-01-15T01:35:02Z,AIC640,"13.207067,77.697304",0,120,90
1547516108,2019-01-15T01:35:08Z,AIC640,"13.207031,77.701408",0,145,90
1547516115,2019-01-15T01:35:15Z,AIC640,"13.206985,77.70623",0,165,90
1547516121,2019-01-15T01:35:21Z,AIC640,"13.20694,77.711082",2900,173,90
1547516127,2019-01-15T01:35:27Z,AIC640,"13.206777,77.716179",3075,174,91
1547516139,2019-01-15T01:35:39Z,AIC640,"13.206436,77.725243",3625,166,92
1547516146,2019-01-15T01:35:46Z,AIC640,"13.206207,77.730591",3950,161,91
1547516157,2019-01-15T01:35:57Z,AIC640,"13.206024,77.739822",4375,161,90
1547516163,2019-01-15T01:36:03Z,AIC640,"13.206024,77.744469",4500,166,90
1547516183,2019-01-15T01:36:23Z,AIC640,"13.206116,77.760376",4850,188,89
1547516189,2019-01-15T01:36:29Z,AIC640,"13.206161,77.765869",4950,196,89
1547516195,2019-01-15T01:36:35Z,AIC640,"13.206207,77.771553",5050,204,89
1547516205,2019-01-15T01:36:45Z,AIC640,"13.206218,77.782867",5275,220,90
1547516236,2019-01-15T01:37:16Z,AIC640,"13.210641,77.815292",6100,254,67
1547516244,2019-01-15T01:37:24Z,AIC640,"13.216459,77.823776",6300,265,52
1547516251,2019-01-15T01:37:31Z,AIC640,"13.223785,77.829987",6625,272,33
1547516258,2019-01-15T01:37:38Z,AIC640,"13.23175,77.834015",6900,275,22
1547516266,2019-01-15T01:37:46Z,AIC640,"13.240311,77.836197",7225,279,11
1547516290,2019-01-15T01:38:10Z,AIC640,"13.271438,77.832787",8400,286,343
1547516297,2019-01-15T01:38:17Z,AIC640,"13.283112,77.827621",8725,292,333
1547516312,2019-01-15T01:38:32Z,AIC640,"13.300919,77.817772",9025,296,331
1547516326,2019-01-15T01:38:46Z,AIC640,"13.314697,77.810051",9250,298,331
1547516336,2019-01-15T01:38:56Z,AIC640,"13.330513,77.801224",9475,299,331
1547516350,2019-01-15T01:39:10Z,AIC640,"13.345413,77.792908",9700,300,331
