Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547778327,2019-01-18T02:25:27Z,AIC640,"13.201653,77.70961",0,0,48
1547778379,2019-01-18T02:26:19Z,AIC640,"13.201447,77.709648",0,0,116
1547778514,2019-01-18T02:28:34Z,AIC640,"13.201586,77.709625",0,2,180
1547778544,2019-01-18T02:29:04Z,AIC640,"13.20179,77.70961",0,2,177
1547778575,2019-01-18T02:29:35Z,AIC640,"13.202064,77.709587",0,2,177
1547778599,2019-01-18T02:29:59Z,AIC640,"13.202271,77.709541",0,2,219
1547778671,2019-01-18T02:31:11Z,AIC640,"13.202385,77.709671",0,0,89
1547778846,2019-01-18T02:34:06Z,AIC640,"13.202401,77.709381",0,14,270
1547778865,2019-01-18T02:34:25Z,AIC640,"13.202401,77.709",0,9,270
1547778877,2019-01-18T02:34:37Z,AIC640,"13.202396,77.708786",0,15,270
1547778887,2019-01-18T02:34:47Z,AIC640,"13.202396,77.70845",0,20,270
1547778895,2019-01-18T02:34:55Z,AIC640,"13.202401,77.708168",0,22,270
1547778901,2019-01-18T02:35:01Z,AIC640,"13.202413,77.707901",0,23,270
1547778907,2019-01-18T02:35:07Z,AIC640,"13.202408,77.707603",0,24,270
1547778913,2019-01-18T02:35:13Z,AIC640,"13.202408,77.707314",0,27,270
1547778934,2019-01-18T02:35:34Z,AIC640,"13.202435,77.706001",0,31,270
1547778940,2019-01-18T02:35:40Z,AIC640,"13.202435,77.705658",0,31,270
1547778953,2019-01-18T02:35:53Z,AIC640,"13.202435,77.704842",0,31,270
1547778959,2019-01-18T02:35:59Z,AIC640,"13.202435,77.704468",0,32,270
1547778966,2019-01-18T02:36:06Z,AIC640,"13.202579,77.704071",0,30,303
1547778973,2019-01-18T02:36:13Z,AIC640,"13.20298,77.703934",0,27,357
1547778980,2019-01-18T02:36:20Z,AIC640,"13.203343,77.703911",0,28,355
1547778989,2019-01-18T02:36:29Z,AIC640,"13.203809,77.703941",0,27,1
1547778996,2019-01-18T02:36:36Z,AIC640,"13.204102,77.703941",0,28,1
1547779008,2019-01-18T02:36:48Z,AIC640,"13.204775,77.703949",0,28,2
1547779016,2019-01-18T02:36:56Z,AIC640,"13.205217,77.703781",0,28,312
1547779022,2019-01-18T02:37:02Z,AIC640,"13.205315,77.703484",0,27,275
1547779029,2019-01-18T02:37:09Z,AIC640,"13.205311,77.703156",0,26,270
1547779036,2019-01-18T02:37:16Z,AIC640,"13.205311,77.702744",0,27,270
1547779044,2019-01-18T02:37:24Z,AIC640,"13.205315,77.702271",0,31,270
1547779053,2019-01-18T02:37:33Z,AIC640,"13.205322,77.701744",0,34,270
1547779059,2019-01-18T02:37:39Z,AIC640,"13.205326,77.701302",0,15,270
1547779069,2019-01-18T02:37:49Z,AIC640,"13.205322,77.700577",0,32,270
1547779077,2019-01-18T02:37:57Z,AIC640,"13.205334,77.700104",0,32,270
1547779088,2019-01-18T02:38:08Z,AIC640,"13.205334,77.699417",0,30,270
1547779102,2019-01-18T02:38:22Z,AIC640,"13.205345,77.698532",0,30,270
1547779119,2019-01-18T02:38:39Z,AIC640,"13.205349,77.697525",0,29,270
1547779131,2019-01-18T02:38:51Z,AIC640,"13.20536,77.696854",0,28,270
1547779141,2019-01-18T02:39:01Z,AIC640,"13.205357,77.696442",0,16,270
1547779307,2019-01-18T02:41:47Z,AIC640,"13.205369,77.695961",0,13,270
1547779318,2019-01-18T02:41:58Z,AIC640,"13.205372,77.695595",0,20,270
1547779327,2019-01-18T02:42:07Z,AIC640,"13.205372,77.695251",0,20,270
1547779337,2019-01-18T02:42:17Z,AIC640,"13.205372,77.694908",0,21,270
1547779345,2019-01-18T02:42:25Z,AIC640,"13.205372,77.69458",0,21,270
1547779351,2019-01-18T02:42:31Z,AIC640,"13.20538,77.694328",0,21,270
1547779358,2019-01-18T02:42:38Z,AIC640,"13.205383,77.694084",0,21,270
1547779372,2019-01-18T02:42:52Z,AIC640,"13.205383,77.693535",0,21,270
1547779390,2019-01-18T02:43:10Z,AIC640,"13.205395,77.692764",0,22,270
1547779396,2019-01-18T02:43:16Z,AIC640,"13.205395,77.692505",0,22,270
1547779403,2019-01-18T02:43:23Z,AIC640,"13.205392,77.692268",0,20,270
1547779414,2019-01-18T02:43:34Z,AIC640,"13.205392,77.692047",0,0,271
1547779513,2019-01-18T02:45:13Z,AIC640,"13.205418,77.691833",0,2,270
1547779548,2019-01-18T02:45:48Z,AIC640,"13.205418,77.691124",0,13,270
1547779580,2019-01-18T02:46:20Z,AIC640,"13.205427,77.690292",0,15,270
1547779620,2019-01-18T02:47:00Z,AIC640,"13.205427,77.68911",0,15,270
1547779631,2019-01-18T02:47:11Z,AIC640,"13.205439,77.688889",0,2,270
1547779799,2019-01-18T02:49:59Z,AIC640,"13.205441,77.688446",0,11,270
1547779955,2019-01-18T02:52:35Z,AIC640,"13.205439,77.687691",0,9,270
1547779965,2019-01-18T02:52:45Z,AIC640,"13.205439,77.687485",0,12,270
1547779977,2019-01-18T02:52:57Z,AIC640,"13.205452,77.68718",0,13,270
1547779993,2019-01-18T02:53:13Z,AIC640,"13.20545,77.686806",0,13,270
1547780004,2019-01-18T02:53:24Z,AIC640,"13.20545,77.686531",0,13,270
1547780013,2019-01-18T02:53:33Z,AIC640,"13.205485,77.686279",0,14,281
1547780025,2019-01-18T02:53:45Z,AIC640,"13.205692,77.686172",0,13,340
1547780176,2019-01-18T02:56:16Z,AIC640,"13.206173,77.686195",0,14,2
1547780199,2019-01-18T02:56:39Z,AIC640,"13.206882,77.686302",0,23,28
1547780208,2019-01-18T02:56:48Z,AIC640,"13.207161,77.686798",0,15,75
1547780217,2019-01-18T02:56:57Z,AIC640,"13.207169,77.687607",0,33,90
1547780226,2019-01-18T02:57:06Z,AIC640,"13.207161,77.689941",0,70,90
1547780234,2019-01-18T02:57:14Z,AIC640,"13.207111,77.693962",0,105,90
1547780242,2019-01-18T02:57:22Z,AIC640,"13.207077,77.697807",0,125,90
1547780254,2019-01-18T02:57:34Z,AIC640,"13.206997,77.706963",0,165,90
1547780269,2019-01-18T02:57:49Z,AIC640,"13.20694,77.718941",3125,175,90
1547780280,2019-01-18T02:58:00Z,AIC640,"13.206848,77.729027",3525,178,90
1547780287,2019-01-18T02:58:07Z,AIC640,"13.206777,77.734245",3825,175,90
1547780293,2019-01-18T02:58:13Z,AIC640,"13.206711,77.739258",4100,172,90
1547780299,2019-01-18T02:58:19Z,AIC640,"13.206619,77.744133",4325,170,90
1547780305,2019-01-18T02:58:25Z,AIC640,"13.206619,77.749107",4550,171,90
1547780315,2019-01-18T02:58:35Z,AIC640,"13.206573,77.756828",4725,179,90
1547780326,2019-01-18T02:58:46Z,AIC640,"13.206573,77.767433",4950,193,90
1547780335,2019-01-18T02:58:55Z,AIC640,"13.206573,77.776245",5100,205,90
1547780348,2019-01-18T02:59:08Z,AIC640,"13.206528,77.788414",5400,221,90
1547780369,2019-01-18T02:59:29Z,AIC640,"13.209366,77.811996",5975,247,70
1547780377,2019-01-18T02:59:37Z,AIC640,"13.214722,77.821465",6250,255,55
1547780385,2019-01-18T02:59:45Z,AIC640,"13.219997,77.826904",6500,260,42
1547780391,2019-01-18T02:59:51Z,AIC640,"13.22591,77.831146",6775,262,32
1547780399,2019-01-18T02:59:59Z,AIC640,"13.236291,77.835533",7250,266,17
1547780405,2019-01-18T03:00:05Z,AIC640,"13.24292,77.836716",7475,270,7
1547780430,2019-01-18T03:00:30Z,AIC640,"13.275055,77.833633",8475,285,352
1547780441,2019-01-18T03:00:41Z,AIC640,"13.289566,77.831787",8975,289,352
1547780454,2019-01-18T03:00:54Z,AIC640,"13.307556,77.829376",9550,291,352
1547780466,2019-01-18T03:01:06Z,AIC640,"13.322506,77.827339",10200,289,352
1547780478,2019-01-18T03:01:18Z,AIC640,"13.33992,77.824921",10625,297,352
1547780491,2019-01-18T03:01:31Z,AIC640,"13.356766,77.822701",10850,311,352
1547780502,2019-01-18T03:01:42Z,AIC640,"13.374985,77.820236",11075,324,352
1547780514,2019-01-18T03:01:54Z,AIC640,"13.392654,77.817818",11350,337,352
1547780527,2019-01-18T03:02:07Z,AIC640,"13.412398,77.815102",11800,343,352
1547780538,2019-01-18T03:02:18Z,AIC640,"13.431066,77.812546",12200,347,352
1547780569,2019-01-18T03:02:49Z,AIC640,"13.478782,77.805946",13575,345,352
1547780595,2019-01-18T03:03:15Z,AIC640,"13.523346,77.797791",14425,351,341
1547780602,2019-01-18T03:03:22Z,AIC640,"13.532913,77.793434",14550,354,334
1547780608,2019-01-18T03:03:28Z,AIC640,"13.541208,77.788506",14675,357,329
1547780614,2019-01-18T03:03:34Z,AIC640,"13.549634,77.783157",14775,359,327
1547780621,2019-01-18T03:03:41Z,AIC640,"13.558665,77.777275",14875,360,327
1547780628,2019-01-18T03:03:48Z,AIC640,"13.56871,77.770653",14975,363,327
1547780662,2019-01-18T03:04:22Z,AIC640,"13.618438,77.737953",15000,374,327
1547780697,2019-01-18T03:04:57Z,AIC640,"13.668274,77.70507",15100,373,327
1547780727,2019-01-18T03:05:27Z,AIC640,"13.713455,77.675095",16100,374,326
1547780765,2019-01-18T03:06:05Z,AIC640,"13.773085,77.642212",17225,383,336
1547780776,2019-01-18T03:06:16Z,AIC640,"13.788071,77.63868",17525,386,347
1547780782,2019-01-18T03:06:22Z,AIC640,"13.803406,77.635452",17775,387,348
1547780791,2019-01-18T03:06:31Z,AIC640,"13.814026,77.633324",17900,388,348
1547780824,2019-01-18T03:07:04Z,AIC640,"13.87401,77.621544",18375,389,349
1547780887,2019-01-18T03:08:07Z,AIC640,"13.984851,77.600098",20875,385,349
1547780902,2019-01-18T03:08:22Z,AIC640,"14.011106,77.592583",21275,388,338
1547780910,2019-01-18T03:08:30Z,AIC640,"14.025444,77.584923",21525,390,329
1547780917,2019-01-18T03:08:37Z,AIC640,"14.034531,77.57811",21725,390,322
1547780925,2019-01-18T03:08:45Z,AIC640,"14.046951,77.567474",22075,388,319
1547780938,2019-01-18T03:08:58Z,AIC640,"14.062454,77.554054",22525,388,319
1547780999,2019-01-18T03:09:59Z,AIC640,"14.148697,77.479187",24350,391,319
1547781062,2019-01-18T03:11:02Z,AIC640,"14.237045,77.402046",25775,395,319
1547781122,2019-01-18T03:12:02Z,AIC640,"14.321982,77.327942",26875,406,319
1547781185,2019-01-18T03:13:05Z,AIC640,"14.41355,77.247864",28400,406,319
1547781245,2019-01-18T03:14:05Z,AIC640,"14.502092,77.173172",29575,411,322
1547781307,2019-01-18T03:15:07Z,AIC640,"14.593615,77.099831",30625,416,321
1547781380,2019-01-18T03:16:20Z,AIC640,"14.70607,77.009567",32100,416,322
1547781443,2019-01-18T03:17:23Z,AIC640,"14.800964,76.933418",33300,416,322
1547781507,2019-01-18T03:18:27Z,AIC640,"14.896729,76.856354",34475,417,322
1547781568,2019-01-18T03:19:28Z,AIC640,"14.992081,76.779739",35575,417,322
1547781632,2019-01-18T03:20:32Z,AIC640,"15.090373,76.700508",36000,424,322
1547781694,2019-01-18T03:21:34Z,AIC640,"15.187088,76.622604",36000,426,322
1547781756,2019-01-18T03:22:36Z,AIC640,"15.283218,76.54493",36000,425,321
1547781818,2019-01-18T03:23:38Z,AIC640,"15.37999,76.466675",36000,423,321
1547781883,2019-01-18T03:24:43Z,AIC640,"15.479224,76.386322",35975,423,321
1547781942,2019-01-18T03:25:42Z,AIC640,"15.571472,76.31147",36000,423,321
1547782007,2019-01-18T03:26:47Z,AIC640,"15.669937,76.231628",36000,425,321
1547782069,2019-01-18T03:27:49Z,AIC640,"15.768356,76.151588",36000,425,321
1547782130,2019-01-18T03:28:50Z,AIC640,"15.861511,76.07579",36025,424,321
1547782193,2019-01-18T03:29:53Z,AIC640,"15.959106,75.996284",36025,423,321
1547782258,2019-01-18T03:30:58Z,AIC640,"16.059219,75.914696",36000,425,321
1547782322,2019-01-18T03:32:02Z,AIC640,"16.159515,75.832695",36000,427,321
1547782388,2019-01-18T03:33:08Z,AIC640,"16.258987,75.751312",36000,427,321
1547782448,2019-01-18T03:34:08Z,AIC640,"16.352463,75.674843",36000,428,321
1547782509,2019-01-18T03:35:09Z,AIC640,"16.45015,75.594704",36025,427,321
1547782570,2019-01-18T03:36:10Z,AIC640,"16.542755,75.518669",36025,424,321
1547782632,2019-01-18T03:37:12Z,AIC640,"16.633114,75.430656",36000,416,310
1547782695,2019-01-18T03:38:15Z,AIC640,"16.708191,75.332146",35975,413,308
1547782757,2019-01-18T03:39:17Z,AIC640,"16.78087,75.236046",35975,411,308
1547782822,2019-01-18T03:40:22Z,AIC640,"16.85582,75.136917",35975,411,308
1547782883,2019-01-18T03:41:23Z,AIC640,"16.929886,75.038696",36000,411,308
1547782946,2019-01-18T03:42:26Z,AIC640,"17.001156,74.944023",36000,411,307
1547783008,2019-01-18T03:43:28Z,AIC640,"17.075409,74.845276",36000,412,308
1547783071,2019-01-18T03:44:31Z,AIC640,"17.150543,74.745239",36000,412,308
1547783133,2019-01-18T03:45:33Z,AIC640,"17.225212,74.645721",36000,414,308
1547783193,2019-01-18T03:46:33Z,AIC640,"17.2966,74.550285",35975,416,307
1547783255,2019-01-18T03:47:35Z,AIC640,"17.367508,74.455505",35025,409,307
1547783318,2019-01-18T03:48:38Z,AIC640,"17.440191,74.357971",33975,396,307
1547783378,2019-01-18T03:49:38Z,AIC640,"17.507172,74.268013",33025,394,307
1547783441,2019-01-18T03:50:41Z,AIC640,"17.57966,74.170662",32750,394,307
1547783506,2019-01-18T03:51:46Z,AIC640,"17.650467,74.075859",31550,390,307
1547783569,2019-01-18T03:52:49Z,AIC640,"17.720398,73.981354",30025,388,307
1547783628,2019-01-18T03:53:48Z,AIC640,"17.786119,73.892471",28625,382,307
1547783693,2019-01-18T03:54:53Z,AIC640,"17.854294,73.800514",27175,371,307
1547783753,2019-01-18T03:55:53Z,AIC640,"17.917099,73.715805",25100,362,307
1547783816,2019-01-18T03:56:56Z,AIC640,"17.981081,73.628609",23000,353,308
1547783877,2019-01-18T03:57:57Z,AIC640,"18.040901,73.547485",21050,347,307
1547783941,2019-01-18T03:59:01Z,AIC640,"18.102118,73.464691",19550,325,307
1547784000,2019-01-18T04:00:00Z,AIC640,"18.15663,73.391907",17925,318,315
1547784006,2019-01-18T04:00:06Z,AIC640,"18.163893,73.385628",17700,318,322
1547784013,2019-01-18T04:00:13Z,AIC640,"18.171753,73.380768",17500,319,332
1547784019,2019-01-18T04:00:19Z,AIC640,"18.179855,73.376961",17350,318,336
1547784025,2019-01-18T04:00:25Z,AIC640,"18.188141,73.373863",17200,317,341
1547784031,2019-01-18T04:00:31Z,AIC640,"18.196898,73.371292",17050,315,344
1547784037,2019-01-18T04:00:37Z,AIC640,"18.205353,73.369003",16925,314,345
1547784046,2019-01-18T04:00:46Z,AIC640,"18.218216,73.365471",16750,311,345
1547784079,2019-01-18T04:01:19Z,AIC640,"18.263901,73.351891",15825,309,343
1547784112,2019-01-18T04:01:52Z,AIC640,"18.308945,73.338303",15025,304,344
1547784143,2019-01-18T04:02:23Z,AIC640,"18.350647,73.32589",14250,300,343
1547784175,2019-01-18T04:02:55Z,AIC640,"18.393448,73.312843",13475,296,343
1547784206,2019-01-18T04:03:26Z,AIC640,"18.4345,73.30043",12750,291,343
1547784239,2019-01-18T04:03:59Z,AIC640,"18.477631,73.287437",11900,289,344
1547784251,2019-01-18T04:04:11Z,AIC640,"18.493296,73.282806",11600,286,344
1547784263,2019-01-18T04:04:23Z,AIC640,"18.50889,73.27816",11250,286,344
1547784275,2019-01-18T04:04:35Z,AIC640,"18.52416,73.273567",10950,287,343
1547784287,2019-01-18T04:04:47Z,AIC640,"18.539566,73.268898",10775,281,343
1547784301,2019-01-18T04:05:01Z,AIC640,"18.554306,73.264488",10650,273,343
1547784312,2019-01-18T04:05:12Z,AIC640,"18.569176,73.260033",10550,266,344
1547784323,2019-01-18T04:05:23Z,AIC640,"18.58287,73.255905",10450,258,343
1547784336,2019-01-18T04:05:36Z,AIC640,"18.596176,73.251892",10325,251,343
1547784348,2019-01-18T04:05:48Z,AIC640,"18.609604,73.24781",10225,244,343
1547784360,2019-01-18T04:06:00Z,AIC640,"18.622805,73.243752",10100,237,343
1547784373,2019-01-18T04:06:13Z,AIC640,"18.635605,73.239868",9925,235,343
1547784385,2019-01-18T04:06:25Z,AIC640,"18.648361,73.235962",9725,235,343
1547784397,2019-01-18T04:06:37Z,AIC640,"18.66107,73.232117",9525,240,344
1547784408,2019-01-18T04:06:48Z,AIC640,"18.673965,73.228271",9325,242,344
1547784442,2019-01-18T04:07:22Z,AIC640,"18.711346,73.217033",8750,246,343
1547784458,2019-01-18T04:07:38Z,AIC640,"18.728523,73.211891",8475,246,344
