Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1547947372,2019-01-20T01:22:52Z,AIC640,"13.201698,77.709946",0,0,53
1547947416,2019-01-20T01:23:36Z,AIC640,"13.201904,77.709984",0,9,163
1547947444,2019-01-20T01:24:04Z,AIC640,"13.202179,77.709877",0,9,194
1547947470,2019-01-20T01:24:30Z,AIC640,"13.202389,77.709938",0,2,267
1547947509,2019-01-20T01:25:09Z,AIC640,"13.202087,77.709923",0,0,225
1547947554,2019-01-20T01:25:54Z,AIC640,"13.202385,77.709969",0,0,258
1547947662,2019-01-20T01:27:42Z,AIC640,"13.202389,77.709999",0,0,65
1547947686,2019-01-20T01:28:06Z,AIC640,"13.202389,77.709671",0,17,270
1547947693,2019-01-20T01:28:13Z,AIC640,"13.202385,77.709404",0,22,270
1547947701,2019-01-20T01:28:21Z,AIC640,"13.202389,77.709023",0,25,270
1547947710,2019-01-20T01:28:30Z,AIC640,"13.202401,77.708565",0,28,270
1547947723,2019-01-20T01:28:43Z,AIC640,"13.202401,77.707855",0,29,270
1547947739,2019-01-20T01:28:59Z,AIC640,"13.202408,77.706894",0,32,270
1547947932,2019-01-20T01:32:12Z,AIC640,"13.202773,77.693398",0,28,323
1547947945,2019-01-20T01:32:25Z,AIC640,"13.203449,77.693314",0,26,356
1547947957,2019-01-20T01:32:37Z,AIC640,"13.204033,77.693321",0,25,356
1547947963,2019-01-20T01:32:43Z,AIC640,"13.204308,77.693321",0,25,356
1547947979,2019-01-20T01:32:59Z,AIC640,"13.204994,77.693336",0,23,1
1547948012,2019-01-20T01:33:32Z,AIC640,"13.205403,77.691437",0,18,270
1547948020,2019-01-20T01:33:40Z,AIC640,"13.205406,77.690758",0,18,270
1547948036,2019-01-20T01:33:56Z,AIC640,"13.205418,77.689308",0,18,270
1547948066,2019-01-20T01:34:26Z,AIC640,"13.205439,77.686844",0,32,270
1547948075,2019-01-20T01:34:35Z,AIC640,"13.205463,77.686447",0,21,284
1547948088,2019-01-20T01:34:48Z,AIC640,"13.20575,77.686172",0,15,331
1547948116,2019-01-20T01:35:16Z,AIC640,"13.206264,77.686165",0,14,334
1547948126,2019-01-20T01:35:26Z,AIC640,"13.206532,77.686172",0,17,4
1547948140,2019-01-20T01:35:40Z,AIC640,"13.206963,77.686226",0,19,11
1547948150,2019-01-20T01:35:50Z,AIC640,"13.207172,77.686409",0,18,53
1547948168,2019-01-20T01:36:08Z,AIC640,"13.207146,77.68705",0,23,90
1547948179,2019-01-20T01:36:19Z,AIC640,"13.207146,77.688171",0,33,90
1547948188,2019-01-20T01:36:28Z,AIC640,"13.207126,77.690445",0,72,90
1547948200,2019-01-20T01:36:40Z,AIC640,"13.207067,77.696205",0,115,90
1547948207,2019-01-20T01:36:47Z,AIC640,"13.207031,77.70137",0,145,90
1547948214,2019-01-20T01:36:54Z,AIC640,"13.206986,77.705673",0,160,90
1547948220,2019-01-20T01:37:00Z,AIC640,"13.206917,77.710632",2775,177,90
1547948226,2019-01-20T01:37:06Z,AIC640,"13.206848,77.715012",2950,179,90
1547948232,2019-01-20T01:37:12Z,AIC640,"13.20673,77.721046",3200,176,90
1547948244,2019-01-20T01:37:24Z,AIC640,"13.206777,77.730774",3900,162,90
1547948252,2019-01-20T01:37:32Z,AIC640,"13.206711,77.73774",4200,166,90
1547948259,2019-01-20T01:37:39Z,AIC640,"13.206619,77.742523",4325,172,91
1547948266,2019-01-20T01:37:46Z,AIC640,"13.20645,77.747742",4450,179,91
1547948277,2019-01-20T01:37:57Z,AIC640,"13.206264,77.758774",4650,195,90
1547948283,2019-01-20T01:38:03Z,AIC640,"13.206207,77.764305",4750,205,90
1547948290,2019-01-20T01:38:10Z,AIC640,"13.206207,77.769279",4925,212,90
1547948307,2019-01-20T01:38:27Z,AIC640,"13.20607,77.789978",5525,233,90
1547948329,2019-01-20T01:38:49Z,AIC640,"13.210373,77.814407",6125,260,67
1547948341,2019-01-20T01:39:01Z,AIC640,"13.219208,77.82634",6600,268,43
1547948347,2019-01-20T01:39:07Z,AIC640,"13.225537,77.831001",6900,271,32
1547948353,2019-01-20T01:39:13Z,AIC640,"13.232614,77.834427",7200,275,21
1547948359,2019-01-20T01:39:19Z,AIC640,"13.239853,77.836479",7450,278,12
1547948365,2019-01-20T01:39:25Z,AIC640,"13.247589,77.837326",7650,282,3
1547948386,2019-01-20T01:39:46Z,AIC640,"13.273956,77.828995",8225,288,332
1547948393,2019-01-20T01:39:53Z,AIC640,"13.280365,77.825447",8350,289,331
1547948404,2019-01-20T01:40:04Z,AIC640,"13.2957,77.816917",8550,290,331
1547948417,2019-01-20T01:40:17Z,AIC640,"13.310257,77.808914",8775,293,331
1547948428,2019-01-20T01:40:28Z,AIC640,"13.325089,77.800674",8975,294,331
1547948441,2019-01-20T01:40:41Z,AIC640,"13.339417,77.792625",9400,294,331
1547948453,2019-01-20T01:40:53Z,AIC640,"13.354068,77.784363",10000,296,331
1547948462,2019-01-20T01:41:02Z,AIC640,"13.365752,77.777809",10400,301,331
1547948477,2019-01-20T01:41:17Z,AIC640,"13.383957,77.767624",10700,319,331
1547948489,2019-01-20T01:41:29Z,AIC640,"13.400528,77.758392",10975,333,331
1547948501,2019-01-20T01:41:41Z,AIC640,"13.416367,77.749535",11400,339,331
1547948513,2019-01-20T01:41:53Z,AIC640,"13.432022,77.740776",12000,338,331
1547948545,2019-01-20T01:42:25Z,AIC640,"13.477386,77.715439",13300,351,331
1547948581,2019-01-20T01:43:01Z,AIC640,"13.529755,77.686172",14825,356,331
1547948616,2019-01-20T01:43:36Z,AIC640,"13.58194,77.657097",15850,374,331
