Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548033060,2019-01-21T01:11:00Z,AIC640,"13.201563,77.707962",0,0,147
1548033110,2019-01-21T01:11:50Z,AIC640,"13.201675,77.707954",0,2,174
1548033135,2019-01-21T01:12:15Z,AIC640,"13.201889,77.707924",0,2,163
1548033166,2019-01-21T01:12:46Z,AIC640,"13.202099,77.707886",0,2,191
1548033198,2019-01-21T01:13:18Z,AIC640,"13.202328,77.707909",0,2,236
1548033417,2019-01-21T01:16:57Z,AIC640,"13.202431,77.707481",0,17,270
1548033426,2019-01-21T01:17:06Z,AIC640,"13.202431,77.707176",0,21,270
1548033435,2019-01-21T01:17:15Z,AIC640,"13.202431,77.706795",0,23,270
1548033442,2019-01-21T01:17:22Z,AIC640,"13.202431,77.70652",0,24,270
1548033453,2019-01-21T01:17:33Z,AIC640,"13.202431,77.705933",0,26,270
1548033468,2019-01-21T01:17:48Z,AIC640,"13.202435,77.705086",0,29,270
1548033474,2019-01-21T01:17:54Z,AIC640,"13.202435,77.704735",0,30,270
1548033484,2019-01-21T01:18:04Z,AIC640,"13.202465,77.704193",0,28,281
1548033495,2019-01-21T01:18:15Z,AIC640,"13.202913,77.703903",0,24,357
1548033504,2019-01-21T01:18:24Z,AIC640,"13.203297,77.703911",0,23,2
1548033515,2019-01-21T01:18:35Z,AIC640,"13.203712,77.703911",0,23,2
1548033526,2019-01-21T01:18:46Z,AIC640,"13.204193,77.703911",0,22,2
1548033532,2019-01-21T01:18:52Z,AIC640,"13.204449,77.703911",0,21,2
1548033540,2019-01-21T01:19:00Z,AIC640,"13.204788,77.703918",0,21,357
1548033546,2019-01-21T01:19:06Z,AIC640,"13.205066,77.703865",0,26,340
1548033574,2019-01-21T01:19:34Z,AIC640,"13.205322,77.701973",0,18,270
1548033590,2019-01-21T01:19:50Z,AIC640,"13.205326,77.70063",0,18,270
1548033602,2019-01-21T01:20:02Z,AIC640,"13.205338,77.699562",0,18,270
1548033610,2019-01-21T01:20:10Z,AIC640,"13.205349,77.698769",0,18,270
1548033622,2019-01-21T01:20:22Z,AIC640,"13.205349,77.697823",0,18,270
