Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548127556,2019-01-22T03:25:56Z,AIC640,"13.20403,77.710808",0,0,271
1548128787,2019-01-22T03:46:27Z,AIC640,"13.20382,77.710815",0,2,2
1548128811,2019-01-22T03:46:51Z,AIC640,"13.203611,77.710808",0,2,5
1548128838,2019-01-22T03:47:18Z,AIC640,"13.203402,77.710777",0,2,8
1548128861,2019-01-22T03:47:41Z,AIC640,"13.20318,77.710754",0,2,8
1548128888,2019-01-22T03:48:08Z,AIC640,"13.20298,77.710716",0,2,345
1548129092,2019-01-22T03:51:32Z,AIC640,"13.202785,77.710564",0,9,270
1548129106,2019-01-22T03:51:46Z,AIC640,"13.202785,77.710289",0,15,270
1548129115,2019-01-22T03:51:55Z,AIC640,"13.202785,77.710014",0,18,270
1548129150,2019-01-22T03:52:30Z,AIC640,"13.202808,77.708427",0,30,270
1548129162,2019-01-22T03:52:42Z,AIC640,"13.202808,77.707611",0,15,270
1548129168,2019-01-22T03:52:48Z,AIC640,"13.202808,77.707153",0,16,270
1548129179,2019-01-22T03:52:59Z,AIC640,"13.20282,77.706116",0,18,270
1548129186,2019-01-22T03:53:06Z,AIC640,"13.202831,77.705574",0,19,270
1548129198,2019-01-22T03:53:18Z,AIC640,"13.202831,77.704453",0,20,270
1548129217,2019-01-22T03:53:37Z,AIC640,"13.202854,77.702477",0,20,270
1548129223,2019-01-22T03:53:43Z,AIC640,"13.202855,77.701912",0,20,270
1548129230,2019-01-22T03:53:50Z,AIC640,"13.202867,77.701164",0,20,270
1548129236,2019-01-22T03:53:56Z,AIC640,"13.202867,77.700684",0,20,272
1548129242,2019-01-22T03:54:02Z,AIC640,"13.202877,77.700104",0,19,270
1548129249,2019-01-22T03:54:09Z,AIC640,"13.202877,77.699524",0,18,270
1548129267,2019-01-22T03:54:27Z,AIC640,"13.202901,77.697899",0,18,270
1548129276,2019-01-22T03:54:36Z,AIC640,"13.202901,77.697121",0,18,270
1548129291,2019-01-22T03:54:51Z,AIC640,"13.202913,77.695793",0,18,270
1548129304,2019-01-22T03:55:04Z,AIC640,"13.202913,77.694756",0,18,270
1548129318,2019-01-22T03:55:18Z,AIC640,"13.202948,77.693642",0,33,281
1548129328,2019-01-22T03:55:28Z,AIC640,"13.20339,77.693321",0,30,351
1548129334,2019-01-22T03:55:34Z,AIC640,"13.203797,77.693321",0,28,357
1548129342,2019-01-22T03:55:42Z,AIC640,"13.204146,77.693321",0,28,357
1548129356,2019-01-22T03:55:56Z,AIC640,"13.20488,77.693336",0,25,1
1548129363,2019-01-22T03:56:03Z,AIC640,"13.2052,77.693237",0,23,331
1548129373,2019-01-22T03:56:13Z,AIC640,"13.205383,77.692947",0,20,286
1548129381,2019-01-22T03:56:21Z,AIC640,"13.205392,77.692612",0,19,270
1548129387,2019-01-22T03:56:27Z,AIC640,"13.205395,77.692398",0,20,272
1548129394,2019-01-22T03:56:34Z,AIC640,"13.205403,77.692192",0,20,270
1548129406,2019-01-22T03:56:46Z,AIC640,"13.205403,77.691719",0,21,270
1548129412,2019-01-22T03:56:52Z,AIC640,"13.205403,77.69149",0,21,270
1548129425,2019-01-22T03:57:05Z,AIC640,"13.205403,77.690979",0,21,270
1548129506,2019-01-22T03:58:26Z,AIC640,"13.205415,77.690346",0,0,272
1548129560,2019-01-22T03:59:20Z,AIC640,"13.205418,77.690254",0,2,270
1548129625,2019-01-22T04:00:25Z,AIC640,"13.205418,77.689865",0,9,270
1548129663,2019-01-22T04:01:03Z,AIC640,"13.205418,77.689323",0,10,270
1548129693,2019-01-22T04:01:33Z,AIC640,"13.205418,77.688766",0,11,270
1548129731,2019-01-22T04:02:11Z,AIC640,"13.205441,77.687958",0,10,270
1548130006,2019-01-22T04:06:46Z,AIC640,"13.205427,77.687469",0,2,270
1548130030,2019-01-22T04:07:10Z,AIC640,"13.205441,77.687164",0,9,270
1548130163,2019-01-22T04:09:23Z,AIC640,"13.205441,77.686821",0,0,271
1548130234,2019-01-22T04:10:34Z,AIC640,"13.205718,77.686241",0,10,317
1548130280,2019-01-22T04:11:20Z,AIC640,"13.206043,77.686172",0,2,354
1548130307,2019-01-22T04:11:47Z,AIC640,"13.20631,77.686172",0,19,354
1548130322,2019-01-22T04:12:02Z,AIC640,"13.20694,77.686348",0,24,39
1548130333,2019-01-22T04:12:13Z,AIC640,"13.207157,77.686707",0,23,73
1548130344,2019-01-22T04:12:24Z,AIC640,"13.207157,77.687271",0,31,90
1548130356,2019-01-22T04:12:36Z,AIC640,"13.207126,77.689148",0,54,90
1548130365,2019-01-22T04:12:45Z,AIC640,"13.207111,77.692329",0,90,90
1548130371,2019-01-22T04:12:51Z,AIC640,"13.207077,77.695488",0,110,90
1548130378,2019-01-22T04:12:58Z,AIC640,"13.207043,77.698509",0,125,90
1548130390,2019-01-22T04:13:10Z,AIC640,"13.206986,77.707756",0,165,90
1548130396,2019-01-22T04:13:16Z,AIC640,"13.206985,77.712929",2825,178,90
1548130405,2019-01-22T04:13:25Z,AIC640,"13.206917,77.720467",3100,177,90
1548130423,2019-01-22T04:13:43Z,AIC640,"13.206917,77.736031",3700,182,90
1548130429,2019-01-22T04:13:49Z,AIC640,"13.206848,77.741486",3875,186,90
1548130435,2019-01-22T04:13:55Z,AIC640,"13.206757,77.746407",4050,189,91
1548130441,2019-01-22T04:14:01Z,AIC640,"13.206684,77.751976",4250,189,90
1548130447,2019-01-22T04:14:07Z,AIC640,"13.206619,77.756638",4500,187,90
1548130454,2019-01-22T04:14:14Z,AIC640,"13.206573,77.763031",4675,190,90
1548130460,2019-01-22T04:14:20Z,AIC640,"13.206544,77.768745",4825,196,90
1548130466,2019-01-22T04:14:26Z,AIC640,"13.206528,77.774208",4950,201,90
1548130484,2019-01-22T04:14:44Z,AIC640,"13.20645,77.792549",5425,220,90
1548130514,2019-01-22T04:15:14Z,AIC640,"13.212084,77.824837",6575,241,59
1548130521,2019-01-22T04:15:21Z,AIC640,"13.216459,77.830139",6725,248,46
1548130528,2019-01-22T04:15:28Z,AIC640,"13.225388,77.836052",6925,260,25
1548130535,2019-01-22T04:15:35Z,AIC640,"13.232483,77.838181",7100,268,12
1548130541,2019-01-22T04:15:41Z,AIC640,"13.240248,77.838661",7300,274,5
1548130563,2019-01-22T04:16:03Z,AIC640,"13.267807,77.835289",7850,280,351
1548130572,2019-01-22T04:16:12Z,AIC640,"13.279404,77.833542",8100,284,351
1548130583,2019-01-22T04:16:23Z,AIC640,"13.294947,77.831291",8425,288,352
1548130595,2019-01-22T04:16:35Z,AIC640,"13.311218,77.828995",8900,291,352
1548130607,2019-01-22T04:16:47Z,AIC640,"13.326736,77.82682",9525,291,352
1548130620,2019-01-22T04:17:00Z,AIC640,"13.343628,77.824493",10125,291,352
1548130632,2019-01-22T04:17:12Z,AIC640,"13.360428,77.822174",10575,298,352
1548130644,2019-01-22T04:17:24Z,AIC640,"13.377018,77.819824",10825,312,352
1548130656,2019-01-22T04:17:36Z,AIC640,"13.39536,77.817223",11050,327,352
1548130668,2019-01-22T04:17:48Z,AIC640,"13.413757,77.814644",11275,339,352
1548130680,2019-01-22T04:18:00Z,AIC640,"13.432835,77.812019",11525,341,352
1548130692,2019-01-22T04:18:12Z,AIC640,"13.451083,77.809563",11750,345,352
1548130704,2019-01-22T04:18:24Z,AIC640,"13.471519,77.806717",11950,349,352
1548130717,2019-01-22T04:18:37Z,AIC640,"13.490799,77.804039",12100,349,352
1548130738,2019-01-22T04:18:58Z,AIC640,"13.52417,77.797081",12775,351,340
1548130746,2019-01-22T04:19:06Z,AIC640,"13.537577,77.790337",13075,353,330
1548130752,2019-01-22T04:19:12Z,AIC640,"13.546003,77.785133",13275,355,328
1548130758,2019-01-22T04:19:18Z,AIC640,"13.554749,77.779556",13500,356,327
1548130765,2019-01-22T04:19:25Z,AIC640,"13.563354,77.773972",13775,357,327
1548130783,2019-01-22T04:19:43Z,AIC640,"13.58844,77.757492",14500,359,327
1548130849,2019-01-22T04:20:49Z,AIC640,"13.68251,77.695358",17175,360,327
1548130881,2019-01-22T04:21:21Z,AIC640,"13.72641,77.666328",18575,352,327
1548130946,2019-01-22T04:22:26Z,AIC640,"13.81866,77.60511",19900,380,326
1548131006,2019-01-22T04:23:26Z,AIC640,"13.909653,77.545006",22000,378,327
1548131067,2019-01-22T04:24:27Z,AIC640,"13.999235,77.485558",23700,385,327
1548131131,2019-01-22T04:25:31Z,AIC640,"14.097107,77.420654",25475,385,327
1548131191,2019-01-22T04:26:31Z,AIC640,"14.186888,77.360901",26025,372,326
1548131258,2019-01-22T04:27:38Z,AIC640,"14.283829,77.296494",27325,384,327
1548131319,2019-01-22T04:28:39Z,AIC640,"14.376588,77.234756",28200,404,327
1548131384,2019-01-22T04:29:44Z,AIC640,"14.483891,77.163101",29125,420,326
1548131445,2019-01-22T04:30:45Z,AIC640,"14.583344,77.099586",30025,423,332
1548131510,2019-01-22T04:31:50Z,AIC640,"14.703918,77.049866",31675,423,340
1548131571,2019-01-22T04:32:51Z,AIC640,"14.817251,77.008141",32675,433,340
1548131637,2019-01-22T04:33:57Z,AIC640,"14.942477,76.962219",33750,440,340
1548131702,2019-01-22T04:35:02Z,AIC640,"15.069565,76.915581",34975,442,340
1548131763,2019-01-22T04:36:03Z,AIC640,"15.187248,76.872368",35750,451,340
1548131828,2019-01-22T04:37:08Z,AIC640,"15.314523,76.821457",36000,440,331
1548131838,2019-01-22T04:37:18Z,AIC640,"15.330597,76.810913",36000,436,325
1548131848,2019-01-22T04:37:28Z,AIC640,"15.345978,76.798767",36000,433,320
1548131859,2019-01-22T04:37:39Z,AIC640,"15.362844,76.782616",36000,430,316
1548131868,2019-01-22T04:37:48Z,AIC640,"15.377182,76.767609",36000,429,314
1548131928,2019-01-22T04:38:48Z,AIC640,"15.459137,76.681923",36000,430,314
1548131968,2019-01-22T04:39:28Z,AIC640,"15.516769,76.621445",36000,428,314
1548132054,2019-01-22T04:40:54Z,AIC640,"15.635559,76.496552",36050,420,314
1548132146,2019-01-22T04:42:26Z,AIC640,"15.758445,76.367096",35975,408,314
1548132204,2019-01-22T04:43:24Z,AIC640,"15.834137,76.287041",35950,406,314
1548132268,2019-01-22T04:44:28Z,AIC640,"15.920446,76.195778",36000,410,314
1548132329,2019-01-22T04:45:29Z,AIC640,"16.001541,76.109894",36000,411,314
1548132395,2019-01-22T04:46:35Z,AIC640,"16.09021,76.0159",36000,410,314
1548132460,2019-01-22T04:47:40Z,AIC640,"16.174301,75.926758",36000,410,314
1548132519,2019-01-22T04:48:39Z,AIC640,"16.253815,75.842239",36000,409,314
1548132580,2019-01-22T04:49:40Z,AIC640,"16.33518,75.755783",36000,408,314
1548132643,2019-01-22T04:50:43Z,AIC640,"16.41893,75.666458",36000,409,314
1548132704,2019-01-22T04:51:44Z,AIC640,"16.499603,75.580399",36000,408,314
1548132766,2019-01-22T04:52:46Z,AIC640,"16.579559,75.495056",36000,407,314
1548132830,2019-01-22T04:53:50Z,AIC640,"16.657425,75.398979",35975,404,308
1548132890,2019-01-22T04:54:50Z,AIC640,"16.728287,75.30545",36000,408,308
1548132952,2019-01-22T04:55:52Z,AIC640,"16.799652,75.211006",36025,410,308
1548133012,2019-01-22T04:56:52Z,AIC640,"16.870789,75.116852",36025,411,307
1548133075,2019-01-22T04:57:55Z,AIC640,"16.945221,75.018166",36025,409,308
1548133136,2019-01-22T04:58:56Z,AIC640,"17.016006,74.924011",35975,408,307
1548133197,2019-01-22T04:59:57Z,AIC640,"17.087311,74.829132",35975,409,307
1548133260,2019-01-22T05:01:00Z,AIC640,"17.16153,74.73008",36000,411,307
1548133322,2019-01-22T05:02:02Z,AIC640,"17.2332,74.634605",36025,411,307
1548133381,2019-01-22T05:03:01Z,AIC640,"17.30365,74.540451",35575,407,307
1548133446,2019-01-22T05:04:06Z,AIC640,"17.377808,74.441528",35000,406,307
1548133506,2019-01-22T05:05:06Z,AIC640,"17.447685,74.347771",34200,404,307
1548133566,2019-01-22T05:06:06Z,AIC640,"17.516464,74.255432",33400,397,307
1548133631,2019-01-22T05:07:11Z,AIC640,"17.588562,74.15873",32575,395,307
1548133655,2019-01-22T05:07:35Z,AIC640,"17.616903,74.120636",32225,395,307
1548133745,2019-01-22T05:09:05Z,AIC640,"17.717194,73.985405",30700,390,307
1548133808,2019-01-22T05:10:08Z,AIC640,"17.786179,73.892113",29325,375,307
1548133870,2019-01-22T05:11:10Z,AIC640,"17.848984,73.807312",27450,352,307
1548133892,2019-01-22T05:11:32Z,AIC640,"17.872055,73.77623",26775,341,307
1548133982,2019-01-22T05:13:02Z,AIC640,"17.956408,73.662003",23100,334,307
1548134042,2019-01-22T05:14:02Z,AIC640,"18.01236,73.586136",21075,320,307
1548134105,2019-01-22T05:15:05Z,AIC640,"18.068344,73.510147",19300,301,307
1548134168,2019-01-22T05:16:08Z,AIC640,"18.117599,73.443413",18450,261,307
1548134226,2019-01-22T05:17:06Z,AIC640,"18.159981,73.387596",17325,253,317
1548134232,2019-01-22T05:17:12Z,AIC640,"18.165802,73.383369",17200,257,327
1548134238,2019-01-22T05:17:18Z,AIC640,"18.172302,73.379997",17100,261,334
1548134247,2019-01-22T05:17:27Z,AIC640,"18.18228,73.375328",16950,263,336
1548134256,2019-01-22T05:17:36Z,AIC640,"18.191299,73.371262",16800,265,336
1548134289,2019-01-22T05:18:09Z,AIC640,"18.230368,73.353714",16225,271,336
1548134319,2019-01-22T05:18:39Z,AIC640,"18.266052,73.33786",15700,275,336
1548134352,2019-01-22T05:19:12Z,AIC640,"18.302902,73.321426",15175,273,336
1548134385,2019-01-22T05:19:45Z,AIC640,"18.342466,73.303581",14625,265,336
1548134419,2019-01-22T05:20:19Z,AIC640,"18.379475,73.286995",14075,258,336
1548134451,2019-01-22T05:20:51Z,AIC640,"18.415649,73.270813",13525,253,336
