Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548292744,2019-01-24T01:19:04Z,AIC640,"13.201854,77.694458",0,9,177
1548292762,2019-01-24T01:19:22Z,AIC640,"13.202076,77.69445",0,9,180
1548292802,2019-01-24T01:20:02Z,AIC640,"13.202408,77.694412",0,2,225
1548292986,2019-01-24T01:23:06Z,AIC640,"13.202529,77.694542",0,2,270
1548293015,2019-01-24T01:23:35Z,AIC640,"13.202522,77.694305",0,12,270
1548293026,2019-01-24T01:23:46Z,AIC640,"13.202518,77.694069",0,15,270
1548293039,2019-01-24T01:23:59Z,AIC640,"13.202534,77.693718",0,16,272
1548293048,2019-01-24T01:24:08Z,AIC640,"13.20261,77.693504",0,14,292
1548293077,2019-01-24T01:24:37Z,AIC640,"13.202994,77.693321",0,10,351
1548293095,2019-01-24T01:24:55Z,AIC640,"13.203438,77.693321",0,18,357
1548293109,2019-01-24T01:25:09Z,AIC640,"13.203861,77.693336",0,18,2
1548293120,2019-01-24T01:25:20Z,AIC640,"13.204239,77.693336",0,14,2
1548293156,2019-01-24T01:25:56Z,AIC640,"13.204571,77.693336",0,12,2
1548293168,2019-01-24T01:26:08Z,AIC640,"13.204777,77.693336",0,10,2
1548293189,2019-01-24T01:26:29Z,AIC640,"13.205066,77.693336",0,11,352
1548293207,2019-01-24T01:26:47Z,AIC640,"13.205292,77.693336",0,9,357
1548293225,2019-01-24T01:27:05Z,AIC640,"13.205406,77.693085",0,12,281
1548293239,2019-01-24T01:27:19Z,AIC640,"13.205395,77.692863",0,13,272
1548293250,2019-01-24T01:27:30Z,AIC640,"13.205395,77.69265",0,15,270
1548293262,2019-01-24T01:27:42Z,AIC640,"13.205392,77.692314",0,17,270
1548293273,2019-01-24T01:27:53Z,AIC640,"13.205395,77.692009",0,19,270
1548293287,2019-01-24T01:28:07Z,AIC640,"13.205395,77.691521",0,20,270
1548293295,2019-01-24T01:28:15Z,AIC640,"13.205403,77.691231",0,9,270
1548293371,2019-01-24T01:29:31Z,AIC640,"13.205403,77.690987",0,11,270
1548293386,2019-01-24T01:29:46Z,AIC640,"13.205403,77.690735",0,14,270
1548293409,2019-01-24T01:30:09Z,AIC640,"13.205406,77.690178",0,17,270
1548293429,2019-01-24T01:30:29Z,AIC640,"13.205415,77.689545",0,17,270
1548293583,2019-01-24T01:33:03Z,AIC640,"13.205415,77.688942",0,14,270
1548293596,2019-01-24T01:33:16Z,AIC640,"13.205427,77.688698",0,15,270
1548293607,2019-01-24T01:33:27Z,AIC640,"13.205427,77.688362",0,17,270
1548293614,2019-01-24T01:33:34Z,AIC640,"13.205406,77.690765",0,18,270
1548293646,2019-01-24T01:34:06Z,AIC640,"13.205429,77.687714",0,12,270
1548293661,2019-01-24T01:34:21Z,AIC640,"13.205427,77.687469",0,13,270
1548293675,2019-01-24T01:34:35Z,AIC640,"13.205429,77.687202",0,15,270
1548293724,2019-01-24T01:35:24Z,AIC640,"13.205578,77.686302",0,13,303
1548293738,2019-01-24T01:35:38Z,AIC640,"13.205795,77.686188",0,9,337
1548293775,2019-01-24T01:36:15Z,AIC640,"13.206137,77.686172",0,12,357
1548293944,2019-01-24T01:39:04Z,AIC640,"13.206528,77.686172",0,18,357
1548293956,2019-01-24T01:39:16Z,AIC640,"13.206951,77.686287",0,22,30
1548293973,2019-01-24T01:39:33Z,AIC640,"13.207157,77.687202",0,17,90
1548293984,2019-01-24T01:39:44Z,AIC640,"13.207137,77.68882",0,50,90
1548293993,2019-01-24T01:39:53Z,AIC640,"13.207114,77.691948",0,88,90
1548294001,2019-01-24T01:40:01Z,AIC640,"13.207067,77.69677",0,120,90
1548294007,2019-01-24T01:40:07Z,AIC640,"13.207045,77.700081",0,140,90
1548294020,2019-01-24T01:40:20Z,AIC640,"13.20694,77.710327",2975,166,90
1548294042,2019-01-24T01:40:42Z,AIC640,"13.207214,77.726807",3800,164,89
1548294053,2019-01-24T01:40:53Z,AIC640,"13.207056,77.73632",4075,177,91
1548294060,2019-01-24T01:41:00Z,AIC640,"13.206848,77.741676",4225,182,91
1548294071,2019-01-24T01:41:11Z,AIC640,"13.206573,77.752518",4450,199,91
1548294077,2019-01-24T01:41:17Z,AIC640,"13.20645,77.758095",4575,206,91
1548294084,2019-01-24T01:41:24Z,AIC640,"13.206358,77.764557",4725,215,90
1548294090,2019-01-24T01:41:30Z,AIC640,"13.206311,77.770966",4975,219,90
1548294096,2019-01-24T01:41:36Z,AIC640,"13.206311,77.777229",5300,222,90
1548294123,2019-01-24T01:42:03Z,AIC640,"13.208817,77.807213",6375,247,72
1548294129,2019-01-24T01:42:09Z,AIC640,"13.211838,77.814125",6700,250,63
1548294136,2019-01-24T01:42:16Z,AIC640,"13.215901,77.820305",7000,253,52
1548294145,2019-01-24T01:42:25Z,AIC640,"13.223236,77.827621",7450,254,39
1548294153,2019-01-24T01:42:33Z,AIC640,"13.232939,77.833168",7950,255,22
1548294160,2019-01-24T01:42:40Z,AIC640,"13.240036,77.835297",8275,256,14
1548294187,2019-01-24T01:43:07Z,AIC640,"13.271759,77.82724",9400,271,330
1548294205,2019-01-24T01:43:25Z,AIC640,"13.292107,77.815582",10300,275,331
1548294217,2019-01-24T01:43:37Z,AIC640,"13.305886,77.807877",10675,289,331
1548294229,2019-01-24T01:43:49Z,AIC640,"13.321016,77.799492",10925,307,331
1548294241,2019-01-24T01:44:01Z,AIC640,"13.336518,77.790916",11175,323,331
1548294253,2019-01-24T01:44:13Z,AIC640,"13.35337,77.781517",11425,340,331
1548294265,2019-01-24T01:44:25Z,AIC640,"13.370316,77.772171",11825,349,331
1548294278,2019-01-24T01:44:38Z,AIC640,"13.386515,77.763252",12400,351,331
1548294310,2019-01-24T01:45:10Z,AIC640,"13.434448,77.736557",13775,362,331
1548294345,2019-01-24T01:45:45Z,AIC640,"13.487859,77.70697",15250,370,331
1548294381,2019-01-24T01:46:21Z,AIC640,"13.541382,77.677368",16700,373,331
1548294414,2019-01-24T01:46:54Z,AIC640,"13.591251,77.649635",18175,372,331
1548294476,2019-01-24T01:47:56Z,AIC640,"13.688546,77.59552",19975,396,331
1548294540,2019-01-24T01:49:00Z,AIC640,"13.791472,77.538422",22150,404,331
1548294603,2019-01-24T01:50:03Z,AIC640,"13.893585,77.481598",25200,382,331
1548294662,2019-01-24T01:51:02Z,AIC640,"13.987877,77.429039",27000,387,331
1548294727,2019-01-24T01:52:07Z,AIC640,"14.092666,77.37059",28175,409,331
1548294788,2019-01-24T01:53:08Z,AIC640,"14.19603,77.312874",29150,429,331
1548294851,2019-01-24T01:54:11Z,AIC640,"14.308389,77.250175",30350,441,331
1548294915,2019-01-24T01:55:15Z,AIC640,"14.424583,77.185173",31575,452,331
1548294974,2019-01-24T01:56:14Z,AIC640,"14.535238,77.123108",32925,456,331
1548295038,2019-01-24T01:57:18Z,AIC640,"14.650129,77.053772",34000,458,323
1548295101,2019-01-24T01:58:21Z,AIC640,"14.757477,76.967659",34000,461,322
1548295164,2019-01-24T01:59:24Z,AIC640,"14.864688,76.881538",34000,457,321
1548295210,2019-01-24T02:00:10Z,AIC640,"14.93898,76.821854",34000,454,321
1548295311,2019-01-24T02:01:51Z,AIC640,"15.107986,76.685875",34000,449,321
1548295375,2019-01-24T02:02:55Z,AIC640,"15.211945,76.601883",34000,447,321
1548295439,2019-01-24T02:03:59Z,AIC640,"15.314392,76.51915",34000,447,321
1548295500,2019-01-24T02:05:00Z,AIC640,"15.411817,76.440514",34000,447,321
1548295561,2019-01-24T02:06:01Z,AIC640,"15.515628,76.356354",34000,449,321
1548295624,2019-01-24T02:07:04Z,AIC640,"15.620407,76.271477",34025,450,321
1548295687,2019-01-24T02:08:07Z,AIC640,"15.722878,76.188271",34000,454,321
1548295752,2019-01-24T02:09:12Z,AIC640,"15.827854,76.103027",34000,444,321
1548295815,2019-01-24T02:10:15Z,AIC640,"15.927476,76.021858",34000,427,321
1548295874,2019-01-24T02:11:14Z,AIC640,"16.02249,75.944412",34000,435,321
1548295938,2019-01-24T02:12:18Z,AIC640,"16.121384,75.863632",34000,437,321
1548296001,2019-01-24T02:13:21Z,AIC640,"16.223873,75.780014",34000,437,321
1548296065,2019-01-24T02:14:25Z,AIC640,"16.322617,75.699272",34000,432,321
1548296129,2019-01-24T02:15:29Z,AIC640,"16.422092,75.617668",34000,431,321
1548296191,2019-01-24T02:16:31Z,AIC640,"16.522087,75.535667",34000,432,321
1548296250,2019-01-24T02:17:30Z,AIC640,"16.611603,75.455544",34025,422,313
1548296315,2019-01-24T02:18:35Z,AIC640,"16.690001,75.3563",34000,417,308
1548296379,2019-01-24T02:19:39Z,AIC640,"16.765411,75.256592",34025,418,308
1548296440,2019-01-24T02:20:40Z,AIC640,"16.840784,75.15683",34050,416,307
1548296502,2019-01-24T02:21:42Z,AIC640,"16.916931,75.056091",34000,415,308
1548296564,2019-01-24T02:22:44Z,AIC640,"16.987797,74.961922",33975,415,308
1548296627,2019-01-24T02:23:47Z,AIC640,"17.062698,74.862312",34000,414,307
1548296690,2019-01-24T02:24:50Z,AIC640,"17.136436,74.764267",34050,410,307
1548296740,2019-01-24T02:25:40Z,AIC640,"17.192139,74.68988",34000,406,307
1548296830,2019-01-24T02:27:10Z,AIC640,"17.299118,74.547104",33975,402,308
1548296894,2019-01-24T02:28:14Z,AIC640,"17.371811,74.449814",33975,400,307
1548296954,2019-01-24T02:29:14Z,AIC640,"17.440144,74.35836",34025,396,307
1548297018,2019-01-24T02:30:18Z,AIC640,"17.51207,74.261894",34000,394,307
1548297081,2019-01-24T02:31:21Z,AIC640,"17.582428,74.167114",33225,395,307
1548297140,2019-01-24T02:32:20Z,AIC640,"17.651352,74.074486",32350,403,307
1548297204,2019-01-24T02:33:24Z,AIC640,"17.723274,73.977516",32000,398,307
1548297265,2019-01-24T02:34:25Z,AIC640,"17.790848,73.886192",30525,382,307
1548297329,2019-01-24T02:35:29Z,AIC640,"17.859346,73.79409",28100,371,307
1548297342,2019-01-24T02:35:42Z,AIC640,"17.87471,73.775459",27375,372,311
1548297429,2019-01-24T02:37:09Z,AIC640,"18.000092,73.674942",24825,391,323
1548297488,2019-01-24T02:38:08Z,AIC640,"18.081207,73.61235",22950,378,323
1548297587,2019-01-24T02:39:47Z,AIC640,"18.215149,73.508736",19225,352,323
1548297650,2019-01-24T02:40:50Z,AIC640,"18.305876,73.440361",16500,391,330
1548297664,2019-01-24T02:41:04Z,AIC640,"18.330782,73.427971",15575,401,335
1548297702,2019-01-24T02:41:42Z,AIC640,"18.392761,73.399269",13950,395,336
1548297735,2019-01-24T02:42:15Z,AIC640,"18.446138,73.374588",12900,376,336
1548297766,2019-01-24T02:42:46Z,AIC640,"18.499008,73.350121",11675,365,336
1548297778,2019-01-24T02:42:58Z,AIC640,"18.517319,73.341736",11375,356,336
1548297791,2019-01-24T02:43:11Z,AIC640,"18.535564,73.333344",11125,350,336
1548297803,2019-01-24T02:43:23Z,AIC640,"18.551905,73.325752",11025,351,336
1548297814,2019-01-24T02:43:34Z,AIC640,"18.571289,73.316818",10975,352,336
1548297826,2019-01-24T02:43:46Z,AIC640,"18.589279,73.308578",10975,352,336
1548297839,2019-01-24T02:43:59Z,AIC640,"18.607115,73.300385",10975,338,336
1548297850,2019-01-24T02:44:10Z,AIC640,"18.622742,73.293228",10875,325,336
1548297862,2019-01-24T02:44:22Z,AIC640,"18.640594,73.284988",10750,314,336
1548297876,2019-01-24T02:44:36Z,AIC640,"18.656296,73.277679",10575,306,336
1548297887,2019-01-24T02:44:47Z,AIC640,"18.671824,73.27047",10425,297,335
1548297898,2019-01-24T02:44:58Z,AIC640,"18.685463,73.264076",10175,293,335
1548297911,2019-01-24T02:45:11Z,AIC640,"18.700974,73.256882",9875,290,336
1548297924,2019-01-24T02:45:24Z,AIC640,"18.716766,73.249481",9525,290,336
1548297939,2019-01-24T02:45:39Z,AIC640,"18.733458,73.241707",9075,290,336
1548297951,2019-01-24T02:45:51Z,AIC640,"18.749451,73.234276",8700,291,336
1548297963,2019-01-24T02:46:03Z,AIC640,"18.764603,73.227272",8300,292,336
1548297978,2019-01-24T02:46:18Z,AIC640,"18.784246,73.218285",7750,296,336
1548297991,2019-01-24T02:46:31Z,AIC640,"18.801844,73.211739",7400,297,343
1548297998,2019-01-24T02:46:38Z,AIC640,"18.809896,73.209595",7300,295,346
1548298007,2019-01-24T02:46:47Z,AIC640,"18.822001,73.20665",7175,290,347
1548298013,2019-01-24T02:46:53Z,AIC640,"18.829468,73.204895",7125,286,347
1548298025,2019-01-24T02:47:05Z,AIC640,"18.84462,73.201317",7025,275,347
1548298038,2019-01-24T02:47:18Z,AIC640,"18.85968,73.197784",7000,264,347
1548298048,2019-01-24T02:47:28Z,AIC640,"18.873859,73.194511",6725,261,347
1548298061,2019-01-24T02:47:41Z,AIC640,"18.888519,73.191063",6250,268,347
1548298074,2019-01-24T02:47:54Z,AIC640,"18.903122,73.18763",5950,269,347
1548298085,2019-01-24T02:48:05Z,AIC640,"18.917759,73.184174",5825,262,347
1548298098,2019-01-24T02:48:18Z,AIC640,"18.932096,73.180832",5625,258,347
1548298109,2019-01-24T02:48:29Z,AIC640,"18.946575,73.177338",5425,257,346
1548298121,2019-01-24T02:48:41Z,AIC640,"18.960022,73.173409",5225,255,342
1548298133,2019-01-24T02:48:53Z,AIC640,"18.973801,73.168457",5000,252,340
1548298146,2019-01-24T02:49:06Z,AIC640,"18.987167,73.163452",4725,250,340
1548298158,2019-01-24T02:49:18Z,AIC640,"19.000214,73.158401",4450,250,339
1548298164,2019-01-24T02:49:24Z,AIC640,"19.006907,73.155609",4275,250,337
1548298170,2019-01-24T02:49:30Z,AIC640,"19.013237,73.152618",4125,250,335
1548298176,2019-01-24T02:49:36Z,AIC640,"19.019476,73.149368",3975,250,332
1548298182,2019-01-24T02:49:42Z,AIC640,"19.025295,73.145477",3900,248,324
1548298188,2019-01-24T02:49:48Z,AIC640,"19.030472,73.14045",3800,244,314
1548298194,2019-01-24T02:49:54Z,AIC640,"19.034838,73.135139",3750,241,310
1548298200,2019-01-24T02:50:00Z,AIC640,"19.039307,73.129395",3725,235,308
1548298207,2019-01-24T02:50:07Z,AIC640,"19.043404,73.1241",3700,230,309
1548298215,2019-01-24T02:50:15Z,AIC640,"19.049408,73.11631",3675,221,309
1548298222,2019-01-24T02:50:22Z,AIC640,"19.052946,73.111763",3700,215,309
1548298233,2019-01-24T02:50:33Z,AIC640,"19.060488,73.102028",3700,203,309
1548298240,2019-01-24T02:50:40Z,AIC640,"19.064163,73.097336",3650,200,309
1548298246,2019-01-24T02:50:46Z,AIC640,"19.067688,73.092873",3575,198,309
1548298258,2019-01-24T02:50:58Z,AIC640,"19.074326,73.084389",3375,196,309
1548298270,2019-01-24T02:51:10Z,AIC640,"19.081787,73.075073",3200,195,310
1548298277,2019-01-24T02:51:17Z,AIC640,"19.08522,73.070709",3100,194,309
1548298285,2019-01-24T02:51:25Z,AIC640,"19.089752,73.063446",2950,192,295
1548298291,2019-01-24T02:51:31Z,AIC640,"19.091072,73.058235",2825,192,282
1548298297,2019-01-24T02:51:37Z,AIC640,"19.0914,73.052414",2700,193,271
1548298317,2019-01-24T02:51:57Z,AIC640,"19.091034,73.032692",2500,182,269
1548298327,2019-01-24T02:52:07Z,AIC640,"19.090887,73.024872",2500,177,268
1548298338,2019-01-24T02:52:18Z,AIC640,"19.090668,73.014793",2400,176,269
1548298346,2019-01-24T02:52:26Z,AIC640,"19.090607,73.009491",2325,175,269
1548298353,2019-01-24T02:52:33Z,AIC640,"19.090576,73.004539",2250,175,269
1548298362,2019-01-24T02:52:42Z,AIC640,"19.090439,72.995026",2075,175,269
1548298376,2019-01-24T02:52:56Z,AIC640,"19.090281,72.984871",1900,174,269
1548298390,2019-01-24T02:53:10Z,AIC640,"19.090141,72.971291",1625,174,269
1548298396,2019-01-24T02:53:16Z,AIC640,"19.090073,72.966087",1525,173,269
1548298405,2019-01-24T02:53:25Z,AIC640,"19.089935,72.958145",1400,168,268
1548298417,2019-01-24T02:53:37Z,AIC640,"19.089724,72.949165",1300,154,268
1548298464,2019-01-24T02:54:24Z,AIC640,"19.08935,72.917259",675,131,268
1548298480,2019-01-24T02:54:40Z,AIC640,"19.089256,72.908318",525,130,269
1548298518,2019-01-24T02:55:18Z,AIC640,"19.088928,72.883255",75,127,269
1548298543,2019-01-24T02:55:43Z,AIC640,"19.088722,72.868271",0,115,267
1548298785,2019-01-24T02:59:45Z,AIC640,"19.090462,72.869202",0,22,90
1548298854,2019-01-24T03:00:54Z,AIC640,"19.091217,72.874619",0,26,28
1548298863,2019-01-24T03:01:03Z,AIC640,"19.091398,72.875038",0,27,84
