Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548465267,2019-01-26T01:14:27Z,AIC640,"13.203495,77.710823",0,2,2
1548465304,2019-01-26T01:15:04Z,AIC640,"13.203255,77.7108",0,2,11
1548465342,2019-01-26T01:15:42Z,AIC640,"13.203006,77.710732",0,2,348
1548465388,2019-01-26T01:16:28Z,AIC640,"13.202785,77.710777",0,2,278
1548465582,2019-01-26T01:19:42Z,AIC640,"13.202785,77.710564",0,12,272
1548465592,2019-01-26T01:19:52Z,AIC640,"13.202785,77.710297",0,20,270
1548465604,2019-01-26T01:20:04Z,AIC640,"13.202785,77.709801",0,23,270
1548465641,2019-01-26T01:20:41Z,AIC640,"13.202808,77.707817",0,15,270
1548465653,2019-01-26T01:20:53Z,AIC640,"13.20282,77.706902",0,16,270
1548465665,2019-01-26T01:21:05Z,AIC640,"13.20282,77.705894",0,17,270
1548465671,2019-01-26T01:21:11Z,AIC640,"13.202831,77.705505",0,15,270
1548465677,2019-01-26T01:21:17Z,AIC640,"13.202831,77.705017",0,33,270
1548465684,2019-01-26T01:21:24Z,AIC640,"13.202831,77.704597",0,34,270
1548465690,2019-01-26T01:21:30Z,AIC640,"13.202866,77.704239",0,31,278
1548465698,2019-01-26T01:21:38Z,AIC640,"13.203227,77.703911",0,28,343
1548465704,2019-01-26T01:21:44Z,AIC640,"13.203552,77.703918",0,26,2
1548465716,2019-01-26T01:21:56Z,AIC640,"13.204158,77.703941",0,28,2
1548465725,2019-01-26T01:22:05Z,AIC640,"13.204674,77.703941",0,29,2
1548465735,2019-01-26T01:22:15Z,AIC640,"13.205194,77.703735",0,32,315
1548465742,2019-01-26T01:22:22Z,AIC640,"13.205303,77.703255",0,34,275
1548465749,2019-01-26T01:22:29Z,AIC640,"13.205315,77.702782",0,16,270
1548465756,2019-01-26T01:22:36Z,AIC640,"13.205315,77.702225",0,17,270
1548465765,2019-01-26T01:22:45Z,AIC640,"13.205311,77.70137",0,19,270
1548465777,2019-01-26T01:22:57Z,AIC640,"13.205322,77.700165",0,22,270
1548465784,2019-01-26T01:23:04Z,AIC640,"13.205334,77.699432",0,25,270
1548465804,2019-01-26T01:23:24Z,AIC640,"13.20536,77.697136",0,21,270
1548465810,2019-01-26T01:23:30Z,AIC640,"13.205357,77.696564",0,18,270
1548465816,2019-01-26T01:23:36Z,AIC640,"13.20536,77.696037",0,34,270
1548465823,2019-01-26T01:23:43Z,AIC640,"13.205372,77.695587",0,32,270
1548465835,2019-01-26T01:23:55Z,AIC640,"13.205372,77.694778",0,33,270
1548465841,2019-01-26T01:24:01Z,AIC640,"13.20538,77.694336",0,34,270
1548465848,2019-01-26T01:24:08Z,AIC640,"13.205383,77.693954",0,31,270
1548465862,2019-01-26T01:24:22Z,AIC640,"13.205383,77.693214",0,25,270
1548465873,2019-01-26T01:24:33Z,AIC640,"13.205395,77.692719",0,23,270
1548465881,2019-01-26T01:24:41Z,AIC640,"13.205395,77.692482",0,13,270
1548465893,2019-01-26T01:24:53Z,AIC640,"13.205392,77.69223",0,14,270
1548465904,2019-01-26T01:25:04Z,AIC640,"13.205392,77.691963",0,16,270
1548465911,2019-01-26T01:25:11Z,AIC640,"13.205403,77.691711",0,17,270
1548465923,2019-01-26T01:25:23Z,AIC640,"13.205403,77.691277",0,20,270
1548465930,2019-01-26T01:25:30Z,AIC640,"13.205403,77.691063",0,21,270
1548465936,2019-01-26T01:25:36Z,AIC640,"13.205406,77.690788",0,22,270
1548465972,2019-01-26T01:26:12Z,AIC640,"13.205418,77.689796",0,13,270
1548466000,2019-01-26T01:26:40Z,AIC640,"13.205427,77.68911",0,13,270
1548466014,2019-01-26T01:26:54Z,AIC640,"13.205429,77.688774",0,14,270
1548466108,2019-01-26T01:28:28Z,AIC640,"13.205429,77.687798",0,10,270
1548466126,2019-01-26T01:28:46Z,AIC640,"13.205441,77.687485",0,13,270
1548466151,2019-01-26T01:29:11Z,AIC640,"13.205439,77.686859",0,9,270
