Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548551590,2019-01-27T01:13:10Z,AIC640,"13.203541,77.710823",0,0,258
1548551650,2019-01-27T01:14:10Z,AIC640,"13.203323,77.710808",0,2,5
1548551675,2019-01-27T01:14:35Z,AIC640,"13.203117,77.710785",0,2,2
1548551704,2019-01-27T01:15:04Z,AIC640,"13.202913,77.710747",0,2,323
1548551885,2019-01-27T01:18:05Z,AIC640,"13.202785,77.71051",0,14,270
1548551893,2019-01-27T01:18:13Z,AIC640,"13.202785,77.710251",0,21,270
1548551905,2019-01-27T01:18:25Z,AIC640,"13.202785,77.709671",0,29,270
1548551926,2019-01-27T01:18:46Z,AIC640,"13.202808,77.708084",0,17,270
1548551932,2019-01-27T01:18:52Z,AIC640,"13.202808,77.707542",0,17,270
1548551938,2019-01-27T01:18:58Z,AIC640,"13.202808,77.707047",0,17,270
1548551944,2019-01-27T01:19:04Z,AIC640,"13.20282,77.706627",0,17,272
1548551956,2019-01-27T01:19:16Z,AIC640,"13.20282,77.705597",0,17,270
1548551962,2019-01-27T01:19:22Z,AIC640,"13.20282,77.705048",0,17,270
1548551969,2019-01-27T01:19:29Z,AIC640,"13.202831,77.704475",0,17,272
1548551990,2019-01-27T01:19:50Z,AIC640,"13.203724,77.703934",0,27,334
1548551996,2019-01-27T01:19:56Z,AIC640,"13.204007,77.703941",0,26,2
1548552002,2019-01-27T01:20:02Z,AIC640,"13.204342,77.703934",0,24,358
1548552009,2019-01-27T01:20:09Z,AIC640,"13.204559,77.703934",0,23,358
1548552015,2019-01-27T01:20:15Z,AIC640,"13.204857,77.703941",0,22,357
1548552024,2019-01-27T01:20:24Z,AIC640,"13.205217,77.70372",0,27,309
1548552034,2019-01-27T01:20:34Z,AIC640,"13.205292,77.703011",0,16,270
1548552044,2019-01-27T01:20:44Z,AIC640,"13.205311,77.702118",0,20,270
1548552056,2019-01-27T01:20:56Z,AIC640,"13.205315,77.700897",0,25,270
1548552068,2019-01-27T01:21:08Z,AIC640,"13.205334,77.699287",0,25,272
