Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548810794,2019-01-30T01:13:14Z,AIC640,"13.201733,77.70546",0,0,119
1548810852,2019-01-30T01:14:12Z,AIC640,"13.201973,77.705444",0,9,174
1548810879,2019-01-30T01:14:39Z,AIC640,"13.202179,77.705399",0,2,202
1548811060,2019-01-30T01:17:40Z,AIC640,"13.202424,77.705452",0,9,270
1548811104,2019-01-30T01:18:24Z,AIC640,"13.202435,77.704468",0,17,270
1548811114,2019-01-30T01:18:34Z,AIC640,"13.202482,77.704155",0,19,286
1548811129,2019-01-30T01:18:49Z,AIC640,"13.202991,77.703911",0,23,2
1548811136,2019-01-30T01:18:56Z,AIC640,"13.203309,77.703911",0,27,358
1548811142,2019-01-30T01:19:02Z,AIC640,"13.203712,77.703918",0,31,2
1548811149,2019-01-30T01:19:09Z,AIC640,"13.204147,77.703918",0,34,359
1548811159,2019-01-30T01:19:19Z,AIC640,"13.204752,77.703926",0,15,2
1548811168,2019-01-30T01:19:28Z,AIC640,"13.2052,77.703682",0,30,312
1548811178,2019-01-30T01:19:38Z,AIC640,"13.205311,77.702827",0,16,270
1548811186,2019-01-30T01:19:46Z,AIC640,"13.205311,77.702286",0,18,270
1548811192,2019-01-30T01:19:52Z,AIC640,"13.205311,77.701653",0,20,270
1548811204,2019-01-30T01:20:04Z,AIC640,"13.205322,77.700455",0,23,270
1548811214,2019-01-30T01:20:14Z,AIC640,"13.205338,77.699219",0,23,270
1548811225,2019-01-30T01:20:25Z,AIC640,"13.205349,77.697975",0,24,270
1548811234,2019-01-30T01:20:34Z,AIC640,"13.205349,77.696983",0,24,270
1548811245,2019-01-30T01:20:45Z,AIC640,"13.205369,77.695702",0,24,270
1548811253,2019-01-30T01:20:53Z,AIC640,"13.20538,77.694855",0,25,270
1548811265,2019-01-30T01:21:05Z,AIC640,"13.205392,77.693336",0,25,270
1548811271,2019-01-30T01:21:11Z,AIC640,"13.205395,77.692551",0,25,270
1548811280,2019-01-30T01:21:20Z,AIC640,"13.205403,77.69146",0,26,270
1548811293,2019-01-30T01:21:33Z,AIC640,"13.205415,77.689919",0,26,270
1548811432,2019-01-30T01:23:52Z,AIC640,"13.205429,77.687973",0,9,270
1548811469,2019-01-30T01:24:29Z,AIC640,"13.205439,77.687218",0,17,270
1548811615,2019-01-30T01:26:55Z,AIC640,"13.205772,77.686195",0,23,331
1548811626,2019-01-30T01:27:06Z,AIC640,"13.206276,77.68618",0,24,2
1548811632,2019-01-30T01:27:12Z,AIC640,"13.206544,77.686203",0,23,2
1548811646,2019-01-30T01:27:26Z,AIC640,"13.207103,77.686256",0,21,5
1548811693,2019-01-30T01:28:13Z,AIC640,"13.207157,77.686905",0,24,92
1548811702,2019-01-30T01:28:22Z,AIC640,"13.207146,77.687981",0,35,90
1548811712,2019-01-30T01:28:32Z,AIC640,"13.207123,77.691101",0,80,90
1548811721,2019-01-30T01:28:41Z,AIC640,"13.207088,77.695763",0,115,90
1548811727,2019-01-30T01:28:47Z,AIC640,"13.207043,77.700058",0,140,90
1548811733,2019-01-30T01:28:53Z,AIC640,"13.206997,77.703751",0,155,90
1548811740,2019-01-30T01:29:00Z,AIC640,"13.206963,77.709145",2975,168,90
1548811751,2019-01-30T01:29:11Z,AIC640,"13.206802,77.718658",3425,164,91
1548811758,2019-01-30T01:29:18Z,AIC640,"13.206684,77.723305",3700,164,91
1548811765,2019-01-30T01:29:25Z,AIC640,"13.206637,77.728127",3900,164,90
1548811785,2019-01-30T01:29:45Z,AIC640,"13.206665,77.745796",4450,189,90
1548811792,2019-01-30T01:29:52Z,AIC640,"13.206619,77.751617",4600,199,90
1548811803,2019-01-30T01:30:03Z,AIC640,"13.206528,77.76355",5050,215,90
1548811816,2019-01-30T01:30:16Z,AIC640,"13.20639,77.776764",5525,230,90
1548811827,2019-01-30T01:30:27Z,AIC640,"13.206311,77.789467",6125,238,90
1548811852,2019-01-30T01:30:52Z,AIC640,"13.212341,77.817299",7300,253,58
1548811859,2019-01-30T01:30:59Z,AIC640,"13.216926,77.823051",7500,262,47
1548811868,2019-01-30T01:31:08Z,AIC640,"13.226715,77.829941",7775,277,28
1548811877,2019-01-30T01:31:17Z,AIC640,"13.237781,77.832832",8225,284,9
1548811886,2019-01-30T01:31:26Z,AIC640,"13.250244,77.832596",8750,286,356
1548811895,2019-01-30T01:31:35Z,AIC640,"13.262375,77.83094",9200,286,351
1548811901,2019-01-30T01:31:41Z,AIC640,"13.269529,77.829796",9475,289,350
1548811907,2019-01-30T01:31:47Z,AIC640,"13.278351,77.828331",9675,292,350
1548811918,2019-01-30T01:31:58Z,AIC640,"13.295459,77.825752",9925,296,352
1548811931,2019-01-30T01:32:11Z,AIC640,"13.311172,77.823692",10025,300,352
1548811943,2019-01-30T01:32:23Z,AIC640,"13.328979,77.821465",10000,302,353
1548811955,2019-01-30T01:32:35Z,AIC640,"13.345409,77.81958",10000,300,353
1548811967,2019-01-30T01:32:47Z,AIC640,"13.3629,77.817627",10000,300,353
1548811979,2019-01-30T01:32:59Z,AIC640,"13.37874,77.815872",10000,300,353
1548811991,2019-01-30T01:33:11Z,AIC640,"13.396523,77.813896",10000,300,353
1548812003,2019-01-30T01:33:23Z,AIC640,"13.412933,77.812088",10000,301,353
1548812015,2019-01-30T01:33:35Z,AIC640,"13.429343,77.81028",10075,301,353
1548812028,2019-01-30T01:33:48Z,AIC640,"13.447033,77.808357",10200,315,353
1548812041,2019-01-30T01:34:01Z,AIC640,"13.465794,77.806335",10500,331,353
1548812052,2019-01-30T01:34:12Z,AIC640,"13.484414,77.80426",11050,336,353
1548812064,2019-01-30T01:34:24Z,AIC640,"13.503734,77.802139",11725,337,353
1548812076,2019-01-30T01:34:36Z,AIC640,"13.521881,77.798355",12350,339,344
1548812082,2019-01-30T01:34:42Z,AIC640,"13.530487,77.794899",12600,341,337
1548812088,2019-01-30T01:34:48Z,AIC640,"13.538927,77.790192",12900,344,330
1548812094,2019-01-30T01:34:54Z,AIC640,"13.546841,77.785179",13275,344,328
1548812100,2019-01-30T01:35:00Z,AIC640,"13.555481,77.779556",13625,343,327
1548812107,2019-01-30T01:35:07Z,AIC640,"13.564018,77.773949",14025,341,327
1548812141,2019-01-30T01:35:41Z,AIC640,"13.608988,77.744225",15450,351,327
1548812162,2019-01-30T01:36:02Z,AIC640,"13.639938,77.723869",16425,353,327
1548812221,2019-01-30T01:37:01Z,AIC640,"13.723413,77.670883",18775,369,332
1548812284,2019-01-30T01:38:04Z,AIC640,"13.821732,77.622314",21250,381,334
1548812345,2019-01-30T01:39:05Z,AIC640,"13.919631,77.573837",23400,393,334
1548812384,2019-01-30T01:39:44Z,AIC640,"13.981339,77.538048",24850,395,323
1548812392,2019-01-30T01:39:52Z,AIC640,"13.995186,77.527382",25200,397,322
1548812456,2019-01-30T01:40:56Z,AIC640,"14.088684,77.454895",27075,410,322
1548812519,2019-01-30T01:41:59Z,AIC640,"14.187679,77.377869",28700,421,322
1548812582,2019-01-30T01:43:02Z,AIC640,"14.285811,77.3013",30275,425,322
1548812643,2019-01-30T01:44:03Z,AIC640,"14.381195,77.226929",32125,419,322
1548812706,2019-01-30T01:45:06Z,AIC640,"14.477783,77.151489",33450,414,322
1548812770,2019-01-30T01:46:10Z,AIC640,"14.575241,77.075294",34000,431,322
