Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548897990,2019-01-31T01:26:30Z,AIC640,"13.203449,77.710785",0,2,8
1548898021,2019-01-31T01:27:01Z,AIC640,"13.203146,77.710747",0,9,8
1548898041,2019-01-31T01:27:21Z,AIC640,"13.202936,77.710693",0,9,323
1548898253,2019-01-31T01:30:53Z,AIC640,"13.202773,77.710831",0,2,270
1548898281,2019-01-31T01:31:21Z,AIC640,"13.202522,77.710159",0,23,241
1548898290,2019-01-31T01:31:30Z,AIC640,"13.202401,77.709839",0,24,253
1548898300,2019-01-31T01:31:40Z,AIC640,"13.202389,77.70932",0,26,270
1548898311,2019-01-31T01:31:51Z,AIC640,"13.202396,77.708702",0,29,270
1548898317,2019-01-31T01:31:57Z,AIC640,"13.202401,77.708313",0,30,270
1548898323,2019-01-31T01:32:03Z,AIC640,"13.202408,77.707954",0,31,270
1548898329,2019-01-31T01:32:09Z,AIC640,"13.202413,77.707626",0,32,270
1548898336,2019-01-31T01:32:16Z,AIC640,"13.202419,77.70713",0,33,270
1548898342,2019-01-31T01:32:22Z,AIC640,"13.202419,77.706711",0,34,270
1548898350,2019-01-31T01:32:30Z,AIC640,"13.202419,77.706085",0,15,270
1548898361,2019-01-31T01:32:41Z,AIC640,"13.202431,77.705307",0,15,270
1548898372,2019-01-31T01:32:52Z,AIC640,"13.202435,77.704567",0,30,270
1548898385,2019-01-31T01:33:05Z,AIC640,"13.202602,77.704018",0,24,312
1548898392,2019-01-31T01:33:12Z,AIC640,"13.202923,77.703911",0,21,348
1548898401,2019-01-31T01:33:21Z,AIC640,"13.203227,77.703911",0,20,358
1548898409,2019-01-31T01:33:29Z,AIC640,"13.203518,77.703918",0,24,3
1548898415,2019-01-31T01:33:35Z,AIC640,"13.203833,77.703911",0,27,359
1548898421,2019-01-31T01:33:41Z,AIC640,"13.204193,77.703918",0,31,2
1548898429,2019-01-31T01:33:49Z,AIC640,"13.204765,77.703934",0,34,2
1548898435,2019-01-31T01:33:55Z,AIC640,"13.205143,77.70385",0,30,331
1548898442,2019-01-31T01:34:02Z,AIC640,"13.205298,77.703598",0,28,286
1548898449,2019-01-31T01:34:09Z,AIC640,"13.205311,77.703178",0,27,270
1548898462,2019-01-31T01:34:22Z,AIC640,"13.205315,77.702477",0,26,270
1548898469,2019-01-31T01:34:29Z,AIC640,"13.205311,77.702164",0,26,270
1548898477,2019-01-31T01:34:37Z,AIC640,"13.205311,77.701759",0,25,270
1548898483,2019-01-31T01:34:43Z,AIC640,"13.205322,77.70153",0,25,270
1548898490,2019-01-31T01:34:50Z,AIC640,"13.205322,77.701118",0,24,270
1548898496,2019-01-31T01:34:56Z,AIC640,"13.205326,77.700874",0,24,270
1548898509,2019-01-31T01:35:09Z,AIC640,"13.205322,77.700287",0,24,270
1548898519,2019-01-31T01:35:19Z,AIC640,"13.205326,77.699844",0,23,270
1548898532,2019-01-31T01:35:32Z,AIC640,"13.205338,77.699265",0,23,270
1548898556,2019-01-31T01:35:56Z,AIC640,"13.205349,77.698166",0,24,270
1548898568,2019-01-31T01:36:08Z,AIC640,"13.205349,77.697632",0,24,270
1548898575,2019-01-31T01:36:15Z,AIC640,"13.205349,77.697311",0,25,270
1548898586,2019-01-31T01:36:26Z,AIC640,"13.205357,77.696808",0,26,270
1548898597,2019-01-31T01:36:37Z,AIC640,"13.20536,77.696152",0,27,270
1548898605,2019-01-31T01:36:45Z,AIC640,"13.205372,77.695747",0,28,270
1548898614,2019-01-31T01:36:54Z,AIC640,"13.205372,77.695251",0,28,270
1548898633,2019-01-31T01:37:13Z,AIC640,"13.20538,77.694168",0,30,270
1548898639,2019-01-31T01:37:19Z,AIC640,"13.20538,77.693817",0,30,270
1548898649,2019-01-31T01:37:29Z,AIC640,"13.205383,77.693184",0,31,270
1548898656,2019-01-31T01:37:36Z,AIC640,"13.205395,77.692757",0,31,270
1548898663,2019-01-31T01:37:43Z,AIC640,"13.205403,77.692291",0,32,270
1548898672,2019-01-31T01:37:52Z,AIC640,"13.205406,77.691681",0,31,270
1548898678,2019-01-31T01:37:58Z,AIC640,"13.205403,77.691422",0,24,270
1548898690,2019-01-31T01:38:10Z,AIC640,"13.205403,77.691086",0,13,270
1548898791,2019-01-31T01:39:51Z,AIC640,"13.205406,77.690979",0,2,270
1548898836,2019-01-31T01:40:36Z,AIC640,"13.205406,77.690727",0,12,270
1548898854,2019-01-31T01:40:54Z,AIC640,"13.205406,77.690422",0,14,270
1548898862,2019-01-31T01:41:02Z,AIC640,"13.205406,77.690758",0,15,270
1548898995,2019-01-31T01:43:15Z,AIC640,"13.205415,77.68988",0,10,270
1548899053,2019-01-31T01:44:13Z,AIC640,"13.205427,77.688988",0,16,270
1548899218,2019-01-31T01:46:58Z,AIC640,"13.205429,77.68885",0,2,270
1548899395,2019-01-31T01:49:55Z,AIC640,"13.205427,77.688118",0,15,270
1548899412,2019-01-31T01:50:12Z,AIC640,"13.205439,77.687737",0,12,270
1548899545,2019-01-31T01:52:25Z,AIC640,"13.205704,77.686256",0,14,320
1548899564,2019-01-31T01:52:44Z,AIC640,"13.205978,77.686172",0,2,348
1548899607,2019-01-31T01:53:27Z,AIC640,"13.206276,77.686172",0,11,354
1548899623,2019-01-31T01:53:43Z,AIC640,"13.206777,77.686203",0,22,8
1548899642,2019-01-31T01:54:02Z,AIC640,"13.207161,77.68676",0,20,90
1548899694,2019-01-31T01:54:54Z,AIC640,"13.207157,77.688248",0,42,90
1548899705,2019-01-31T01:55:05Z,AIC640,"13.207111,77.692581",0,94,90
