Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1548983827,2019-02-01T01:17:07Z,AIC640,"13.201865,77.710777",0,2,171
1548983852,2019-02-01T01:17:32Z,AIC640,"13.202086,77.710747",0,2,174
1548983879,2019-02-01T01:17:59Z,AIC640,"13.202331,77.710709",0,2,241
1548984003,2019-02-01T01:20:03Z,AIC640,"13.202377,77.710632",0,0,44
1548984115,2019-02-01T01:21:55Z,AIC640,"13.202401,77.710403",0,12,272
1548984129,2019-02-01T01:22:09Z,AIC640,"13.202401,77.710083",0,17,270
1548984143,2019-02-01T01:22:23Z,AIC640,"13.202408,77.709641",0,21,270
1548984156,2019-02-01T01:22:36Z,AIC640,"13.202408,77.709023",0,25,270
1548984162,2019-02-01T01:22:42Z,AIC640,"13.202413,77.708687",0,28,270
1548984169,2019-02-01T01:22:49Z,AIC640,"13.202419,77.708344",0,29,270
1548984183,2019-02-01T01:23:03Z,AIC640,"13.202419,77.707413",0,31,270
1548984196,2019-02-01T01:23:16Z,AIC640,"13.202431,77.706596",0,33,270
1548984205,2019-02-01T01:23:25Z,AIC640,"13.202435,77.705986",0,34,270
1548984233,2019-02-01T01:23:53Z,AIC640,"13.202511,77.70417",0,29,292
1548984239,2019-02-01T01:23:59Z,AIC640,"13.202739,77.703941",0,26,331
1548984250,2019-02-01T01:24:10Z,AIC640,"13.2033,77.703918",0,24,2
1548984257,2019-02-01T01:24:17Z,AIC640,"13.203506,77.703918",0,24,6
1548984263,2019-02-01T01:24:23Z,AIC640,"13.20385,77.703918",0,23,6
1548984269,2019-02-01T01:24:29Z,AIC640,"13.204102,77.703918",0,23,6
1548984275,2019-02-01T01:24:35Z,AIC640,"13.204345,77.703926",0,21,1
1548984282,2019-02-01T01:24:42Z,AIC640,"13.204554,77.703926",0,20,1
1548984291,2019-02-01T01:24:51Z,AIC640,"13.204857,77.703918",0,18,357
1548984297,2019-02-01T01:24:57Z,AIC640,"13.205066,77.70388",0,18,343
1548984306,2019-02-01T01:25:06Z,AIC640,"13.205276,77.703682",0,19,306
1548984321,2019-02-01T01:25:21Z,AIC640,"13.205315,77.70314",0,19,270
1548984328,2019-02-01T01:25:28Z,AIC640,"13.205315,77.702881",0,19,270
1548984345,2019-02-01T01:25:45Z,AIC640,"13.205311,77.702393",0,19,270
1548984352,2019-02-01T01:25:52Z,AIC640,"13.205322,77.702141",0,20,270
1548984363,2019-02-01T01:26:03Z,AIC640,"13.205322,77.701744",0,21,272
1548984379,2019-02-01T01:26:19Z,AIC640,"13.205334,77.700996",0,24,270
1548984385,2019-02-01T01:26:25Z,AIC640,"13.205334,77.700745",0,25,270
1548984394,2019-02-01T01:26:34Z,AIC640,"13.205334,77.700287",0,26,270
1548984400,2019-02-01T01:26:40Z,AIC640,"13.205338,77.699989",0,27,270
1548984411,2019-02-01T01:26:51Z,AIC640,"13.205338,77.699394",0,28,270
1548984418,2019-02-01T01:26:58Z,AIC640,"13.205349,77.698982",0,29,270
1548984426,2019-02-01T01:27:06Z,AIC640,"13.205357,77.698532",0,30,270
1548984461,2019-02-01T01:27:41Z,AIC640,"13.205372,77.69632",0,32,270
1548984477,2019-02-01T01:27:57Z,AIC640,"13.205383,77.69529",0,34,270
1548984483,2019-02-01T01:28:03Z,AIC640,"13.205383,77.694839",0,34,270
1548984491,2019-02-01T01:28:11Z,AIC640,"13.20538,77.694275",0,15,270
1548984501,2019-02-01T01:28:21Z,AIC640,"13.205395,77.693527",0,15,270
1548984515,2019-02-01T01:28:35Z,AIC640,"13.205403,77.692444",0,16,270
1548984526,2019-02-01T01:28:46Z,AIC640,"13.205415,77.691605",0,16,270
1548984543,2019-02-01T01:29:03Z,AIC640,"13.205427,77.690292",0,16,270
1548984564,2019-02-01T01:29:24Z,AIC640,"13.205441,77.688644",0,34,270
1548984621,2019-02-01T01:30:21Z,AIC640,"13.205441,77.688065",0,2,270
1548984661,2019-02-01T01:31:01Z,AIC640,"13.205441,77.687798",0,10,270
1548984684,2019-02-01T01:31:24Z,AIC640,"13.20545,77.687469",0,13,270
1548984731,2019-02-01T01:32:11Z,AIC640,"13.20545,77.686882",0,2,270
1548984812,2019-02-01T01:33:32Z,AIC640,"13.20545,77.686867",0,2,270
1548984886,2019-02-01T01:34:46Z,AIC640,"13.205795,77.686188",0,13,337
1548984906,2019-02-01T01:35:06Z,AIC640,"13.206264,77.686172",0,16,340
1548984913,2019-02-01T01:35:13Z,AIC640,"13.206521,77.68618",0,19,2
1548984926,2019-02-01T01:35:26Z,AIC640,"13.206985,77.686279",0,22,19
1548984964,2019-02-01T01:36:04Z,AIC640,"13.207169,77.686752",0,2,90
1548984981,2019-02-01T01:36:21Z,AIC640,"13.20718,77.687218",0,33,90
1548984991,2019-02-01T01:36:31Z,AIC640,"13.207157,77.688774",0,52,90
1548984999,2019-02-01T01:36:39Z,AIC640,"13.207126,77.691963",0,90,90
1548985005,2019-02-01T01:36:45Z,AIC640,"13.2071,77.695038",0,110,90
1548985011,2019-02-01T01:36:51Z,AIC640,"13.207066,77.698639",0,130,90
1548985027,2019-02-01T01:37:07Z,AIC640,"13.206985,77.709946",2925,167,90
1548985034,2019-02-01T01:37:14Z,AIC640,"13.206917,77.714973",3125,166,91
1548985044,2019-02-01T01:37:24Z,AIC640,"13.20673,77.723839",3700,159,90
1548985051,2019-02-01T01:37:31Z,AIC640,"13.206684,77.728607",3975,156,90
