Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549070017,2019-02-02T01:13:37Z,AIC640,"13.202385,77.711174",0,10,270
1549070034,2019-02-02T01:13:54Z,AIC640,"13.202385,77.71096",0,10,270
1549070048,2019-02-02T01:14:08Z,AIC640,"13.202389,77.710754",0,10,270
1549070170,2019-02-02T01:16:10Z,AIC640,"13.202385,77.71064",0,0,89
1549070282,2019-02-02T01:18:02Z,AIC640,"13.202645,77.710228",0,24,320
1549070290,2019-02-02T01:18:10Z,AIC640,"13.202808,77.709953",0,24,281
1549070316,2019-02-02T01:18:36Z,AIC640,"13.202808,77.708679",0,28,270
1549070322,2019-02-02T01:18:42Z,AIC640,"13.202808,77.708344",0,30,270
1549070328,2019-02-02T01:18:48Z,AIC640,"13.202808,77.707932",0,33,270
1549070334,2019-02-02T01:18:54Z,AIC640,"13.202808,77.707481",0,16,270
1549070341,2019-02-02T01:19:01Z,AIC640,"13.20282,77.70697",0,17,270
1549070353,2019-02-02T01:19:13Z,AIC640,"13.202831,77.705925",0,18,270
1549070374,2019-02-02T01:19:34Z,AIC640,"13.202867,77.704224",0,33,278
1549070385,2019-02-02T01:19:45Z,AIC640,"13.203381,77.703918",0,28,5
1549070396,2019-02-02T01:19:56Z,AIC640,"13.203838,77.703934",0,27,1
1549070404,2019-02-02T01:20:04Z,AIC640,"13.204353,77.703934",0,27,2
1549070411,2019-02-02T01:20:11Z,AIC640,"13.204694,77.703941",0,27,1
1549070419,2019-02-02T01:20:19Z,AIC640,"13.205194,77.703804",0,30,326
1549070425,2019-02-02T01:20:25Z,AIC640,"13.205303,77.703506",0,32,275
1549070431,2019-02-02T01:20:31Z,AIC640,"13.205303,77.703064",0,17,270
1549070437,2019-02-02T01:20:37Z,AIC640,"13.205315,77.702477",0,22,270
1549070444,2019-02-02T01:20:44Z,AIC640,"13.205315,77.701584",0,27,270
1549070450,2019-02-02T01:20:50Z,AIC640,"13.205326,77.700829",0,29,270
1549070464,2019-02-02T01:21:04Z,AIC640,"13.205345,77.698761",0,26,272
1549070470,2019-02-02T01:21:10Z,AIC640,"13.205345,77.698059",0,26,270
1549070489,2019-02-02T01:21:29Z,AIC640,"13.205369,77.695816",0,24,270
1549070495,2019-02-02T01:21:35Z,AIC640,"13.205372,77.695244",0,24,270
1549070507,2019-02-02T01:21:47Z,AIC640,"13.20538,77.693954",0,23,270
1549070514,2019-02-02T01:21:54Z,AIC640,"13.205383,77.693184",0,22,270
1549070520,2019-02-02T01:22:00Z,AIC640,"13.205395,77.692482",0,21,272
1549070526,2019-02-02T01:22:06Z,AIC640,"13.205406,77.691818",0,19,270
1549070533,2019-02-02T01:22:13Z,AIC640,"13.205415,77.691261",0,17,270
1549070539,2019-02-02T01:22:19Z,AIC640,"13.205418,77.690887",0,30,270
1549070763,2019-02-02T01:26:03Z,AIC640,"13.205427,77.689262",0,20,270
1549070774,2019-02-02T01:26:14Z,AIC640,"13.205427,77.689026",0,12,272
1549070903,2019-02-02T01:28:23Z,AIC640,"13.205429,77.688446",0,2,270
1549071061,2019-02-02T01:31:01Z,AIC640,"13.205475,77.686455",0,17,281
1549071075,2019-02-02T01:31:15Z,AIC640,"13.205704,77.686218",0,15,326
1549071091,2019-02-02T01:31:31Z,AIC640,"13.206047,77.686188",0,11,357
1549071110,2019-02-02T01:31:50Z,AIC640,"13.206356,77.686172",0,14,358
1549071124,2019-02-02T01:32:04Z,AIC640,"13.206791,77.686195",0,23,8
1549071132,2019-02-02T01:32:12Z,AIC640,"13.207088,77.686386",0,23,47
1549071177,2019-02-02T01:32:57Z,AIC640,"13.207157,77.687202",0,15,90
1549071184,2019-02-02T01:33:04Z,AIC640,"13.20715,77.688202",0,38,90
1549071195,2019-02-02T01:33:15Z,AIC640,"13.207123,77.691124",0,82,90
1549071206,2019-02-02T01:33:26Z,AIC640,"13.207054,77.697739",0,125,90
1549071212,2019-02-02T01:33:32Z,AIC640,"13.207043,77.701492",0,145,90
1549071219,2019-02-02T01:33:39Z,AIC640,"13.206963,77.706635",2975,156,90
1549071225,2019-02-02T01:33:45Z,AIC640,"13.20694,77.711464",3225,153,90
1549071232,2019-02-02T01:33:52Z,AIC640,"13.206894,77.715485",3425,152,90
1549071243,2019-02-02T01:34:03Z,AIC640,"13.206823,77.723213",3875,152,91
1549071250,2019-02-02T01:34:10Z,AIC640,"13.206711,77.727989",4100,152,91
1549071263,2019-02-02T01:34:23Z,AIC640,"13.206777,77.737816",4400,162,87
1549071274,2019-02-02T01:34:34Z,AIC640,"13.207031,77.747215",4675,171,89
1549071281,2019-02-02T01:34:41Z,AIC640,"13.207123,77.752563",4850,178,88
1549071287,2019-02-02T01:34:47Z,AIC640,"13.207335,77.757904",4975,183,87
1549071305,2019-02-02T01:35:05Z,AIC640,"13.20794,77.774384",5425,201,88
1549071317,2019-02-02T01:35:17Z,AIC640,"13.208266,77.78653",5675,220,88
1549071329,2019-02-02T01:35:29Z,AIC640,"13.208825,77.800209",6075,237,85
1549071336,2019-02-02T01:35:36Z,AIC640,"13.210052,77.807259",6225,245,78
1549071344,2019-02-02T01:35:44Z,AIC640,"13.213247,77.817032",6500,258,67
1549071351,2019-02-02T01:35:51Z,AIC640,"13.216736,77.823929",6700,266,60
1549071357,2019-02-02T01:35:57Z,AIC640,"13.221954,77.830223",6900,272,46
1549071363,2019-02-02T01:36:03Z,AIC640,"13.228377,77.834999",7150,277,33
1549071369,2019-02-02T01:36:09Z,AIC640,"13.235229,77.838043",7425,280,21
1549071377,2019-02-02T01:36:17Z,AIC640,"13.246948,77.839935",7700,279,1
1549071398,2019-02-02T01:36:38Z,AIC640,"13.273625,77.835052",8200,276,349
1549071404,2019-02-02T01:36:44Z,AIC640,"13.280914,77.833778",8350,275,350
1549071420,2019-02-02T01:37:00Z,AIC640,"13.300369,77.83094",8725,281,352
1549071433,2019-02-02T01:37:13Z,AIC640,"13.316574,77.828712",8975,286,352
1549071444,2019-02-02T01:37:24Z,AIC640,"13.33255,77.826485",9175,284,352
1549071457,2019-02-02T01:37:37Z,AIC640,"13.348575,77.824211",9375,287,351
1549071468,2019-02-02T01:37:48Z,AIC640,"13.364822,77.821938",9575,291,352
1549071480,2019-02-02T01:38:00Z,AIC640,"13.380603,77.819725",9750,293,352
1549071492,2019-02-02T01:38:12Z,AIC640,"13.397598,77.81739",9875,292,352
1549071505,2019-02-02T01:38:25Z,AIC640,"13.413701,77.815102",10025,292,352
1549071516,2019-02-02T01:38:36Z,AIC640,"13.430145,77.812851",10250,296,352
1549071529,2019-02-02T01:38:49Z,AIC640,"13.447266,77.810524",10475,313,352
1549071541,2019-02-02T01:39:01Z,AIC640,"13.465393,77.808113",10650,330,352
1549071553,2019-02-02T01:39:13Z,AIC640,"13.484181,77.805511",10825,337,352
1549071565,2019-02-02T01:39:25Z,AIC640,"13.503128,77.80291",11025,339,352
1549071576,2019-02-02T01:39:36Z,AIC640,"13.520599,77.799118",11200,341,343
1549071583,2019-02-02T01:39:43Z,AIC640,"13.530361,77.795006",11300,342,334
1549071590,2019-02-02T01:39:50Z,AIC640,"13.539207,77.789902",11425,341,329
1549071598,2019-02-02T01:39:58Z,AIC640,"13.550938,77.782387",11575,342,327
1549071607,2019-02-02T01:40:07Z,AIC640,"13.563367,77.774384",11800,344,327
1549071620,2019-02-02T01:40:20Z,AIC640,"13.580359,77.763306",12100,347,327
1549071640,2019-02-02T01:40:40Z,AIC640,"13.60694,77.745857",12725,349,327
1549071698,2019-02-02T01:41:38Z,AIC640,"13.687661,77.692467",15225,364,327
1549071730,2019-02-02T01:42:10Z,AIC640,"13.734773,77.661293",16775,365,326
1549071764,2019-02-02T01:42:44Z,AIC640,"13.782806,77.62944",18100,370,327
1549071828,2019-02-02T01:43:48Z,AIC640,"13.877197,77.566978",20125,393,327
1549071890,2019-02-02T01:44:50Z,AIC640,"13.977775,77.500305",21875,413,327
1549071951,2019-02-02T01:45:51Z,AIC640,"14.078467,77.433617",22750,444,327
1549072015,2019-02-02T01:46:55Z,AIC640,"14.189209,77.360085",24900,435,327
1549072077,2019-02-02T01:47:57Z,AIC640,"14.293399,77.290604",26675,427,326
1549072140,2019-02-02T01:49:00Z,AIC640,"14.400516,77.219193",27725,437,326
1549072203,2019-02-02T01:50:03Z,AIC640,"14.506393,77.148598",28750,446,326
1549072264,2019-02-02T01:51:04Z,AIC640,"14.619461,77.08268",29650,461,336
1549072327,2019-02-02T01:52:07Z,AIC640,"14.747864,77.034004",30875,466,340
1549072391,2019-02-02T01:53:11Z,AIC640,"14.877228,76.986259",32200,466,338
1549072412,2019-02-02T01:53:32Z,AIC640,"14.915709,76.967125",32550,461,330
1549072421,2019-02-02T01:53:41Z,AIC640,"14.934191,76.955307",32750,458,326
1549072429,2019-02-02T01:53:49Z,AIC640,"14.949553,76.943878",32950,455,323
1549072436,2019-02-02T01:53:56Z,AIC640,"14.959329,76.935783",33050,453,320
1549072501,2019-02-02T01:55:01Z,AIC640,"15.064723,76.843086",34025,446,319
1549072565,2019-02-02T01:56:05Z,AIC640,"15.164577,76.754654",34000,448,319
1549072628,2019-02-02T01:57:08Z,AIC640,"15.264587,76.666069",34025,449,319
1549072692,2019-02-02T01:58:12Z,AIC640,"15.364929,76.577065",34000,448,319
1549072754,2019-02-02T01:59:14Z,AIC640,"15.462341,76.490723",34000,448,319
1549072815,2019-02-02T02:00:15Z,AIC640,"15.559434,76.40432",34000,448,319
1549072878,2019-02-02T02:01:18Z,AIC640,"15.65859,76.316086",34000,448,319
1549072941,2019-02-02T02:02:21Z,AIC640,"15.758584,76.227066",34000,446,319
1549073005,2019-02-02T02:03:25Z,AIC640,"15.857391,76.13887",34000,447,318
1549073064,2019-02-02T02:04:24Z,AIC640,"15.951916,76.054375",34000,448,319
1549073128,2019-02-02T02:05:28Z,AIC640,"16.051025,75.965698",34000,449,318
1549073191,2019-02-02T02:06:31Z,AIC640,"16.151505,75.875633",34000,449,319
1549073255,2019-02-02T02:07:35Z,AIC640,"16.250595,75.786682",34025,448,319
1549073314,2019-02-02T02:08:34Z,AIC640,"16.345825,75.701103",34025,448,318
1549073378,2019-02-02T02:09:38Z,AIC640,"16.444998,75.611885",34000,445,319
1549073441,2019-02-02T02:10:41Z,AIC640,"16.543213,75.523438",34025,440,318
1549073504,2019-02-02T02:11:44Z,AIC640,"16.634651,75.431541",34000,433,313
1549073565,2019-02-02T02:12:45Z,AIC640,"16.718628,75.339325",34000,435,313
1549073628,2019-02-02T02:13:48Z,AIC640,"16.805511,75.243629",34000,435,313
1549073691,2019-02-02T02:14:51Z,AIC640,"16.89212,75.148026",34025,435,313
1549073755,2019-02-02T02:15:55Z,AIC640,"16.981558,75.049179",34025,435,313
1549073815,2019-02-02T02:16:55Z,AIC640,"17.064608,74.957413",34025,435,313
1549073878,2019-02-02T02:17:58Z,AIC640,"17.151993,74.86055",34000,432,313
1549073941,2019-02-02T02:19:01Z,AIC640,"17.238647,74.76432",34000,431,313
1549074005,2019-02-02T02:20:05Z,AIC640,"17.325165,74.668289",34000,429,313
1549074065,2019-02-02T02:21:05Z,AIC640,"17.407242,74.576927",33650,426,313
1549074127,2019-02-02T02:22:07Z,AIC640,"17.491491,74.483086",32625,418,313
1549074190,2019-02-02T02:23:10Z,AIC640,"17.574646,74.390213",31600,416,313
1549074255,2019-02-02T02:24:15Z,AIC640,"17.658279,74.296631",30550,416,313
1549074317,2019-02-02T02:25:17Z,AIC640,"17.740871,74.204109",29500,416,313
1549074378,2019-02-02T02:26:18Z,AIC640,"17.819546,74.115929",28500,411,312
1549074441,2019-02-02T02:27:21Z,AIC640,"17.900482,74.024864",27375,398,312
1549074504,2019-02-02T02:28:24Z,AIC640,"17.979401,73.936302",25825,396,312
1549074567,2019-02-02T02:29:27Z,AIC640,"18.057474,73.84848",24225,386,313
1549074630,2019-02-02T02:30:30Z,AIC640,"18.134844,73.761131",22650,394,312
1549074693,2019-02-02T02:31:33Z,AIC640,"18.214325,73.671524",21050,398,312
1549074756,2019-02-02T02:32:36Z,AIC640,"18.291119,73.584679",19500,385,312
1549074819,2019-02-02T02:33:39Z,AIC640,"18.368225,73.497208",17900,379,312
1549074853,2019-02-02T02:34:13Z,AIC640,"18.40741,73.452728",17075,370,312
1549074883,2019-02-02T02:34:43Z,AIC640,"18.442135,73.413139",16325,367,312
1549074916,2019-02-02T02:35:16Z,AIC640,"18.479279,73.371407",15475,351,312
1549074948,2019-02-02T02:35:48Z,AIC640,"18.515213,73.330551",14750,334,312
1549074983,2019-02-02T02:36:23Z,AIC640,"18.549391,73.29174",14100,318,312
1549075014,2019-02-02T02:36:54Z,AIC640,"18.581909,73.25502",13450,305,312
1549075050,2019-02-02T02:37:30Z,AIC640,"18.612795,73.219582",12775,293,312
1549075082,2019-02-02T02:38:02Z,AIC640,"18.643341,73.184692",11950,290,312
1549075095,2019-02-02T02:38:15Z,AIC640,"18.65432,73.172791",11650,292,318
1549075103,2019-02-02T02:38:23Z,AIC640,"18.664673,73.165367",11500,296,330
1549075110,2019-02-02T02:38:30Z,AIC640,"18.675385,73.160751",11350,301,342
1549075116,2019-02-02T02:38:36Z,AIC640,"18.680374,73.159576",11275,303,348
1549075123,2019-02-02T02:38:43Z,AIC640,"18.692167,73.158562",11125,304,357
1549075130,2019-02-02T02:38:50Z,AIC640,"18.70166,73.158203",11025,302,358
1549075137,2019-02-02T02:38:57Z,AIC640,"18.710276,73.158012",10925,299,358
1549075145,2019-02-02T02:39:05Z,AIC640,"18.722332,73.157661",10775,295,358
1549075157,2019-02-02T02:39:17Z,AIC640,"18.739059,73.157127",10575,289,358
1549075170,2019-02-02T02:39:30Z,AIC640,"18.754898,73.156631",10400,284,358
1549075180,2019-02-02T02:39:40Z,AIC640,"18.770746,73.156158",10200,279,358
1549075193,2019-02-02T02:39:53Z,AIC640,"18.785225,73.155762",10000,275,358
1549075207,2019-02-02T02:40:07Z,AIC640,"18.800865,73.155312",9800,269,358
1549075252,2019-02-02T02:40:52Z,AIC640,"18.855099,73.153816",9250,246,358
1549075268,2019-02-02T02:41:08Z,AIC640,"18.872835,73.153267",9075,240,358
1549075277,2019-02-02T02:41:17Z,AIC640,"18.885918,73.152863",9000,231,358
1549075290,2019-02-02T02:41:30Z,AIC640,"18.897881,73.152664",9000,221,358
1549075314,2019-02-02T02:41:54Z,AIC640,"18.920971,73.160507",9000,215,43
1549075324,2019-02-02T02:42:04Z,AIC640,"18.925644,73.167473",9000,214,63
1549075332,2019-02-02T02:42:12Z,AIC640,"18.927841,73.176842",9000,213,75
1549075342,2019-02-02T02:42:22Z,AIC640,"18.928232,73.187126",8950,213,87
1549075355,2019-02-02T02:42:35Z,AIC640,"18.928745,73.200256",8800,214,87
1549075362,2019-02-02T02:42:42Z,AIC640,"18.929165,73.209045",8750,211,86
1549075373,2019-02-02T02:42:53Z,AIC640,"18.92981,73.219955",8625,210,86
1549075390,2019-02-02T02:43:10Z,AIC640,"18.930725,73.236725",8475,208,86
1549075403,2019-02-02T02:43:23Z,AIC640,"18.931305,73.249046",8350,207,87
1549075414,2019-02-02T02:43:34Z,AIC640,"18.931778,73.261253",8225,205,87
1549075426,2019-02-02T02:43:46Z,AIC640,"18.932281,73.27356",8100,204,87
1549075549,2019-02-02T02:45:49Z,AIC640,"19.018404,73.300285",7000,212,319
1549075563,2019-02-02T02:46:03Z,AIC640,"19.02739,73.292244",7000,213,319
1549075574,2019-02-02T02:46:14Z,AIC640,"19.036514,73.283951",6950,214,319
1549075586,2019-02-02T02:46:26Z,AIC640,"19.045546,73.275864",6800,213,319
1549075596,2019-02-02T02:46:36Z,AIC640,"19.054321,73.267967",6675,210,319
1549075609,2019-02-02T02:46:49Z,AIC640,"19.063477,73.259727",6550,209,319
1549075621,2019-02-02T02:47:01Z,AIC640,"19.072592,73.251541",6400,208,319
1549075633,2019-02-02T02:47:13Z,AIC640,"19.08139,73.243599",6275,207,319
1549075641,2019-02-02T02:47:21Z,AIC640,"19.087006,73.237312",6150,205,306
1549075648,2019-02-02T02:47:28Z,AIC640,"19.089863,73.231468",6075,204,293
1549075655,2019-02-02T02:47:35Z,AIC640,"19.091398,73.225723",6025,203,283
1549075661,2019-02-02T02:47:41Z,AIC640,"19.092237,73.219833",5950,202,277
1549075669,2019-02-02T02:47:49Z,AIC640,"19.092773,73.211029",5825,202,272
1549075676,2019-02-02T02:47:56Z,AIC640,"19.092865,73.205925",5750,201,271
1549075701,2019-02-02T02:48:21Z,AIC640,"19.092865,73.181305",5400,198,269
1549075711,2019-02-02T02:48:31Z,AIC640,"19.092749,73.169891",5200,198,269
1549075727,2019-02-02T02:48:47Z,AIC640,"19.092545,73.155014",4950,198,269
1549075733,2019-02-02T02:48:53Z,AIC640,"19.092453,73.149033",4850,198,269
1549075745,2019-02-02T02:49:05Z,AIC640,"19.092316,73.137459",4650,198,269
1549075752,2019-02-02T02:49:12Z,AIC640,"19.092237,73.131943",4550,198,269
1549075763,2019-02-02T02:49:23Z,AIC640,"19.092041,73.120193",4375,196,269
1549075769,2019-02-02T02:49:29Z,AIC640,"19.091957,73.114265",4300,196,269
1549075775,2019-02-02T02:49:35Z,AIC640,"19.091911,73.108574",4200,196,269
1549075781,2019-02-02T02:49:41Z,AIC640,"19.091818,73.103081",4100,195,269
1549075787,2019-02-02T02:49:47Z,AIC640,"19.09177,73.097931",4000,195,269
1549075794,2019-02-02T02:49:54Z,AIC640,"19.091721,73.091057",3900,195,269
1549075805,2019-02-02T02:50:05Z,AIC640,"19.091537,73.079681",3700,196,269
