Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1549242612,2019-02-04T01:10:12Z,AIC640,"13.201784,77.709961",0,0,128
1549242661,2019-02-04T01:11:01Z,AIC640,"13.202007,77.709969",0,2,165
1549242695,2019-02-04T01:11:35Z,AIC640,"13.202285,77.7099",0,2,239
1549242731,2019-02-04T01:12:11Z,AIC640,"13.202389,77.710106",0,0,65
1549242942,2019-02-04T01:15:42Z,AIC640,"13.202385,77.709839",0,13,270
1549242954,2019-02-04T01:15:54Z,AIC640,"13.202385,77.709511",0,19,270
1549242966,2019-02-04T01:16:06Z,AIC640,"13.202385,77.709061",0,23,270
1549242973,2019-02-04T01:16:13Z,AIC640,"13.202385,77.708786",0,25,270
1549242991,2019-02-04T01:16:31Z,AIC640,"13.202401,77.707695",0,32,270
1549242998,2019-02-04T01:16:38Z,AIC640,"13.202408,77.707314",0,33,270
1549243004,2019-02-04T01:16:44Z,AIC640,"13.202408,77.706863",0,34,270
1549243010,2019-02-04T01:16:50Z,AIC640,"13.202419,77.706451",0,34,270
1549243021,2019-02-04T01:17:01Z,AIC640,"13.202431,77.705627",0,34,270
1549243027,2019-02-04T01:17:07Z,AIC640,"13.202431,77.705254",0,34,270
1549243036,2019-02-04T01:17:16Z,AIC640,"13.202435,77.704597",0,34,270
1549243042,2019-02-04T01:17:22Z,AIC640,"13.202499,77.704147",0,34,295
1549243055,2019-02-04T01:17:35Z,AIC640,"13.203146,77.703911",0,29,357
1549243066,2019-02-04T01:17:46Z,AIC640,"13.203833,77.703926",0,30,1
1549243077,2019-02-04T01:17:57Z,AIC640,"13.204376,77.703918",0,29,2
1549243086,2019-02-04T01:18:06Z,AIC640,"13.204915,77.703926",0,29,357
1549243094,2019-02-04T01:18:14Z,AIC640,"13.205292,77.703575",0,30,295
1549243101,2019-02-04T01:18:21Z,AIC640,"13.205315,77.703224",0,31,272
1549243108,2019-02-04T01:18:28Z,AIC640,"13.205303,77.702721",0,31,270
1549243116,2019-02-04T01:18:36Z,AIC640,"13.205311,77.702278",0,32,270
1549243124,2019-02-04T01:18:44Z,AIC640,"13.205326,77.701668",0,33,270
1549243134,2019-02-04T01:18:54Z,AIC640,"13.205326,77.701004",0,32,270
1549243146,2019-02-04T01:19:06Z,AIC640,"13.205338,77.700249",0,31,270
1549243152,2019-02-04T01:19:12Z,AIC640,"13.205334,77.699867",0,30,270
1549243162,2019-02-04T01:19:22Z,AIC640,"13.205349,77.699287",0,29,270
1549243173,2019-02-04T01:19:33Z,AIC640,"13.205357,77.698624",0,29,270
1549243179,2019-02-04T01:19:39Z,AIC640,"13.205349,77.698273",0,29,270
1549243185,2019-02-04T01:19:45Z,AIC640,"13.20536,77.698044",0,28,270
1549243207,2019-02-04T01:20:07Z,AIC640,"13.205369,77.696747",0,29,270
1549243223,2019-02-04T01:20:23Z,AIC640,"13.205372,77.695801",0,29,270
1549243233,2019-02-04T01:20:33Z,AIC640,"13.205372,77.69519",0,29,270
1549243241,2019-02-04T01:20:41Z,AIC640,"13.205383,77.694794",0,29,270
1549243247,2019-02-04T01:20:47Z,AIC640,"13.20538,77.694435",0,29,270
1549243258,2019-02-04T01:20:58Z,AIC640,"13.20538,77.693832",0,30,270
1549243268,2019-02-04T01:21:08Z,AIC640,"13.205395,77.693169",0,30,270
1549243276,2019-02-04T01:21:16Z,AIC640,"13.205395,77.692635",0,30,270
1549243283,2019-02-04T01:21:23Z,AIC640,"13.205403,77.69223",0,31,270
1549243290,2019-02-04T01:21:30Z,AIC640,"13.205406,77.691902",0,31,270
1549243296,2019-02-04T01:21:36Z,AIC640,"13.205403,77.69146",0,31,270
1549243306,2019-02-04T01:21:46Z,AIC640,"13.205415,77.690796",0,32,270
1549243322,2019-02-04T01:22:02Z,AIC640,"13.205427,77.689835",0,32,270
1549243337,2019-02-04T01:22:17Z,AIC640,"13.205429,77.688766",0,32,270
1549243343,2019-02-04T01:22:23Z,AIC640,"13.205441,77.688377",0,33,270
1549243388,2019-02-04T01:23:08Z,AIC640,"13.205441,77.686798",0,2,270
